Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
Mega Speed Corporation,888-618-2714,https://www.megaspeedusa.com/,"Minnedosa, MB R0J1E0",Manufacturer,"Manufacturer of high speed cameras including portable, handheld, digital, high resolution and PC-connected. Digital video recorders (DVRs) and custom imaging systems are also offered. Secondary services such as consulting and testing are available. Suitable for recording fast-moving objects in food processing, beverage packaging, semiconductor, research and development applications. Serves automotive, aerospace, military, biological, surface mining and pharmaceutical industries.","Mega Speed Corporation's high speed products and services are used to analyze and capture events that are too fast for the human eye to see and then play the event back in super slow motion for detailed frame by frame image analysis and report generation. Our cameras are used for testing and verification of automotive safety systems, destructive impact testing, trouble-shooting / preventative maintenance, high speed production lines, aviation flight safety, spacecraft decelerator systems, NASA rocket testing, digital image correlation, beverage packaging, pharmaceutical quality control, surface mining explosion diagnostics and general research and development applications.",,$1 - 4.9 Mil,10-49  Employees,"Cameras: Digital
Cameras
Cameras: Digital, High Speed
Cameras: High Resolution
Cameras: High Speed


Cameras: Imaging
Cameras: Industrial
Cameras: Video
Cameras, Equipment & Supplies
Cameras: Computer

View all Cameras categories","All Products / Services

Cameras
Imaging Equipment


Recorders"
Rosco Vision Systems,888-243-9950,https://www.roscovision.com/,"Jamaica, NY 11435-4302",Manufacturer,"Manufacturer of automotive safety products. Various products include cameras, preloaded cards, enclosures, camera guards, security enclosure hardware, harnesses, guard housings, microphones, rear view cameras, monitors, mounts, adhesive pads, primer pens, cad readers, sensors, software and visors. Applications include buses, walk-in and cargo vans, refuse and wastes, work trucks and emergency response vehicles.","Commercial Vehicle Safety for All Fleets

Founded in 1907, Rosco, based in Jamaica, N.Y., is one of North Americas leading suppliers of backup camera systems, mirrors, visors, and other visual safety solutions to the worldwide commercial vehicle market. For over a century, Roscos vision has remained exceptionally clear.

We engineer and manufacture visual safety systems for all types of commercial fleet vehicles. The company is the largest supplier of mirror systems to the North American school bus market, selling to all major OEMs and parts distributors including Navistar/IC Corp., Freightliner/Thomas Built, Blue Bird, AM General, and many others. 

Our products are designed from real-world knowledge of the challenges that todays drivers face out on the open road. But thats not all. Rosco Vision systems are also designed to help fleet managers run a more efficient operation, fully compliant with all safety rules, regulations, and legislation.

The truck and van industry knows Rosco through More... the many products provided to companies like Paccar, Mack, Morgan Olson, Oshkosh, and Utilimaster, who manufacture vehicles for such notable fleets as UPS, Federal Express, United States Postal Service, the Canada Post, and others.

 Rosco is renowned for its strong design engineering focus and custom product development. The mission of Rosco Vision systems is to develop high quality products that function flawlessly for the life of the vehicle and provide a level of service and support that our customers have come to expect. Contact us to let us show you how we can make your vehicle safer. Less",www.linkedin.com/company/rosco-vision-systems,Not Available,200-499  Employees,"Cameras: Digital
Cameras: Vehicle Rear Vision
Cameras: CCD
Cameras: High Resolution
Cameras: Industrial


Cameras: Recording
Cameras: Surveillance
Cameras: Video
Truck Rear Video Systems
Cameras

View all Cameras categories","All Products / Services

Cameras
Mounts
Automotive Parts
Brackets
Cards
COVID-19 Response
Enclosures
Guards
Hardware
Harnesses


Housings
Imaging Equipment
Medical Personal Protective Equipment (PPE)
Mirrors
Monitors
Safety Equipment
Scanners / Readers
Sensors / Detectors / Transducers
Software
Surveillance Equipment

View all products / services offered"
Hello Bom,888-889-9811,https://www.hellobom.com/,"Boca Raton, FL 33433",Distributor,"Distributor of electronic components including semiconductors, resistors, diodes, capacitors, inductors, connectors, transistors and sensors. Amplifiers, anemometers, calibrators, comparators, converters, batteries and fuses are also offered. One click matching, and quick quotation turn-around offered.",,,Not Available,Not Available  Employees,"Cameras: Digital
Cameras
Cameras, Equipment & Supplies
Cameras: Digital, High Resolution
Cameras: High Resolution


Cameras: Imaging
Cameras: Infrared
Cameras: Inspection
Cameras: Microscope
Cameras: Smart

View all Cameras categories","All Products / Services

Connectors
Inductors
Capacitors
Rectifiers and Diodes
Resistors
Accelerometers
Actuators
Adhesives
Ammeters
Amplifiers


Anemometers
Attenuators
Batteries
Blankets
Blocks
Boxes
Brackets
Bulbs
Buzzers
Calibrators

View all products / services offered"
"PCE Americas, Inc.",844-842-6529,https://www.pce-instruments.com/f/t/us/main.htm,"Jupiter, FL 33458",Manufacturer,"Manufacturer of instruments and related products for commercial, industrial, university and research institution applications. Selection includes analytical, baby, basis weight, carat, compact portable, gold, GSM, jewelry, pharmacy, precision, spring, weighing, moisture, electronic and laboratory balances, animal weighing, approved, hand pallet truck, hanging, health, HGV, benchtop, bench counting, parcel, part counting, portioning, platform, dual display, checkweighing, controlling, container, crane, livestock, system, shipping, table top, trade approved, washdown, floor and lifter scales, measuring instruments and laboratory equipment.",,,Under $1 Mil,1-9  Employees,"Cameras: Digital
Cameras: Industrial
Cameras
Cameras: Digital, High Resolution
Cameras: Digital, High Speed


Cameras: High Resolution
Cameras: High Speed
Cameras: High Speed Complementary Metal Oxide Semiconductor (CMOS)
Cameras: High Temperature
Cameras: Imaging

View all Cameras categories","All Products / Services

Flowmeters
Borescopes
Measuring Equipment
Cold Chain Equipment
Data Loggers
Meters
Vaccine Cold Chain Supplies and Logistics
Analyzers
Cameras
Instruments


Photometers
Scales
Accelerometers
Gages
Magnetometers
Alarms
Anemometers
Balances
Beams
Calibration Services

View all products / services offered"
"General Pipe Cleaners, Div. of General Wire Spring Co.",800-245-6200,https://drainbrain.com/en/home-page/,"McKees Rocks, PA 15136",Manufacturer,"Manufacturer of pipe drain cleaning equipment. Types of cleaners include small, medium, large, sectional machine and hand tool drain cleaners. Various products available include augers, waterjet, camera inspection systems, locators, transmitters, pipe freezing kits, rods and flushers. Suitable for clearing sinks, tubs and laundry drains. Made in the USA.","Opening a clogged sewer or drain calls for tough equipment. General builds sewer and drain cleaners with the most rugged components, from cutting heads to electrical systems.

We've been making pipe cleaners since 1930 and have continually improved their reliability. For instance, years ago we introduced our Flexicore® cable, which is reinforced with wire rope. It's still the toughest cable you can buy.

We build machines for professional use and for maintenance in plants, buildings, schools, restaurants, and hotels. We also make machines exclusively for the rental industry, and the highest quality drain cleaning tools available for the hardware/home center market. And we give you one of the broadest warranties in the industry.

Our web site will help you choose the model you need. If you have any questions or want more information, contact the Drain Brains® at General.",www.linkedin.com/company/general-pipe-cleaners,Not Available,Not Available  Employees,"Cameras: Digital
Cameras
Cameras: Digital, High Speed
Cameras: High Speed
Cameras: Industrial


Cameras: Inspection
Cameras: Microscope
Cameras: Pipe & Duct Inspection
Cameras: Recording
Cameras: Video

View all Cameras categories","All Products / Services

Cleaning Equipment
Plumbing Equipment
Inspection Equipment
Cutters and Cutting Machinery
Tools
Augers
Freezers
Heaters
Plumbers' Snakes
Sensors / Detectors / Transducers


Cameras
Cleaning Compounds and Chemicals
Connectors
Diagnostic Equipment
Fittings
Flushers
Hose
Instruments
Janitorial Supplies
Jetters

View all products / services offered"
"Orr & Orr, Inc.",866-547-5773,https://www.orrorr.com/,"Bedford Park, IL 60638-6122",Distributor,"Distributor of hardware and accessories for vehicles. Products include air conditioners, brake controls, cargo restraint, electrical, plumbing and heating equipment, door track and hangers, drawer slides, lighting, fans and vents, gas springs, gas tanks, hinges, mirrors, refrigerators, seats, steps, adapters, ammeters, ashtray, bars, braces, brackets, bumpers, bolts, connectors, covers, doors, handles, elbows, fasteners, hooks, battery isolators, jacks, pumps, rings, rivets, tanks, skylights, valves and winches.","Orr & Orr, Inc. has been in the wholesale distribution business since 1934, when Betty Orr and her husband started a company to supply parts and accessories to the mobile home industry. A lot has changed since those early days. Today, Orr & Orr, Inc. services many different industries with a large variety of hardware and accessories. Each day we ship throughout the country and around the world, supplying quality merchandise at competitive prices.

Service is the one word we have built upon, shipping more than 90% of our orders on the same day they are received, with a 98% fill rate. We do this by maintaining a complete inventory of the products shown in our current catalog. We also listen to our customers, constantly adjusting our product mix to meet their needs. At Orr & Orr, Inc., we are not limited to what we show in our 180 page catalog. Give us specifications on the product you need, and we will try to find it for you. Orr & Orr, Inc. believes a distributor exists to give service and More... support to its customers. We are dedicated to making it easy to buy from us. Give us a chance to be your supplier we think you will be pleased with the service, availability, price, selection, and customer care you receive from Orr & Orr, Inc. Less",,$1 - 4.9 Mil,10-49  Employees,"Cameras: Digital
Cameras
Cameras: Complementary Metal Oxide Semiconductor (CMOS)


Cameras: High Resolution
Cameras: Low Light
Cameras: Video","All Products / Services

Springs
Hardware
Hinges
Slides
Stripping
Pumps
Trailer Parts
Automotive Parts
Electric Wire, Cable and Cable Assemblies
Heaters
Restraints
Straps


Accumulators
Actuators
Adapters
Adjusters
Alarms
Ammeters
Anchors
Antennas
Antifreeze
Assemblies
Assembly Machinery
Assembly Services

View all products / services offered"
"NetSource Technology, Inc.",855-970-5135,https://www.nstechnology.com/,"San Clemente, CA 92673",Distributor,"NetSource Technology, Inc. is a distributor of electronic components and accessories for OEMs and contract manufacturers. Products include cables, adapters, hubs, wireless and range extenders, HDMI switches and splitters, graphic and video cards, SSD drives, LCDs, memory integrated circuits and network switches. Other products such as relays, switches, connectors, capacitors, inductors, resistors, amplifiers, converters, diodes, transistors and trigger devices are also available. Serves the electronics, computer, telecommunications, aerospace, aviation, medical, automotive, and transportation industries. ITAR registered. Stock items are available. Procurement, inventory, and supply chain management services are also offered.","Founded in 1997, NetSource Technology, Inc. is a global procurement organization and is one of the largest independent stocking distributors of electronic components. We provide professional and supply chain solutions to OEMs and contract manufacturers worldwide. Our specialty is locating hard-to-find, obsolete, end-of-life (EOL) and highly allocated components with long lead times. We are focused on supporting customers throughout the complete supply chain lifecycle.

Our commitment to quality assurance is validated through our ISO 9001:2015 certification, ITAR registration and industry leading counterfeit prevention programs. NetSource Technology serves as a trusted supply chain partner to leading global organizations across the telecom, IOT, mobile, automotive, medical and aerospace industries. We are the exclusive North American and United Kingdom distributor of Cadyce products. The company is headquartered in San Clemente, CA with offices worldwide.",www.linkedin.com/company/netsource-technology/,$5 - 9.9 Mil,10-49  Employees,"Cameras: Digital
Cameras
Cameras, Equipment & Supplies
Cameras: Bullet
Cameras: Complementary Metal Oxide Semiconductor (CMOS)


Cameras: Computer
Cameras: Digital, High Resolution
Cameras: High Resolution
Cameras: Hitachi
Cameras: Industrial

View all Cameras categories","All Products / Services

Electronic Components
Circuits
Capacitors
Digital Memory
Displays
Resistors
Connectors
Electrical Components
Power Supplies
Printed Circuit Boards


Relays
Adapters
Amplifiers
Antennas
Arrays
Attenuators
Backshells
Batteries
Blocks
Breakers

View all products / services offered"
Acoustical Surfaces,888-535-7867,https://www.acousticalsurfaces.com/,"Chaska, MN 55318",Manufacturer,"Distributor and manufacturer of standard and custom soundproofing, noise control, vibration and acoustical control materials and products. Noise control curtains, acoustical baffles and banners, equipment enclosures, fire retardant acoustics, acoustical sealants or adhesives, acoustical fabric wall panels, sound level meters, white noise machines, acoustical gasket tapes, sound isolation clips, soundproof walls, sound control doors and wall or ceiling acoustical foam available. Services include sound testing and acoustical analysis and recording studio construction. Products are used in commercial, hospital, recording or broadcasting studio, gymnasium, conference room, restaurant, lunchroom, auditorium, stadium, educational, house of worship, OEM and home theater applications. Meets non-flammable ASTM E84 class A-1 standards. One year warranty.","Acoustical Surfaces Inc. is a company with 25 years of experience with over 400 specialty soundproofing, noise control, vibration control, acoustical and architectural products. Call today to speak with a knowledgeable acoustics and soundproofing professionals to explain our cost-effective solutions. Hundreds of products in stock, easy to use, fast shipment, best price guarantee, green and fire safe.

For more than 25 years, Acoustical Surfaces has continued to explore and bring to you the newest and widest array of unique acoustical, noise control and soundproofing materials. Please come back and visit our web site often! Technical advancements in soundproofing are made every month, and we are committed to presenting you with the most educational, informative up-to-date information each and every month! Acoustical Surfaces, Inc. is your complete source for acoustical, noise control, vibration and soundproofing materials and services. We also carry a full line of wood ceilings and wall systems. More... Less",,$5 - 9.9 Mil,50-99  Employees,"Cameras: Digital
Cameras
Cameras: Inspection


Cameras: Video
Cameras: Visual Inspection
Inspection Cameras: Video","All Products / Services

Acoustical Materials
Absorbers
Noise Control Services
Panels
Building Materials
Controls and Controllers
Enclosures
Engineering Services
Tile
Walls
Windows
Actuators


ADA Compliant Products
Adhesives
Airport Equipment
Amplifiers
Analytical Services
Analyzers
Audio Visual (AV) Equipment
Baffles
Banners
Barriers
Blades
Blankets

View all products / services offered"
Micro-Epsilon,919-787-9707,https://www.micro-epsilon.com,"Raleigh, NC 27617 | Locations",Manufacturer,"Manufacturer and custom manufacturer of sensors and measuring instruments and systems. Various types of sensors include laser, eddy current, IR temperature, confocal, position, infrared, draw-wire, capacitive displacement, length, inductive, color, precision, analogue and anti-speckle sensors. Various other products include laser scanners, thermometers, analyzers, adapters, gages, micrometers and pyrometers. Accessories include interface cards, optical glass fibers, light guides, position indicators and mountable lenses. Various applications include aerospace, automation, conveying, medical and mechanical engineering, food, metallurgy, military and electronics.","Micro-Epsilon offers a worldwide unique range of sensors, measurement systems, and customized inspection systems. The product range of Micro-Epsilon comprises inductive, confocal chromatic, and capacitive sensors, together with laser, eddy current, draw-wire, and temperature sensors, including inspection and measurement systems, e.g. for modern 3D surface inspection. The company's main application areas are machine building and machine design, manufacturing automation, and R and D. Continuous development efforts, extensive know-how, and a wide cooperation network enable the creation of innovative, high precision products. The sensors from Micro-Epsilon are helping to conserve resources, automate production processes, and to ensure high quality in production processes. The Micro-Epsilon customer base includes world-leading companies and major brands in the fields of consumer electronics, smartphones, aircraft, and car manufacturers. An integral part of the company philosophy is to always More... find the best solution for the customer, which also involves the development of customer-specific products for special environments and installation conditions. About 1,000 competent employees worldwide and numerous patents enable Micro-Epsilon's unique selling position with agencies in more than 50 countries. Less",www.linkedin.com/company/micro-epsilon-usa/,$100 - 249.9 Mil,1000+  Employees,"Cameras: Digital
Cameras
Cameras: Gigabit Ethernet
Cameras: High Temperature
Cameras: Imaging


Cameras: Industrial
Cameras: Infrared
Cameras: Inspection
Cameras: Line Scan
Cameras: Miniature

View all Cameras categories","All Products / Services

Sensors / Detectors / Transducers
Measuring Equipment
Testers
Aligners
Analyzers
Cameras
Controls and Controllers
COVID-19 Response
Fiber
Fire Fighting Electronics


Gages
Imaging Equipment
Indicators
Infrared Equipment
Inspection Equipment
Instruments
Interferometers
Lasers
Medical Products and Hospital Equipment
Meters

View all products / services offered"
SAE Manufacturing Specialties Corp,888-662-5664,https://saemfg.com/,"Bayville, NY 11709",Manufacturer,"Manufacturer of special chemicals, energetic materials, polytechnics, ordnance or aerospace components and systems. Products include special chemicals, energetic materials, pyrotechnics, ordnance and aerospace components and systems. Additional products include electronic systems, equipment, enforcement products and an EOD full line of products and solutions. Other services such as research and development for aerospace pyrotechnic devices are also offered. Serves the defense and aerospace industries. Some products meet military specifications.",,,Not Available,Not Available  Employees,"Cameras: Digital
Camcorders
Camcorders: Digital
Cameras
Cameras, Equipment & Supplies


Cameras: CCD
Cameras: CCTV
Cameras: Digital, High Speed
Cameras: High Speed
Cameras: Imaging

View all Cameras categories","All Products / Services

Grease
Lubricants
Oils
Solid Film Lubricants
Chemicals
Abrasive Blast Equipment
Accelerometers
Acetaminophen
Actuators
Additive Manufacturing Materials


Adhesives
Agents
Aggregates
Aluminum
Ammeters
Ammunition
Amplifiers
Analyzers
Anesthesia Equipment
Antennas

View all products / services offered"
