Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
Ellsworth Adhesives,888-615-1507,https://www.ellsworth.com/,"Germantown, WI 53022 | Locations",Distributor,"Distributor of specialty chemicals and equipment including adhesives, sealants, lubricants, coatings, encapsulants, and tapes. Soldering products, surface preparations, UV curing equipment, maintenance and repair products, and dispensing equipment available. Custom dispensing equipment and packaging products are also offered. Value-added services include custom labeling and documentation, managed inventory services, converting services, and custom formulation provided. Contract manufacturing and low pressure molding services provided. Serves the battery, defense, transportation, lighting, medical, power, and consumer product industries.","Ellsworth Adhesives is a solutions provider for applications and manufacturing processes that utilize adhesives, sealants, coatings, encapsulants, lubricants, tapes, other specialty chemicals and related equipment from top manufacturers including Dow, Henkel, Dymax, 3M, Parker LORD, Humiseal, Sika, Techcon, and many others. Ellsworth Adhesives also provides custom chemical formulation to meet exact application requirements or custom packaging of chemicals in cartridges, kits, or syringes for easy application in precise amounts. 

Ellsworth Adhesives® specialty chemical knowledge spans across multiple industries including electronics, lighting, automotive, aerospace, medical and general assembly. A global network of engineering sales representatives is available to assist with the integration of adhesives through the design, supply and production processes. Ellsworth Adhesives offers accurate documentation, labeling and shelf-life control. ISO 9001:2015 and AS9120B certified.",www.linkedin.com/company/28305?trk=ape_s000001e_1000,$100 - 249.9 Mil,1000+  Employees,"Meters: Digital
Meters


Voltmeters
Voltmeters: Electrostatic","All Products / Services

Adhesives
Lubricants
Grease
Oils
Solid Film Lubricants
Resins
Coatings
Tapes
Epoxies
Dispensers
Labelers
Static Control Equipment
Film


Applicators
Encapsulants
Chemicals
Sealants
Thermal Interface Materials
Bulbs
Coders
Curing Systems
Encapsulation Equipment
Guns
Mixers
Polyurethane
Private Label Manufacturing

View all products / services offered"
"Xylem, Inc.",855-280-7822,https://www.xylem.com/en-us,"Rye Brook, NY 10573 | Locations",Manufacturer,"Manufacturer of submersible, end suction, vertical, horizontal and solid handling pumps for water treatment application. Types include submersible column, slim line, dewatering and magnetically coupled pump. Portable generators, heat exchangers, hose, hydro turbines, lights, mixers, ejectors, controls, monitoring systems and light towers are also available. Accessories such as spare parts kits, engine service kits, hoses, pipe, fittings, controllers, pump enclosures and temporary road ramps provided. 24/7 field, design, installation, rental, on-site, water consulting and training services offered. Serves the agriculture, aquaculture, water park, construction, energy and power industries.","With home offices on two continents, 32 U.S. rental branches, and a network of more than 400 distributor locations worldwide, Godwin Pumps maintains a fleet of 6,000 portable pumps and 3,200 pieces of related equipment for use in construction dewatering, mining, drinking water supply and water/wastewater bypasses. We manufacture, rent and sell all our products, including the fully automatic self-priming Godwin Dri-Prime pump and accessories for immediate rental or sale.",,$250 Mil. and over,500-999  Employees,"Meters: Digital
Leak Detection Meters
Meters
Meters: Electric
Meters: Energy


Meters: Fire Hydrant
Meters: Hot Water
Meters: Water
Meters: Wire & Cordage","All Products / Services

Pumps
Purifiers
Hose
Disinfection Systems
Hurricane Response
Infrastructure Protection Supplies
Maintenance and Repair Services
Pump Parts
Pumping Systems
Rental and Leasing Services


Stations
Actuators
Aerators
Alarms
Analyzers
Blowers
Boosters
Breakers
Cartridges
Changers

View all products / services offered"
Siemens Process Instrumentation,855-628-0145,http://www.usa.siemens.com/pi,"Harleysville, PA 19438",Manufacturer,"Manufacturer of process instrumentation for pressure, temperature, flow, level and weight measurement. Products include pneumatic valve positioners, calculators, flow or motion sensors, weighing scales, transmitters, transducers, regulators, relays, feeders and process protection devices. Plant device management maintenance stations are also available. Accessories such as input and output isolators, instrumentation displays, monitoring devices and adapters are offered.","Siemens Process Instrumentation brings you innovative measurement solutions to increase plant efficiency and enhance product quality, including flow, temperature, pressure, level, weighing and valve positioning. And we understand that in the process industry, every second counts which is why we offer world-class engineering, testing and production directly from our 183,000 sq. ft. state-of-the-art manufacturing facility in North America. Your production doesn't stop, so why would we? Siemens delivers the instruments you need and the reliability you depend on, with same-day shipping and service available 24 hours a day, 365 days a year.",www.linkedin.com/company/siemens-industry-us,$250 Mil. and over,1000+  Employees,"Meters: Digital
Meters
Meters: Density


Meters: Hot Water
Meters: Liquid
Meters: Water","All Products / Services

Flowmeters
Sensors / Detectors / Transducers
Cells
Scales
Transmitters
Positioners
Controls and Controllers
Measuring Equipment
Process Machinery
Adapters
Ammeters
Calculators


Corrosion Resistant Products
Displays
Feeders and Feed Systems
Filters
Handling Equipment
Instruments
Isolators
LEDs
Meters
Modules
Monitoring Systems
Monitors

View all products / services offered"
WATTCO,877-276-3831,https://www.wattco.com/,"Hallandale, FL 33009",Manufacturer,"Manufacturer of standard and custom electric heaters and heating elements. Types of heaters include tubular heaters, finned tubular heaters, flanged heaters, boiler heaters, screw plug heaters, in line heaters, circulation heaters, over the side heaters, immersion heaters, strip heaters, cartridge heaters, mica heaters and ceramic band heaters, silicone rubber heaters, duct heaters, infrared heaters radiant heaters and inline heaters. Thermowells, wire, thermocouples, thermostats and control panels are also available. Various applications include drying, curing, sterilization, roll heating, degreasing, softening resins, heat treating, air drying, air pre-heating, multizone reheating and annealing. CSA and UL approved.","Immersion Heaters such as flanged heaters, circulation heaters and inline heaters are a sample of the full product range WATTCO manufactures for industries such as oil and gas, chemical, defense and HVAC.

We offer quotes in 60 minutes and guarantee our prices to be the lowest in the industry.",,$50 - 99.9 Mil,50-99  Employees,"Meters: Digital
Meters: Analog


Meters: Thermocouple","All Products / Services

Heaters
Panels
Elements
Analyzers
Autoclaves
Blowers
Boards
Boilers
Bridges
Burners
Cafeteria Equipment
Ceilings
Cement


Ceramic Products
Coils
Controls and Controllers
Convectors
Coolers
COVID-19 Response
Dampers
Displays
Electric Wire, Cable and Cable Assemblies
Enclosures
Exchangers
Fittings
Flanges

View all products / services offered"
Ryan Herco Flow Solutions (HQ),888-201-3597,https://www.rhfs.com,"Burbank, CA 91504 | Locations",Distributor,"Distributor of flow and fluid handling equipment and supplies. Fluid handling equipment includes pumps, storage tanks, treatment systems, filters, heaters, mixers, pipes, tubes and valves. Flow measuring products such as indicators, switches, meters, sensors, level controllers and pressure and temperature gauges offered. Chamfering, deburring, flaring, pipe cutting and tubing tools and hose and tube fittings available. Also custom manufactures waste pumping stations, pump lift control panels, fume hoods and fabricated and neutralization tanks. Serves the water, wastewater, microelectronic, life science, metal and surface finishing, food, beverage, aquatic, life support, construction and specialty chemical industries. Stock items available. 24/7, pump repair, export and material identification services provided. Same day shipping.","Ryan Herco Products is a leading distributor of corrosion-resistant fluid flow products in the United States, employing over 300 people. Our regularly published Product Guide can be found on desks throughout the world helping people specify their fluid-flow requirements. With a growing number of service centers located throughout the U.S., we are a company keeping pace with the increasing needs of our customers.",,$250 Mil. and over,200-499  Employees,"Meters: Digital
Analyzers: Turbidity
Dissolved Oxygen Meters
Meters
Meters: Batch Control


Meters: Chemical
Meters: Conductivity
Meters: Dwyer
Meters: Electronic
Meters: Extech

View all Meters categories","All Products / Services

Treatment Equipment
Filters
Tanks
Pumps
Plant Equipment
Flowmeters
Scrubbers
Controls and Controllers
Lifts
Mixers


Stations
Water
Actuators
Adapters
Adhesives
Air Filtration Equipment & Supplies
Alarms
Analyzers
Angles
Anodizing Equipment

View all products / services offered"
Hello Bom,888-889-9811,https://www.hellobom.com/,"Boca Raton, FL 33433",Distributor,"Distributor of electronic components including semiconductors, resistors, diodes, capacitors, inductors, connectors, transistors and sensors. Amplifiers, anemometers, calibrators, comparators, converters, batteries and fuses are also offered. One click matching, and quick quotation turn-around offered.",,,Not Available,Not Available  Employees,"Meters: Digital
Ammeters


Meters","All Products / Services

Connectors
Inductors
Capacitors
Rectifiers and Diodes
Resistors
Accelerometers
Actuators
Adhesives
Ammeters
Amplifiers
Anemometers
Attenuators
Batteries


Blankets
Blocks
Boxes
Brackets
Bulbs
Buzzers
Calibrators
Calipers
Cameras
Chargers
Comparators
Converters
Cord and Cordage

View all products / services offered"
Carolina Scales Inc.,888-712-6773,https://www.carolinascales.com/index.html,"West Columbia, SC 29169",Distributor,"Distributor and servicer of industrial weighing and measuring equipment. Truck, railroad, and portable vehicle scales are available, as well as floor, bench, counting, used, crane and hanging, medical and health, retail, belt, conveyor, lift truck, and wheel loader scales. Also offers balances, weight indicators, load cells, weigh modules, junction boxes, remote displays, scoreboards, printers, scanners, labels, software, and traceability systems. Custom weighing systems and devices are also available. Capabilities include installation, calibration, inspection, certification, maintenance, repair, and rental services. Provides 24/7 emergency services. ISO/IEC 17025:2005 certified.","Carolina Scales Inc. was established in March 1950 to install and service mechanical truck scales throughout the southeast. During the 1970s and 1980s with the transition from mechanical to electronic devices, Carolina Scales grew from a small sales and service scale company to a quality supplier specializing in sales and the service of industrial weighing equipment, material batching and blending, data collection, calibration services, PLCs and weighing control systems, and one of the largest rental scale fleets.

Our goal is to combine industry product knowledge with superior customer service to help our customers keep pace with ever-changing technology. It is our responsibility to examine and understand our customers' requirements in order to make them more effective and competitive in their industry.",www.linkedin.com/company/2599007?trk=tyah,$1 - 4.9 Mil,10-49  Employees,"Meters: Digital
Meters
Meters: Custom


Meters: Electronic
Meters: Moisture","All Products / Services

Scales
Calibration Services
Calibrators
Maintenance and Repair Services
Cells
Analyzers
Animal Health Products
Balancers
Balances
Bank Equipment
Barcode Systems
Batchers


Benches
Blending Services
Boards
Boxes
Certification Services
Construction Equipment
Controls and Controllers
Conveyors
Corrosion Resistant Products
Counters
COVID-19 Response
Crane Parts

View all products / services offered"
Addison Electric,888-453-7761,https://www.addisonelectric.com/,"Addison, IL 60101",Distributor,"Stocking distributor of electrical drive equipment. Products include AC motors, AC soft start drives, AC vector drives, analog meters, basic AC frequency drives, brakes, circuit breakers, clutches, contactors, counters, DC drives, DC motors, digital meters, disconnects, enclosures, farm duty motors, fuse blocks and holders, fuses, hazardous and hostile duty motors, helical bevel gearbox, HVAC drives and motors and line reactors. Capabilities include systems integration. Electrical services and motor repair and rewind service are available. 24 hour telephone support services and same day shipping for emergency deliveries are available.","Addison Electric, which originally opened its doors in 1980, began as a company focused on the needs of the customer. Since then, little has changed in that respect. Commitment to the customer has been one of the main driving forces of our company. Believing in top notch support and a desire to stock the items you need has led our company to be one of the largest and most reliable in our industry. By offering 24-hour support and stocking over $4 million in products, we are able to minimize your downtime.

Systems Integration: We are here to help lead you into the future. Every year technology is advancing, and every year Addison Electric is keeping up with the times. Our engineers have been doing electrical upgrades for almost 40 years. From basic systems to more advanced servo systems, we can do it all. PLCs? Not a problem. Our engineers have thousands of hours of programming time under their belts. Need help with design? We can do that too. With experience in so many fields, we can help More... ease the design process by bringing up key electrical issues along the way. Addison Electric is here to help you.

 Distribution: Everything you need to keep up and running is at your fingertips. By providing a large array of products, we can minimize your downtime. From fuses, contactors, drives, motors and much more, we have it all. Also, all of our products are from names you know. These include ABB, Control Techniques, US Motors, Baldor, Emerson and Gould, to name a few. Not only do we carry the items, we stock them. Addison Electric has two local warehouses stocking over $4 million in products. This means a couple things to our customers. First, we will almost always have what you need ""Less Downtime. Second, we buy large quantities at a single time, meaning a better price point"" Less Cost to You.

 Service: Not only do we sell the products, we support them. No need to call the manufacturer and get the run around or wait weeks for service. If we sell it, we support it. Either over the phone, on-site or in our shop, Addison Electric can get you running. With over 100 years combined experience, a full panel shop and a full motor shop, we feel we can help you with almost anything, new or old. At Addison Electric, your downtime is our main concern. Less",www.linkedin.com/company/546975?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A546975%2Cidx%3A2-1-2%2CtarId%3A1452187539283%2Ctas%3AAddison%20Electric,$10 - 24.9 Mil,10-49  Employees,"Meters: Digital
Meters


Meters: Analog
Meters: Red Lion","All Products / Services

Motors
Controls and Controllers
Motor Controllers and Drives
Breakers
Contactors
Drives
Blocks
Brakes
Clutches
Coolers
Counters
Disconnects
Distribution Systems


Electrical Equipment
Encoders
Exchangers
Fans
Filters
Fuses
Gages
Gearheads and Gearboxes
Gears
Heaters
Holders
Inductors
Meters

View all products / services offered"
"Thermocouple Technology, LLC",844-226-6504,https://www.tteconline.com/,"Quakertown, PA 18951-1736",Manufacturer,"Manufacturer of a full-line of temperature measurement products including thermocouples, RTD's, thermowells, transmitters, thermocouple wire, indicators, controllers & accessories. Field cuttable, platinum RTD's, thermowells & RTD's, industrial, high temperature, OEM custom designs, multipoint assemblies, sanitary, surface, PTFE encapsulated & hand-held probes, head & DIN rail transmitters, single & multiplair wire, protection tubes, junction boxes, heads, connectors, indicators, controllers, scanners & NIST calibrations available.","Thermocouple Technology, LLC. (TTEC) is an experienced group of professionals dedicated to the mission of providing precision temperature measurement and control devices for industry. Our pledge is to meet or exceed the requirements of our customers, joining with them and using our engineering and design resources to ensure that key process temperatures are being measured in the most accurate, efficient and reliable way.

TTEC products are being utilized at this moment by world-class companies to help them achieve their goals through accurate monitoring and control of temperatures in the Power generation, chemical/petrochemical, pharmaceutical, pulp and paper, aircraft and aerospace and steel industries. TTEC products also play key roles in the following important industries: cement, food processing, gas transmission, waste treatment, OEM's, semiconductor, plastics, ceramics, brick and clay, ferrous and non-ferrous metals, heat treating, industrial gases, building products, tire and rubber, More... medical, energy management, automotive, military, and many others. Less",www.linkedin.com/company/thermocouple-technology-inc./about/,$1 - 4.9 Mil,10-49  Employees,"Meters: Digital
Meters


Meters: Panel
Meters: Thermocouple","All Products / Services

Thermocouples
Thermowells & Protection Tubes
Sensors / Detectors / Transducers
Electric Wire, Cable and Cable Assemblies
Transmitters
Adapters
Assemblies
Bayonets
Blocks
Calibration Services
Cold Chain Equipment
Connectors
Controls and Controllers


Corrosion Resistant Products
Covers
COVID-19 Response
Cutters and Cutting Machinery
Data Loggers
Fittings
Hardware
Heads
Indicators
Instruments
Kits
Lead
Leads

View all products / services offered"
"Ashcroft, Inc.",855-784-9762,https://www.ashcroft.com/,"Stratford, CT 06614",Manufacturer,"ISO 9001:2015, 14001:2015 and 17025:2017 certified. Manufacturer of pressure and temperature calibration, testing and measuring equipment. Products include digital/differential pressure gauges, transducers, transmitters, thermometers, thermowells, pressure/temperature switches, panel meters, test instruments, diaphragm seals, instrument isolators and mechanical gauge accessories. Types of thermometers include bimetal, gas actuated and digital thermometers. Test instruments such as digital pressure indicators, vacuum/pressure pumps and controllers, hydraulic testers and comparators are also offered. Serves the oil and gas, water and wastewater, chemical, power, HVAC/R, pharmaceutical, medical, food and beverage and semiconductor industries. RoHS and REACH compliant. CE certified. CSA approved. UL listed.","Ashcroft is a leading source of pressure and temperature instrument solutions for critical process and industrial/OEM (original equipment manufacturer) applications across the globe. Our extensive industry experience and customer-driven approach allow us to provide solutions that fully accommodate the needs of your critical processes and applications ensuring accurate and safe operations. 

Ashcroft maintains a worldwide network of manufacturing facilities, sales offices, local representatives and distributors. With pressure gauges, thermometers, transducers, transmitters, pressure and temperature switches, calibration equipment, recorders and other instruments to suit virtually every application, our trademarks Ashcroft®, Heise®, Rueger®, Stiko, Weksler® and Willy® have set the standard worldwide for accuracy, quality and dependability.

The continuing commitment of our people to this widespread network ensures that the service and application expertise you need to maintain More... safety and performance in your installation is always available when and where you need it. Less",www.linkedin.com/company/ashcroft-inc-/,$100 - 249.9 Mil,1000+  Employees,"Meters: Digital
Meters
Meters: Analog


Meters: Custom
Meters: Panel","All Products / Services

Sensors / Detectors / Transducers
Switches
Instruments
Thermometers
Gages
COVID-19 Response
Measuring Equipment
Medical Products and Hospital Equipment
Thermowells & Protection Tubes
Adapters
Calibrators
Comparators


Contacts
Controls and Controllers
Dampers
Dials
Fittings
Hydraulic Equipment
Indicators
Isolators
Laboratory Equipment
Manifolds
Medical Laboratory Consumable Supplies
Meters

View all products / services offered"
