Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
"Devar, Inc.",800-566-6822,https://www.devarinc.com/,"Bridgeport, CT 06605",Manufacturer,"An ISO 9001:2008 certified manufacturer of instrumentation products for monitoring, control & data acquisition. Products include alarms, annunciators, calibrators, controllers, data loggers & recorders, humidity transmitters, loop powered indicators, isolators, level & pressure transmitters, panel meters, pH transmitters, power supplies, pump controllers, signal converters, wireless telemetry systems, temperature transmitters & totalizers. Types of pump controllers include dual alternating pump controllers, pump controllers with 2 or 3 relays & lift station control systems. Services include designing, application engineering & customer services. Instrumentation products are UL & FM approved & available with 2-year warranty. Made in the USA.","Devar has been known as a manufacturer of quality instrumentation products for over 40 years. Throughout these years customer service has remained paramount, positioning Devar as an instrument supplier second to none in design, quality, reliability and service. Devar units interface with all standard and nonstandard process variable signals and are available in a variety of enclosures.

Devar instruments have exceeded the highest industry standards for many years. Our quality assurance program provides compliance to U.S. Nuclear Regulatory Commission criteria 10CFR50, 10CFR21 and MIL-I-45208A. Many of our products are FM Approved and UL Listed.",,Under $1 Mil,10-49  Employees,"Indicators: Digital
Indicators: Liquid Level
Indicators: Temperature
Indicators: Loop Powered
Indicators


Indicators: Current
Indicators: Depth
Indicators: Electric Current
Indicators: Electric, Temperature
Indicators: Electronic

View all Indicators categories","All Products / Services

Indicators
Controls and Controllers
Transmitters
Meters
Treatment Equipment
Isolators
Alarms
Amplifiers
Analyzers
Annunciators


Automation Systems
Boosters
Boxes
Calibrators
Charts
Cold Chain Equipment
Comparators
Conditioners
Converters
Data Acquisition Systems

View all products / services offered"
OneMonroe (Monroe Engineering Products),877-930-0001,https://monroeengineering.com/index.php,"Rochester Hills, MI 48309 | Locations",Manufacturer,"Manufacturer of industrial leveling mounts, leveling feet, levelers and leveling pads are with cabinetry, shelving, machinery and more. Engineered and manufactured to strict standards, our industrial leveling mounts, leveling feet and leveling pads can be used in every industrial product. Available in several materials including: plastic, stainless steel, zinc and steel. Styles including: glide rites, heavy duty leveling mounts, heavy duty leveling feet, level pads, level-it studs, mighty mounts, polymounts, snap locks, threaded tubes and much more.","OneMonroe is a global industrial manufacturing and distribution company offering a broad product line in addition to a customer specific products. We manufacturer and distribute hardware, aerospace and seal components.

OneMonroe is proud of our ability to manufacturer domestically and globally. OneMonroe's quality system has been certified to meet ISO 9001:2015 and AS 9100D standards.

We continually expand our standard product offering based on the needs of our customers and have expanded our contract manufacturing capabilities to offer more custom solutions than ever before. Backed by a rock-solid quality system our goal is to help you with your ""problem of the day"". Please let us know how we can help!",www.linkedin.com/company/monroe-engineering,Not Available,200-499  Employees,"Indicators: Digital
Indicators
Indicators: Liquid Level


Indicators: Position
Indicators: Position, Digital
Indicators: Water","All Products / Services

Hinges
Manufacturing Services
Pins
Magnets
Plungers
Clamps
Knobs
Gaskets
Handles, Pulls and Levers
Rings
Wheels
Casters


Electric Wire, Cable and Cable Assemblies
Mechanical Wire, Cable and Rope
Hooks
Lifters
Pads
Feet
Inventory Management Services
Rubber
Seals
Catches
Extrusion Services
Harnesses

View all products / services offered"
"Keller America, Inc.",888-466-1079,https://www.kelleramerica.com/,"Newport News, VA 23606",Manufacturer,"Manufacturer of OEM, level, pressure and temperature instruments and components such as sensors, transmitters, transducers, loggers and gages. Optional accessories such as assemblies, fittings, hangers, enclosures and protectors are available. Serves the oil and gas reservoir, migrating marine mammals, medical devices and commercial aircraft industries.","Keller is a world leading manufacturer of pressure measurement instrumentation. From pressure sensors to completed transmitters, autonomous level loggers, and digital pressure gauges, Keller instruments provide proven, reliable, high accuracy solutions for applications in aerospace, automotive, oil & gas, defense, water, wastewater, groundwater, food and beverage, oceanographic, pharmaceutical, and medical industries. 

Keller America is the North American subsidiary of KELLER AG für Druckmesstechnik, and is tasked with providing local market sales on support for all Keller products. Keller America also houses a state of the art manufacturing facility for production of several versatile level and pressure transmitters, built to your specifications in only 3 short business days.",www.linkedin.com/company/keller-america-inc.?trk=biz-companies-cyf,$5 - 9.9 Mil,10-49  Employees,"Indicators: Digital
Indicators
Indicators: Aircraft
Indicators: Gas
Indicators: Liquid


Indicators: Liquid Level
Indicators: Loop Powered
Indicators: Pressure
Indicators: Pressure, Digital
Indicators: Tank

View all Indicators categories","All Products / Services

Sensors / Detectors / Transducers
Gages
Transmitters
Calibrators
Cold Chain Equipment
COVID-19 Response
Data Collection Systems
Data Loggers
Indicators
Instruments


Intrinsically Safe Products
Logging Equipment
Measuring Equipment
Medical Components
Medical Products and Hospital Equipment
Thermometers
Tier 2 Medical Mfg. Supplies, Materials, Components & Services
Transponders
Vaccine Cold Chain Supplies and Logistics"
"Motion Industries, Inc.",800-526-9328,https://www.motionindustries.com/,"Birmingham, AL 35210 | Locations",Distributor,"Distributor of abrasives, adhesives, blow air guns and brushes. Products include ball screw actuators, adapters, batteries, anchors, adjusters, hydraulic and bladder accumulators. Aprons, V-belts, arms, bearings, augers, bits and air blowers are also offered. Repair services are available.  Serves automotive, chemical, food, plastic, beverage, pulp, paper, oil and gas industries.",,,$250 Mil. and over,1000+  Employees,"Indicators: Digital
Indicators
Indicators: Dew Point
Indicators: Dial
Indicators: Dial, Test


Indicators: Flow
Indicators: Liquid
Indicators: Liquid Level
Indicators: Starrett
Indicators: Test

View all Indicators categories","All Products / Services

Abrasive Compounds / Media
Absorbers
Accumulator Parts
Accumulators
Actuators
Adapters
Adhesives
Air Filtration Equipment & Supplies
Aligners
Aluminum


Anchors
Anti-Seize
Aprons
Arbors
Arms
Assemblies
Attachments
Augers
Axles
Barrels and Drums

View all products / services offered"
WATTCO,877-276-3831,https://www.wattco.com/,"Hallandale, FL 33009",Manufacturer,"Manufacturer of standard and custom electric heaters and heating elements. Types of heaters include tubular heaters, finned tubular heaters, flanged heaters, boiler heaters, screw plug heaters, in line heaters, circulation heaters, over the side heaters, immersion heaters, strip heaters, cartridge heaters, mica heaters and ceramic band heaters, silicone rubber heaters, duct heaters, infrared heaters radiant heaters and inline heaters. Thermowells, wire, thermocouples, thermostats and control panels are also available. Various applications include drying, curing, sterilization, roll heating, degreasing, softening resins, heat treating, air drying, air pre-heating, multizone reheating and annealing. CSA and UL approved.","Immersion Heaters such as flanged heaters, circulation heaters and inline heaters are a sample of the full product range WATTCO manufactures for industries such as oil and gas, chemical, defense and HVAC.

We offer quotes in 60 minutes and guarantee our prices to be the lowest in the industry.",,$50 - 99.9 Mil,50-99  Employees,"Indicators: Digital
Indicators: Electric, Temperature
Indicators: Temperature


Indicators: Temperature (Irreversible)
Indicators: Time/Temperature
Instruments: Recording & Indicating","All Products / Services

Heaters
Panels
Elements
Analyzers
Autoclaves
Blowers
Boards
Boilers
Bridges
Burners
Cafeteria Equipment
Ceilings


Cement
Ceramic Products
Coils
Controls and Controllers
Convectors
Coolers
COVID-19 Response
Dampers
Displays
Electric Wire, Cable and Cable Assemblies
Enclosures
Exchangers

View all products / services offered"
Carolina Scales Inc.,888-712-6773,https://www.carolinascales.com/index.html,"West Columbia, SC 29169",Distributor,"Distributor and servicer of industrial weighing and measuring equipment. Truck, railroad, and portable vehicle scales are available, as well as floor, bench, counting, used, crane and hanging, medical and health, retail, belt, conveyor, lift truck, and wheel loader scales. Also offers balances, weight indicators, load cells, weigh modules, junction boxes, remote displays, scoreboards, printers, scanners, labels, software, and traceability systems. Custom weighing systems and devices are also available. Capabilities include installation, calibration, inspection, certification, maintenance, repair, and rental services. Provides 24/7 emergency services. ISO/IEC 17025:2005 certified.","Carolina Scales Inc. was established in March 1950 to install and service mechanical truck scales throughout the southeast. During the 1970s and 1980s with the transition from mechanical to electronic devices, Carolina Scales grew from a small sales and service scale company to a quality supplier specializing in sales and the service of industrial weighing equipment, material batching and blending, data collection, calibration services, PLCs and weighing control systems, and one of the largest rental scale fleets.

Our goal is to combine industry product knowledge with superior customer service to help our customers keep pace with ever-changing technology. It is our responsibility to examine and understand our customers' requirements in order to make them more effective and competitive in their industry.",www.linkedin.com/company/2599007?trk=tyah,$1 - 4.9 Mil,10-49  Employees,"Indicators: Digital
Indicators
Indicators: Dial


Indicators: LED
Instruments: Recording & Indicating","All Products / Services

Scales
Calibration Services
Calibrators
Maintenance and Repair Services
Cells
Analyzers
Animal Health Products
Balancers
Balances
Bank Equipment
Barcode Systems
Batchers


Benches
Blending Services
Boards
Boxes
Certification Services
Construction Equipment
Controls and Controllers
Conveyors
Corrosion Resistant Products
Counters
COVID-19 Response
Crane Parts

View all products / services offered"
"Thermocouple Technology, LLC",844-226-6504,https://www.tteconline.com/,"Quakertown, PA 18951-1736",Manufacturer,"Manufacturer of a full-line of temperature measurement products including thermocouples, RTD's, thermowells, transmitters, thermocouple wire, indicators, controllers & accessories. Field cuttable, platinum RTD's, thermowells & RTD's, industrial, high temperature, OEM custom designs, multipoint assemblies, sanitary, surface, PTFE encapsulated & hand-held probes, head & DIN rail transmitters, single & multiplair wire, protection tubes, junction boxes, heads, connectors, indicators, controllers, scanners & NIST calibrations available.","Thermocouple Technology, LLC. (TTEC) is an experienced group of professionals dedicated to the mission of providing precision temperature measurement and control devices for industry. Our pledge is to meet or exceed the requirements of our customers, joining with them and using our engineering and design resources to ensure that key process temperatures are being measured in the most accurate, efficient and reliable way.

TTEC products are being utilized at this moment by world-class companies to help them achieve their goals through accurate monitoring and control of temperatures in the Power generation, chemical/petrochemical, pharmaceutical, pulp and paper, aircraft and aerospace and steel industries. TTEC products also play key roles in the following important industries: cement, food processing, gas transmission, waste treatment, OEM's, semiconductor, plastics, ceramics, brick and clay, ferrous and non-ferrous metals, heat treating, industrial gases, building products, tire and rubber, More... medical, energy management, automotive, military, and many others. Less",www.linkedin.com/company/thermocouple-technology-inc./about/,$1 - 4.9 Mil,10-49  Employees,"Indicators: Digital
Indicators
Indicators: Aircraft
Indicators: Battery Discharge


Indicators: Electronic
Indicators: Loop Powered
Indicators: Temperature
RTD Probe & Indicator Assembly: Battery Powered","All Products / Services

Thermocouples
Thermowells & Protection Tubes
Sensors / Detectors / Transducers
Electric Wire, Cable and Cable Assemblies
Transmitters
Adapters
Assemblies
Bayonets
Blocks
Calibration Services
Cold Chain Equipment


Connectors
Controls and Controllers
Corrosion Resistant Products
Covers
COVID-19 Response
Cutters and Cutting Machinery
Data Loggers
Fittings
Hardware
Heads
Indicators

View all products / services offered"
"Ashcroft, Inc.",855-784-9762,https://www.ashcroft.com/,"Stratford, CT 06614",Manufacturer,"ISO 9001:2015, 14001:2015 and 17025:2017 certified. Manufacturer of pressure and temperature calibration, testing and measuring equipment. Products include digital/differential pressure gauges, transducers, transmitters, thermometers, thermowells, pressure/temperature switches, panel meters, test instruments, diaphragm seals, instrument isolators and mechanical gauge accessories. Types of thermometers include bimetal, gas actuated and digital thermometers. Test instruments such as digital pressure indicators, vacuum/pressure pumps and controllers, hydraulic testers and comparators are also offered. Serves the oil and gas, water and wastewater, chemical, power, HVAC/R, pharmaceutical, medical, food and beverage and semiconductor industries. RoHS and REACH compliant. CE certified. CSA approved. UL listed.","Ashcroft is a leading source of pressure and temperature instrument solutions for critical process and industrial/OEM (original equipment manufacturer) applications across the globe. Our extensive industry experience and customer-driven approach allow us to provide solutions that fully accommodate the needs of your critical processes and applications ensuring accurate and safe operations. 

Ashcroft maintains a worldwide network of manufacturing facilities, sales offices, local representatives and distributors. With pressure gauges, thermometers, transducers, transmitters, pressure and temperature switches, calibration equipment, recorders and other instruments to suit virtually every application, our trademarks Ashcroft®, Heise®, Rueger®, Stiko, Weksler® and Willy® have set the standard worldwide for accuracy, quality and dependability.

The continuing commitment of our people to this widespread network ensures that the service and application expertise you need to maintain More... safety and performance in your installation is always available when and where you need it. Less",www.linkedin.com/company/ashcroft-inc-/,$100 - 249.9 Mil,1000+  Employees,"Indicators: Digital
Indicators
Indicators: Electronic
Indicators: Gas
Indicators: Pressure


Indicators: Pressure, Digital
Indicators: Temperature
Indicators: Test
Instruments: Flow Recording & Indicating
Instruments: Recording & Indicating","All Products / Services

Sensors / Detectors / Transducers
Switches
Instruments
Thermometers
Gages
COVID-19 Response
Measuring Equipment
Medical Products and Hospital Equipment
Thermowells & Protection Tubes
Adapters


Calibrators
Comparators
Contacts
Controls and Controllers
Dampers
Dials
Fittings
Hydraulic Equipment
Indicators
Isolators

View all products / services offered"
"Albertus Energy, Inc.",866-979-6655,http://www.albertusenergy.com/,"Malvern, PA 19355 | Locations",Service Company,"Distribution and service of burners, refractories, heat exchangers and thermal accessories. Specialty contractor and systems integrator for combustion and thermal systems. Custom manufacturer of thermal products, refractory lined vessels, precast shapes, packaged fuel trains and burner management systems. Integration services for combustion and thermal systems including furnaces, kilns, grate or boiler systems, fixed hearth and rotary systems, fume and liquid incinerators, thermal, regenerative and catalytic oxidizers, fluidized bed reactors, ovens, heaters and melters.",,,$5 - 9.9 Mil,50-99  Employees,"Indicators: Digital
Indicators


Indicators: Electronic
Instruments: Recording & Indicating","All Products / Services

Controls and Controllers
Flowmeters
Instruments
Meters
Recorders
Transmitters
Valves
Refractories
Burners
Actuators
Adapters
Analyzers
Anchors


Blankets
Blocks
Blowers
Boards
Boilers
Brick
Chambers
Coating Services
Coatings
Combustors
Communication Systems
Contractors
COVID-19 Response

View all products / services offered"
Strainsert Co.,610-825-3310,https://www.strainsert.com/,"West Conshohocken, PA 19428",Manufacturer,"Manufacturer of patented transducer designs made possible by internal gaging process and engineering and custom capabilities. Load cells and transducers are designed to be responsive, accurate, efficient force measurement solutions for research, testing, weighing and control applications. In-house design and production allows rapid prototyping, soldering in accordance with industry standards and design flexibility, while NIST traceable calibration facility provides the capability for special proof/overload testing as well as a final force calibration on all products. Products are used continually in Aerospace, Automotive, Marine and many other industrial applications. Features include accuracy in harsh conditions, all components internal to host material, survivable in harsh field applications, durable for rough installation/removal, wide operational temperature ranges, hydrostatic/submersible applications available. AS9100 (including ISO 9001) certified.","Since 1960, Strainsert has pioneered the force transducer industry. Our patented transducer designs are made possible by innovative internal gaging processes and an unsurpassed dedication to engineering and customer requirements. For a product overview description, see below.

Today we continue to champion the industry with our technical, sales, and manufacturing teams. Our goal is to provide the most responsive, accurate, efficient force measurement solutions for research, testing, weighing, and control applications.

Further, we understand the importance of each one of our customer's applications and hold quality manufacturing as our highest priority. Our in-house design and production allow rapid prototyping, soldering in accordance with industry standards, and design flexibility, while our NIST traceable calibration facility provides the capability for special proof/overload testing as well as a final force calibration on all products. Finally, Strainsert offers a two-year warranty on More... all Strainsert manufactured products, twice the typical industry standard.

 Our products are used continually in aerospace, automotive, marine, and many other industrial applications. The applications range from simple force measurement solutions up to such cutting-edge products as the Mars Exploration Rover Mission for NASA, the space shuttle launching pad, and hydrostatic or submersible vehicles used deep under the ocean's surface.

 We look forward to hearing from you and continuing to provide accurate, rugged, and dependable force transducers. Less",www.linkedin.com/company/strainsert-company/,$5 - 9.9 Mil,10-49  Employees,"Indicators: Digital
Crane Load Indicators
Indicators
Indicators: Load


Indicators: Strain Gauge
Indicators: Tension
Indicators: Transducer","All Products / Services

Cells
Bolts
Pins
Calibration Services
Maintenance and Repair Services
Measuring Equipment
Sensors / Detectors / Transducers
Amplifiers
Boxes
Calibrators
Clevises


Cold Chain Equipment
Conditioners
Data Acquisition Systems
Data Loggers
Displays
Dynamometers
Fasteners
Gages
Indicators
Instruments
LEDs

View all products / services offered"
