Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
"Safety Technology International, Inc. (STI)",855-857-1741,https://www.sti-usa.com/,"Waterford, MI 48327",Manufacturer,"Manufactures cages, covers, alarms and custom buttons that help protect buildings against vandalism, false fire alarms, theft of fire extinguishers and other equipment and misuse of emergency doors. Access control buttons, cabinets, mounting poles. Patented Stopper II® cover helps stop false fire alarms in schools, hospitals and public buildings. Protective covers and wire cages for control panels, strobe horn signals, smoke detectors, clocks, bells, keypads and fluorescent lights. Many UL, ULC, CUL, ADA and FM approved.","About Safety Technology International (STI)

STI is a family owned and operated business that began over forty years ago with Jack Taylor's invention of the StopperÂ® Pull Station Protector. Safety Technology now markets hundreds of unique products throughout the world to prevent false fire alarms and the theft and vandalism of the things that protect us all, such as smoke detectors, pull stations, horn/strobes, exit signs, and fire extinguishers.

With offices in Waterford, Michigan, Worcestershire, England, and Waterford, Ireland, the STI team has worked hard to continue the work that Jack Taylor started. STI's first product came directly at the request of a customer, Garnett Hegeman: a high school principal in Detroit, Michigan who had a problem with false fire alarms. Most new products throughout the years are a direct result of these types of requests. If you have a false fire alarm, theft, vandalism or other problem, STI invites you to contact them with the challenge of solving it. More... Less",www.linkedin.com/company/safety-technology-international-inc-/,$5 - 9.9 Mil,50-99  Employees,"Alarms
Alarms: Audible
Alarms: Fire
Alarm Systems
Alarms: Burglar


Alarms: Construction Equipment
Alarms: Electronic
Alarms: Exit
Alarms: Home Security
Alarms: Industrial Process

View all Alarms categories","All Products / Services

Safety Equipment
Switches
Cabinets
Enclosures
Alarms
Lights
Clocks
Extinguishers
Horns
Protectors


Sensors / Detectors / Transducers
Signs
Access Equipment
Automation Systems
Boxes
Brackets
Buttons
CCTV Equipment
Chimes
Controls and Controllers

View all products / services offered"
"Floyd Bell, Inc.",844-828-9076,https://www.floydbell.com/,"Columbus, OH 43085",Manufacturer,"ISO 9001:2000 certified custom manufacturer of piezoelectric audible alarms. Capabilities include engineering design, private labeling & consulting & evaluating environmental conditions, available power sources, sound level, type of sound, mounting methods, electrical connections, optimal components & functionality. Applications include automotive, electrical, electronic instruments, warning, safety & security systems, personal protection, agricultural, vehicles, aircrafts, cranes, escalators, elevators, measurement instruments, game shops, golf grounds, hospitals, material handling, marine, military & telephonic & communication systems. Made in USA. RoHS compliant. Two years warranty.","On the e-commerce area of our website, you will find a wealth of information about our products and services, as well as an electronic version of our catalog and the ability to purchase our products online. Floyd Bell manufactures and distributes some of the world's most technologically advanced, highest-quality, durable and maintenance-free piezoelectric audible alarms. Piezo alarms are a viable and often superior alternative to electromechanical alarm devices, which require more power to operate, are much larger, have shorter useful lives and often present significant maintenance problems. 

Our alarms are typically used as audible alerts in a wide variety of situations. Scarcely a day goes by without hearing one of our alarms, commonly found in automobiles, airport metal detectors, elevators, school buses, french fryers, fork lifts and golf carts, to name just a few. Since 1972, Floyd Bell has provided millions of audible alarms to meet the needs of a highly diverse customer base, from More... Fortune 500 OEMs to occasional alarms users. From consultative design through just-in-time delivery, Floyd Bell has the capability of handling all of your audible alarm needs. We not only have off-the-shelf production products, many of which are available on the e-commerce area of our website, we are also a leader in custom-built audible alarms to meet any need, with an expert engineering staff at your disposal to assist you in all aspects of your project. 

 All of Floyd Bell's alarms are made in the USA. Most of our competitors import alarms that they in turn sell to their customers. We believe that our approach produces alarms of superior quality, with shorter, more predictable delivery times, no risk of currency fluctuations, and privity with the manufacturer for seamless responsibility to our customers. Less",,$5 - 9.9 Mil,200-499  Employees,"Alarms
Alarms: Audible
Piezo Alarms
Alarm Systems
Alarms: Back-Up


Alarms: Burglar
Alarms: Electronic
Alarms: Fire
Alarms: Fume, Smoke & Vapor
Alarms: High Temperature

View all Alarms categories","All Products / Services

Alarms
Buzzers
Indicators
LEDs
Bells
Lights
Signals
Sirens
Annunciators
Appliances


Assemblies
Batteries
Chimes
Communication Systems
Consulting Services
Controls and Controllers
Corrosion Resistant Products
Crystals
Disaster Preparedness Supplies
Electronic Components

View all products / services offered"
"Compressed Air Systems, Inc.",855-537-0577,https://www.compressedairsystems.com/,"Tampa, FL 33619-2658 | Locations",Distributor,"Distributor of compressed air systems. Various products include abrasives, adapters, air guns, analyzers, beads, bearings, blowers, air compressors, controllers, coolers, couplings, detectors, drains, dryers and exhausters. Fittings, hose, horns, indicators, kits, lights, nipples, monitors, nozzles, plugs, pumps, pump parts, receivers, regulators, separators and silencers are also available. Capabilities include inspection, preventative maintenance, installation and engineering.","We offer many products, specializing in Air Compressor, Blower and Vacuum Systems. Our sales department is backed by our own in-house service, installation and rental departments. We sell, service and rent all types of compressors, pneumatic tools and equipment. Whether it's pumps or tools, our complete repair facility insures quick turn-around for your convenience. We service all makes and models and provide Consulting and Engineering services for new Compressed Air and Vacuum Systems, as well as improving existing systems.",www.linkedin.com/company/compressed-air-systems-inc-,Not Available,50-99  Employees,"Alarms
Alarm Systems
Alarm Systems: Monitoring
Alarms: Air Supply


Alarms: Audible
Alarms: Carbon Monoxide
Alarms: Safety","All Products / Services

Compressors
Chillers
Pumps
Filters
Compressor Parts
Sensors / Detectors / Transducers
Generators
Oils
Blowers
Lubricants
Openers


Pipes
Solid Film Lubricants
Air Filtration Equipment & Supplies
COVID-19 Response
Regulators
Tanks
Abrasive Blast Equipment
Dryers
Adapters
Brewers
Bushings

View all products / services offered"
"Xylem, Inc.",855-280-7822,https://www.xylem.com/en-us,"Rye Brook, NY 10573 | Locations",Manufacturer,"Manufacturer of submersible, end suction, vertical, horizontal and solid handling pumps for water treatment application. Types include submersible column, slim line, dewatering and magnetically coupled pump. Portable generators, heat exchangers, hose, hydro turbines, lights, mixers, ejectors, controls, monitoring systems and light towers are also available. Accessories such as spare parts kits, engine service kits, hoses, pipe, fittings, controllers, pump enclosures and temporary road ramps provided. 24/7 field, design, installation, rental, on-site, water consulting and training services offered. Serves the agriculture, aquaculture, water park, construction, energy and power industries.","With home offices on two continents, 32 U.S. rental branches, and a network of more than 400 distributor locations worldwide, Godwin Pumps maintains a fleet of 6,000 portable pumps and 3,200 pieces of related equipment for use in construction dewatering, mining, drinking water supply and water/wastewater bypasses. We manufacture, rent and sell all our products, including the fully automatic self-priming Godwin Dri-Prime pump and accessories for immediate rental or sale.",,$250 Mil. and over,500-999  Employees,"Alarms
Alarms: Audible
Alarms: Level
Alarms: Liquid Level, Tank


Alarms: Low & High Water
Alarms: Tank
Alarms: Visual","All Products / Services

Pumps
Purifiers
Hose
Disinfection Systems
Hurricane Response
Infrastructure Protection Supplies
Maintenance and Repair Services
Pump Parts
Pumping Systems
Rental and Leasing Services
Stations


Actuators
Aerators
Alarms
Analyzers
Blowers
Boosters
Breakers
Cartridges
Changers
Circulators
Clarifiers

View all products / services offered"
Control Instruments Corp.,844-339-6766,http://www.controlinstruments.com,"Fairfield, NJ 07004-3295",Manufacturer,"Manufacturer of analyzers, flame ionization detectors and gas sensors. Flammability, British thermal unit (BTU) and infrared process analyzers are offered. Accessories such as calibration equipment, fuel changeover system and touch screen operator interface are available. Serves the chemical and pharmaceutical process, coil coating, gas, oil, pollution control, process oven, dryer, pulp mill, semiconductor, renewable energy, and wastewater treatment industries.","Since 1969 Control Instruments Corporation has dedicated their expertise to the industrial community, providing safe and efficient environments for companies worldwide. We engineer and manufacture high quality solutions to both simple and complex gas detection problems, leaving your facility, employees, and environment safe and secure. Our highly successful gas detection systems are the industry standard for lower flammable limit (LFL) and total hydrocarbon monitoring and are installed and used under the most demanding conditions, from printing, coating, and flexible packaging processes to semiconductor, pharmaceutical and chemical manufacturers. Control Instruments Corporation's family of gas detection products includes continuous process analyzers, flammable gas analyzers, BTU heating value analyzers, hydrocarbon detectors, oxygen, hydrogen sulfide and carbon monoxide monitors and remote access and control devices for all of your gas detection and solvent vapor monitoring needs.",www.linkedin.com/company/control-instruments-corporation,$10 - 24.9 Mil,10-49  Employees,"Alarms
Alarm Systems
Alarms: Carbon Monoxide
Alarms: Combustible Gas
Alarms: Fume, Smoke & Vapor


Alarms: Gas
Alarms: Hydrocarbon
Alarms: Hydrogen
Alarms: Industrial Process
Alarms: Oxygen","All Products / Services

Sensors / Detectors / Transducers
Analyzers
Instruments
Alarms
Calorimeters
Controls and Controllers
COVID-19 Response


Indicators
Measuring Equipment
Monitoring Systems
Monitors
Safety Equipment
Testers"
Endress+Hauser,888-684-7098,https://www.endress.com/en,"Greenwood, IN 46143 | Locations",Manufacturer,"ISO 9001:2015/IEC17025 certified manufacturer of measuring instruments, software and system components. Batch, flow, level, gas, pressure and temperature measurement instruments, thermometers, flowmeters, thermowells, analyzers, sensors, monitors, transmitters, photometers and flow cells are available. Terminal, data, document, energy, measuring and calibration software is offered. Systems products such as data managers and loggers, barriers, gateways, modems, surge arresters and handheld communicators are available. Capabilities include engineering, commissioning, training, repairing, calibrating and maintenance. Serves the oil and gas, marine, power, energy, water and wastewater, food and beverage, chemical and utilities industries.","Endress+Hauser first began operations in the U.S in 1970. We manufacture flow, level, pressure, temperature and analytical products, and have a complete network of Sales and Service locations to support your products wherever they are installed. To support your project needs, we have engineering and project management services available to you. Let us be your complete process automation solution.

More than 90% of all instruments ordered and shipped within the U.S. are manufactured in the U.S. What does this mean for you? When you are experiencing downtime in production because you need a new product, we will be there to get you back up and running  quickly. 

Endress+Hauser can also help get your process started and provide premium service and training along the way. From commissioning and calibration services, to hands-on training in our PTU® (Process Training Unit), our unique offering will help you gain efficiency, increase manufacturing quality and maximize plant availability.

Now you More... can order low-cost, easy-to-configure Endress+Hauser products online with E-direct! Less",www.linkedin.com/company/endress-hauser-group,$250 Mil. and over,500-999  Employees,"Alarms
Alarm Systems


Alarms: Level","All Products / Services

Flowmeters
Calibration Services
Sensors / Detectors / Transducers
Switches
Transmitters
Adapters
Alarms
Analyzers
Arresters
Assemblies
Assembly Machinery
Assistants
Automation Systems


Barriers
Buffers
Calculators
Calibrators
Cells
Cleaning Equipment
Cold Chain Equipment
Communication Systems
Computers
Containers
Controls and Controllers
Data Loggers
Displays

View all products / services offered"
Hersey Clutch Co.,866-980-3969,https://www.herseyclutch.com/,"Orleans, MA 02653",Manufacturer,"Manufacturer of standard and custom power transmission equipment. Products include clutches, rigid shaft couplings, friction torque limiters, alarms and data collecting systems. Capabilities include coating, cutting, deburring, designing, engineering, lathe work, machining, powder coating, research and development, sawing, fabrication, stamping, testing, tumbling and welding. Applications include conveyors, packaging, ovens, washing machines, door transmissions, medical devices, labeling machines, food service, building products and manufacturing. On-time delivery.",,,$1 - 4.9 Mil,1-9  Employees,Alarms,"All Products / Services

Clutches
Couplers and Couplings
Cutting Services
Alarms
Connectors
Controls and Controllers


Data Collection Systems
Limiters
Military Equipment
Monitors
Signals
Tensioners"
"Pepperl + Fuchs, Inc.",855-287-5183,https://www.pepperl-fuchs.com,"Twinsburg, OH 44087",Manufacturer,"Manufacturer of proximity, photoelectric, vision, ultrasonic, distance, inclination, acceleration and vibration sensors. Through-beam, retro reflective, diffuse mode, fiber optic, slot or slot grid, color, inductive, capacitive and magnetic field sensors are available. Explosion protection products such as intrinsic safety barriers, signal conditioners, remote I/O systems, power supplies, purge or pressurization systems and surge protection are provided. Gateways, adapters, temperature converters, control units, control stations, monitors, interfaces, tablets, microphones, barcode or radio frequency identification (RFID) scanners and portable thermal imaging cameras are also offered. Serves the machine or plant engineering, chemical, pharmaceutical, packaging, material handling, renewable energy and electronics industries.","Automation is our world. Perfect application solutions are our goal.

In 1945, Walter Pepperl and Ludwig Fuchs founded a small radio workshop in Mannheim, Germany, based on the principles of inventiveness, entrepreneurial foresight, and self-reliance. The experience they acquired was transformed into new ideas, and they continued to enjoy developing products for customers. The eventual result was the invention of the proximity switch. This innovation represented the starting point of the company's success story.

Today, Pepperl+Fuchs is known by customers around the world as a pioneer and an innovator in electrical explosion protection and sensor technology. Our main focus is always on your individual requirements: With a passion for automation and groundbreaking technology, we are committed to working in partnership with you now and in the future. We understand the demands of your markets, developing specific solutions, and integrating them into your processes.",www.linkedin.com/company/pepperl-fuchs-group/,$250 Mil. and over,1000+  Employees,"Alarms


Alarms: Audible","All Products / Services

Sensors / Detectors / Transducers
Safety Equipment
Encoders
Identification Products
Identifiers
Computers
Enclosures
Communication Systems
Electric Wire, Cable and Cable Assemblies
Interfaces
Barriers
Modules
Panels
Scanners / Readers


Software
Suppressors
Switches
Tags
Activators
Actuators
Adapters
Alarms
Amplifiers
Bases
Boards
Boxes
Brackets
Bulbs

View all products / services offered"
"Precision Finishing, Inc.",215-257-6862,https://www.precisionfinishinginc.com,"Quakertown, PA 18951 | Locations",Distributor,"ISO 9001:2015 certified. One-stop shop for metal finishing industry. Supplying & servicing the mass finishing industry by offering equipment & media, free sample processing, manufacturing of vibratory compounds & the operation of a mass finishing contract shop. Manufacturer of aqueous finishing compounds used in metal finishing processes. Equipment distribution includes vibratory finishing & abrasive finishing equipment, supplies & services. Surface preparation services include surface finishing & conditioning including deburring, burnishing & blast cleaning.","Family owned and operated

3 generations of finishing innovation

For more than 60 years, we have been working with the world's largest manufacturers, major suppliers and local businesses to further the quality and technology of the finishing discipline.

You do it

Our team of sales engineers will support you in current projects and processes, with training, process improvement, setup and diagnosis as well as equipment maintenance and service.

We do it

We become your strategic partner and our shop becomes your shop. Our subcontracting team operates under strict quality programs, meeting ISO 9001-2015, PPAP, MIL, SAE, AMS and FFL standards.

Our 12 ""fundamentals"" are daily practices that create a culture built on principals, respect and honesty. Living these fundamentals improves our communication with one another, holds us accountable for the way we act and improves the quality of life for ourselves and those around us.

1. The process is the process, start to finish

2. People

3. Provide amazing More... service 

 4. One planet, one life, one chance 

 5. Don't forget to say please and thank you 

 6. Everyone can take the trash out 

 7. Blame is not the solution 

 8. Own your performance 

 9. Leave the ""abrasive"" for blasting 

 10. Principle over profit 

 11. Embrace learning and innovation 

 12. Finish it Less",www.linkedin.com/company/precision-finishing/,$10 - 24.9 Mil,50-99  Employees,"Alarms


Alarms: Carbon Monoxide","All Products / Services

Blasting and Peening Services
Abrasive Blast Equipment
Tumbling Services
Polishing Services
Finishing Services
Alumina (Aluminum Oxide)
Chemicals
Abrasive Compounds / Media
Deburring / Deflashing Services
Polishers
Tumblers
Adapters
Agents
Air Filtration Equipment & Supplies


Alarms
Aluminum
Automation Systems
Bags
Balls
Barrels and Drums
Batchers
Beads
Bowls
Burnishers
Burnishing Services
Cabinet Body Components
Cabinets
Cannons

View all products / services offered"
North American Signal Co.,855-744-8624,https://www.nasig.com/index.html,"Wheeling, IL 60090",Manufacturer,"Manufacturer of automotive & industrial warning lights including light bars, directional warning arrows, electronic sirens & speakers, vehicle mounting hardware, audio & visual alarms & displays. Lights include battery powered stand alone warning lights, strobe lights, revolving warning lights, LED warning lights, flashing & steady burning lights & UL listed lights. UL listed lights include strobe lights, hazardous location lights, rotating lights & incandescent flashing & non-flashing lights. Lights have amber, clear, blue, green, red & violet color domes. Replacement parts & accessories are also available including connectors, sealed-beam bulbs, domes, dome clamp rings, strobe bulbs, lenses, magnets, brackets & flashers. Warning lights are available with variety of mounting including bolt permanent mounting, magnetic mounting & pipe mounting. Flasher kits with control box for dash & wiring are also available.","North American Signal Company is an American manufacturer of automotive and industrial warning lights. Based in Wheeling, IL, North American Signal Company markets its products through distribution to all 50 states and around the world.",www.linkedin.com/company/north-american-signal-company,$10 - 24.9 Mil,10-49  Employees,"Alarms
Alarm Signals
Alarm Systems
Alarms: Audible
Alarms: Back-Up


Alarms: Electronic
Alarms: Fire
Alarms: Industrial Process
Alarms: Signal
Alarms: Visual

View all Alarms categories","All Products / Services

Lights
Emergency Power & Lighting Supplies
Hurricane Response
Alarms
Aluminum
Amplifiers
Appliances
Arrows
Attachments
Automotive Parts


Bases
Batons
Boards
Boxes
Brackets
Bulbs
Caps
Circuits
Cones
Connectors

View all products / services offered"
