Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
Spectec,800-735-9373,http://www.spectecsensors.com,"Emigrant, MT 59027",Custom Manufacturer,"ISO 9001:2008 certified custom manufacturer and design engineering of standard & custom magnetic speed sensors, hall effect sensors and RF flowmeter pickups and related preamps, signal conditioners & frequency to current or voltage converters. Sensor types: non-contact, passive, active, zero-speed, bi-directional, quadrature, under/over-speed, temperature and speed, & hermetically sealed. Intrinsically safe and ATEX sensors. Standard & extreme environments (-265 degrees to 550 degrees C), oil, brine, hazardous conditions. Applications: process control, automation, truck, automotive, diesel engines, marine, locomotive, construction equipment, generators, flow meters, military & aerospace. MIL-I & Q compliant.","SPECTEC designs, engineers and manufactures innovative speed sensor and signal converter solutions for a wide range of industries and applications. SPECTEC is an ISO 9001:2008 registered manufacturing and design company, also manufacturing Intrinsically Safe and CE compliant speed sensors.

Speed Sensor OEM Manufacturer

SPECTEC manufactures standard and custom speed sensors, including magnetic speed sensors, Hall effect zero speed sensors and RF pickups.Our in-house machine shop and production centers allows us high level of inventory and quality control as well as the ability to provide short lead times for our customers, even on OEM replacement or custom speed sensors..

SPECTEC sensors are used in process automation, flow measurement, oil fields, construction, mining equipment, automotive, railroad, marine and aerospace applications. We can also meet your high temperature and cryogenic application speed sensor needs.

Speed Sensors Signal Converters

Complementing our speed sensor engineering More... is our large selection of compact signal conditioners, sensor preamplifiers and Frequency to Voltage and Frequency to Current 4-20mA signal converters. Less",,$1 - 4.9 Mil,10-49  Employees,"Converters: Analog-to-Digital
Converters: Digital Signal
Converters: Frequency-to-Voltage


Converters: Signal
Converters: Frequency-To-Current","All Products / Services

Sensors / Detectors / Transducers
Converters
Conditioners
Switches
Amplifiers


Automotive Parts
Flowmeters
Locomotive Parts
Pickups
Tachometers"
Hello Bom,888-889-9811,https://www.hellobom.com/,"Boca Raton, FL 33433",Distributor,"Distributor of electronic components including semiconductors, resistors, diodes, capacitors, inductors, connectors, transistors and sensors. Amplifiers, anemometers, calibrators, comparators, converters, batteries and fuses are also offered. One click matching, and quick quotation turn-around offered.",,,Not Available,Not Available  Employees,"Converters: Analog-to-Digital
Converters
Converters: Digital Signal


Converters: Resolver-to-Digital
Converters: Signal
Converters: Temperature","All Products / Services

Connectors
Inductors
Capacitors
Rectifiers and Diodes
Resistors
Accelerometers
Actuators
Adhesives
Ammeters
Amplifiers
Anemometers
Attenuators


Batteries
Blankets
Blocks
Boxes
Brackets
Bulbs
Buzzers
Calibrators
Calipers
Cameras
Chargers
Comparators

View all products / services offered"
bisco industries,888-267-6405,https://www.biscoind.com/,"Anaheim, CA 92807 | Locations",Distributor,"Distributor of electronic components, fasteners and general assembly hardware. Products include printed circuit board hardware, thermal management products, connectors and test equipment. Sensors, spacers, standoffs, ejectors, heat sinks, fans, batteries, chargers, switches, encoders, potentiometers, plugs, jacks, clips, test leads and test meters are available. Capabilities include auto replenishment, inventory management, bin stocking, bar coding, kitting/assembly and special labeling and packaging. Industries served include aerospace, communication, computer, fabrication, instrumentation, industrial equipment, marine and military. Kanban services and JIT delivery available.",,,Not Available,Not Available  Employees,"Converters: Analog-to-Digital


Converters","All Products / Services

Slides
Screws
Fasteners
Nuts (Fasteners)
Standoffs and Spacers
Studs
Washers (Fastener & Hardware)
Bolts
Enclosures
Inserts
Rivets
Electronic Components
Cabinets
Fans


Casters
Hook and Loop Fasteners
Miscellaneous Fasteners
Disconnects
Electric Wire, Cable and Cable Assemblies
Hardware
Lights
Strips
Absorbers
Adapters
Adhesives
Ammeters
Amplifiers
Analyzers

View all products / services offered"
"Devar, Inc.",800-566-6822,https://www.devarinc.com/,"Bridgeport, CT 06605",Manufacturer,"An ISO 9001:2008 certified manufacturer of instrumentation products for monitoring, control & data acquisition. Products include alarms, annunciators, calibrators, controllers, data loggers & recorders, humidity transmitters, loop powered indicators, isolators, level & pressure transmitters, panel meters, pH transmitters, power supplies, pump controllers, signal converters, wireless telemetry systems, temperature transmitters & totalizers. Types of pump controllers include dual alternating pump controllers, pump controllers with 2 or 3 relays & lift station control systems. Services include designing, application engineering & customer services. Instrumentation products are UL & FM approved & available with 2-year warranty. Made in the USA.","Devar has been known as a manufacturer of quality instrumentation products for over 40 years. Throughout these years customer service has remained paramount, positioning Devar as an instrument supplier second to none in design, quality, reliability and service. Devar units interface with all standard and nonstandard process variable signals and are available in a variety of enclosures.

Devar instruments have exceeded the highest industry standards for many years. Our quality assurance program provides compliance to U.S. Nuclear Regulatory Commission criteria 10CFR50, 10CFR21 and MIL-I-45208A. Many of our products are FM Approved and UL Listed.",,Under $1 Mil,10-49  Employees,"Converters: Analog-to-Digital
Converters
Converters: Current-To-Current
Converters: Frequency-to-Analog
Converters: Frequency-to-Voltage


Converters: Pneumatic-to-Electric
Converters: Signal
Converters: Thermocouple
Converters: Voltage-to-Frequency","All Products / Services

Indicators
Controls and Controllers
Transmitters
Meters
Treatment Equipment
Isolators
Alarms
Amplifiers
Analyzers
Annunciators


Automation Systems
Boosters
Boxes
Calibrators
Charts
Cold Chain Equipment
Comparators
Conditioners
Converters
Data Acquisition Systems

View all products / services offered"
"Process Control Systems, Inc.",800-328-0738,https://maxigard.com/,"Chaska, MN 55318",Manufacturer,"Manufacturer of speed monitoring systems. Products include tachometers, rotation direction, adjustable & zero speed switches, elevator leg & temperature monitors, speed transmitters & counting systems. Accessories include analog & digital sensors, target magnet collars & discs, resistance temperature detectors, thermocouples & spare parts kits. Speed monitoring systems are suitable for belt, drag & screw conveyors, bucket elevators, dust collection systems, rotary feeders, fans, blowers & various types of material handling & processing equipment.","Process Control Systems, Inc. is an industry leader in speed monitoring systems. We manufacture Maxigard brand industrial products designed to monitor belt conveyors, bucket elevators, screw conveyors, rotary feeders as well as other types of material handling and processing equipment to prove rotation or indicate loss of rotation. Maxigard products are flexible enough to fit a variety of applications and come backed with our five-year warranty.",,Under $1 Mil,10-49  Employees,"Converters: Analog-to-Digital
Converters
Converters: Digital Signal


Converters: Signal
Converters: Voltage-to-Frequency","All Products / Services

Sensors / Detectors / Transducers
Switches
Instruments
Controls and Controllers
Tachometers
Alarms
Analyzers
Cold Chain Equipment
Conditioners
Converters
Conveyors
Counters


Custom Machinery
Data Loggers
Discs
Elevators
Fans
Feeders and Feed Systems
Generators
Guards
Handling Equipment
Indicators
Integration Services
Machinery

View all products / services offered"
"B & B Instruments, Inc.",800-347-9008,https://www.bbinstruments.com/,"Indianapolis, IN 46220 | Locations",Distributor,"Distributor of measurement, control and calibration equipment for pressure, temperature, flow, humidity and level instruments. Products include gages, sensors, switches, transducers, detectors, boosters, calibrators, thermometers, thermocouples, flowmeters, controllers, seals, thermowells, scanners, positioners and recorders. Testers, filters, monitors, totalizers, tachometers, nozzles, indicators, enclosures, strainers, unions, orifices, filter bags, analyzers, digital indicating meters, data loggers and modules are also offered. Suitable for water, wastewater, natural gas, power generation, metal milling, transportation, plastic forming, packaging, compressor, pump, OEM, research and development applications. Serves the pharmaceutical, petroleum, agricultural, government, food and beverage industries. Some instruments are CE certified, CSA approved and UL listed.",,,Not Available,Not Available  Employees,"Converters: Analog-to-Digital
Converters
Converters: Current-To-Pressure (I/P), Voltage-To-Pressure (E/P)


Converters: Pressure
Converters: Thermocouple","All Products / Services

Sensors / Detectors / Transducers
Gages
Thermocouples
Cold Chain Equipment
Data Loggers
Vaccine Cold Chain Supplies and Logistics
Bags
Indicators
Regulators
Thermometers
Aerators
Annunciators


Blocks
Boosters
Calibration Services
Calibrators
Computers
Conditioners
Controls and Controllers
Converters
Counters
Covers
COVID-19 Response
Electric Wire, Cable and Cable Assemblies

View all products / services offered"
"NetSource Technology, Inc.",855-970-5135,https://www.nstechnology.com/,"San Clemente, CA 92673",Distributor,"NetSource Technology, Inc. is a distributor of electronic components and accessories for OEMs and contract manufacturers. Products include cables, adapters, hubs, wireless and range extenders, HDMI switches and splitters, graphic and video cards, SSD drives, LCDs, memory integrated circuits and network switches. Other products such as relays, switches, connectors, capacitors, inductors, resistors, amplifiers, converters, diodes, transistors and trigger devices are also available. Serves the electronics, computer, telecommunications, aerospace, aviation, medical, automotive, and transportation industries. ITAR registered. Stock items are available. Procurement, inventory, and supply chain management services are also offered.","Founded in 1997, NetSource Technology, Inc. is a global procurement organization and is one of the largest independent stocking distributors of electronic components. We provide professional and supply chain solutions to OEMs and contract manufacturers worldwide. Our specialty is locating hard-to-find, obsolete, end-of-life (EOL) and highly allocated components with long lead times. We are focused on supporting customers throughout the complete supply chain lifecycle.

Our commitment to quality assurance is validated through our ISO 9001:2015 certification, ITAR registration and industry leading counterfeit prevention programs. NetSource Technology serves as a trusted supply chain partner to leading global organizations across the telecom, IOT, mobile, automotive, medical and aerospace industries. We are the exclusive North American and United Kingdom distributor of Cadyce products. The company is headquartered in San Clemente, CA with offices worldwide.",www.linkedin.com/company/netsource-technology/,$5 - 9.9 Mil,10-49  Employees,"Converters: Analog-to-Digital
Converters
Converters: Digital-to-Analog


Converters: Down
Converters: Interface
Converters: Up","All Products / Services

Electronic Components
Circuits
Capacitors
Digital Memory
Displays
Resistors
Connectors
Electrical Components
Power Supplies
Printed Circuit Boards
Relays
Adapters


Amplifiers
Antennas
Arrays
Attenuators
Backshells
Batteries
Blocks
Breakers
Cameras
Cards
Chargers
Chips

View all products / services offered"
SAE Manufacturing Specialties Corp,888-662-5664,https://saemfg.com/,"Bayville, NY 11709",Manufacturer,"Manufacturer of special chemicals, energetic materials, polytechnics, ordnance or aerospace components and systems. Products include special chemicals, energetic materials, pyrotechnics, ordnance and aerospace components and systems. Additional products include electronic systems, equipment, enforcement products and an EOD full line of products and solutions. Other services such as research and development for aerospace pyrotechnic devices are also offered. Serves the defense and aerospace industries. Some products meet military specifications.",,,Not Available,Not Available  Employees,"Converters: Analog-to-Digital
Converters
Converters: Catalytic


Converters: Down
Converters: Up","All Products / Services

Grease
Lubricants
Oils
Solid Film Lubricants
Chemicals
Abrasive Blast Equipment
Accelerometers
Acetaminophen
Actuators
Additive Manufacturing Materials
Adhesives
Agents


Aggregates
Aluminum
Ammeters
Ammunition
Amplifiers
Analyzers
Anesthesia Equipment
Antennas
Anti-Seize
Antimony
Armor
Arresters

View all products / services offered"
NRI Industrial Sales LLC,844-806-0871,https://www.nriparts.com/,"Delta, OH 43515 | Locations",Distributor,"Distributor of new, surplus, and used bearings, shock absorbers, accumulators, actuators, and adapters. Adhesives, ammeters, amplifiers, analyzers, applicators, beakers, bellows, belts, benders, blades, and blowers are available. Brakes, brushes, bushings, switches, buttons, and broaches are also provided. Same day shipping is offered. Serves oil, petrochemical, energy, food processing, mining, pulp, and paper industries.","Our journey started in 2001 with a simple beginning. Today, we have become one of the largest surplus equipment sellers in North America. Throughout our growth, our mission has been constant. We specialize in providing our clients with sustainable solutions for highly sought-after new and used industrial equipment.

We do so by partnering with businesses from various sectors, including Pulp and Paper, Oil and Petro-Chemical, Energy, Food Processing, and Mining, to preserve the economic and environmental well-being of the communities we serve.

We take pride in our sustainable solutions that keep tons of obsolete machines, equipment, and parts out of landfills and scrap piles while providing the industry with an economical source to industrial equipment.",www.linkedin.com/company/nri-parts/,Not Available,Not Available  Employees,"Converters: Analog-to-Digital
Converters
Converters: Digital-to-Analog
Converters: Frequency-To-Current


Converters: Interface
Converters: Media
Converters: Pressure","All Products / Services

Motor Controllers and Drives
Printed Circuit Boards
Motors
Absorbers
Accumulators
Actuators
Adapters
Adhesives
Air Conditioner Parts
Air Filtration Equipment & Supplies
Ammeters


Amplifiers
Analyzers
Applicators
Attachments
Automation Systems
Balls
Baths
Beakers
Bearings
Bellows
Belts

View all products / services offered"
Dasenic Electronic Limited,825-561-7003,https://www.dasenic.com/,"Calgary, AB T3E6T9",Distributor,"Distributor of electronic components for telecommunications and automotive industries. Products include power supplies, enclosures, cable assemblies, circuit protectors, computers, crystals, oscillators, filters, fans, and inductors. Integrated circuits (ICs), capacitors, connectors, hardware, control and controllers, fasteners, RFID, and semiconductor products are also offered. Resistors, amplifiers, speakers, microphones, alarms, rechargeable batteries, and battery chargers are available. Coils, chocks, transformers, switches, motors, pumps, adhesives, tools, and testing or measuring equipment are provided.","Dasenic is a distributor of electronic components. ISO 9001:2015 certified. Serves the aerospace, commercial, defense, military, medical and telecommunication industries. Find electronic components in stock in Dasenic.",www.linkedin.com/company/81953857/admin/,$100 - 249.9 Mil,50-99  Employees,"Converters: Analog-to-Digital
Converters
Converters: Digital-to-Resolver
Converters: Digital-to-Synchro
Converters: Interface


Converters: Media
Converters: Media, Power-over-Ethernet (PoE)
Converters: Media, Power-over-Ethernet (PoE), Industrial
Converters: Resolver-to-Digital","All Products / Services

Circuits
Capacitors
Computers
Connectors
Digital Memory
Drives
Electronic Components
Motor Controllers and Drives
Rectifiers and Diodes
Resistors


Absorbers
Actuators
Adapters
Additive Manufacturing Systems
Adhesives
Air Handlers
Alarms
Amplifiers
Antennas
Applicators

View all products / services offered"
