Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
"NetSource Technology, Inc.",855-970-5135,https://www.nstechnology.com/,"San Clemente, CA 92673",Distributor,"NetSource Technology, Inc. is a distributor of electronic components and accessories for OEMs and contract manufacturers. Products include cables, adapters, hubs, wireless and range extenders, HDMI switches and splitters, graphic and video cards, SSD drives, LCDs, memory integrated circuits and network switches. Other products such as relays, switches, connectors, capacitors, inductors, resistors, amplifiers, converters, diodes, transistors and trigger devices are also available. Serves the electronics, computer, telecommunications, aerospace, aviation, medical, automotive, and transportation industries. ITAR registered. Stock items are available. Procurement, inventory, and supply chain management services are also offered.","Founded in 1997, NetSource Technology, Inc. is a global procurement organization and is one of the largest independent stocking distributors of electronic components. We provide professional and supply chain solutions to OEMs and contract manufacturers worldwide. Our specialty is locating hard-to-find, obsolete, end-of-life (EOL) and highly allocated components with long lead times. We are focused on supporting customers throughout the complete supply chain lifecycle.

Our commitment to quality assurance is validated through our ISO 9001:2015 certification, ITAR registration and industry leading counterfeit prevention programs. NetSource Technology serves as a trusted supply chain partner to leading global organizations across the telecom, IOT, mobile, automotive, medical and aerospace industries. We are the exclusive North American and United Kingdom distributor of Cadyce products. The company is headquartered in San Clemente, CA with offices worldwide.",www.linkedin.com/company/netsource-technology/,$5 - 9.9 Mil,10-49  Employees,Decoders,"All Products / Services

Electronic Components
Circuits
Capacitors
Digital Memory
Displays
Resistors
Connectors
Electrical Components
Power Supplies
Printed Circuit Boards
Relays
Adapters
Amplifiers
Antennas


Arrays
Attenuators
Backshells
Batteries
Blocks
Breakers
Cameras
Cards
Chargers
Chips
Circulators
Comparators
Computer Accessories
Computer Accessories

View all products / services offered"
SAE Manufacturing Specialties Corp,888-662-5664,https://saemfg.com/,"Bayville, NY 11709",Manufacturer,"Manufacturer of special chemicals, energetic materials, polytechnics, ordnance or aerospace components and systems. Products include special chemicals, energetic materials, pyrotechnics, ordnance and aerospace components and systems. Additional products include electronic systems, equipment, enforcement products and an EOD full line of products and solutions. Other services such as research and development for aerospace pyrotechnic devices are also offered. Serves the defense and aerospace industries. Some products meet military specifications.",,,Not Available,Not Available  Employees,Decoders,"All Products / Services

Grease
Lubricants
Oils
Solid Film Lubricants
Chemicals
Abrasive Blast Equipment
Accelerometers
Acetaminophen
Actuators
Additive Manufacturing Materials
Adhesives
Agents
Aggregates
Aluminum


Ammeters
Ammunition
Amplifiers
Analyzers
Anesthesia Equipment
Antennas
Anti-Seize
Antimony
Armor
Arresters
Asphalt
Aspirin
Bags
Barite

View all products / services offered"
Pacific Instruments Inc.,925-827-9010,http://www.pacificinstruments.com/index.html,"Concord, CA 94520",Manufacturer,"Manufacturer of data acquisition, turnkey and computer-automated physical measurement systems. Products include accelerometers, amplifiers, digitizers, signal conditioners, recorders, modules, cables, adapters, frequency counters, connector panels, time code readers, test sequencers and power supplies. Capabilities include product calibration, repair, installation and verification and systems integration. Fan covers, calibration resistors, scanners, rack mounting trays and post-warranty technical support services are also available. Various applications include aerospace, vehicles, government-funded research agencies, military, wind tunnels, hydraulic systems, locomotive and rail cars, metal forming, non-destructive materials testing, packaging and shipping materials, power generation and transmission and stress analysis. One year warranty.",,,$10 - 24.9 Mil,10-49  Employees,Decoders,"All Products / Services

Accelerometers
Amplifiers
Calibrators
Cold Chain Equipment
Conditioners
Counters
Data Acquisition Systems
Data Loggers
Decoders
Digitizers
Enclosures


Filters
Instruments
Measuring Equipment
Modules
Power Supplies
Recorders
Scanners / Readers
Sequencers
Software
Vaccine Cold Chain Supplies and Logistics
Workstations"
Hybrid Electronics,888-702-4544,https://www.hybridelectronics.com,"Sanford, FL 32773",Distributor,"Distributor of electronic components and cable assemblies. Products include integrated circuits (ICs), capacitors, batteries, sensors, transducers, connectors, antennas, attenuators, detectors, amplifiers, demodulators, and switches. Audio and discrete semiconductor products such as modules, bridge rectifiers, FETs, arrays, MOSFETs, transistors, and variable capacitance diodes are offered. Other products such as fans, pastes, finger guards, heat sink pads, terminals, LEDs, infrared emitters, fiber optics, resistors, RF detectors, and power supplies are available. Secondary services such as testing, screening, re-tinning, reeling, and decapsulation or counterfeit detection are also provided. Serves the electronics, telecommunications, aerospace, automotive, broadcast, medical and military industries.","Electronic component distributors, including hard to find parts. Products include semiconductors, connectors, relays, fuses, and most board level parts. Does your company have excess inventory? We will buy your excess inventory!",www.linkedin.com/company/hybrid-electronics,$1 - 4.9 Mil,1-9  Employees,"Decoders
Decoders: Audio


Decoders: Video","All Products / Services

Electronic Components
Electrical Components
Accelerometers
Adapters
Adhesives
Amplifiers
Antennas
Arms
Arrays
Attenuators
Audio Visual (AV) Equipment
Backplanes
Baluns


Batteries
Battery Components
Beads
Benders
Bezels
Blocks
Boards
Boots
Brackets
Braid
Breakers
Buffers
Busbars

View all products / services offered"
Gorman-Redlich MFG. Co.,740-593-3150,http://www.gorman-redlich.com,"Athens, OH 45701",Manufacturer,"Manufacturer of Broadcast and mass notification equipment. Common alerting protocol (CAP) to emergency alert system (EAS) converters, alarm and weather warning systems are offered. Antenna monitors, receivers, decoders and crystal oscillators are also available. LED sign boards, signage or signs are provided. Secondary services include repairing or upgrading. Suitable for aircraft navigation, communication equipment, AM and FM radio or television stations, schools, building owners and managers. Made in the USA.","For more than four decades, Gorman-Redlich has been supplying alert and warning equipment to the broadcast, institutional, and industrial markets. 

Keep building occupants, radio and TV audiences, employees, students, and visitors safe and informed with our US-made product lines that encompass broadcast Emergency Alert System (EAS), Integrated Public Alert and Warning System (IPAWS), Common Alerting Protocol (CAP), Common Alerting Protocol Canadian Profile (CAP-CP), and National Oceanic and Atmospheric Administration (NOAA) National Weather Service (NWS) Weather Radio equipment.",,Under $1 Mil,1-9  Employees,"Decoders
Decoders: Audio


Decoders: Video","All Products / Services

Alarms
Assemblies
Boards
Broadcasting Equipment
Controls and Controllers
Converters
Decoders
Disaster Preparedness Supplies
Electronics
Emergency Products
Encoders
Hurricane Response
Instruments


Mass Notification Systems
Meters
Monitors
Oscillators
Panels
Printed Circuit Boards
Radios
Receivers
Signals
Signs
Stations
Switches
Warning Systems"
"Process Technologies Group, Inc.",630-393-4777,https://www.impaxptg.com/index.html,"Warrenville, IL 60555",Manufacturer,"Manufacturer of process monitors, productivity monitors, data collection software, and piezo-electric force sensors. Monitors and software provide real-time application-specific solutions for measuring, protecting, and analyzing a variety of processes and production systems. Available in various features and specifications. Additional services including monitor design, development, operator training, rental, and repair services are available. Products are suitable for cold forming, metal stamping, metal cutting, and shop floor monitoring applications.",,,Under $1 Mil,1-9  Employees,Decoders,"All Products / Services

Analyzers
Cells
Cold Chain Equipment
Computer and Communication Terminals
Control Products
Controls and Controllers
Counters
Data Acquisition Systems
Data Collection Systems
Data Loggers
Decoders
Discs
Ergonomic Products
Indicators


Instruments
Interfaces
Measuring Equipment
Monitoring Systems
Monitors
Panels
Probes
Process Machinery
Processors
Protectors
Recorders
Savers
Sensor Components
Sensors / Detectors / Transducers

View all products / services offered"
Pilz Automation Safety L.P.,734-354-0272,https://www.pilz.com/en-US,"Canton, MI 48187 | Locations",Manufacturer,"Manufacturers & offers a complete line of safe automation & control products. The line includes safety relays for automation applications, safety & general-purpose programmable logic controllers, motion control systems, lockout/tagout systems utilizing safety controls, monitoring relays, touch screen HMIs rugged enough to withstand tough manufacturing environments, emergency stop pushbuttons, safety sensors including multidirectional & fully uniquely-coded versions, two-hand enabling devices, electromechanical safety switches, light curtains & muting lamps. Certified engineers & qualified consultants are available to solve customer's safety needs by designing systems, managing projects, performing/facilitating risk assessments, performing machine/plant review, installing equipment & training personnel.","Pilz is a leading, innovative automation technology company.

As experts in the safety of human, machine and the environment, Pilz provides worldwide, customer-oriented solutions for all industries.

This includes innovative products in the area of sensor, control and drive technology.

Our international team provides professional services for Machinery Safety.",www.linkedin.com/company/1021431?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A1021431%2Cidx%3A2-1-2%2CtarId%3A1452093980819%2Ctas%3APilz%20Safety,Not Available,1000+  Employees,Decoders,"All Products / Services

Adapters
Alarms
Amplifiers
Analyzers
Automation Systems
Backplanes
Barriers
Blocks
Bolts
Busbars
Certification Services
Communication Systems
Computer and Communication Terminals
Connectors


Consulting Services
Controls and Controllers
Conveyor Parts
Conveyors
Curtains
Data Acquisition Systems
Data Collection Systems
Decoders
Diagnostic Equipment
Digital Memory
Displays
Electric Wire, Cable and Cable Assemblies
Electro-Optical Equipment
Electro-Optical Systems

View all products / services offered"
AREC Inc.,714-202-7558,https://www.arec.com/,"Orange, CA 92865",Manufacturer,"Manufacturer of audio visual (AV) equipment and supplies. Pan and tilt cameras, decoders and encoders are offered. Tracking and video intercom systems are also available. Suitable for capturing lectures, live streaming, meeting recording, surgical training and multimedia applications. Serves worship places, education, government and healthcare sectors.","AREC Inc. is a global company that designs, develops and sells innovative AV-over-IP solutions. AREC is committed to the integration and appliance of software and hardware, including signal capture and mixing, video/audio codec process, multimedia network streaming, and interactive communication technologies. AREC's products are flexible and used throughout the world and across the wide range of markets such as school education, enterprise training, places of worship, meeting recording, surgical teaching, and government applications. AREC also provides ODM, OEM and White Label services.",www.linkedin.com/company/arecinc/,$10 - 24.9 Mil,50-99  Employees,"Decoders
Decoders: Audio


Decoders: Video","All Products / Services

Audio Visual (AV) Equipment
Cameras
Decoders


Encoders
Intercoms
Trackers"
AbeTech,888-682-3113,http://www.abetech.com/Home.aspx,"Rogers, MN 55374 | Locations",Manufacturer,"Re-Seller Of Bar Code Products & Services, Bar Code Scanners, Wands, Wedges, Printers, Labels, Ribbons, & Software. Serving Warehousing, Medical, Libraries, Video Dealers, Dealers Nationwide. Also, Printer Repair Scanners Repair, Custom Cables, Bar Code Implementation Planning & Consulting Services",,,Not Available,10-49  Employees,Decoders,"All Products / Services

Cards
Computer and Communication Terminals
Computers
Controls and Controllers
Data Acquisition Systems
Data Collection Systems
Decoders
Encoders
Identification Products
Identifiers


Labels
Markers and Marking Equipment
Printers
Scanners / Readers
Software
Tags
Testers
Ultrasound Systems
Wands
Wedges"
"Leuze Electronic, Inc.",248-486-4466,http://www.leuze.com,"New Hudson, MI 48165",Manufacturer,"ISO 9001: 2008 certified manufacturer of optical electronics. Products include cylindrical sensors, amplifiers, switches, scanners, monitoring systems, inspection systems, light curtains, barcode readers, machine vision systems, measuring and positioning systems, data transmission systems, interfacing units, safety devices, relays, safety controllers, software, successor devices and accessories.",,,$1 - 4.9 Mil,10-49  Employees,Decoders,"All Products / Services

Actuators
Alarms
Aligners
Amplifiers
Automated Guided Vehicle Systems
Automated Storage/Retrieval Systems (AS/RS)
Automation Systems
Barcode Systems
Barriers
Buses
Cameras
Cells
Communication Systems
Controls and Controllers


Conveyors
Counters
Curtains
Data Acquisition Systems
Data Collection Systems
Decoders
Electro-Optical Equipment
Electro-Optical Systems
Electronics
Emissometers
Encoders
Engineering Services
Expanded Metals, Expanded Mesh and Expanded Lath
Gages

View all products / services offered"
