Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
"Exsenco, LLC - US division for Santest Co.",855-892-1434,http://www.exsenco.com,"Corpus Christi, TX 78427",Distributor,"Distributor of measurement, sensing and control products for precision measurement of displacement, level, position, pressure, force, flow-rate and temperature applications. Various products available include probes, thermometers, servo controllers, non-contact on-off switches, proportional solenoid or direct acting high speed servo valves, linear encoders, shock data loggers, digit LED displays, rotary resolvers, linear gauges and sensors. High performance analog, high end digital, CC-link certified and adaptive servo controllers are also offered. Custom options and accessories such as floats and magnets are also provided.","EXSENCO, LLC, offering consultancy in the general area of control systems engineering, is the U.S. division for SANTEST, Co. Ltd. from Osaka Japan. Through advancing the state-of-the-art contributions while maintaining extraordinarily high quality standards, Santest has dedicated its efforts towards optimizing the performance of magnetostrictive displacement transducers to facilitate their successful use in cases where incremental encoders can be replaced by these absolute transducers. We believe that success will follow innovation. Improvements in R&D, manufacturing and reliable delivery have elevated accuracy standards so that new applications are occurring daily in detection systems for advanced industrial applications and specialized machinery. We are proud of Santest's worldwide acceptance, based on its performance and quality.",,Not Available,Not Available  Employees,"Amplifiers: Digital
Amplifiers
Amplifiers: Current & Voltage
Amplifiers: DC
Amplifiers: Electronic


Amplifiers: Instrument
Amplifiers: Power
Amplifiers: Servo
Amplifiers: Servo, Digital","All Products / Services

Sensors / Detectors / Transducers
Encoders
Modules
Switches
Valves
Amplifiers
Cold Chain Equipment
Data Loggers
Motor Controllers and Drives
Vaccine Cold Chain Supplies and Logistics


Controls and Controllers
Displays
Floats
Gages
Instruments
LEDs
Magnets
Measuring Equipment
Probes
Recorders

View all products / services offered"
"RDP Electrosense, Inc.",866-996-8846,https://www.rdpe.com/,"Pottstown, PA 19465",Manufacturer,"Manufacturer of transducers, amplifiers, load cells and pressure sensors for use in a wide range of applications. Products include linear displacement, LVDT gauging and displacement, submersible and non-contact transducers, AC and DC powered DIN rail mounting amplifier, LVDT and strain gauge transducer amplifier, multi-channel signal conditioning systems including serial interface and data logger module, digital panel meters, tension and compression load cells and various configurations of pressure transducers. Standard models suitable for use in severe environments are available. Specific application based custom engineered units also provided.",RDP have been manufacturing transducers and electronics for over 35 years. Our specialty lies in the field of measurement of physical parameters.,,$5 - 9.9 Mil,10-49  Employees,"Amplifiers: Digital
Amplifiers
Amplifiers: Analog
Amplifiers: Bridge
Amplifiers: DC


Amplifiers: Differential
Amplifiers: Electronic
Amplifiers: Hermetically Sealed
Amplifiers: Instrument
Amplifiers: Instrument & Control

View all Amplifiers categories","All Products / Services

Sensors / Detectors / Transducers
Conditioners
Indicators
Measuring Equipment
Readout Systems
Amplifiers
Cells
Controls and Controllers
Data Acquisition Systems


Extensometers
Gages
Instruments
Meters
Modules
Resistors
Transformers
Transmitters"
NRI Industrial Sales LLC,844-806-0871,https://www.nriparts.com/,"Delta, OH 43515 | Locations",Distributor,"Distributor of new, surplus, and used bearings, shock absorbers, accumulators, actuators, and adapters. Adhesives, ammeters, amplifiers, analyzers, applicators, beakers, bellows, belts, benders, blades, and blowers are available. Brakes, brushes, bushings, switches, buttons, and broaches are also provided. Same day shipping is offered. Serves oil, petrochemical, energy, food processing, mining, pulp, and paper industries.","Our journey started in 2001 with a simple beginning. Today, we have become one of the largest surplus equipment sellers in North America. Throughout our growth, our mission has been constant. We specialize in providing our clients with sustainable solutions for highly sought-after new and used industrial equipment.

We do so by partnering with businesses from various sectors, including Pulp and Paper, Oil and Petro-Chemical, Energy, Food Processing, and Mining, to preserve the economic and environmental well-being of the communities we serve.

We take pride in our sustainable solutions that keep tons of obsolete machines, equipment, and parts out of landfills and scrap piles while providing the industry with an economical source to industrial equipment.",www.linkedin.com/company/nri-parts/,Not Available,Not Available  Employees,"Amplifiers: Digital
Amplifiers
Amplifiers: Charge
Amplifiers: Fiber Optic
Amplifiers: Laser


Amplifiers: Miniature
Amplifiers: Photoelectric
Amplifiers: Sense
Amplifiers: Servo","All Products / Services

Motor Controllers and Drives
Printed Circuit Boards
Motors
Absorbers
Accumulators
Actuators
Adapters
Adhesives
Air Conditioner Parts
Air Filtration Equipment & Supplies


Ammeters
Amplifiers
Analyzers
Applicators
Attachments
Automation Systems
Balls
Baths
Beakers
Bearings

View all products / services offered"
Pacific Instruments Inc.,925-827-9010,http://www.pacificinstruments.com/index.html,"Concord, CA 94520",Manufacturer,"Manufacturer of data acquisition, turnkey and computer-automated physical measurement systems. Products include accelerometers, amplifiers, digitizers, signal conditioners, recorders, modules, cables, adapters, frequency counters, connector panels, time code readers, test sequencers and power supplies. Capabilities include product calibration, repair, installation and verification and systems integration. Fan covers, calibration resistors, scanners, rack mounting trays and post-warranty technical support services are also available. Various applications include aerospace, vehicles, government-funded research agencies, military, wind tunnels, hydraulic systems, locomotive and rail cars, metal forming, non-destructive materials testing, packaging and shipping materials, power generation and transmission and stress analysis. One year warranty.",,,$10 - 24.9 Mil,10-49  Employees,"Amplifiers: Digital
Amplifiers
Amplifiers: Analog
Amplifiers: Bridge
Amplifiers: Charge


Amplifiers: Communications
Amplifiers: Current & Voltage
Amplifiers: Data
Amplifiers: DC
Amplifiers: Differential

View all Amplifiers categories","All Products / Services

Accelerometers
Amplifiers
Calibrators
Cold Chain Equipment
Conditioners
Counters
Data Acquisition Systems
Data Loggers
Decoders
Digitizers


Enclosures
Filters
Instruments
Measuring Equipment
Modules
Power Supplies
Recorders
Scanners / Readers
Sequencers
Software

View all products / services offered"
Ross Engineering Corp.,855-864-2736,http://www.rossengineeringcorp.com,"Campbell, CA 95008",Manufacturer,"ISO 9001:2015 and ISO/IEC 17025:2017 certified. Manufacturer of measuring, calibrating, isolating or controlling electronics and electromechanical devices. Products include relays, voltmeters, multimeters, amplifiers, capacitors, probes, contactors, circuit breakers, voltage dividers, spark gaps, switches, solenoids, controllers, sensors, interlocks, indicators, drivers, isolators, collapsible hotsicks, rods, nuts, toroids, spheres, fiber optic transmission, test load, step start systems. Custom sensors, interlocks and airport lightning relays are also available. Precision machining, grinding, deburring, inspection, calibration and testing services are offered. Suitable for power utility, laboratory, cyclotrons, radar and military applications. Meets ANSI standards and military specifications.","Ross Engineering Corporation, located in the heart of the Silicon Valley, was founded in 1964 by Hugh Ross. Ross high voltage products are designed with our customer's needs in mind. As part of this continual commitment to customer satisfaction, Ross Engineering strives for business excellence through a proven ISO 9001:2015 quality management system (QMS). It is the policy of Ross Engineering that there will be no compromise where quality, performance and customer satisfaction are concerned. We are committed to building quality partnerships with our customers by consistently providing advanced design solutions, quality products, superior calibration services and on-time delivery through the continuous improvement of our manufacturing and laboratory operations management system.",,$5 - 9.9 Mil,10-49  Employees,"Amplifiers: Digital
Amplifiers
Amplifiers: DC
Amplifiers: Electronic
Amplifiers: Fiber Optic


Amplifiers: Frequency
Amplifiers: High Voltage
Amplifiers: Instrument
Amplifiers: Instrument & Control
Amplifiers: Isolation

View all Amplifiers categories","All Products / Services

Switches
Voltmeters
Calibration Services
Contactors
Dividers
Probes
Relays
Testers
Ammeters
Amplifiers


Applicators
Balls
Breakers
Calibrators
Capacitors
Controls and Controllers
Cutting Services
Deburring / Deflashing Services
Drilling Services
Drivers

View all products / services offered"
H2W Technologies,888-893-0264,https://www.h2wtech.com/,"Santa Clarita, CA 91350",Manufacturer,"Manufacturer of standard and custom linear & rotary motion systems. Products include actuators, voice coils, limited angle torque motors, linear induction motors, linear stepper motors, linear stepper stages, multi-axis gantry systems, linear brushless motors, linear brush motors, single rail stages, dual rail stages, crossed roller stages, air bearing stages, belt stages, amplifiers, and permanent magnet brakes. Linear & rotary motion systems are suitable for semiconductor, medical, aerospace, military, metrology, material handling, people moving, amusement park rides, packaging, automotive, and clean room applications. ISO 9001:2008 compliant.","Our Commitment

H2W Technologies, Inc. is dedicated to the design and manufacture of linear and rotary motion products that are used in the motion control industry. We are committed to providing every customer with the optimal solution for their motion application in the shortest possible time, at the lowest possible cost using only the highest quality products.

Our Products

We offer a complete line of linear electric motors including; single and dual axis linear steppers, DC brush and brushless linear motors, voice coil actuators, and AC induction motors. 

Our high speed and high precision linear motor driven positioning stages are ideal for both single and multi-axis closed loop servo applications. We also offer a complete line of ball screw, lead screw and belt driven positioning stages. We can provide you either a standard or custom designed positioning stage by itself or as a complete turnkey solution with a servo amplifier, power supply and programmable motion controller.

Other More... motion control products include; limited angle torque motors for compact, limited angular excursion rotary servo applications, 3 phase brushless rotary servo motors with matching digital servo amplifiers and permanent magnet linear brakes for failsafe, zero power braking for baggage handling and people moving applications as well as amusement park rides.

 H2W also offers design services for various types of electromagnetic devices such as magnetic latches, solenoids and rotary motion devices.

 New products are constantly being developed, so please check our web site for the latest developments and new product offerings.

 Quality Assurance at H2W

 H2W Technologies, Inc. has developed and implemented a quality management system to demonstrate its ability to provide consistently product that meets or exceeds customer requirements. Our quality Assurance procedures address customer satisfaction through the effective application of the quality system, including continual improvement and the prevention of nonconformity. The quality system complies with the international standard ISO 9001:2008.

 Our People

 With over 75 years combined experience in the linear and rotary motion field, our team of engineers can offer you the optimal solution to your most demanding motion control, requirements.

 Our core engineering team which has worked together for over 25 years consists of: Dr. Walter Hinds - PhD Physics, Fred Wilson - MSEE, and Mark P Wilson - MSME.

 Industries Served

 Semiconductor, Medical, Aerospace, Material Handling, People Moving, Amusement Park Rides Packaging, Automotive, and Clean Room Less",www.linkedin.com/company/h2w-technologies-inc,$5 - 9.9 Mil,10-49  Employees,"Amplifiers: Digital
Amplifiers
Amplifiers: Linear


Amplifiers: Servo
Amplifiers: Servo, Digital","All Products / Services

Motors
Actuators
Motion Systems
Coils
Amplifiers
Belts
Brakes
Controls and Controllers
Decelerators
Hardware
Integration Services


Integrators
Linear Motion Components
Machinery
Motor Controllers and Drives
Positioners
Processors
Sensors / Detectors / Transducers
Servo Systems
Slides
Steppers"
Win Source Electronic Technology Ltd.,868-395-7316,https://www.win-source.net,"Spokane, WA 99201-0508",Distributor,"Distributor of obsolete or end-of-life electronic parts and components. Products include integrated circuits (ICs), semiconductors, sensors, transducers, connectors, resistors, relays, isolators, interconnectors, filters and cables. Capacitors, racks, switches, chokes, transformers, RFID, power supplies, oscillators, audio, battery and circuit protection supplies are available. Enclosures, fans, hardware, fasteners, inductors, converters, coils, meters, memory cards, modules, solenoids, potentiometers and optoelectronics are also provided. Serves electronics, automotive, energy, medical and aerospace industries. RoHS compliant.","Founded in 1999, WINSOURCE is one of the leading electronic component enterprises in the cross-border electricity, for the global electronics manufacturing and distribution industry to provide comprehensive components procurement and supply chain services. With rich experience in electronic distribution of the elite team, the traceability of the quality commitment and professional rapid global sourcing team as the basic development strategy, WINSOURCE quickly grew into a well-known enterprise in the field of distribution of electronic components in Asia.

In the cross-border e-commerce industry for more than 20 years, the company has successively obtained major quality certifications in the industry, and its products are widely used in the fields of electronic products such as communications, automotive electronics, computers, military, civil and so on. Moreover, it has built a cross-border e-commerce ecosystem with fine operation from supply to sales. High-quality products and efficient More... services have won the trust and praise of our customers and partners. WINSOURCE has cooperated with many cross-border platforms, and our business channels cover more than 200 countries and regions worldwide. Less",www.linkedin.com/company/win-source-electronic-co-ltd-/mycompany/,$250 Mil. and over,200-499  Employees,"Amplifiers: Digital
Amplifiers
Amplifiers: Broadband
Amplifiers: Buffer
Amplifiers: Data


Amplifiers: Differential
Amplifiers: Electronic
Amplifiers: Frequency
Amplifiers: Gallium Arsenide (GaAs) Field-Effect Transistor (FET)
Amplifiers: High Power

View all Amplifiers categories","All Products / Services

Accelerometers
Actuators
Adapters
Alarms
Ammeters
Amplifiers
Antennas
Arrays
Arresters
Attenuators


Audio Visual (AV) Equipment
Baluns
Batteries
Beads
Blocks
Blowers
Boards
Bobbins
Bolts
Boxes

View all products / services offered"
The Bright Group,702-483-6638,http://brightgroup.net/,"Las Vegas, NV 89119",Turnkey Systems Integrator,"Manufacturer of standard and custom universal serial bus (USB) charging ports and video topper displays. LED screens and media hubs are available. Cable harnesses, printed circuit boards (PCB), molded cable and subassemblies are offered. Ticket thermal printers, speakers, single or multi-channel amplifiers and audio transducers are distributed. Contract manufacturing services including sheet metal or die cast fabrication, injection molding, CNC or laser cutting and plastic forming are offered. Prototypes and production runs are available. Secondary services such as logistics, material sourcing, warehousing, engineering and testing are also provided. Suitable for point of sale (POS), traffic control and wagering applications. Serves automotive, gaming, solar, power distribution, marine, lighting and medical industries. RoHS compliant. UL listed.",We pride ourselves on establishing relationships beyond the client-supplier aspect and aim for mutually beneficial partnerships.,www.linkedin.com/company/the-bright-group/,Not Available,Not Available  Employees,"Amplifiers: Digital
Amplifiers
Amplifiers: Electronic


Amplifiers: Multichannel
Audio Amplifiers","All Products / Services

Amplifiers
Assemblies
Assembly Services
Casino Equipment
Cutting Services
Diffusers
Displays
Electric Wire, Cable and Cable Assemblies
Fabrication Services
Film
Forming Services
Harnesses


Interfaces
Job Shop Services
LEDs
Lights
Machining
Manufacturing Services
Mechanical Wire, Cable and Rope
Molding Services
Monitors
Ports
Printed Circuit Boards
Printers

View all products / services offered"
Omron Automation Americas,800-556-6766,https://automation.omron.com/en/us/,"Hoffman Estates, IL 60169 | Locations",Manufacturer,"Manufacturer of industrial automation systems, equipment and components. Products include controllers and human machine interfaces, control and switching components, rotary, photoelectric and ultrasonic sensors, switches, motors, robots and servo and programmable safety systems. Available in various types, specifications and features. Optional software and accessories are available. Also offers product solutions for automotive, packaging, panel building and safety applications. Provides delivery services.",,,Not Available,Not Available  Employees,"Amplifiers: Digital
Amplifiers


Amplifiers: Fiber Optic","All Products / Services

Actuators
Adapters
Amplifiers
Antennas
Automated Guided Vehicle Systems
Automation Systems
Batteries
Blocks
Boards
Boxes
Brackets
Bumpers
Buzzers


Cable Components
Cameras
Cards
Cold Chain Equipment
Communication Systems
Computer and Communication Terminals
Computers
Connectors
Contactors
Controls and Controllers
Cord and Cordage
Counters
Couplers and Couplings

View all products / services offered"
Pilz Automation Safety L.P.,734-354-0272,https://www.pilz.com/en-US,"Canton, MI 48187 | Locations",Manufacturer,"Manufacturers & offers a complete line of safe automation & control products. The line includes safety relays for automation applications, safety & general-purpose programmable logic controllers, motion control systems, lockout/tagout systems utilizing safety controls, monitoring relays, touch screen HMIs rugged enough to withstand tough manufacturing environments, emergency stop pushbuttons, safety sensors including multidirectional & fully uniquely-coded versions, two-hand enabling devices, electromechanical safety switches, light curtains & muting lamps. Certified engineers & qualified consultants are available to solve customer's safety needs by designing systems, managing projects, performing/facilitating risk assessments, performing machine/plant review, installing equipment & training personnel.","Pilz is a leading, innovative automation technology company.

As experts in the safety of human, machine and the environment, Pilz provides worldwide, customer-oriented solutions for all industries.

This includes innovative products in the area of sensor, control and drive technology.

Our international team provides professional services for Machinery Safety.",www.linkedin.com/company/1021431?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A1021431%2Cidx%3A2-1-2%2CtarId%3A1452093980819%2Ctas%3APilz%20Safety,Not Available,1000+  Employees,"Amplifiers: Digital
Amplifiers
Amplifiers: DC
Amplifiers: Electronic


Amplifiers: Photoelectric
Amplifiers: Power
Amplifiers: Servo
Amplifiers: Servo, Digital","All Products / Services

Adapters
Alarms
Amplifiers
Analyzers
Automation Systems
Backplanes
Barriers
Blocks
Bolts
Busbars
Certification Services


Communication Systems
Computer and Communication Terminals
Connectors
Consulting Services
Controls and Controllers
Conveyor Parts
Conveyors
Curtains
Data Acquisition Systems
Data Collection Systems
Decoders

View all products / services offered"
