Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
"Albertus Energy, Inc.",866-979-6655,http://www.albertusenergy.com/,"Malvern, PA 19355 | Locations",Service Company,"Distribution and service of burners, refractories, heat exchangers and thermal accessories. Specialty contractor and systems integrator for combustion and thermal systems. Custom manufacturer of thermal products, refractory lined vessels, precast shapes, packaged fuel trains and burner management systems. Integration services for combustion and thermal systems including furnaces, kilns, grate or boiler systems, fixed hearth and rotary systems, fume and liquid incinerators, thermal, regenerative and catalytic oxidizers, fluidized bed reactors, ovens, heaters and melters.",,,$5 - 9.9 Mil,50-99  Employees,"Digital Communication Systems
Communication Equipment


Communication Systems
Communication Systems: Wireless","All Products / Services

Controls and Controllers
Flowmeters
Instruments
Meters
Recorders
Transmitters
Valves
Refractories
Burners
Actuators
Adapters
Analyzers
Anchors


Blankets
Blocks
Blowers
Boards
Boilers
Brick
Chambers
Coating Services
Coatings
Combustors
Communication Systems
Contractors
COVID-19 Response

View all products / services offered"
Thermal Solutions Products LLC,717-239-7642,https://www.thermalsolutions.com/,"Lancaster, PA 17601",Manufacturer,"Manufacturer of thermal heating equipment and systems for hot water systems. Products include boilers, heaters, heat exchangers, storage tanks or skids, control systems and accessories. Boilers such as high, condensing ultra-high and midrange efficiency boilers are available. Control systems include advanced controls, propel cognitive pump technology controls, temperature sensors, communications gateways, fuses and boiler control assemblies. Products are designed for industrial, commercial and institutional heating and domestic hot water applications. Markets served include military, healthcare, hospitals, schools, hotels and casinos. Custom design and configuration heating systems are available. Products are UL®, cUL®, ETL and ASME design standards approved. Made in the USA.","Thermal Solutions Products, LLC offers high quality, reliable and high efficiency commercial copper-finned hot water boilers and water heaters along with ultra high efficiency commercial stainless steel condensing hot water boilers.

Thermal Solutions has designed the Evolution high efficiency copper-finned boilers and water heaters to meet the needs of today's commercial heating requirements. The Evolution takes the very best of existing copper-finned boiler and water heater technology to the next level by incorporating a list of design features not found in all products. Real-life serviceability, exceptional heat exchanger, advanced combustion design made simple, and unique timesaving controls are all combined in a compact quick-connect package with efficiencies of up to 97%. The Evolution is truly a step above the rest. 

As a leader in condensing ultra high efficiency commercial hot water boilers, Thermal Solutions offers a wide array of product sizes to meet every condensing application More... with certified third-party thermal efficiencies up to 97%.

 Where efficiency and longevity meet! Less",www.linkedin.com/company/11556827,$5 - 9.9 Mil,10-49  Employees,"Digital Communication Systems
Communication & Connectivity Devices
Communication Equipment


Communication Equipment: Digital
Communication Links
Communication Systems","All Products / Services

Boilers
Heaters
Automation Systems
Boiler Parts
Burners
Communication Protocols
Communication Systems
Controls and Controllers
Exchangers


Gateways
Monitoring Systems
Monitors
Process Machinery
Pumps
Sensors / Detectors / Transducers
Tanks
Thermal Management Materials
Thermal Systems"
"Pleora Technologies, Inc.",877-345-8020,https://www.pleora.com/,"Kanata, ON K2K3A2",Manufacturer,"Manufacturer of quality inspection, machine vision, rugged networking systems and software for industrial applications. Products include turnkey visual inspection system, connectivity devices, gateways, frame grabbers, network interfaces and video switchers. Capable of automated inspection, high-performance imaging, object detection, rapid decision making and multi-sensor working. Serves the parts manufacturing, print and packaging, consumer goods, food & beverage, industrial automation, medical, security, and defense industries.","Global manufacturers and brand leaders rely on Pleora's AI and machine vision solutions, systems expertise, and standards knowledge to shorten time-to-market, reduce risk, and lower costs.

AI for Quality Inspection: Reduce errors and risks, lower costs, and automate manual tasks with end-to-end solutions for AI quality inspection.

Machine Vision Automation: Speed design of sensor-to-display connectivity and high-performance imaging solutions for real-time industrial, medical, and defense systems.

Rugged Networking and AI: Deploy automated and rapid decision-making to imaging systems operating in harsh environments with flexible and scalable multi-sensor networking and AI.",www.linkedin.com/company/pleora-technologies/,Not Available,50-99  Employees,"Digital Communication Systems
Communication & Connectivity Devices
Communication Equipment


Communication Equipment: Digital
Communication Systems
Data Communication Equipment & Systems","All Products / Services

Inspection Equipment
Machine Vision Systems
Imaging Equipment
Automation Systems
Communication Systems
Grabs


Interfaces
Modules
Network Equipment
Platforms
Software
Switchers"
"Cepoint Networks, LLC",603-557-7464,https://www.cepoint.com/,"Nashua, NH 03060 | Locations",Manufacturer,"Manufacturer of applied computing systems, industrial strength 1U Rackmount computing systems, enterprise storage raid, network communication systems, applied computing products, and technologies. Products include, 48V DC and 110V DC powered NAS servers, raid storage, imaging system, medical imaging, high speed DVR with IRIG-B, mobile computers, shipboard computers & carrier grade servers. IDE-raid, SATA Raid, NAS, ISCSI, frame grabbers, portable computers, fault-tolerant, fault-resilient computers , battery powered servers, cluster node, imaging & uncompressed video. Industries served include rf microwave, telecommunications, test and measurements, military electronics and high technologies industry, industrial, aerospace, scientific, laboratory, R & D & homeland security.","Cepoint Networks established in 2000 is a IT systems integration and manufacturing company, specializing in high performance Industrial data acquisition, industrial strength computing, Enterprise storage server products, communications, and applied computing products and technologies for scientific applications and industrial processes. 

 INDUSTRY SUPPORT:

Aerospace and Defence

Homeland Security

Broadcast and Multimedia

Information Technology

Power Grid & Generation

Manufacturing

Oil & Gas

PRODUCTS & SOLUTIONS:

Rugged rack mount Computers for harsh environments

Advanced storage solutions for mission-critical applications

High performance Real-time Digital Video recorders/Image acquisition systems

Broadcast and multimedia

Data Acquisition

Advanced Surveillance and Security systems

PRODUCT HANDLING & MANUFACTURING PROCESSES:

Cepoint applies stringent Quality and manufacturing process in every job or product

Vendors and parts are carefully selected

Every project, job or product is per custom More... basis and with respect to customer requirements

 Third party testing is used where necessary

 Cepoint adheres to ISO 9001/9002 standard Less",,$250 Mil. and over,500-999  Employees,"Digital Communication Systems
Communication Equipment
Communication Equipment: Digital
Communication Systems
Communication Systems & Radios: Tactical


Communication Systems: Broadcasting
Communication Systems: Digital Distribution
Communication Systems: Microwave
Communication Systems: RF
Communication Systems: Satellite

View all Communication Systems categories","All Products / Services

Analyzers
Archive Systems
Arrays
Audio Visual (AV) Equipment
Bridges
Cameras
Cold Chain Equipment
Communication Services
Communication Systems
Computer and Communication Terminals


Computers
Conferencing Equipment
Conferencing Services
Consulting Services
Controls and Controllers
Data Acquisition Systems
Data Loggers
Disk Subsystems
Displays
Distribution Systems

View all products / services offered"
Fox Valley Fire & Safety,847-695-5990,https://www.foxvalleyfire.com/,"Elgin, IL 60124",Turnkey Systems Integrator,"Distributor and turnkey systems integrator of fire and safety products. Fire alarms, monitoring systems, wireless transceivers, portable and wheeled fire extinguishers, fire blanket, hose, extinguisher and valve cabinets, control panels, engineered fire suppression equipment, emergency exit lightings, inverters, security systems and sprinkler equipment are available. Fire alarm products include communication systems, detectors/sensors, pull stations, initiating devices, strobes, horns, speakers, chimes and bells. Security systems include reader and telephone access controls, proximity cards and readers, keypads, cameras and intercoms. Sprinkler products include valves, heads, switches, backflow preventers, gauges, compressors, anti-freezers and corrosion monitoring equipment. Capabilities include on-site surveying, designing, engineering, installation, training, inspection and repairing. Markets served include commercial, retail, restaurants, hospitals, schools, industrial and warehouses. 24 x 7 emergency services are available. NICET certified.","The Authoritative Source for Customized Fire & Safety Protection.

Serving Chicagoland Since 1960.

NICET Certified",www.linkedin.com/company/3334806?trk=tyah,$25 - 49.9 Mil,200-499  Employees,"Digital Communication Systems
Communication Equipment


Communication Systems","All Products / Services

Adapters
Alarms
Amplifiers
Annunciators
Antifreeze
Appliances
Batteries
Bells
Blankets
Boxes
Brackets
Cabinets
Cameras


Caps
Cards
CCTV Equipment
Charges
Chimes
Cleaning Equipment
Communication Systems
Compressors
Connectors
Consulting Services
Contractors
Controls and Controllers
Couplers and Couplings

View all products / services offered"
"KenCast, Inc.",203-359-6984,https://kencast.com/,"Norwalk, CT 06854",Manufacturer,"Technology company providing multimedia communication solutions. Products include multimedia content delivery software and hardware solutions delivering live streaming content over the internet, and used for content delivery applications such as digital signage, IDL, digital cinema, and mobile video delivery.",,,$1 - 4.9 Mil,10-49  Employees,Digital Communication Systems,"All Products / Services

Communication Systems
Conferencing Equipment
Integrators


Software
Software Services"
"Stam, Inc.",440-974-2500,https://staminc.com/,"Mentor, OH 44060",Custom Manufacturer,"Custom precision tubing solutions such as bending, fabricating, and cutting. Capable of processing parts and assemblies including tubes and pipes in various sizes and shapes such as round, square, and rectangular. Materials worked with include brass, carbon steel, copper, titanium, and aluminum alloy. Provides low to high volume production runs. Also offers pressurized testing services. Serves various industries such as oil and gas, sanitary and food equipment, commercial HVAC, military, and construction. Lead time is 2 days to 4 weeks with available rush and emergency services.","Stam Inc. is a custom tube bending service company, founded in 1973 to produce tubular fabrications for the heavy truck industry. Since then, we have grown and broadened our precision tube bending capabilities. Today, Stam provides custom tube bending services to the marine, aerospace, agriculture, food preparation equipment, construction equipment and specialty vehicle markets. Whether you need one piece or twenty thousand pieces, Stam Inc. is positioned to be your ""one-stop"" world-class supplier.",www.linkedin.com/company/3090302?trk=tyah&trkInfo=tarId%3A1402338230795%2Ctas%3Astam%2C%20inc%2Cidx%3A2-2-7,$10 - 24.9 Mil,50-99  Employees,Digital Communication Systems,"All Products / Services

Assemblies
Automotive Parts
Beading Services
Bending Services
Brazing Services
Coating Services
Communication Systems
Corrosion Resistant Products
COVID-19 Response
Cutting Services
Drilling Services
Exchangers
Fabrication Services
Fittings


Forming Services
Hydroforming Services
Job Shop Services
Machining
Manufacturing Services
Marine Equipment
Medical Components
Notching Services
Pipe Fittings
Pipes
Punching Services
Shearing Services
Sizing Services
Slotting Services

View all products / services offered"
Virtual Tech Computer Solutions,309-433-0032,https://virtualtechsolutionsusa.com/,"Peoria, IL 61615",Service Company,"Supplier of information technology services/systems, including internet, ethernet, cyber security and cloud solutions.",,,Not Available,Not Available  Employees,"Digital Communication Systems


Communication Systems","All Products / Services

Cloud Services
Communication Systems


Internet Services"
Converged Digital Networks (CDN),630-390-3200,https://www.dndc.com/,"Downers Grove, IL 60515",Turnkey Systems Integrator,"Design, installation and maintenance of digital communication networks. Products such as telephone systems, cabling, routers and WANs, card readers, video surveillance and door-strike entry systems can be installed.","Converged Digital Networks is a multi-faceted telecommunications family-owned company providing reliable, high quality and cost effective solutions and services to a wide-range of customers from small business to enterprise.

Our Story

Founded in 1987 by Joseph R. Weddle as Digital Network Development Company (DNDC), the company was renamed Converged Digital Networks (CDN) as a result of digital networks becoming less of a mission for the company. Converged Digital Networks was born to support the changing landscape of technology and our ability to change with technology.

​Our Mission

Our mission at Converged Digital Networks is to be the trusted and recognized leader and supplier of choice in business communications by providing innovative and cost effective solutions that meet the customers' needs.

Our Goal

Our goal is to exceed our customers' expectations through extraordinary service, support and vision.

Our Managed Services Program

We are pleased to offer a managed services program More... option so that customers can minimize the risks and responsibilities associated with ownership and operation of their communications system while maximizing their investment.

 Managed Services Benefits:

 - Full Service and Warranty

 - Guaranteed Rates for Expansion

 - Free Software Upgrades

 - Disaster Recovery Provision

 - No Penalty Obsolescence Protection& Recast Flexibility

 - Risk of Loss Coverage (including Software viruses)

 - System Training

 - Discounted System Relocation

 - Guaranteed Renewal Options

 - Flexible Contract Terms Less",www.linkedin.com/company/converged-digital-networks,$1 - 4.9 Mil,10-49  Employees,"Digital Communication Systems
Communication Equipment
Communication Products, Components & Systems


Communication Systems
Communication Systems: Wireless
Wireless Communication Systems: Government","All Products / Services

Communication Systems
Consulting Services
Electric Wire, Cable and Cable Assemblies
Fiber Optic Cable and Cable Assemblies
Integration Services
Maintenance and Repair Services
Networks


Optics
Routers
Telecommunications Equipment
Telecommunications Services
Telephone Systems
Telephones"
Timewave Technology Inc.,651-489-5080,https://timewave.com/,"Saint Paul, MN 55113",Manufacturer,"Manufacturer of voice and digital communication systems for the military, marine, and radio industries. Products include telemetry and radio modems, signal processing systems, noise reduction filters, software, and fiber optic computer interfaces. Adapters, analyzers, controllers, detectors, decoders, and noise cancellers are also available. Suitable for commercial and government applications. Made in the USA.",,,Under $1 Mil,1-9  Employees,"Digital Communication Systems
Communication & Connectivity Devices
Communication Equipment: Digital
Communication Products, Components & Systems


Communication Systems
Communication Systems: Mobile Voice
Military Communication Systems","All Products / Services

Adapters
Analyzers
Cancellers
Communication Systems
Controls and Controllers
Decoders
Filters


Hardware
Interfaces
Modems
Processors
Sensors / Detectors / Transducers
Software
Telemetry Systems"
