Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
Airgas,877-550-9866,https://www.airgas.com/,"Conshohocken, PA 19428 | Locations",Distributor,"Manufacturer of industrial, medical and specialty gases and distributor of related hardgoods, welding supplies, safety products. Producer and distributor of nitrous oxide and dry ice, liquid carbon dioxide, process chemicals, refrigerants & ammonia products. Locations include over 900 branches, cylinder fill plants, production facilities, specialty gas laboratories & regional distribution centers.","Airgas, Inc., an Air Liquide company, through its subsidiaries, is the largest U.S. distributor of industrial, medical and specialty gases, and hardgoods, such as welding equipment and supplies. Airgas is also a leading U.S. producer of atmospheric gases, carbon dioxide, dry ice, and nitrous oxide, one of the largest U.S. distributors of safety products, and a leading U.S. distributor of refrigerants, ammonia products, and process chemicals. 

Airgas was founded in 1982. Through approximately 400 acquisitions and internal growth, Airgas has built the largest national distribution network in the packaged gas industry. More than 14,000 employees work in more than 1,100 locations includes branches, cylinder fill plants, production facilities, specialty gas laboratories, and regional distribution centers to serve a diversified customer base. Airgas markets through multiple channels, including its own branches and outside sales force, a Strategic Accounts Team focused on large customers, distributors More... and resellers, telesales, catalog and eBusiness channels. Less",www.linkedin.com/company/airgas,$250 Mil. and over,1000+  Employees,"Gas Detectors: Digital
Detectors: Gas
Detectors: Leak


Gas Detectors: Custom
Gas Leak Detection Equipment","All Products / Services

Welders
Welding Supplies
Welding Rods, Wire and Electrodes
Treatment Equipment
Valves
Robots
Machinery
Sensors / Detectors / Transducers
Abrasive Compounds / Media
Analyzers
Automation Systems
Consumables


Cutters and Cutting Machinery
Cylinders
Gas Companies
Gas Equipment
Helmets
Monitors
Safety Equipment
Torches
Absorbers
Acetylene
Adapters
Alarms

View all products / services offered"
BDI,866-778-5680,https://www.bdiexpress.com/us/en/,"Cleveland, OH 44125 | Locations",Distributor,"Represents and provides local inventories on hundreds of thousands of products. Global source for MRO and OEM distribution of bearings, mechanical p/t, electrical p/t, hydraulic and pneumatic p/t, sealants and adhesives, hose and rubber products, conveyor belting, material handling systems, industrial tools, and many other industrial products. Specializing in the replacement and application of all types and combinations of devices used in manufacturing facilities.","Our sales and field service forces include highly skilled and trained individuals who specialize in the application of products and services that BDI offers. Working closely with our customers, we provide cost-saving solutions and value-added services including technical expertise, engineering support, repair and inspection, inventory management, product pipeline and storeroom management services.",www.linkedin.com/company/bdi,$250 Mil. and over,1000+  Employees,"Gas Detectors: Digital


Detectors: Gas","All Products / Services

Conveyors
Bearings
Motors
Gearheads and Gearboxes
Gears
Adhesives
Additive Manufacturing Services
Belts
Switches
Harnesses
COVID-19 Response
Heaters
Medical Personal Protective Equipment (PPE)
Motor Controllers and Drives


Bushings
Couplers and Couplings
Fittings
Plugs and Stoppers
Hose
Janitorial Supplies
Safety Equipment
Sensors / Detectors / Transducers
Cylinders
Protectors
Actuators
Power Supplies
Tools
Grease

View all products / services offered"
Control Instruments Corp.,844-339-6766,http://www.controlinstruments.com,"Fairfield, NJ 07004-3295",Manufacturer,"Manufacturer of analyzers, flame ionization detectors and gas sensors. Flammability, British thermal unit (BTU) and infrared process analyzers are offered. Accessories such as calibration equipment, fuel changeover system and touch screen operator interface are available. Serves the chemical and pharmaceutical process, coil coating, gas, oil, pollution control, process oven, dryer, pulp mill, semiconductor, renewable energy, and wastewater treatment industries.","Since 1969 Control Instruments Corporation has dedicated their expertise to the industrial community, providing safe and efficient environments for companies worldwide. We engineer and manufacture high quality solutions to both simple and complex gas detection problems, leaving your facility, employees, and environment safe and secure. Our highly successful gas detection systems are the industry standard for lower flammable limit (LFL) and total hydrocarbon monitoring and are installed and used under the most demanding conditions, from printing, coating, and flexible packaging processes to semiconductor, pharmaceutical and chemical manufacturers. Control Instruments Corporation's family of gas detection products includes continuous process analyzers, flammable gas analyzers, BTU heating value analyzers, hydrocarbon detectors, oxygen, hydrogen sulfide and carbon monoxide monitors and remote access and control devices for all of your gas detection and solvent vapor monitoring needs.",www.linkedin.com/company/control-instruments-corporation,$10 - 24.9 Mil,10-49  Employees,"Gas Detectors: Digital
Detectors: Gas
Detectors: Combustible Gas
Sensors: Gas
Detectors


Detectors: Carbon Monoxide
Detectors: Electrochemical
Detectors: Flame
Detectors: Hydrogen Sulfide
Detectors: Leak

View all Sensors / Detectors / Transducers categories","All Products / Services

Sensors / Detectors / Transducers
Analyzers
Instruments
Alarms
Calorimeters
Controls and Controllers
COVID-19 Response


Indicators
Measuring Equipment
Monitoring Systems
Monitors
Safety Equipment
Testers"
"Figaro USA, Inc.",866-486-0128,https://www.figarosensor.com/,"Rolling Meadows, IL 60008",Manufacturer,"Manufacturer & distributor of solid state & electrochemical gas sensors for combustible gases, carbon monoxide, ammonia, hydrogen, hydrogen sulfide, Freon, hydrocarbon, organic vapor, alcohol & oxygen, for use in gas leak alarms, CO detectors, ventilation control, automatic microwave ovens, breath analyzers, space heaters, water heaters, in-plant monitoring, fermentation control, fire detectors & toxic gas detectors.","The world leader in gas sensing innovation, Figaro has more than 50 years of experience in supplying cost-effective gas sensing solutions in the field of safety, air quality control, HVAC, home appliances, and the automotive industry.",www.linkedin.com/company/figaro-engineering/,$25 - 49.9 Mil,1-9  Employees,"Gas Detectors: Digital
Detectors: Gas
Sensors
Sensors: Gas
Detectors: Carbon Dioxide


Sensors: Carbon Dioxide
Automotive Sensors
Detectors
Detectors: Ammonia
Detectors: Carbon Monoxide

View all Sensors / Detectors / Transducers categories","All Products / Services

Sensors / Detectors / Transducers
Monitors


Alarms
Analyzers"
"PCE Americas, Inc.",844-842-6529,https://www.pce-instruments.com/f/t/us/main.htm,"Jupiter, FL 33458",Manufacturer,"Manufacturer of instruments and related products for commercial, industrial, university and research institution applications. Selection includes analytical, baby, basis weight, carat, compact portable, gold, GSM, jewelry, pharmacy, precision, spring, weighing, moisture, electronic and laboratory balances, animal weighing, approved, hand pallet truck, hanging, health, HGV, benchtop, bench counting, parcel, part counting, portioning, platform, dual display, checkweighing, controlling, container, crane, livestock, system, shipping, table top, trade approved, washdown, floor and lifter scales, measuring instruments and laboratory equipment.",,,Under $1 Mil,1-9  Employees,"Gas Detectors: Digital
Automotive Sensors
Detectors
Detectors: Carbon Monoxide
Detectors: Flaw


Detectors: Gas
Detectors: Hydrogen Sulfide
Detectors: Leak
Detectors: Radiation
Detectors: Refrigerant Leak

View all Sensors / Detectors / Transducers categories","All Products / Services

Flowmeters
Borescopes
Measuring Equipment
Cold Chain Equipment
Data Loggers
Meters
Vaccine Cold Chain Supplies and Logistics
Analyzers
Cameras
Instruments


Photometers
Scales
Accelerometers
Gages
Magnetometers
Alarms
Anemometers
Balances
Beams
Calibration Services

View all products / services offered"
MSA Safety,855-229-7402,https://us.msasafety.com/,"Cranberry Township, PA 16066",Manufacturer,"Manufacturer of fixed gas and flame detection products. Various products include general gas or combustible monitors, open path gas, flame and leak detectors and controllers. Gateways and routers are also available. Serves the building, HVAC, oil, gas and utility industries.","For over 100 years, MSA has built a legacy of safety product innovation and reliability by protecting generations of lives in dangerous workplaces. We've been the world's leading manufacturer of high-quality safety products providing sophisticated devices and protective gear - the result of countless R&D hours, relentless testing, and an unwavering commitment to quality that saves lives and protects thousands of men and women each day.

Among our core product focuses are fixed gas and flame detectors / systems, IIoT gateways & routers, and PPE. Our full line of monitors and controllers continually evolve bringing you the latest, most advanced technology available to detect potential dangers and hazardous situations.",,$250 Mil. and over,1000+  Employees,"Gas Detectors: Digital
Detectors: Gas
Sensors: Gas
Detectors: Combustible Gas
Detectors: Flame


Detectors: Flame, UV/IR
Detectors: Toxic Gas
Gas Detection Systems
Gas Detectors: Fixed System
Detectors

View all Sensors / Detectors / Transducers categories","All Products / Services

Sensors / Detectors / Transducers
Monitors
Alarms
Gateways
Controls and Controllers


Displays
Monitoring Systems
Routers
Samplers"
"Eagle Microsystems, Inc.",610-323-2250,https://www.eaglemicrosystems.com/,"Pottstown, PA 19464",Manufacturer,"Designer, engineer and manufacturer of mechanical and electronic scales, weighing systems, volumetric feeders and analytical instruments for water treatment and industrial environments. Also providing a versatile series of displays for standalone or computer interfaced operation. Products and systems are modified and configured to meet specified requirements. Products and services include: weigh products and systems for cylinders, ton containers, carboys, drums and tanks, specializing in corrosion-proof weigh bases and microprocessor-based electronics. Weigh products and feeder systems for industrial weighing, filling and batching applications. Design, development and manufacturing of microprocessor-based instrumentation utilized in a variety of environmental and industrial products.","Eagle Microsystems has been an active industrial weighing specialist for nearly half a century.

Founded as manufacturers representatives, the company has grown into a full service developer of high-quality mechanical and electronic scales. We design, engineer and manufacture all of our products to rigid quality standards for a broad range of applications. Currently, Eagle Microsystems products and services include:

- Manufacturing of weigh products and systems for cylinders, ton containers, carboys, drums and tanks, specializing in corrosion-proof weigh bases and microprocessor-based electronics.

- Manufacturer of weigh products and systems for industrial weighing, filling and batching applications.

- Design, development and manufacturing of microprocessor-based instrumentation utilized in a variety of environmental and industrial products.

Engineering:

Since the 1960's, engineering weighing systems, devices and supporting electronics for the industrial, chemical and water industries has More... been our focus. Keeping pace with industry changes, manufacturing methods and new environments has made us a leader for both turnkey systems and custom solutions that tap our broad experience.

 Product development:

 When developing new products, we work closely with our customers to make sure each enhancement is based on real-world needs. That might mean improved interfacing or actual product design changes to improve versatility.

 Custom design and consulting:

 We are often called upon to assist manufacturers, raw materials providers and end users to design custom system/solutions for special environments, materials or other situations where an off-the-shelf design is not sufficient. Less",,Not Available,1-9  Employees,"Gas Detectors: Digital
Detectors
Detectors: Electrochemical
Detectors: Electronic
Detectors: Gas


Detectors: Leak
Detectors: Ozone
Detectors: Sulfur Dioxide
Industrial Leak Detectors
Sensors

View all Sensors / Detectors / Transducers categories","All Products / Services

Scales
Feeders and Feed Systems
Analyzers
Controls and Controllers
Indicators
Monitors
Transmitters
Cells
Containment Systems
Converters


Dispensers
Disposal Equipment
Engineering Services
Frames
Instruments
LEDs
Measuring Equipment
Plant Equipment
Platforms
Process Machinery

View all products / services offered"
DOD Technologies,888-897-6044,https://dodtec.com/,"Cary, IL 60013",Manufacturer,"Manufacturer of gas detection systems and solutions. Products include badges, tubes, consumables, controllers, HMI's and OEM sensors. Cassettes, kits, software, tapes, test strips and transmitters are also available. Semiconductor, solar, chemical, wastewater, engineered wood and emergency services industries served.","DOD Technologies is a leading global supplier of integrated gas detection systems and solutions. Our innovative products, services and systems protect, support and save lives. Semiconductor, Solar, Specialty Chemical, Polyurethane foam, Wastewater, Engineered wood and emergency services industries have trusted in DOD Technologies since our inception. With over 100 years of combined instrumentation and application knowledge, DOD Technologies is prepared to offer solutions for your toughest gas monitoring requirements.",www.linkedin.com/company/dod-technologies-inc.,$10 - 24.9 Mil,10-49  Employees,"Gas Detectors: Digital
Detectors: Gas
Detectors: Leak
Detectors: Combustible Gas
Detectors: Toxic Gas


Gas Detectors: Methane
Gas Leak Detection Equipment
Helium Leak Detectors
Oxygen Sensors: High Temperature
Sensors: Electrochemical

View all Sensors / Detectors / Transducers categories","All Products / Services

Sensors / Detectors / Transducers
Analyzers
Spectrometers
Alarms
Badges
Cassettes
Cylinders
Instruments
Measuring Equipment


Monitoring Systems
Monitors
Rental and Leasing Services
Safety Equipment
Samplers
Strips
Tapes
Transmitters
Tubes"
Colonial Teltek,610-312-8100,https://www.colonialteltek.com/,"King of Prussia, PA 19406",Distributor,"Distributor of underground communication and aerial hardware, bridge support, and cabling products. Offers conduits, fiber optic cables, racks, cable lashers, and cleaners. Serves the outside plant, telecommunication, and utility industries.","Customers of Colonial Teltek have access to quality telecommunication, utility and outside plant products, and the highest level of service in the outside plant and fiber optic market. They also reap the benefits of one of the largest independent, family-owned and operated electrical distributors in the area.

Over $20 million in inventory, along with customer-focused programs including 24-hour service, online account management, real time inventory status, and extensive training programs mean our focus on the client is top priority, and second-to-none.

Along with this passion for perfect service, it is our products that truly stand apart. Underground conduits and fittings, couplings, handholes, and accessories, fiber optic equipment, aerial hardware and tools, bridge support equipment, and both underground and overhead markers are all engineered to the highest standards.",www.linkedin.com/company/3239508?trk=tyah,$10 - 24.9 Mil,200-499  Employees,"Gas Detectors: Digital
Detectors
Detectors: Combustible Gas
Detectors: Gas
Detectors: Leak


Detectors: Propane
Gas Detectors: Methane
Industrial Leak Detectors
Leak Detectors: HVAC
Sensors

View all Sensors / Detectors / Transducers categories","All Products / Services

Pipes
Conduits and Ducts
Adapters
Bushings
Caps
Connectors
Couplers and Couplings
Elbows
Enclosures
Fiber Optic Cable and Cable Assemblies


Fittings
Hardware
Plugs and Stoppers
Telecommunications Equipment
Wyes
Additives
Adhesives
Anchors
Aprons
Attachments

View all products / services offered"
Broner Glove & Safety Company,855-278-8109,https://shop.bronersafety.com/,"Auburn Hills, MI 48326",Distributor,"Distributor of personal protective equipment, safety products and plant safety/identification products. Safety products such as hats, gloves, sleeves, earmuffs, earplugs, face shields, headgear, welding goggles, safety glasses, side shields, hard hats, boots, aprons, protective clothing, back and knee supports, respirators, harnesses and lanyards are available. Plant safety products include first aid kits, beverages, matting, emergency showers, eye/face wash equipment, flashlights, flares, mirrors, knives, welding curtains, blankets, safety cans, cabinets, sorbents and wipers. Plant identification products such as signs, tapes, cones, wheel chocks and protective shields are available. Capabilities include inventory management, stock level-turn measurements, transaction analysis, noise level/fit testing and reporting. Training and warehousing services available. Customized signs and labels are also available. Safety products are OSHA compliant.","Since 1933, commitment to customers has been our driving force. Back then we provided work gloves to the employees of our country's first automotive plant to help keep them safe, and now we're fully committed to making a difference in safety for our customers in many proven ways! The Broner team is continuously trained over 40 hours each year to understand work place hazards and solutions, regulations, products and applications. Also, we're ready to help serve you with specific plant surveys, safety training, inventory management, and business process savings which include e-commerce capability, EDI, vending, transactional processes, and more!

We're proud to be a member of SafetyNetwork.me, a network of safety distributors and manufacturers working together to serve the needs of the local and national marketplace by sharing best practices, exclusive educational courses and a true commitment to safety.

Finally, our continuous certification of meeting ISO 9001:2008 standards since 1999 means More... we take the voice of our customers seriously in order to exceed satisfaction and service expectations. From same day service to RF fulfillment centers, from real time order tracking to a smile and thank you for each opportunity, Broner is committed to making a difference in your safety program to assist you in bringing your workers home safely every day! Less",www.linkedin.com/company/broner-incorporated,$10 - 24.9 Mil,10-49  Employees,"Gas Detectors: Digital
Detectors: Gas


Detectors: Toxic Gas
Sensors / Detectors / Transducers: Honeywell","All Products / Services

COVID-19 Response
Gloves
Medical Personal Protective Equipment (PPE)
Protectors
Safety Equipment
Absorbers
Adapters
Air Filtration Equipment & Supplies
Alarms
Analgesics
Analyzers
Anchors
Antacids


Antiseptics
Applicators
Aprons
Aspirin
Bandages
Bandanas
Bands
Banners
Barrels and Drums
Barricades
Barriers
Bases
Baths

View all products / services offered"
