Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
"Keller America, Inc.",888-466-1079,https://www.kelleramerica.com/,"Newport News, VA 23606",Manufacturer,"Manufacturer of OEM, level, pressure and temperature instruments and components such as sensors, transmitters, transducers, loggers and gages. Optional accessories such as assemblies, fittings, hangers, enclosures and protectors are available. Serves the oil and gas reservoir, migrating marine mammals, medical devices and commercial aircraft industries.","Keller is a world leading manufacturer of pressure measurement instrumentation. From pressure sensors to completed transmitters, autonomous level loggers, and digital pressure gauges, Keller instruments provide proven, reliable, high accuracy solutions for applications in aerospace, automotive, oil & gas, defense, water, wastewater, groundwater, food and beverage, oceanographic, pharmaceutical, and medical industries. 

Keller America is the North American subsidiary of KELLER AG für Druckmesstechnik, and is tasked with providing local market sales on support for all Keller products. Keller America also houses a state of the art manufacturing facility for production of several versatile level and pressure transmitters, built to your specifications in only 3 short business days.",www.linkedin.com/company/keller-america-inc.?trk=biz-companies-cyf,$5 - 9.9 Mil,10-49  Employees,"Instruments: Digital
Instruments
Instruments: Aircraft


Instruments: Marine
Instruments: Medical
Instruments: Precision","All Products / Services

Sensors / Detectors / Transducers
Gages
Transmitters
Calibrators
Cold Chain Equipment
COVID-19 Response
Data Collection Systems
Data Loggers
Indicators
Instruments


Intrinsically Safe Products
Logging Equipment
Measuring Equipment
Medical Components
Medical Products and Hospital Equipment
Thermometers
Tier 2 Medical Mfg. Supplies, Materials, Components & Services
Transponders
Vaccine Cold Chain Supplies and Logistics"
Associated Bag,877-881-7290,https://www.associatedbag.com/Default.aspx,"Milwaukee, WI 53207 | Locations",Distributor,"Supplier of packaging, shipping and workplace products. Various products include adhesives, amber, anti-rust, anti-static, aprons, autoclave, bags, bandages, barrier, batteries, binders, boxes, brooms, bubble, buckets, burlap, can liners, cartons, carts, cleaners, containers, corrugated, covers, desiccants, dispensers, drums, envelopes, fasteners, fill, film, foam, folders, gaylord boxes, glasses, gloves, goggles, heat sealers, janitorial, knives, Kraft, labels, mailers, markers, masks, medical, office, packing lists, pails, pallets, paper, peanuts, plastic, polyethylene, polypropylene, pouches, protectors, recycling, removers, respirators, rope, rubber bands, safety, sanitizers, scrapers, sealers, sheets, shrink, sleeves, soaps, sorbents, stands, staplers, strapping, stretch, tamper-evident, tape, tarps, ties, tissue, tools, totes, towels, trays, hand trucks, tubing, twine, Tyvek®, vests, vinyl, wipers, wire, wrap and zippers are also available. Custom items available. Many products manufactured in the USA. Same day shipping.","""I wish that all of our suppliers provided the level of service that Associated Bag does"" - This comment, or something like it, is what we hear most often from our customers, especially the ones that have been with us for 10, 20, 30 or more years. While we have offered a huge variety of packaging, shipping, and workplace products for over 80 years, it is our unwavering commitment to customer service and satisfaction that keeps people coming back to Associated Bag again and again.

A family-owned business since its founding in Milwaukee in 1938, Associated Bag follows the Golden Rule, treating our customers the way that we would like to be treated. We look to continually surprise and delight the businesses we work with by providing services like free samples of most of the items we carry' making sure our product is a perfect fit. And if our items don't exactly meet our customer's needs, we can often work with them to create a custom product that will.

Our 6-month quote guarantee is unequaled More... in our industry, giving our customers the flexibility to order whenever the time is best for them.

 FLEX Warehousing allows our customers to enjoy the advantages of buying in bulk, without the hassle of long-term storage - we only ship the amount needed and only charge for the portion that is shipped!

 New customers enjoy instant credit, eliminating the delays often experienced with other suppliers. And customers new and old also enjoy the benefits of same-day shipping and no handling fees.

 Our 100% satisfaction guarantee means that we'll do whatever it takes to make sure that you are happy with your order. And should your business needs change after an order is received, we give you an industry-leading 365 days to return any unused/undamaged merchandise for a full refund!

 If you'd like to put this unbeatable level of service to work for you, go to our website or give us a call today. Our full product selection is online and we will be happy to send you a copy of our latest catalog at no charge. We look forward to showing you top-quality products and unparalleled customer service that will keep you coming back for more! Less",www.linkedin.com/company/associated-bag-company?trk=cp_followed_name_associated-bag-company,Not Available,200-499  Employees,"Instruments: Digital


Instruments","All Products / Services

Bags
Boxes
Film
Packaging Materials
Janitorial Supplies
Tapes
Hurricane Response
Emergency Shelters & Shelter Supplies
Containers
Straps
Strapping and Banding
Cleaning Compounds and Chemicals
Janitorial Equipment
Labels


Liners
Ties
Wrap
Cold Chain Packaging Supplies
COVID-19 Response
Gloves
Hurricane Personal Protective Equipment
Mailers
Medical & First Aid Supplies
Medical Personal Protective Equipment (PPE)
Medical/Hospital Consumable Supplies
Packs
Vaccine Cold Chain Supplies and Logistics
Wipes and Wipers

View all products / services offered"
Siemens Process Instrumentation,855-628-0145,http://www.usa.siemens.com/pi,"Harleysville, PA 19438",Manufacturer,"Manufacturer of process instrumentation for pressure, temperature, flow, level and weight measurement. Products include pneumatic valve positioners, calculators, flow or motion sensors, weighing scales, transmitters, transducers, regulators, relays, feeders and process protection devices. Plant device management maintenance stations are also available. Accessories such as input and output isolators, instrumentation displays, monitoring devices and adapters are offered.","Siemens Process Instrumentation brings you innovative measurement solutions to increase plant efficiency and enhance product quality, including flow, temperature, pressure, level, weighing and valve positioning. And we understand that in the process industry, every second counts which is why we offer world-class engineering, testing and production directly from our 183,000 sq. ft. state-of-the-art manufacturing facility in North America. Your production doesn't stop, so why would we? Siemens delivers the instruments you need and the reliability you depend on, with same-day shipping and service available 24 hours a day, 365 days a year.",www.linkedin.com/company/siemens-industry-us,$250 Mil. and over,1000+  Employees,"Instruments: Digital
Instruments
Instruments: Diagnostic


Instruments: Precision
Instruments: Ultrasonic","All Products / Services

Flowmeters
Sensors / Detectors / Transducers
Cells
Scales
Transmitters
Positioners
Controls and Controllers
Measuring Equipment
Process Machinery
Adapters
Ammeters
Calculators


Corrosion Resistant Products
Displays
Feeders and Feed Systems
Filters
Handling Equipment
Instruments
Isolators
LEDs
Meters
Modules
Monitoring Systems
Monitors

View all products / services offered"
"Emerson Automation Solutions, Regulators and Relief Valves",855-816-0856,https://www.emerson.com/en-us/automation/fisher,"McKinney, TX 75070 | Locations",Manufacturer,"Manufacturer of automation and HVAC products for commercial and residential applications. Products include valves, actuators, regulators, filters, gages and AC controls. Industries served include automotive, chemical, marine, OEM and medical. ISO 9001 certified.","At Emerson, our pressure regulators and valves, pressure and safety relief valves and flow control systems are engineered to exacting standards, each carefully designed, thoroughly tested and developed to handle higher pressures while providing increased delivery capacity, reduced noise output and zero emission. We go beyond baseline industry standards to ensure our equipment operates reliably in even the most extreme conditions anywhere in the world. We are committed to continually raising the bar in our efforts to develop still higher quality, more advanced systems that operate safely and reliably well into the future.

Emerson brings together technology and engineering to provide an expanding array of innovative manufacturing and processing solution for industrial, commercial, and consumer markets. Emerson helps process, hybrid, and discrete manufacturers maximize production, protect personnel and the environment while optimizing their energy and operating costs.

Throughout the world, More... Emerson supplies leading liquefied petroleum gas (LP-Gas) suppliers with the broadest available line of Fisher's commercial service LP-Gas regulators and bulk storage and transport equipment. Renowned as the propane industry standard for reliable pressure regulation, Fisher LP-Gas valves and regulators provide high value solutions across a range of stationary storage and mobile applications. With more than 2,000 technical experts at over 200 locations. Less",www.linkedin.com/company/emerson-automation-solutions/,$50 - 99.9 Mil,1000+  Employees,"Instruments: Digital
Instruments: Process Control


Instruments: Temperature Control","All Products / Services

Regulators
Valves
Gages
Traps
Actuators
Arresters
Assemblies
Automation Systems
Blanketing Systems
Boosters
Boxes
Breakers
Breathers


Bushings
Compressors
Conditioners
Conduits and Ducts
Connectors
Consulting Services
Controls and Controllers
Cylinders
Disconnects
Eductors
Ejectors
Elbows
Electric Wire, Cable and Cable Assemblies

View all products / services offered"
Carolina Scales Inc.,888-712-6773,https://www.carolinascales.com/index.html,"West Columbia, SC 29169",Distributor,"Distributor and servicer of industrial weighing and measuring equipment. Truck, railroad, and portable vehicle scales are available, as well as floor, bench, counting, used, crane and hanging, medical and health, retail, belt, conveyor, lift truck, and wheel loader scales. Also offers balances, weight indicators, load cells, weigh modules, junction boxes, remote displays, scoreboards, printers, scanners, labels, software, and traceability systems. Custom weighing systems and devices are also available. Capabilities include installation, calibration, inspection, certification, maintenance, repair, and rental services. Provides 24/7 emergency services. ISO/IEC 17025:2005 certified.","Carolina Scales Inc. was established in March 1950 to install and service mechanical truck scales throughout the southeast. During the 1970s and 1980s with the transition from mechanical to electronic devices, Carolina Scales grew from a small sales and service scale company to a quality supplier specializing in sales and the service of industrial weighing equipment, material batching and blending, data collection, calibration services, PLCs and weighing control systems, and one of the largest rental scale fleets.

Our goal is to combine industry product knowledge with superior customer service to help our customers keep pace with ever-changing technology. It is our responsibility to examine and understand our customers' requirements in order to make them more effective and competitive in their industry.",www.linkedin.com/company/2599007?trk=tyah,$1 - 4.9 Mil,10-49  Employees,"Instruments: Digital
Instruments
Instruments: Analytical
Instruments: Custom
Instruments: Electronic


Instruments: Physicians'
Instruments: Precision
Instruments: Process Control
Instruments: Program Control","All Products / Services

Scales
Calibration Services
Calibrators
Maintenance and Repair Services
Cells
Analyzers
Animal Health Products
Balancers
Balances
Bank Equipment


Barcode Systems
Batchers
Benches
Blending Services
Boards
Boxes
Certification Services
Construction Equipment
Controls and Controllers
Conveyors

View all products / services offered"
Control Instruments Corp.,844-339-6766,http://www.controlinstruments.com,"Fairfield, NJ 07004-3295",Manufacturer,"Manufacturer of analyzers, flame ionization detectors and gas sensors. Flammability, British thermal unit (BTU) and infrared process analyzers are offered. Accessories such as calibration equipment, fuel changeover system and touch screen operator interface are available. Serves the chemical and pharmaceutical process, coil coating, gas, oil, pollution control, process oven, dryer, pulp mill, semiconductor, renewable energy, and wastewater treatment industries.","Since 1969 Control Instruments Corporation has dedicated their expertise to the industrial community, providing safe and efficient environments for companies worldwide. We engineer and manufacture high quality solutions to both simple and complex gas detection problems, leaving your facility, employees, and environment safe and secure. Our highly successful gas detection systems are the industry standard for lower flammable limit (LFL) and total hydrocarbon monitoring and are installed and used under the most demanding conditions, from printing, coating, and flexible packaging processes to semiconductor, pharmaceutical and chemical manufacturers. Control Instruments Corporation's family of gas detection products includes continuous process analyzers, flammable gas analyzers, BTU heating value analyzers, hydrocarbon detectors, oxygen, hydrogen sulfide and carbon monoxide monitors and remote access and control devices for all of your gas detection and solvent vapor monitoring needs.",www.linkedin.com/company/control-instruments-corporation,$10 - 24.9 Mil,10-49  Employees,"Instruments: Digital
Instruments: Analytical
Instruments
Instruments: Electrochemical


Instruments: Process Control
Instruments: Safety
Instruments: Thermal
Instruments: Thermal Energy","All Products / Services

Sensors / Detectors / Transducers
Analyzers
Instruments
Alarms
Calorimeters
Controls and Controllers
COVID-19 Response


Indicators
Measuring Equipment
Monitoring Systems
Monitors
Safety Equipment
Testers"
"Thermocouple Technology, LLC",844-226-6504,https://www.tteconline.com/,"Quakertown, PA 18951-1736",Manufacturer,"Manufacturer of a full-line of temperature measurement products including thermocouples, RTD's, thermowells, transmitters, thermocouple wire, indicators, controllers & accessories. Field cuttable, platinum RTD's, thermowells & RTD's, industrial, high temperature, OEM custom designs, multipoint assemblies, sanitary, surface, PTFE encapsulated & hand-held probes, head & DIN rail transmitters, single & multiplair wire, protection tubes, junction boxes, heads, connectors, indicators, controllers, scanners & NIST calibrations available.","Thermocouple Technology, LLC. (TTEC) is an experienced group of professionals dedicated to the mission of providing precision temperature measurement and control devices for industry. Our pledge is to meet or exceed the requirements of our customers, joining with them and using our engineering and design resources to ensure that key process temperatures are being measured in the most accurate, efficient and reliable way.

TTEC products are being utilized at this moment by world-class companies to help them achieve their goals through accurate monitoring and control of temperatures in the Power generation, chemical/petrochemical, pharmaceutical, pulp and paper, aircraft and aerospace and steel industries. TTEC products also play key roles in the following important industries: cement, food processing, gas transmission, waste treatment, OEM's, semiconductor, plastics, ceramics, brick and clay, ferrous and non-ferrous metals, heat treating, industrial gases, building products, tire and rubber, More... medical, energy management, automotive, military, and many others. Less",www.linkedin.com/company/thermocouple-technology-inc./about/,$1 - 4.9 Mil,10-49  Employees,"Instruments: Digital
Instruments


Instruments: Electronic","All Products / Services

Thermocouples
Thermowells & Protection Tubes
Sensors / Detectors / Transducers
Electric Wire, Cable and Cable Assemblies
Transmitters
Adapters
Assemblies
Bayonets
Blocks
Calibration Services
Cold Chain Equipment
Connectors
Controls and Controllers


Corrosion Resistant Products
Covers
COVID-19 Response
Cutters and Cutting Machinery
Data Loggers
Fittings
Hardware
Heads
Indicators
Instruments
Kits
Lead
Leads

View all products / services offered"
"Ashcroft, Inc.",855-784-9762,https://www.ashcroft.com/,"Stratford, CT 06614",Manufacturer,"ISO 9001:2015, 14001:2015 and 17025:2017 certified. Manufacturer of pressure and temperature calibration, testing and measuring equipment. Products include digital/differential pressure gauges, transducers, transmitters, thermometers, thermowells, pressure/temperature switches, panel meters, test instruments, diaphragm seals, instrument isolators and mechanical gauge accessories. Types of thermometers include bimetal, gas actuated and digital thermometers. Test instruments such as digital pressure indicators, vacuum/pressure pumps and controllers, hydraulic testers and comparators are also offered. Serves the oil and gas, water and wastewater, chemical, power, HVAC/R, pharmaceutical, medical, food and beverage and semiconductor industries. RoHS and REACH compliant. CE certified. CSA approved. UL listed.","Ashcroft is a leading source of pressure and temperature instrument solutions for critical process and industrial/OEM (original equipment manufacturer) applications across the globe. Our extensive industry experience and customer-driven approach allow us to provide solutions that fully accommodate the needs of your critical processes and applications ensuring accurate and safe operations. 

Ashcroft maintains a worldwide network of manufacturing facilities, sales offices, local representatives and distributors. With pressure gauges, thermometers, transducers, transmitters, pressure and temperature switches, calibration equipment, recorders and other instruments to suit virtually every application, our trademarks Ashcroft®, Heise®, Rueger®, Stiko, Weksler® and Willy® have set the standard worldwide for accuracy, quality and dependability.

The continuing commitment of our people to this widespread network ensures that the service and application expertise you need to maintain More... safety and performance in your installation is always available when and where you need it. Less",www.linkedin.com/company/ashcroft-inc-/,$100 - 249.9 Mil,1000+  Employees,"Instruments: Digital
Instruments: Process Control
Instruments
Instruments: Analytical
Instruments: Electronic


Instruments: Laboratory
Instruments: Laboratory, Precision
Instruments: Medical
Instruments: Metrology
Instruments: Precision

View all Instruments categories","All Products / Services

Sensors / Detectors / Transducers
Switches
Instruments
Thermometers
Gages
COVID-19 Response
Measuring Equipment
Medical Products and Hospital Equipment
Thermowells & Protection Tubes
Adapters


Calibrators
Comparators
Contacts
Controls and Controllers
Dampers
Dials
Fittings
Hydraulic Equipment
Indicators
Isolators

View all products / services offered"
"Pepperl + Fuchs, Inc.",855-287-5183,https://www.pepperl-fuchs.com,"Twinsburg, OH 44087",Manufacturer,"Manufacturer of proximity, photoelectric, vision, ultrasonic, distance, inclination, acceleration and vibration sensors. Through-beam, retro reflective, diffuse mode, fiber optic, slot or slot grid, color, inductive, capacitive and magnetic field sensors are available. Explosion protection products such as intrinsic safety barriers, signal conditioners, remote I/O systems, power supplies, purge or pressurization systems and surge protection are provided. Gateways, adapters, temperature converters, control units, control stations, monitors, interfaces, tablets, microphones, barcode or radio frequency identification (RFID) scanners and portable thermal imaging cameras are also offered. Serves the machine or plant engineering, chemical, pharmaceutical, packaging, material handling, renewable energy and electronics industries.","Automation is our world. Perfect application solutions are our goal.

In 1945, Walter Pepperl and Ludwig Fuchs founded a small radio workshop in Mannheim, Germany, based on the principles of inventiveness, entrepreneurial foresight, and self-reliance. The experience they acquired was transformed into new ideas, and they continued to enjoy developing products for customers. The eventual result was the invention of the proximity switch. This innovation represented the starting point of the company's success story.

Today, Pepperl+Fuchs is known by customers around the world as a pioneer and an innovator in electrical explosion protection and sensor technology. Our main focus is always on your individual requirements: With a passion for automation and groundbreaking technology, we are committed to working in partnership with you now and in the future. We understand the demands of your markets, developing specific solutions, and integrating them into your processes.",www.linkedin.com/company/pepperl-fuchs-group/,$250 Mil. and over,1000+  Employees,"Instruments: Digital
Instruments
Instruments: Chemical & Analytical


Instruments: Liquid Measure
Instruments: Marine","All Products / Services

Sensors / Detectors / Transducers
Safety Equipment
Encoders
Identification Products
Identifiers
Computers
Enclosures
Communication Systems
Electric Wire, Cable and Cable Assemblies
Interfaces
Barriers
Modules


Panels
Scanners / Readers
Software
Suppressors
Switches
Tags
Activators
Actuators
Adapters
Alarms
Amplifiers
Bases

View all products / services offered"
"Total Refrigeration Gaskets, Inc.",888-635-0627,http://www.therightgasket.com/index.html,"Apopka, FL 32703-7740",Manufacturer,"Specializes in making commercial refrigeration doors close and seal. With over 35 different gasket profiles, core business is door gaskets, but hinges, latches and other door accessories are a major product offering as well. Gaskets are custom made to customer specifications or cross referenced to the manufacturer's part numbers. Products must pass a five step quality control check before being shipped all over the world to manufacturers, supply houses, contractors and restaurants.","About Total Refrigeration Gaskets, Inc.

TRG has been in business since 1989 and our job has always remained the same. It is to provide our customers with fast, friendly and knowledgeable service. Our sales staff has over 35 years experience in refrigeration gaskets and hardware. When an order is placed with TRG, the customer benefits from the fact that we know what you are talking about. Our training and hands-on installation experience assures a high level of service that is dedicated to supplying our customers with the right part at the right price.

Our 8,100 sq. ft. facility allows us to stock a wide variety of hardware from a majority of manufacturers. TRG stands for quality. Each gasket that we make must pass a 5 step quality control test. Our gaskets are made from PVC extrusion just like the OEM and are guaranteed to fit within 1/8"". 

At TRG we believe in doing it right the first time. We offer each valued customer fast, friendly and knowledgeable service. If you want quality More... gaskets and hardware for your refrigeration units call Total Refrigeration Gaskets, Inc. Less",,$1 - 4.9 Mil,10-49  Employees,"Instruments: Digital
Instruments


Instruments: Electronic","All Products / Services

Gaskets
Foodservice Equipment
Curtains
Shelves and Shelving
Cafeteria Equipment
Handles, Pulls and Levers
Hardware
Hinges
Refrigeration Parts
Restaurant Equipment
Adhesives
Aluminum
Assemblies


Bakery Machinery
Brackets
Bushings
Caps
Cartridges
Cases
Catches
Clips
Closers
Cold Chain Equipment
Coolers
Corrosion Resistant Products
Crispers

View all products / services offered"
