Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
Tri-State Instrument Laboratory,888-267-1424,http://www.tristateinst.com/index.html,"Tulsa, OK 74112",Distributor,"Distributor of electrical and electronic instrumentation. Products include test equipment, panel meters, megohmmeters (meggers), digital volt meters, amp meters, instrument transformers, analog and digital counters, DC shunts, elapsed time meters, switchboard meters, power transducers and resistor multipliers. Types of test equipment include clamp meters, multimeters, thermometers, thermal imaging equipment, process calibrators, insulation testers, earth testers, leakage current testers, voltage/continuity testers, environmental testers, cable testers, gas testers, humidity testers and moisture testers. Flashlights, watertight cases, power supplies, oscilloscopes, tachometers, power quality analyzers, decade boxes and data loggers are available. Manufacturer and distributor of voltage dividers, motor rotation indicators and phase sequence indicators. Instrument repair and calibration services are available. Industries served include aircraft, oil, public utilities and electrical contractors.",,,Under $1 Mil,1-9  Employees,"Multimeters: Digital
Meters
Meters: Digital


Multimeters
Multimeters: Analog
Multimeters: Fluke","All Products / Services

Calibration Services
Calibrators
Thermometers
Multimeters
Ammeters
Dividers
Air Quality Systems
Analyzers
Cases
Clocks
Cold Chain Equipment
Controls and Controllers


Counters
COVID-19 Response
Data Loggers
Disaster Preparedness Supplies
Electrical Equipment
Emergency Power & Lighting Supplies
Encoders
Fire Fighting Electronics
Flashlights
Flowmeters
Gages
Generators

View all products / services offered"
HydraCheck,866-984-5253,https://www.hydracheck.com/,"Salt Lake City, UT 84119",Distributor,"Distributor of diagnostic instruments. Products include accumulator products, diagnostic kits, diagnostic quick disconnects, flow products, gauge port adaptors, hose/tube cleaning products & identification kits. Oil sampling products, pressure/leak products, pressure test products, safety products, temperature products, tachometers & stroboscopes are also available. Accumulator test products include accumulator charge assembly & accumulator charge kit. Diagnostic quick disconnects such as pressure test connectors, direct gauge adaptors, hose unions, hose/gauge bulkhead adaptors, microbore hoses, diagnostic nipples, diagnostic test couplings, snap-check test nipples & snap-check test couplings are available. Flow meter test products include basic inline flow meters, flow meter test kits & digital flow test products. Pressure test products such as pressure gauges, vacuum gauges & digital pressure gauges are available.",,,Under $1 Mil,1-9  Employees,"Multimeters: Digital
Meters


Meters: Digital
Multimeters","All Products / Services

Flowmeters
Gages
Adapters
Connectors
Couplers and Couplings
Elbows
Fittings
Nipples
Plugs and Stoppers
Unions
Multimeters
Testers
Analyzers


Assemblies
Books
Bottles
Capsules
Cells
Cleaning Compounds and Chemicals
Cleaning Equipment
COVID-19 Response
Disconnects
Flanges
Guns
Hose
Indicators

View all products / services offered"
"Xylem, Inc.",855-280-7822,https://www.xylem.com/en-us,"Rye Brook, NY 10573 | Locations",Manufacturer,"Manufacturer of submersible, end suction, vertical, horizontal and solid handling pumps for water treatment application. Types include submersible column, slim line, dewatering and magnetically coupled pump. Portable generators, heat exchangers, hose, hydro turbines, lights, mixers, ejectors, controls, monitoring systems and light towers are also available. Accessories such as spare parts kits, engine service kits, hoses, pipe, fittings, controllers, pump enclosures and temporary road ramps provided. 24/7 field, design, installation, rental, on-site, water consulting and training services offered. Serves the agriculture, aquaculture, water park, construction, energy and power industries.","With home offices on two continents, 32 U.S. rental branches, and a network of more than 400 distributor locations worldwide, Godwin Pumps maintains a fleet of 6,000 portable pumps and 3,200 pieces of related equipment for use in construction dewatering, mining, drinking water supply and water/wastewater bypasses. We manufacture, rent and sell all our products, including the fully automatic self-priming Godwin Dri-Prime pump and accessories for immediate rental or sale.",,$250 Mil. and over,500-999  Employees,"Multimeters: Digital
Meters


Meters: Digital
Multimeters","All Products / Services

Pumps
Purifiers
Hose
Disinfection Systems
Hurricane Response
Infrastructure Protection Supplies
Maintenance and Repair Services
Pump Parts
Pumping Systems
Rental and Leasing Services
Stations
Actuators
Aerators


Alarms
Analyzers
Blowers
Boosters
Breakers
Cartridges
Changers
Circulators
Clarifiers
Cold Chain Equipment
Collectors
Colorimeters
Condensers (Heat Transfer)

View all products / services offered"
"Pepperl + Fuchs, Inc.",855-287-5183,https://www.pepperl-fuchs.com,"Twinsburg, OH 44087",Manufacturer,"Manufacturer of proximity, photoelectric, vision, ultrasonic, distance, inclination, acceleration and vibration sensors. Through-beam, retro reflective, diffuse mode, fiber optic, slot or slot grid, color, inductive, capacitive and magnetic field sensors are available. Explosion protection products such as intrinsic safety barriers, signal conditioners, remote I/O systems, power supplies, purge or pressurization systems and surge protection are provided. Gateways, adapters, temperature converters, control units, control stations, monitors, interfaces, tablets, microphones, barcode or radio frequency identification (RFID) scanners and portable thermal imaging cameras are also offered. Serves the machine or plant engineering, chemical, pharmaceutical, packaging, material handling, renewable energy and electronics industries.","Automation is our world. Perfect application solutions are our goal.

In 1945, Walter Pepperl and Ludwig Fuchs founded a small radio workshop in Mannheim, Germany, based on the principles of inventiveness, entrepreneurial foresight, and self-reliance. The experience they acquired was transformed into new ideas, and they continued to enjoy developing products for customers. The eventual result was the invention of the proximity switch. This innovation represented the starting point of the company's success story.

Today, Pepperl+Fuchs is known by customers around the world as a pioneer and an innovator in electrical explosion protection and sensor technology. Our main focus is always on your individual requirements: With a passion for automation and groundbreaking technology, we are committed to working in partnership with you now and in the future. We understand the demands of your markets, developing specific solutions, and integrating them into your processes.",www.linkedin.com/company/pepperl-fuchs-group/,$250 Mil. and over,1000+  Employees,"Multimeters: Digital
Meters: Digital


Multimeters
Multimeters: Fluke","All Products / Services

Sensors / Detectors / Transducers
Safety Equipment
Encoders
Identification Products
Identifiers
Computers
Enclosures
Communication Systems
Electric Wire, Cable and Cable Assemblies
Interfaces
Barriers
Modules
Panels


Scanners / Readers
Software
Suppressors
Switches
Tags
Activators
Actuators
Adapters
Alarms
Amplifiers
Bases
Boards
Boxes

View all products / services offered"
Tempco Electric Heater Corp.,855-242-0230,https://www.tempco.com/,"Wood Dale, IL 60191-1452",Manufacturer,"ISO 9001 certified manufacturer of standard and custom electric heating elements, temperature controllers or sensors and heating systems. Band, cartridge, cast-in, ceramic fiber, coil or cable, flexible, screw plug immersion, infrared, process, strip and tubular heaters are offered. Instrumentation products such as melt-pressure transducers, gages, melt pressure electronic indicators or sensors, multimeters, displays or temperature displays, recorders and temperature transmitters, videographic data loggers and rotating electric connectors are also available. Serves the aerospace, automotive, chemical processing, medical and power generation industries. CSA approved. CE certified. RoHS compliant. UL listed. Made in the USA.","Tempco was established in 1972 and continues to produce custom manufactured electric heating solutions to original equipment manufacturers and end users worldwide. Our products are sold both nationally and internationally through a network of sales representatives and distributors and through our own distribution center located in Mexico City.

Tempco stands behind its premium quality products, expert customer service, and industry leading turn-around times for order sizes small and large. Visit our website to learn more about our company and products.

Product Types:

Electric heating elements, temperature sensors, temperature controls, process heating system.

Manufacturing Highlights:

ISO 9001:2015 certified, custom engineering and manufacturing, CNC machine shop and CNC sheet metal department, aluminum and bronze foundry, wood pattern shop, UL 508A certified panel shop.

Industries Served:

Aerospace, automotive, chemical processing, commercial dishwashing equipment, cryogenics, degreasing, More... equipment, distillation, food processing, laboratory equipment, medical industry, packaging, plastics processing, power generation, recycling, scientific, semi-conductor manufacturing, steam generation, storage tanks, transportation. Less",www.linkedin.com/company/tempco-electric-heater-corporation/,$25 - 49.9 Mil,200-499  Employees,"Multimeters: Digital
Meters


Meters: Digital
Multimeters","All Products / Services

Heaters
Sensors / Detectors / Transducers
Elements
Controls and Controllers
Adapters
Blocks
Bolts
Boxes
Buttons
Cold Chain Equipment
Connectors
Consoles
Contactors


Converters
COVID-19 Response
Data Loggers
Displays
Electric Wire, Cable and Cable Assemblies
Enclosures
Extenders
Fasteners
Fittings
Fuses
Gages
Heads
Heating Equipment Parts

View all products / services offered"
"Navico Group, previously Advanced Systems Group, and Power Products LLC",888-386-9597,http://www.Navico.com,"Menomonee Falls, WI 53051",Manufacturer,"Manufacturer of electrical products for the recreational marine, specialty vehicle, industrial power, and transportation industries. Products include wires and cables, electric actuators, switches, cord sets, DC power distribution, control and monitoring, inverters, batteries, and battery chargers.","Navico Group

Your most trusted partner - Navico Group by Brunswick

Whether on water or on the road, delivering an optimal user experience is at the heart of Navico Group's business. It's why we are proud to be the world's leading supplier of products and integrated systems to the marine, RV, Specialty Vehicle, and Industrial markets. Our broad portfolio of market leading brands in power management, digital control and monitoring, and networked devices are distributed globally to a diverse aftermarket and OEM customer base. Navico Group is driven, every day, to be the world's most trusted partner to the marine and mobile industries.",www.linkedin.com/company/power-products/,$250 Mil. and over,1000+  Employees,"Multimeters: Digital
Meters
Meters: Digital


Multimeters
Multimeters: Analog","All Products / Services

Batteries
Chargers
Connectors
Busbars
Blocks
Marine Equipment
Electrical Equipment
Automotive Parts
Distribution Systems
Electric Wire, Cable and Cable Assemblies
Holders
Power Supplies


Switches
Actuators
Adapters
Alternators
Arms
Binoculars
Breakers
Bulbs
Cars
Conversion Services
Covers
Crimpers

View all products / services offered"
bisco industries,888-267-6405,https://www.biscoind.com/,"Anaheim, CA 92807 | Locations",Distributor,"Distributor of electronic components, fasteners and general assembly hardware. Products include printed circuit board hardware, thermal management products, connectors and test equipment. Sensors, spacers, standoffs, ejectors, heat sinks, fans, batteries, chargers, switches, encoders, potentiometers, plugs, jacks, clips, test leads and test meters are available. Capabilities include auto replenishment, inventory management, bin stocking, bar coding, kitting/assembly and special labeling and packaging. Industries served include aerospace, communication, computer, fabrication, instrumentation, industrial equipment, marine and military. Kanban services and JIT delivery available.",,,Not Available,Not Available  Employees,"Multimeters: Digital
Meters


Multimeters
Multimeters: Fluke","All Products / Services

Slides
Screws
Fasteners
Nuts (Fasteners)
Standoffs and Spacers
Studs
Washers (Fastener & Hardware)
Bolts
Enclosures
Inserts
Rivets
Electronic Components
Cabinets


Fans
Casters
Hook and Loop Fasteners
Miscellaneous Fasteners
Disconnects
Electric Wire, Cable and Cable Assemblies
Hardware
Lights
Strips
Absorbers
Adapters
Adhesives
Ammeters

View all products / services offered"
"PCE Americas, Inc.",844-842-6529,https://www.pce-instruments.com/f/t/us/main.htm,"Jupiter, FL 33458",Manufacturer,"Manufacturer of instruments and related products for commercial, industrial, university and research institution applications. Selection includes analytical, baby, basis weight, carat, compact portable, gold, GSM, jewelry, pharmacy, precision, spring, weighing, moisture, electronic and laboratory balances, animal weighing, approved, hand pallet truck, hanging, health, HGV, benchtop, bench counting, parcel, part counting, portioning, platform, dual display, checkweighing, controlling, container, crane, livestock, system, shipping, table top, trade approved, washdown, floor and lifter scales, measuring instruments and laboratory equipment.",,,Under $1 Mil,1-9  Employees,"Multimeters: Digital
Meters


Meters: Digital
Multimeters","All Products / Services

Flowmeters
Borescopes
Measuring Equipment
Cold Chain Equipment
Data Loggers
Meters
Vaccine Cold Chain Supplies and Logistics
Analyzers
Cameras
Instruments
Photometers
Scales
Accelerometers


Gages
Magnetometers
Alarms
Anemometers
Balances
Beams
Calibration Services
Calibrators
Cells
Coating Services
Coatings
Colorimeters
Controls and Controllers

View all products / services offered"
Exponential Power,888-242-2079,https://www.exponentialpower.com/,"Menomonee Falls, WI 53051-0160",Manufacturer,"Manufacturer and distributor of DC power solutions. Various products include analyzers, batteries, chargers, battery packs, battery spill containment systems, watering systems, carts, cleaners, inverters, cranes, data loggers, deionizers, hydrogen detectors, hydrometers, digital meters, micro-ohmmeters, multimeters, neutralizers, oscilloscopes, power supplies, data logging recorders, rectifiers, alarm relays, testers, thermometers, uninterruptible power supplies (UPS) and workstations. Preventative maintenance, engineering, emergency repair, rental and testing services are also provided. Most items available in stock. 24/7 emergency services available. JIT delivery.","Established in 1915, Storage Battery Systems has become renown for providing DC power solutions for stationary and motive applications. From flooded battery cells to sealed VRLA strings, from Ni-Cd jars to Lithium-ION rechargeable battery packs, SBS has developed a reputation for delivering superior performance and dedication to customer service. At SBS, we offer a wide variety of DC products and services for stationary and motive power requirements that can enhance and maximize the performance you get from your application.

Today we provide total power system solutions for any stationary or motive power application, specializing in the critical data power, telecommunications network power, material handling-motive power and utility-power generation market segments. SBS can assume a single point of responsibility and accountability for your power surety system from concept to end of useful service life replacement. SBS can take responsibility for feasibility, design, implementation, installation, More... commissioning, maintenance and even 24/7/365 repair services becoming your single point of accountability for availability and uptime whether for a singular component or the entire power surety system. Our highly professional staff includes design engineers, project managers, electrical engineers, asset managers, construction generalists, third-party logistics supervisors, field technicians, service engineers, product managers and market technology specialists.

 We are guided by six values that drive our actions as a company and as individual employees. They are the foundation of how we work with customers, partners, colleagues, suppliers, and candidates.

 â¢ Safety â Actively ensuring that no one gets hurt

 â¢ Integrity â Always truthful, trustworthy, and honest

 â¢ Customer â Relationships and service are at our core

 â¢ Ownership â Taking personal accountability for behaviors and results

 â¢ Quality â Delivering excellence at every opportunity

 â¢ Growth â Continuously improving and innovating

 Vision: To be the premier resource for reliable, stored power solutions. Weâre the power when you need it.

 Mission: We deliver reliability, advance technology, reduce risk, and provide an unmatched experience. Less",www.linkedin.com/company/716990?trk=tyah&trkInfo=tarId%3A1398277571156%2Ctas%3Astorage%20battery%2Cidx%3A1-1-1,$100 - 249.9 Mil,100-199  Employees,"Multimeters: Digital
Meters
Meters: Digital


Multimeters
Multimeters: Analog","All Products / Services

Sensors / Detectors / Transducers
Batteries
Fans
Monitors
Testers
Caps
Hydrometers
Loads
Racks
Testing Services
Absorbers
Accumulators


Analyzers
Assembly Machinery
Automotive Parts
Battery Components
Beams
Brackets
Breakers
Cabinets
Calibrators
Cameras
Changers
Chargers

View all products / services offered"
Metro Hydraulic,800-633-8234,https://www.metrohydraulic.com/,"Newark, NJ 07104",Distributor,"Distributor of hydraulic tools and equipment. Various products available include cylinders, pumps, valves, jacks, pullers, wrenches, lifts, gauges, trucks, conveyors and cranes. Hydraulic, swivel, high pressure, hose, flush type, Monel®, lubrication, metric and British standard pipe parallel and taper thread fittings available. Bolting, torque, tensioning, crimping, cutting, turning, stripping, hammerhead, installation, positioning, holding, locking, alignment, combination and streamline compression tools also provided. Repair services offered for hydraulic pumps, motors, cylinders and valves.",,www.linkedin.com/company/2696364?trk=tyah,Not Available,Not Available  Employees,"Multimeters: Digital
Meters


Meters: Digital
Multimeters","All Products / Services

Hydraulic Equipment
Jacks
Hose
Lifts
Maintenance and Repair Services
Power Units
Actuators
Adapters
Analyzers
Arms
Assemblies
Attachments
Augers


Awls
Bags
Balancers
Barriers
Bars
Bases
Batteries
Bearings
Belts
Benches
Benders
Bevelers
Binders

View all products / services offered"
