Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
"Keller America, Inc.",888-466-1079,https://www.kelleramerica.com/,"Newport News, VA 23606",Manufacturer,"Manufacturer of OEM, level, pressure and temperature instruments and components such as sensors, transmitters, transducers, loggers and gages. Optional accessories such as assemblies, fittings, hangers, enclosures and protectors are available. Serves the oil and gas reservoir, migrating marine mammals, medical devices and commercial aircraft industries.","Keller is a world leading manufacturer of pressure measurement instrumentation. From pressure sensors to completed transmitters, autonomous level loggers, and digital pressure gauges, Keller instruments provide proven, reliable, high accuracy solutions for applications in aerospace, automotive, oil & gas, defense, water, wastewater, groundwater, food and beverage, oceanographic, pharmaceutical, and medical industries. 

Keller America is the North American subsidiary of KELLER AG für Druckmesstechnik, and is tasked with providing local market sales on support for all Keller products. Keller America also houses a state of the art manufacturing facility for production of several versatile level and pressure transmitters, built to your specifications in only 3 short business days.",www.linkedin.com/company/keller-america-inc.?trk=biz-companies-cyf,$5 - 9.9 Mil,10-49  Employees,"Indicators: Pressure, Digital
Indicators
Indicators: Aircraft
Indicators: Digital
Indicators: Gas


Indicators: Liquid
Indicators: Liquid Level
Indicators: Loop Powered
Indicators: Pressure
Indicators: Tank

View all Indicators categories","All Products / Services

Sensors / Detectors / Transducers
Gages
Transmitters
Calibrators
Cold Chain Equipment
COVID-19 Response
Data Collection Systems
Data Loggers
Indicators
Instruments


Intrinsically Safe Products
Logging Equipment
Measuring Equipment
Medical Components
Medical Products and Hospital Equipment
Thermometers
Tier 2 Medical Mfg. Supplies, Materials, Components & Services
Transponders
Vaccine Cold Chain Supplies and Logistics"
Ryan Herco Flow Solutions (HQ),888-201-3597,https://www.rhfs.com,"Burbank, CA 91504 | Locations",Distributor,"Distributor of flow and fluid handling equipment and supplies. Fluid handling equipment includes pumps, storage tanks, treatment systems, filters, heaters, mixers, pipes, tubes and valves. Flow measuring products such as indicators, switches, meters, sensors, level controllers and pressure and temperature gauges offered. Chamfering, deburring, flaring, pipe cutting and tubing tools and hose and tube fittings available. Also custom manufactures waste pumping stations, pump lift control panels, fume hoods and fabricated and neutralization tanks. Serves the water, wastewater, microelectronic, life science, metal and surface finishing, food, beverage, aquatic, life support, construction and specialty chemical industries. Stock items available. 24/7, pump repair, export and material identification services provided. Same day shipping.","Ryan Herco Products is a leading distributor of corrosion-resistant fluid flow products in the United States, employing over 300 people. Our regularly published Product Guide can be found on desks throughout the world helping people specify their fluid-flow requirements. With a growing number of service centers located throughout the U.S., we are a company keeping pace with the increasing needs of our customers.",,$250 Mil. and over,200-499  Employees,"Indicators: Pressure, Digital
Indicators
Indicators: Conductivity
Indicators: Dwyer
Indicators: Flow


Indicators: Liquid
Indicators: Liquid Level
Indicators: Oxygen
Indicators: Partlow
Indicators: pH

View all Indicators categories","All Products / Services

Treatment Equipment
Filters
Tanks
Pumps
Plant Equipment
Flowmeters
Scrubbers
Controls and Controllers
Lifts
Mixers


Stations
Water
Actuators
Adapters
Adhesives
Air Filtration Equipment & Supplies
Alarms
Analyzers
Angles
Anodizing Equipment

View all products / services offered"
"Ashcroft, Inc.",855-784-9762,https://www.ashcroft.com/,"Stratford, CT 06614",Manufacturer,"ISO 9001:2015, 14001:2015 and 17025:2017 certified. Manufacturer of pressure and temperature calibration, testing and measuring equipment. Products include digital/differential pressure gauges, transducers, transmitters, thermometers, thermowells, pressure/temperature switches, panel meters, test instruments, diaphragm seals, instrument isolators and mechanical gauge accessories. Types of thermometers include bimetal, gas actuated and digital thermometers. Test instruments such as digital pressure indicators, vacuum/pressure pumps and controllers, hydraulic testers and comparators are also offered. Serves the oil and gas, water and wastewater, chemical, power, HVAC/R, pharmaceutical, medical, food and beverage and semiconductor industries. RoHS and REACH compliant. CE certified. CSA approved. UL listed.","Ashcroft is a leading source of pressure and temperature instrument solutions for critical process and industrial/OEM (original equipment manufacturer) applications across the globe. Our extensive industry experience and customer-driven approach allow us to provide solutions that fully accommodate the needs of your critical processes and applications ensuring accurate and safe operations. 

Ashcroft maintains a worldwide network of manufacturing facilities, sales offices, local representatives and distributors. With pressure gauges, thermometers, transducers, transmitters, pressure and temperature switches, calibration equipment, recorders and other instruments to suit virtually every application, our trademarks Ashcroft®, Heise®, Rueger®, Stiko, Weksler® and Willy® have set the standard worldwide for accuracy, quality and dependability.

The continuing commitment of our people to this widespread network ensures that the service and application expertise you need to maintain More... safety and performance in your installation is always available when and where you need it. Less",www.linkedin.com/company/ashcroft-inc-/,$100 - 249.9 Mil,1000+  Employees,"Indicators: Pressure, Digital
Indicators
Indicators: Digital
Indicators: Electronic
Indicators: Gas


Indicators: Pressure
Indicators: Temperature
Indicators: Test
Instruments: Flow Recording & Indicating
Instruments: Recording & Indicating","All Products / Services

Sensors / Detectors / Transducers
Switches
Instruments
Thermometers
Gages
COVID-19 Response
Measuring Equipment
Medical Products and Hospital Equipment
Thermowells & Protection Tubes
Adapters


Calibrators
Comparators
Contacts
Controls and Controllers
Dampers
Dials
Fittings
Hydraulic Equipment
Indicators
Isolators

View all products / services offered"
Furness Controls,888-318-6156,https://www.furness.com/us/,"Indian Trail, NC 28079",Manufacturer,"ISO 9001:2015 certified manufacturer of leak detectors, flow measurement, differential pressure instruments and calibrators. Products also include flow meters, low pressure transmitters, transducers and micromanometers. Capabilities include calibration and repair services. Serves the aerospace, automotive, gas, medical, plumbing and energy industries.","Furness Controls is associated with and provides a complete sales, service and calibration facility for the Furness Controls Limited product line in the United States and Canada. This world leading product line includes production line leak detectors, flow meters, low pressure transmitters, transducers, calibrators, micro manometers, and a fundamental primary standard for ultra-low pressures.

Furness Controls is the industry leader in ultra low-pressure measurement. With our unique fundamental primary standard (.000004 to 160"" H2O) we are able to achieve the best accuracy at the lowest pressures in the industry.

The unique design of the Furness Controls manufactured transducer is what gives us the edge on resolution, accuracy, repeatability and speed in our production line leak detectors. With over 45 years experience the Furness Controls products cannot be out performed in our market.",,Under $1 Mil,1-9  Employees,"Indicators: Pressure, Digital
Indicators
Indicators: Air Velocity
Indicators: Digital
Indicators: Flow


Indicators: Leak
Indicators: Leak, Liquid
Indicators: Pressure
Indicators: Temperature
Indicators: Transducer

View all Indicators categories","All Products / Services

Sensors / Detectors / Transducers
Calibrators
Flowmeters
Calibration Services
Testers
Transmitters
Gages
COVID-19 Response
Indicators
Instruments


Laboratories
Laboratory Equipment
Maintenance and Repair Services
Measuring Equipment
Medical Laboratory Consumable Supplies
Medical Products and Hospital Equipment
Meters
Monitors
Testing Services
Tubes

View all products / services offered"
"Transducer Techniques, LLC",888-345-6618,https://www.transducertechniques.com/,"Temecula, CA 92590",Manufacturer,"Manufacturer of load cells, torque sensors, and load cell display and signal conditioning instrumentation. Products include button, through-hole, beam, and miniature load cells, reaction and rotary torque sensors, digital panel meters, hand-held indicators, bench top and multi-channel amplifiers, and high- and low-voltage transmitters. Available in variety of models, specifications, and features with plug and play options. Also offers data software and electrical and mechanical load cell accessories. Provides calibration and repair services. Products are available with 1-year limited warranty and 90-day repair warranty. Made in USA.","About Transducer Techniques

Transducer Techniques, LLC established in 1979, designs and manufactures a complete line of load cells, torque sensors, special purpose transducers and related instrumentation. Transducer Techniques, LLC load cells are uniquely designed for weighing and force measurement in such diversified applications as process control, factory automation plus hundreds of other services in every field of science and industry. All transducer sensing elements incorporate bonded foil strain gages wired in a full wheatstone bridge configuration. 

Load cells are electro-mechanical transducers that translate force or weight into voltage. This change in voltage produces, in the read-out instrumentation, a repeatable deflection or indication that can be calibrated directly in terms of the load applied to the cell. 

An important asset of our load cells is their extremely small deflection. The maximum deflection of standard cells does not exceed .012"" at full load. This plus the fact More... that these load cells contain no moving parts, opens unlimited application fields. The inherent compactness of the cells minimizes installation problems. 

 The frequency response characteristics of our load cells are exceptionally good. The relatively low mass, and the small deflection under load, result in a high frequency response which emphasizes use of the cells in many services where other transducers cannot perform. Less",,Under $1 Mil,10-49  Employees,"Indicators: Pressure, Digital
Crane Load Indicators
Indicators
Indicators: Digital
Indicators: LED


Indicators: Load
Indicators: Pressure
Indicators: Process Control
Indicators: Strain Gauge
Indicators: Tension

View all Indicators categories","All Products / Services

Cells
Sensors / Detectors / Transducers
Gages
Adapters
Amplifiers
Bearings
Blocks
Boxes
Brackets
Buttons


Calibrators
Clevises
Clips
Cold Chain Equipment
Conditioners
Connectors
Covers
COVID-19 Response
Data Acquisition Systems
Data Collection Systems

View all products / services offered"
Acrolab Ltd.,844-517-1296,https://www.acrolab.com/,"Windsor, ON N8S2B7 | Locations",Manufacturer,"Manufacturer of standard and custom temperature sensors, heaters, Isobar heat pipes, platens, protection tubes and thermocouples. Also, distributes mold sprays and degreasers. Accessories include lead wire, mold insulation boards, connectors, cables, fiberglass tapes, thermocouple plugs, jacks and nozzle manifold seal rings. Services such as research, development, thermal analysis and engineering provided. Serves the automotive, aerospace, filament winding, pultrusion processing, packaging, sealing system and injection molding industries. CGP registered.","By understanding thermodynamics Acrolab has developed exclusive isobar technology for the plastics, rubber, composites, and electronics, industries; with applications ranging from pultrusion, extrusion, injection, RTM, plastic welding, sealing, thermoforming, compression, filament winding, electronics cooling, and many more. 

Since 1948 Acrolab has been offering products and design support for: heaters, thermocouples, RTDs, thermal tooling simulations, tooling insulation, and Isobar heatpipes. Allow our exclusive technologies and vast thermal experience get you ahead of the curve.

Thermal Engineering Firm Acrolab Ltd designs and supplies thermal products, solutions and turnkey systems from tool heating and/or cooling design, to system integration design; and everything in between.",www.linkedin.com/company/acrolab-ltd./,Not Available,10-49  Employees,"Indicators: Pressure, Digital
Indicators
Indicators: Electronic


Indicators: Pressure
Indicators: Process Control
Indicators: Temperature","All Products / Services

Panels
Heaters
Thermocouples
Elements
Sensors / Detectors / Transducers
Controls and Controllers
Packaging Machinery
Electric Wire, Cable and Cable Assemblies
Pipes
Sealing Services
Thermowells & Protection Tubes
Actuators


Adapters
Additive Manufacturing Services
Agents
Analyzers
Bagging Machinery
Bars
Blocks
Boots
Clamps
Cleaning Compounds and Chemicals
Compounds
Connectors

View all products / services offered"
"PCE Americas, Inc.",844-842-6529,https://www.pce-instruments.com/f/t/us/main.htm,"Jupiter, FL 33458",Manufacturer,"Manufacturer of instruments and related products for commercial, industrial, university and research institution applications. Selection includes analytical, baby, basis weight, carat, compact portable, gold, GSM, jewelry, pharmacy, precision, spring, weighing, moisture, electronic and laboratory balances, animal weighing, approved, hand pallet truck, hanging, health, HGV, benchtop, bench counting, parcel, part counting, portioning, platform, dual display, checkweighing, controlling, container, crane, livestock, system, shipping, table top, trade approved, washdown, floor and lifter scales, measuring instruments and laboratory equipment.",,,Under $1 Mil,1-9  Employees,"Indicators: Pressure, Digital
Indicators
Indicators: Digital
Indicators: Frequency


Indicators: Pressure
Indicators: Process Control
Indicators: Temperature
Instruments: Recording & Indicating","All Products / Services

Flowmeters
Borescopes
Measuring Equipment
Cold Chain Equipment
Data Loggers
Meters
Vaccine Cold Chain Supplies and Logistics
Analyzers
Cameras
Instruments
Photometers


Scales
Accelerometers
Gages
Magnetometers
Alarms
Anemometers
Balances
Beams
Calibration Services
Calibrators
Cells

View all products / services offered"
HydraCheck,866-984-5253,https://www.hydracheck.com/,"Salt Lake City, UT 84119",Distributor,"Distributor of diagnostic instruments. Products include accumulator products, diagnostic kits, diagnostic quick disconnects, flow products, gauge port adaptors, hose/tube cleaning products & identification kits. Oil sampling products, pressure/leak products, pressure test products, safety products, temperature products, tachometers & stroboscopes are also available. Accumulator test products include accumulator charge assembly & accumulator charge kit. Diagnostic quick disconnects such as pressure test connectors, direct gauge adaptors, hose unions, hose/gauge bulkhead adaptors, microbore hoses, diagnostic nipples, diagnostic test couplings, snap-check test nipples & snap-check test couplings are available. Flow meter test products include basic inline flow meters, flow meter test kits & digital flow test products. Pressure test products such as pressure gauges, vacuum gauges & digital pressure gauges are available.",,,Under $1 Mil,1-9  Employees,"Indicators: Pressure, Digital
Indicators
Indicators: Digital
Indicators: Electronic
Indicators: Flow


Indicators: Liquid
Indicators: Pressure
Indicators: Speed
Indicators: Temperature
Indicators: Test

View all Indicators categories","All Products / Services

Flowmeters
Gages
Adapters
Connectors
Couplers and Couplings
Elbows
Fittings
Nipples
Plugs and Stoppers
Unions


Multimeters
Testers
Analyzers
Assemblies
Books
Bottles
Capsules
Cells
Cleaning Compounds and Chemicals
Cleaning Equipment

View all products / services offered"
"B & B Instruments, Inc.",800-347-9008,https://www.bbinstruments.com/,"Indianapolis, IN 46220 | Locations",Distributor,"Distributor of measurement, control and calibration equipment for pressure, temperature, flow, humidity and level instruments. Products include gages, sensors, switches, transducers, detectors, boosters, calibrators, thermometers, thermocouples, flowmeters, controllers, seals, thermowells, scanners, positioners and recorders. Testers, filters, monitors, totalizers, tachometers, nozzles, indicators, enclosures, strainers, unions, orifices, filter bags, analyzers, digital indicating meters, data loggers and modules are also offered. Suitable for water, wastewater, natural gas, power generation, metal milling, transportation, plastic forming, packaging, compressor, pump, OEM, research and development applications. Serves the pharmaceutical, petroleum, agricultural, government, food and beverage industries. Some instruments are CE certified, CSA approved and UL listed.",,,Not Available,Not Available  Employees,"Indicators: Pressure, Digital
Indicators: Dry Material Level
Boiler Water Level Indicators
Indicators
Indicators: Air Velocity


Indicators: Bin Level
Indicators: Digital
Indicators: Dwyer
Indicators: Electronic
Indicators: Flow

View all Indicators categories","All Products / Services

Sensors / Detectors / Transducers
Gages
Thermocouples
Cold Chain Equipment
Data Loggers
Vaccine Cold Chain Supplies and Logistics
Bags
Indicators
Regulators
Thermometers


Aerators
Annunciators
Blocks
Boosters
Calibration Services
Calibrators
Computers
Conditioners
Controls and Controllers
Converters

View all products / services offered"
Mod-Tronic Instruments Limited,800-794-5883,https://www.mod-tronic.com/,"Brampton, ON L6T5G1",Distributor,"Supplier & stocking distributor of instruments for industrial, process, medical, military, aerospace, building automation, HVAC & rotating machinery applications. Products include alarm trips, analog meter relays & panel meters, bi-metal thermostats, rotating electrical connectors, multi-channel, temperature, process, power & rotary speed controllers, current sensors, transducers, switches & transformers, data acquisition recorders, pressure gauges & transmitters, electrical power measurement, flexible circuits & heaters, handheld instruments, humidity sensors, transmitters & switches, infrared temperature sensors, scanners & thermal switches, loop power supplies, magnetic pickups, manometer, mercury contactors, position transducers, resistance temperature detectors (RTDs), signal conditioners & isolators, slip rings, solid state relays, speed switches, square root extractors, tachometers, temperature indicators, temperature & process monitors, thermocouples, timers & valve positioners.","When quality and performance are as important as price... You can count on our proven brands!

This has been our company motto since 1972 and 50 years later we pride ourselves more than ever on providing our customers with quality products at competitive prices.

We are an authorized stocking distributor of 14 leading manufacturers (Absolute Process Instruments, Camille Bauer, Cecomp Electronics, Dwyer, Dynalco, Exergen, Love Controls, Mercotac, Minco, Shinko, Simpson, Veris) of industrial/commercial sensors, transducers, heaters, flex-circuits and instrumentation. We are very proud to say that the majority of the products we sell are Made in the USA.

Our sales force has over 80 years of combined experience solving our customers unique and diverse application challenges. We have earned a valued reputation in our industry for working with our customers. We take the time necessary to fully understand your application, analyze your requirements and offer you the correct products at competitive More... prices.

 We stock thousands of catalog items for same day shipment to anywhere in North America and most countries around the world. Don't see the exact product you require? Tell us what you need, most of our manufacturers offer custom built solutions to meet your exact requirements.

 Thank you for taking the time to learn more about our company. We are proud of the excellent products and service that we offer and we would appreciate the opportunity to work with you and your company. Less",www.linkedin.com/company/2854259,$1 - 4.9 Mil,1-9  Employees,"Indicators: Pressure, Digital
Indicators
Indicators: Battery Discharge
Indicators: Combustible Gas
Indicators: Combustion


Indicators: Conductivity
Indicators: Current
Indicators: Digital
Indicators: Dwyer
Indicators: Electric, Temperature

View all Indicators categories","All Products / Services

Sensors / Detectors / Transducers
Heaters
Actuators
Adapters
Alarms
Amplifiers
Automation Systems
Automotive Parts
Barriers
Calibrators


Cells
Circuits
Cold Chain Equipment
Conditioners
Connectors
Contactors
Controls and Controllers
Counters
COVID-19 Response
Data Acquisition Systems

View all products / services offered"
Vacuum Research Corporation,800-426-9340,https://www.vacuumresearch.com/,"Pittsburgh, PA 15222",Manufacturer,"Manufacturer of vacuum products including pumps, flanges, valves, gauges, and manometers. Other products such as clamps, adapters, reducers, elbows, tees, filters, sorbents, traps, and nipple fittings are also available. RoHS compliant.","About Vacuum Research Corp.

Vacuum Research Limited has over 50 years of experience manufacturing quality products for High Vacuum applications. We offer oil-free vacuum pumps, rotary vane vacuum pumps; pirani, thermocouple, diaphragm, convection gauges; and stainless steel and aluminum high vacuum valves. Our products are supported by full warranties and VRL's commitment to customer service and satisfaction.",,$5 - 9.9 Mil,10-49  Employees,"Indicators: Pressure, Digital


Indicators","All Products / Services

Pumps
Absorbers
Adapters
Bell Jars
Bellows
Caps
Chambers
Clamps
Controls and Controllers
Crosses
Cylinders
Elbows
Eliminators
Filters


Fittings
Gages
Hose
Indicators
Instruments
Jars
Lubricants
Measuring Equipment
Meters
Monitors
Nipples
Oils
Rings
Switches

View all products / services offered"
