Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
AutomationDirect,855-789-6828,https://www.automationdirect.com,"Cumming, GA 30040-5860",Distributor,"Distributor of automation and industrial control products. Various products include drives, motors, beacons, cable ties, cables, sensors, circuit breakers, contactors, cord grips, counters, disconnects, relays, enclosures, encoders/optical transducers, Ethernet products, connectors, flexible electrical tubing, switches, fuses, gearboxes, gloves, HMI/operator interfaces, HMI software, lights, software, junction blocks, displays, modems, monitors, motion controls, multi-wire connectors, plugs, connectors, receptacles, pneumatic parts, pneumatic cylinders, pneumatic fittings and couplings, valves, hoses, power distribution blocks, power supplies, pressure gauges, safety glasses, safety light curtains, signal conditioners, stroboscopes, tachometers, thermometers, tools, wire and wire duct. Suitable for wide variety of industries such as automotive, food and beverage, packaging, waste water, pharmaceutical and oil and gas. AutoCAD files accepted. Most items available in stock for immediate shipping.","AutomationDirect is a well-known distributor of thousands of industrial automation products, such as programmable logic controllers (PLCs), AC drives/motors, operator interfaces/HMI, sensors, NEMA enclosures, pneumatic components, cut-to-length cable, machine safety equipment, and much more. In business since 1994, the company headquarters is located just north of Atlanta, Georgia.

Ordering is easy and their service is exceptional.

Their online store is one of the most exhaustive in the industry - all technical documentation can be downloaded free of charge, and hundreds of instructional videos are available for viewing without registration. Free online PLC training is also available to any user who registers.

Shipping is super-fast and free on orders over $49. AutomationDirect maintains a huge inventory with an intuitive website which makes self-service easy. Useful tools such as product selectors, a 3-D CAD viewer, and more help users to do their job.

Most all products come with a 30-day More... money-back guarantee including software (see Terms and Conditions for certain exclusions). Less",www.linkedin.com/company/80083/,Not Available,200-499  Employees,"Pressure Meters: Digital
Gauges
Gauges: Air
Gauges: Air Pressure
Gauges: Bourdon Tube


Gauges: Differential Pressure
Gauges: Digital Pressure
Gauges: Industrial
Gauges: Pressure
Gauges: Vacuum","All Products / Services

Motor Controllers and Drives
Electric Wire, Cable and Cable Assemblies
Enclosures
Automation Systems
Pneumatic Systems
Sensors / Detectors / Transducers
Controls and Controllers
Drives
Breakers
Motors


Displays
Blocks
Interfaces
Software
Cylinders
Lights
Protectors
Raceways
Racks
Relays

View all products / services offered"
"Ashcroft, Inc.",855-784-9762,https://www.ashcroft.com/,"Stratford, CT 06614",Manufacturer,"ISO 9001:2015, 14001:2015 and 17025:2017 certified. Manufacturer of pressure and temperature calibration, testing and measuring equipment. Products include digital/differential pressure gauges, transducers, transmitters, thermometers, thermowells, pressure/temperature switches, panel meters, test instruments, diaphragm seals, instrument isolators and mechanical gauge accessories. Types of thermometers include bimetal, gas actuated and digital thermometers. Test instruments such as digital pressure indicators, vacuum/pressure pumps and controllers, hydraulic testers and comparators are also offered. Serves the oil and gas, water and wastewater, chemical, power, HVAC/R, pharmaceutical, medical, food and beverage and semiconductor industries. RoHS and REACH compliant. CE certified. CSA approved. UL listed.","Ashcroft is a leading source of pressure and temperature instrument solutions for critical process and industrial/OEM (original equipment manufacturer) applications across the globe. Our extensive industry experience and customer-driven approach allow us to provide solutions that fully accommodate the needs of your critical processes and applications ensuring accurate and safe operations. 

Ashcroft maintains a worldwide network of manufacturing facilities, sales offices, local representatives and distributors. With pressure gauges, thermometers, transducers, transmitters, pressure and temperature switches, calibration equipment, recorders and other instruments to suit virtually every application, our trademarks Ashcroft®, Heise®, Rueger®, Stiko, Weksler® and Willy® have set the standard worldwide for accuracy, quality and dependability.

The continuing commitment of our people to this widespread network ensures that the service and application expertise you need to maintain More... safety and performance in your installation is always available when and where you need it. Less",www.linkedin.com/company/ashcroft-inc-/,$100 - 249.9 Mil,1000+  Employees,"Pressure Meters: Digital
Gauges: Pressure
Gauges
Gauges: Absolute Pressure
Gauges: Air


Gauges: Air Pressure
Gauges: Ammonia
Gauges: Ashcroft
Gauges: Boiler
Gauges: Bourdon Tube

View all Gages categories","All Products / Services

Sensors / Detectors / Transducers
Switches
Instruments
Thermometers
Gages
COVID-19 Response
Measuring Equipment
Medical Products and Hospital Equipment
Thermowells & Protection Tubes
Adapters


Calibrators
Comparators
Contacts
Controls and Controllers
Dampers
Dials
Fittings
Hydraulic Equipment
Indicators
Isolators

View all products / services offered"
"Transducer Techniques, LLC",888-345-6618,https://www.transducertechniques.com/,"Temecula, CA 92590",Manufacturer,"Manufacturer of load cells, torque sensors, and load cell display and signal conditioning instrumentation. Products include button, through-hole, beam, and miniature load cells, reaction and rotary torque sensors, digital panel meters, hand-held indicators, bench top and multi-channel amplifiers, and high- and low-voltage transmitters. Available in variety of models, specifications, and features with plug and play options. Also offers data software and electrical and mechanical load cell accessories. Provides calibration and repair services. Products are available with 1-year limited warranty and 90-day repair warranty. Made in USA.","About Transducer Techniques

Transducer Techniques, LLC established in 1979, designs and manufactures a complete line of load cells, torque sensors, special purpose transducers and related instrumentation. Transducer Techniques, LLC load cells are uniquely designed for weighing and force measurement in such diversified applications as process control, factory automation plus hundreds of other services in every field of science and industry. All transducer sensing elements incorporate bonded foil strain gages wired in a full wheatstone bridge configuration. 

Load cells are electro-mechanical transducers that translate force or weight into voltage. This change in voltage produces, in the read-out instrumentation, a repeatable deflection or indication that can be calibrated directly in terms of the load applied to the cell. 

An important asset of our load cells is their extremely small deflection. The maximum deflection of standard cells does not exceed .012"" at full load. This plus the fact More... that these load cells contain no moving parts, opens unlimited application fields. The inherent compactness of the cells minimizes installation problems. 

 The frequency response characteristics of our load cells are exceptionally good. The relatively low mass, and the small deflection under load, result in a high frequency response which emphasizes use of the cells in many services where other transducers cannot perform. Less",,Under $1 Mil,10-49  Employees,"Pressure Meters: Digital
Gauges: Force Measuring
Gauges
Gauges: Absolute Pressure
Gauges: Alarm


Gauges: Compression
Gauges: Continuous Process
Gauges: Hook
Gauges: Industrial
Gauges: Pressure

View all Gages categories","All Products / Services

Cells
Sensors / Detectors / Transducers
Gages
Adapters
Amplifiers
Bearings
Blocks
Boxes
Brackets
Buttons


Calibrators
Clevises
Clips
Cold Chain Equipment
Conditioners
Connectors
Covers
COVID-19 Response
Data Acquisition Systems
Data Collection Systems

View all products / services offered"
Tempco Electric Heater Corp.,855-242-0230,https://www.tempco.com/,"Wood Dale, IL 60191-1452",Manufacturer,"ISO 9001 certified manufacturer of standard and custom electric heating elements, temperature controllers or sensors and heating systems. Band, cartridge, cast-in, ceramic fiber, coil or cable, flexible, screw plug immersion, infrared, process, strip and tubular heaters are offered. Instrumentation products such as melt-pressure transducers, gages, melt pressure electronic indicators or sensors, multimeters, displays or temperature displays, recorders and temperature transmitters, videographic data loggers and rotating electric connectors are also available. Serves the aerospace, automotive, chemical processing, medical and power generation industries. CSA approved. CE certified. RoHS compliant. UL listed. Made in the USA.","Tempco was established in 1972 and continues to produce custom manufactured electric heating solutions to original equipment manufacturers and end users worldwide. Our products are sold both nationally and internationally through a network of sales representatives and distributors and through our own distribution center located in Mexico City.

Tempco stands behind its premium quality products, expert customer service, and industry leading turn-around times for order sizes small and large. Visit our website to learn more about our company and products.

Product Types:

Electric heating elements, temperature sensors, temperature controls, process heating system.

Manufacturing Highlights:

ISO 9001:2015 certified, custom engineering and manufacturing, CNC machine shop and CNC sheet metal department, aluminum and bronze foundry, wood pattern shop, UL 508A certified panel shop.

Industries Served:

Aerospace, automotive, chemical processing, commercial dishwashing equipment, cryogenics, degreasing, More... equipment, distillation, food processing, laboratory equipment, medical industry, packaging, plastics processing, power generation, recycling, scientific, semi-conductor manufacturing, steam generation, storage tanks, transportation. Less",www.linkedin.com/company/tempco-electric-heater-corporation/,$25 - 49.9 Mil,200-499  Employees,"Pressure Meters: Digital
Gauges
Gauges: Alarm
Gauges: Automotive
Gauges: Diaphragm Protector


Gauges: Digital Pressure
Gauges: High Pressure
Gauges: Indicating
Gauges: Industrial
Gauges: Laboratory

View all Gages categories","All Products / Services

Heaters
Sensors / Detectors / Transducers
Elements
Controls and Controllers
Adapters
Blocks
Bolts
Boxes
Buttons
Cold Chain Equipment


Connectors
Consoles
Contactors
Converters
COVID-19 Response
Data Loggers
Displays
Electric Wire, Cable and Cable Assemblies
Enclosures
Extenders

View all products / services offered"
"PCE Americas, Inc.",844-842-6529,https://www.pce-instruments.com/f/t/us/main.htm,"Jupiter, FL 33458",Manufacturer,"Manufacturer of instruments and related products for commercial, industrial, university and research institution applications. Selection includes analytical, baby, basis weight, carat, compact portable, gold, GSM, jewelry, pharmacy, precision, spring, weighing, moisture, electronic and laboratory balances, animal weighing, approved, hand pallet truck, hanging, health, HGV, benchtop, bench counting, parcel, part counting, portioning, platform, dual display, checkweighing, controlling, container, crane, livestock, system, shipping, table top, trade approved, washdown, floor and lifter scales, measuring instruments and laboratory equipment.",,,Under $1 Mil,1-9  Employees,"Pressure Meters: Digital
Gauges: Pressure
Gauges
Gauges: Coating Thickness
Gauges: Digital Pressure


Gauges: Force Measuring
Gauges: Industrial
Gauges: Paint
Gauges: Thickness
Gauges: Ultrasonic Thickness

View all Gages categories","All Products / Services

Flowmeters
Borescopes
Measuring Equipment
Cold Chain Equipment
Data Loggers
Meters
Vaccine Cold Chain Supplies and Logistics
Analyzers
Cameras
Instruments


Photometers
Scales
Accelerometers
Gages
Magnetometers
Alarms
Anemometers
Balances
Beams
Calibration Services

View all products / services offered"
Oil-Air Products,877-779-0967,http://www.oilair.com,"Plymouth, MN 55441",Distributor,"Distributor of fluid power products including accumulators, actuators, adapters, breathers, cylinders, filters, fittings, flowmeters, motors, power units, mounts and orifices. Pumps, hose, sensors, detectors, transducers, gages, thermometers, exchangers, joysticks, injectors and coolers are available. Valves, swivels, tubes, regulators, seals and strainers are also offered. Hose assembly fabrication and repair services are provided. Manifolds, hydraulic hose assemblies and lubrication systems are customizable. Serves the food processing, machine tool, marine, material handling, medical equipment, construction, infrastructure, transportation, energy, defense, petroleum, biotechnology, pharmaceutical, recycling, packaging, oil and gas industries. JIT delivery.","Our Philosophy

The Oil-Air Products mission is clear. Partner with our customer to offer a unique, quality solution that gives them a competitive edge in their marketplace. We have partnered with the world's leading fluid power manufacturers to ensure that the solution we provide is taking advantage of the latest in fluid power technology and our experienced team is factory trained to integrate and support these products. We understand that our customers have many choices and we look forward to the opportunity to earn your business.

Our History

Since our inception in 1983, Oil-Air Products has been focused on fluid power technical expertise and experience to provide leading edge, quality solutions to our customers. Over the years we have grown to include complete system design and fabrication for the mobile and industrial markets, hose assembly fabrication, fluid power component sales, value added solutions, on-site installation, service and repair. With our continued success and our reputation More... as the Fluid Power Specialists, we continue to expand our corporate capabilities. We recently transitioned to a new 62,000 square foot facility in Plymouth, MN and have also expanded a part of our hose fabrication to a new Willmar, MN location.

 Our People

 At Oil-Air Products, our people are truly our most valuable asset. We have a highly experienced team of degreed fluid power specialists that can assist in all applications of fluid power products. Ongoing education in all aspects of fluid power for our people is key to making sure we are promoting and using the latest in fluid power technology. You can feel confident that you will be working with a team of friendly professionals who have years of experience on providing unique solutions that will give you a competitive edge in your marketplace. Less",www.linkedin.com/company/oil-air-products-llc/about/?viewAsMember=true,$25 - 49.9 Mil,50-99  Employees,"Pressure Meters: Digital
Gauges
Gauges: Back
Gauges: Industrial
Gauges: Liquid Filled


Gauges: Marine
Gauges: Noshok
Gauges: Plastic
Gauges: Pressure
Gauges: Stainless Steel

View all Gages categories","All Products / Services

Hose
Maintenance and Repair Services
Valves
Manifolds
Power Units
Pumps
Cylinders
Hydraulic Equipment
Accumulators
Actuators


Adapters
Automation Systems
Breathers
Cells
Clamps
Controls and Controllers
Coolers
Corrosion Resistant Products
Counters
Couplers and Couplings

View all products / services offered"
HydraCheck,866-984-5253,https://www.hydracheck.com/,"Salt Lake City, UT 84119",Distributor,"Distributor of diagnostic instruments. Products include accumulator products, diagnostic kits, diagnostic quick disconnects, flow products, gauge port adaptors, hose/tube cleaning products & identification kits. Oil sampling products, pressure/leak products, pressure test products, safety products, temperature products, tachometers & stroboscopes are also available. Accumulator test products include accumulator charge assembly & accumulator charge kit. Diagnostic quick disconnects such as pressure test connectors, direct gauge adaptors, hose unions, hose/gauge bulkhead adaptors, microbore hoses, diagnostic nipples, diagnostic test couplings, snap-check test nipples & snap-check test couplings are available. Flow meter test products include basic inline flow meters, flow meter test kits & digital flow test products. Pressure test products such as pressure gauges, vacuum gauges & digital pressure gauges are available.",,,Under $1 Mil,1-9  Employees,"Pressure Meters: Digital
Gauges: Pressure
Gauges
Gauges: Air
Gauges: Bourdon Tube


Gauges: Digital Pressure
Gauges: Electronic
Gauges: High Pressure
Gauges: Hydraulic
Gauges: Indicating

View all Gages categories","All Products / Services

Flowmeters
Gages
Adapters
Connectors
Couplers and Couplings
Elbows
Fittings
Nipples
Plugs and Stoppers
Unions


Multimeters
Testers
Analyzers
Assemblies
Books
Bottles
Capsules
Cells
Cleaning Compounds and Chemicals
Cleaning Equipment

View all products / services offered"
"B & B Instruments, Inc.",800-347-9008,https://www.bbinstruments.com/,"Indianapolis, IN 46220 | Locations",Distributor,"Distributor of measurement, control and calibration equipment for pressure, temperature, flow, humidity and level instruments. Products include gages, sensors, switches, transducers, detectors, boosters, calibrators, thermometers, thermocouples, flowmeters, controllers, seals, thermowells, scanners, positioners and recorders. Testers, filters, monitors, totalizers, tachometers, nozzles, indicators, enclosures, strainers, unions, orifices, filter bags, analyzers, digital indicating meters, data loggers and modules are also offered. Suitable for water, wastewater, natural gas, power generation, metal milling, transportation, plastic forming, packaging, compressor, pump, OEM, research and development applications. Serves the pharmaceutical, petroleum, agricultural, government, food and beverage industries. Some instruments are CE certified, CSA approved and UL listed.",,,Not Available,Not Available  Employees,"Pressure Meters: Digital
Gauges: Pressure
Boiler Gauges: Water Level
Gaging Systems
Gauges


Gauges: Air
Gauges: Air Flow
Gauges: Air Pressure
Gauges: Aircraft & Aerospace
Gauges: Automatic Control

View all Gages categories","All Products / Services

Sensors / Detectors / Transducers
Gages
Thermocouples
Cold Chain Equipment
Data Loggers
Vaccine Cold Chain Supplies and Logistics
Bags
Indicators
Regulators
Thermometers


Aerators
Annunciators
Blocks
Boosters
Calibration Services
Calibrators
Computers
Conditioners
Controls and Controllers
Converters

View all products / services offered"
Mod-Tronic Instruments Limited,800-794-5883,https://www.mod-tronic.com/,"Brampton, ON L6T5G1",Distributor,"Supplier & stocking distributor of instruments for industrial, process, medical, military, aerospace, building automation, HVAC & rotating machinery applications. Products include alarm trips, analog meter relays & panel meters, bi-metal thermostats, rotating electrical connectors, multi-channel, temperature, process, power & rotary speed controllers, current sensors, transducers, switches & transformers, data acquisition recorders, pressure gauges & transmitters, electrical power measurement, flexible circuits & heaters, handheld instruments, humidity sensors, transmitters & switches, infrared temperature sensors, scanners & thermal switches, loop power supplies, magnetic pickups, manometer, mercury contactors, position transducers, resistance temperature detectors (RTDs), signal conditioners & isolators, slip rings, solid state relays, speed switches, square root extractors, tachometers, temperature indicators, temperature & process monitors, thermocouples, timers & valve positioners.","When quality and performance are as important as price... You can count on our proven brands!

This has been our company motto since 1972 and 50 years later we pride ourselves more than ever on providing our customers with quality products at competitive prices.

We are an authorized stocking distributor of 14 leading manufacturers (Absolute Process Instruments, Camille Bauer, Cecomp Electronics, Dwyer, Dynalco, Exergen, Love Controls, Mercotac, Minco, Shinko, Simpson, Veris) of industrial/commercial sensors, transducers, heaters, flex-circuits and instrumentation. We are very proud to say that the majority of the products we sell are Made in the USA.

Our sales force has over 80 years of combined experience solving our customers unique and diverse application challenges. We have earned a valued reputation in our industry for working with our customers. We take the time necessary to fully understand your application, analyze your requirements and offer you the correct products at competitive More... prices.

 We stock thousands of catalog items for same day shipment to anywhere in North America and most countries around the world. Don't see the exact product you require? Tell us what you need, most of our manufacturers offer custom built solutions to meet your exact requirements.

 Thank you for taking the time to learn more about our company. We are proud of the excellent products and service that we offer and we would appreciate the opportunity to work with you and your company. Less",www.linkedin.com/company/2854259,$1 - 4.9 Mil,1-9  Employees,"Pressure Meters: Digital
Gauges
Gauges: Absolute Pressure
Gauges: Alarm
Gauges: Compound


Gauges: Differential Pressure
Gauges: Digital Pressure
Gauges: Dwyer
Gauges: Electronic
Gauges: Force Measuring

View all Gages categories","All Products / Services

Sensors / Detectors / Transducers
Heaters
Actuators
Adapters
Alarms
Amplifiers
Automation Systems
Automotive Parts
Barriers
Calibrators


Cells
Circuits
Cold Chain Equipment
Conditioners
Connectors
Contactors
Controls and Controllers
Counters
COVID-19 Response
Data Acquisition Systems

View all products / services offered"
"Proportion-Air, Inc.",888-451-8074,https://proportionair.com/,"McCordsville, IN 46055",Manufacturer,"Manufacturer of made to order pressure, vacuum & flow control products including electronic air pressure control valves & regulators, air flow control valves & closed loop electro-pneumatic controls. Products include regulators, precision pressure regulators, pressure control valves, flow monitors and flow controllers, pressure sensors, potentiometers, panel meters, power supplies, power cords, brackets & inline sintered filters. Capabilities include design engineering, prototyping, testing & validation. Capabilities include converting, die cast, dispensing, injection molding, process control, spraying & welding applications. Capabilities include application assistance & fast quoting (within 6 hours). Markets served include aerospace, automotive, environmental, food processing, glass, instrumentation, medical, laser, optical instruments & lenses, packaging, pharmaceutical, plastics, pulp & paper, railroad, robotics, rubber, semiconductor, specialty machinery, textile & tire industries. Made in the USA.","Proportion-Air is the world's leading manufacturer of electronic air pressure and air flow rate control valves and regulators. Each product is custom made to your specifications after sharing your needs directly with our applications staff. Our competition builds thousands of products to fill their catalogs. Proportion-Air builds only electronic pressure and flow controls, built thousands of ways to meet each customer's exacting requirements.

Electronic pressure control valves:

Proportion-Air designs and manufactures pneumatic control valves for the most demanding applications: low pressures (0-2 inches H2O), high pressures (0-69 bar), high flow rates (0-85000 slpm), high resolution (+/-0.005% of full scale), shock and vibration resistant up to 25 G's, tolerant of condensates and lube oils, oxygen clean and oxygen compatible, vacuum calibrations, vacuum through positive pressure calibrations, and absolute pressure calibrations. Proportion-Air offers most products in a single loop model More... where output pressure is closed loop around an internal pressure sensor. Many products are offered in two loop models where a second external feedback sensor can be used to correct for hysteresis in pressure regulation for higher accuracy. Nearly any pressure and flow can be achieved and controlled when we introduce pilot-operated regulators.

 Electronic mass flow control valves:

 Proportion-Air manufactures an industrial quality mass flow transducer for air and inert gases. Flow is calculated based on differential pressure across an internal venturi. This pressure based flow makes the F-series flow transducer very fast (<10mS). The F-series converts flow rate into an electronic signal that may be directly used to measure flow rates electrically. The F-series is also used as a feedback signal to Proportion-Air pneumatic control valves to create a closed loop mass flow control package. Packages are available as low as 2-20 scfm (0.9-9.4 slpm) and as high as 25-250 scfm (708-780 slpm).

 Two other brands make up the Proportion-Air family:

 Burling Valve brand direct-acting and dome-loaded pressure regulators are designed for the process industries. All Burling Valve process regulators and valves are made in the USA and offer free application support, quick quotes, great lead times and custom engineered solutions. Back pressure, pressure reducing, differential and negative-bias regulators are all available.

 Protect-Air USA miniature safety regulators operation of pneumatic tools and compressed air systems. All Protect-Air products are intended to increase efficiency, protect employees, protect equipment and ensure cost saving production throughout all levels of the manufacturing environment. Our number one consideration is to offer customers added value through broad and deep product lines, knowledge, processing and world class customer service. Less",www.linkedin.com/company/proportion-air-inc-,$10 - 24.9 Mil,50-99  Employees,Pressure Meters: Digital,"All Products / Services

Controls and Controllers
Valves
Regulators
Monitors
Sensors / Detectors / Transducers
Actuators
Assemblies
Boosters
Brakes
Converters
COVID-19 Response
Fluid Power Products


Gages
Generators
Instruments
Manufacturing Services
Measuring Equipment
Medical Components
Meters
Motor Controllers and Drives
Pumps
Resistors
Testers
Tier 2 Medical Mfg. Supplies, Materials, Components & Services"
