Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
"RDP Electrosense, Inc.",866-996-8846,https://www.rdpe.com/,"Pottstown, PA 19465",Manufacturer,"Manufacturer of transducers, amplifiers, load cells and pressure sensors for use in a wide range of applications. Products include linear displacement, LVDT gauging and displacement, submersible and non-contact transducers, AC and DC powered DIN rail mounting amplifier, LVDT and strain gauge transducer amplifier, multi-channel signal conditioning systems including serial interface and data logger module, digital panel meters, tension and compression load cells and various configurations of pressure transducers. Standard models suitable for use in severe environments are available. Specific application based custom engineered units also provided.",RDP have been manufacturing transducers and electronics for over 35 years. Our specialty lies in the field of measurement of physical parameters.,,$5 - 9.9 Mil,10-49  Employees,Digital Readout Systems,"All Products / Services

Sensors / Detectors / Transducers
Conditioners
Indicators
Measuring Equipment
Readout Systems
Amplifiers
Cells
Controls and Controllers
Data Acquisition Systems


Extensometers
Gages
Instruments
Meters
Modules
Resistors
Transformers
Transmitters"
Measurement Technologies,313-640-8080,https://mtechsupply.store/,"St Clair Shores, MI 48080",Distributor,"Distributor of measuring equipment and accessories for industrial applications. Products include probes, gages, rotary and angular encoders, LVDTs, CNC controls, linear feedback and rolling mill scales, digital readouts and displays. Accessories such as mounts, sleeves, collets, stands, brackets, cable and USB adapters also available. Support and repair services provided. Serves the automotive and other industries.",,,Not Available,Not Available  Employees,"Digital Readout Systems


Readouts: Electronic","All Products / Services

Encoders
Gages
Probes
Readout Systems
Sensors / Detectors / Transducers
Adapters
Boards
Brackets
Consoles
Controls and Controllers


Displays
Gaiters
Indicators
Measuring Equipment
Metrology Equipment
Modules
Mounts
Scales
Sleeves
Stands"
Carolina Scales Inc.,888-712-6773,https://www.carolinascales.com/index.html,"West Columbia, SC 29169",Distributor,"Distributor and servicer of industrial weighing and measuring equipment. Truck, railroad, and portable vehicle scales are available, as well as floor, bench, counting, used, crane and hanging, medical and health, retail, belt, conveyor, lift truck, and wheel loader scales. Also offers balances, weight indicators, load cells, weigh modules, junction boxes, remote displays, scoreboards, printers, scanners, labels, software, and traceability systems. Custom weighing systems and devices are also available. Capabilities include installation, calibration, inspection, certification, maintenance, repair, and rental services. Provides 24/7 emergency services. ISO/IEC 17025:2005 certified.","Carolina Scales Inc. was established in March 1950 to install and service mechanical truck scales throughout the southeast. During the 1970s and 1980s with the transition from mechanical to electronic devices, Carolina Scales grew from a small sales and service scale company to a quality supplier specializing in sales and the service of industrial weighing equipment, material batching and blending, data collection, calibration services, PLCs and weighing control systems, and one of the largest rental scale fleets.

Our goal is to combine industry product knowledge with superior customer service to help our customers keep pace with ever-changing technology. It is our responsibility to examine and understand our customers' requirements in order to make them more effective and competitive in their industry.",www.linkedin.com/company/2599007?trk=tyah,$1 - 4.9 Mil,10-49  Employees,Digital Readout Systems,"All Products / Services

Scales
Calibration Services
Calibrators
Maintenance and Repair Services
Cells
Analyzers
Animal Health Products
Balancers
Balances
Bank Equipment
Barcode Systems
Batchers
Benches
Blending Services


Boards
Boxes
Certification Services
Construction Equipment
Controls and Controllers
Conveyors
Corrosion Resistant Products
Counters
COVID-19 Response
Crane Parts
Custom Machinery
Data Collection Systems
Dispensers
Displays

View all products / services offered"
"Transducer Techniques, LLC",888-345-6618,https://www.transducertechniques.com/,"Temecula, CA 92590",Manufacturer,"Manufacturer of load cells, torque sensors, and load cell display and signal conditioning instrumentation. Products include button, through-hole, beam, and miniature load cells, reaction and rotary torque sensors, digital panel meters, hand-held indicators, bench top and multi-channel amplifiers, and high- and low-voltage transmitters. Available in variety of models, specifications, and features with plug and play options. Also offers data software and electrical and mechanical load cell accessories. Provides calibration and repair services. Products are available with 1-year limited warranty and 90-day repair warranty. Made in USA.","About Transducer Techniques

Transducer Techniques, LLC established in 1979, designs and manufactures a complete line of load cells, torque sensors, special purpose transducers and related instrumentation. Transducer Techniques, LLC load cells are uniquely designed for weighing and force measurement in such diversified applications as process control, factory automation plus hundreds of other services in every field of science and industry. All transducer sensing elements incorporate bonded foil strain gages wired in a full wheatstone bridge configuration. 

Load cells are electro-mechanical transducers that translate force or weight into voltage. This change in voltage produces, in the read-out instrumentation, a repeatable deflection or indication that can be calibrated directly in terms of the load applied to the cell. 

An important asset of our load cells is their extremely small deflection. The maximum deflection of standard cells does not exceed .012"" at full load. This plus the fact More... that these load cells contain no moving parts, opens unlimited application fields. The inherent compactness of the cells minimizes installation problems. 

 The frequency response characteristics of our load cells are exceptionally good. The relatively low mass, and the small deflection under load, result in a high frequency response which emphasizes use of the cells in many services where other transducers cannot perform. Less",,Under $1 Mil,10-49  Employees,Digital Readout Systems,"All Products / Services

Cells
Sensors / Detectors / Transducers
Gages
Adapters
Amplifiers
Bearings
Blocks
Boxes
Brackets
Buttons
Calibrators
Clevises
Clips
Cold Chain Equipment


Conditioners
Connectors
Covers
COVID-19 Response
Data Acquisition Systems
Data Collection Systems
Data Loggers
Electric Wire, Cable and Cable Assemblies
Enclosures
Ends
Fasteners
Hardware
Indicators
Instruments

View all products / services offered"
Krueger Sentry Gauge Co.,888-415-9419,https://www.ksentry.com/,"Green Bay, WI 54313",Custom Manufacturer,"Manufacturer of standard and custom liquid level gauges, overfill alert gauges, leak detection gauges and gauge accessories/replacement parts. Custom manufacturer of CNC machined and welded parts. Direct reading liquid level gauges, remote reading liquid level gauges, barrel liquid level gauges, digital liquid level gauges and chemical liquid level gauges are available. Types of gauge accessories and replacement parts include aluminum locknuts, audible high or low liquid level alarms, LED remote displays and repair kits. Capabilities include machining, milling, drilling, shaft work, collet and bar feed work and TIG/MIG/stick/plasma/resistance spot welding.","Our tank gauges and all of the components used on our tank gauges are produced by us or by other American Manufacturers. All of our gauges are manufactured in the USA, complying with the Buy American Act.

We are a small family owned business in Green Bay, WI. Krueger employs 15 full and part time employees. We have been in business for over 65 years and have manufactured over 3 million level gauges. Several years ago Krueger expanded the business to include a machine shop. The machine shop started as a source for us to produce some of our own parts for our gauges, and has expanded into a cornerstone of the business.

Krueger Sentry Gauge will deliver as fast as our customers require whenever possible. And there are no minumum orders.

Mission Statement: Provide a quality product for our customers, and maintain a relaxed and flexible work environment for family oriented employees. We are not a bottom line profit oriented company. Compassion for our customers and our employees is the driving More... force behind this company. Less",,$1 - 4.9 Mil,10-49  Employees,Digital Readout Systems,"All Products / Services

Gages
Indicators
Monitors
Sensors / Detectors / Transducers
Tank Parts
Alarms
Bushings
Calibrators
Drilling Services
Fabrication Services
Guards
Housings
Instruments


Isolators
Job Shop Services
Kits
Locks
Machining
Measuring Equipment
Milling Services
Monitoring Systems
Nuts (Fasteners)
Protectors
Readout Systems
Software
Welding Services"
"Velmex, Inc.",800-642-6446,https://www.velmex.com/,"Bloomfield, NY 14469",Manufacturer,"Manufacturer of standard and custom linear and rotary motion-control positioning equipment for scientific, research, machining and industrial applications. Products include manual, lead screw and electric motor driven mechanical slides, stages and actuators. Includes x-y, positioning, rotary, elevating, micrometer, pan and tilt, motorized, indexing and scanning tables. Slides include anti-friction, motorized, dovetail, electric, instrument, lead screw and linear slides. Systems include AC and DC motors and controllers, adapter plates. Machine bases and frames are available.","About Velmex, Inc.

Velmex, Inc. is a premier US manufacturer of standard and custom linear and rotary motion-control and positioning equipment for scientific, research, machining, instrumentation and industrial industries. Established in 1967, Velmex manufactures UniSlide®, BiSlide® and XSlide® manual and motor-driven assemblies; manual and motor-driven XY tables, rotary tables, elevating tables and turntables; as well as, VXM motor controls and VRO digital readouts. Velmex offers precise, modular-designed slides, stages and actuators available in a variety of configurations and a very broad range of sizes and payload capacities at reasonable cost. Velmex products are useful for precisely moving a probe, sensor, antenna, transducer, components or other objects. Common applications include light manufacturing, research, automation and prototyping. 

Velmex offers thousands of configurations in simple single-axis slides to complex multi-axis systems. Velmex slides include anti-friction, More... dovetail, electric, lead screw and linear slides. Table configurations include X-Y and -Z positioning; rotary; elevating; micrometer; pan and tilt; indexing and scanning tables. Complete systems with motors, controls, adapter plates, frames, bases, software and additional options and accessories are available. Although a myriad of standard assemblies are offered, each is built to order to match the customer's exact requirements. Velmex application engineering and R&D can be utilized to develop custom systems. Less",www.linkedin.com/company/velmex-inc-,$5 - 9.9 Mil,10-49  Employees,"Digital Readout Systems


Readouts: Electronic","All Products / Services

Positioners
Slides
Assemblies
Controls and Controllers
Encoders
Frames


Intermediates
Motor Controllers and Drives
Motors
Plates
Readout Systems
Tables"
Mod-Tronic Instruments Limited,800-794-5883,https://www.mod-tronic.com/,"Brampton, ON L6T5G1",Distributor,"Supplier & stocking distributor of instruments for industrial, process, medical, military, aerospace, building automation, HVAC & rotating machinery applications. Products include alarm trips, analog meter relays & panel meters, bi-metal thermostats, rotating electrical connectors, multi-channel, temperature, process, power & rotary speed controllers, current sensors, transducers, switches & transformers, data acquisition recorders, pressure gauges & transmitters, electrical power measurement, flexible circuits & heaters, handheld instruments, humidity sensors, transmitters & switches, infrared temperature sensors, scanners & thermal switches, loop power supplies, magnetic pickups, manometer, mercury contactors, position transducers, resistance temperature detectors (RTDs), signal conditioners & isolators, slip rings, solid state relays, speed switches, square root extractors, tachometers, temperature indicators, temperature & process monitors, thermocouples, timers & valve positioners.","When quality and performance are as important as price... You can count on our proven brands!

This has been our company motto since 1972 and 50 years later we pride ourselves more than ever on providing our customers with quality products at competitive prices.

We are an authorized stocking distributor of 14 leading manufacturers (Absolute Process Instruments, Camille Bauer, Cecomp Electronics, Dwyer, Dynalco, Exergen, Love Controls, Mercotac, Minco, Shinko, Simpson, Veris) of industrial/commercial sensors, transducers, heaters, flex-circuits and instrumentation. We are very proud to say that the majority of the products we sell are Made in the USA.

Our sales force has over 80 years of combined experience solving our customers unique and diverse application challenges. We have earned a valued reputation in our industry for working with our customers. We take the time necessary to fully understand your application, analyze your requirements and offer you the correct products at competitive More... prices.

 We stock thousands of catalog items for same day shipment to anywhere in North America and most countries around the world. Don't see the exact product you require? Tell us what you need, most of our manufacturers offer custom built solutions to meet your exact requirements.

 Thank you for taking the time to learn more about our company. We are proud of the excellent products and service that we offer and we would appreciate the opportunity to work with you and your company. Less",www.linkedin.com/company/2854259,$1 - 4.9 Mil,1-9  Employees,"Digital Readout Systems


Readouts: Electronic","All Products / Services

Sensors / Detectors / Transducers
Heaters
Actuators
Adapters
Alarms
Amplifiers
Automation Systems
Automotive Parts
Barriers
Calibrators
Cells
Circuits
Cold Chain Equipment
Conditioners


Connectors
Contactors
Controls and Controllers
Counters
COVID-19 Response
Data Acquisition Systems
Data Loggers
Disconnects
Dynamometers
Electromechanical Devices
Encoders
Extractors
Fire Fighting Electronics
Flowmeters

View all products / services offered"
Rochester Scale Works,585-235-5882,https://www.rochesterscale.com/index.html,"Rochester, NY 14611",Distributor,"Distributor of scales including counting, digital, remote displays, medical, hanging, truck, floor, barrel, platform, washdown, & portable electronic scales. Products also include test weights, force measurement gauges, inventory control systems, check weighers, in-motion weighing equipment, keyboards, analytical & laboratory balances, & load cells. Capabilities include engineering, manufacturing, & installation. Specializing in batching equipment, industrial controls, explosion proof & intrinsically safe products, hazardous area weighing, bar coding, & custom weighing applications. Services include turnkey installation, custom engineered systems, mechanical to digital conversions, calibration & certification with weights & measures, preventive maintenance, scale rentals, calibration, test weight certification, & repairs. Analytical & laboratory balance calibration certification available. Calibration services ISO 17025 accredited.","Since 1984, Rochester Scale Works has provided leadership and experience in Rochester, New York. 

Rochester Scale Works is the oldest independent scale company in the U.S. Because we are 5th generation family-owned and operated, we offer the personal service your company deserves. We pride ourselves in knowing our customers and our customers knowing us. 

At Rochester Scale Works, our responsibility is to our customers and their success ... when you succeed, we succeed.",,$1 - 4.9 Mil,10-49  Employees,"Digital Readout Systems


Readouts: Electronic","All Products / Services

Scales
Balancing Services
Calibration Services
Maintenance and Repair Services
Rental and Leasing Services
Analyzers
Balancers
Balances
Batchers
Calibrators
Cells
Certification Services
Controls and Controllers
Covers


COVID-19 Response
Ergonomic Products
Gages
Indicators
Inspection Services
Instruments
Laboratories
LEDs
Measuring Equipment
Medical Equipment
Medical Personal Protective Equipment (PPE)
Medical Products and Hospital Equipment
Metrology Equipment
Metrology Services

View all products / services offered"
Accusize Industrial Tools,855-290-5785,https://accusizetools.com/,"Richmond Hill, ON L4B1E6",Distributor,"Distributor of industrial tools for the metalworking industry including measuring instruments, machine tool accessories and industrial cutting tools. Products include bore gages, height gages, calipers, indicators, micrometers, precision levels, drill chucks, lathe tooling, milling machine tooling, cutter grinders, drill chucks, grinding vises, diamond needle file points, carbide inserts, drill bits, end mills, reamers, taps, collet sets, durometers, force gauges and hardness testers.","Accusize Industrial Tools supply professional tools to the metalworking industry since 2008, customers are happy with the price as well as the good quality for the professionals. Products including measuring instruments, machine tool accessories, and industrial cutting tools. Products include bore gages, height gages, calipers, indicators, micrometers, precision levels, drill chucks, lathe tooling, milling machine tooling, cutter grinders, drill chucks, grinding vises, diamond needle file points, carbide inserts, drill bits, end mills, reamers, taps, collet sets, durometers, force gauges and hardness testers etc.",www.linkedin.com/company/accusize-industrial-tools/,$1 - 4.9 Mil,1-9  Employees,Digital Readout Systems,"All Products / Services

Bits
Mills
Automation Systems
Inserts
Reamers
Tools
Accelerometers
Adapters
Anvils
Arbors
Attachments
Backs and Backing
Bars
Bases


Batteries
Blades
Blocks
Borescopes
Broaches
Calipers
Carbide Cutting Tools
Centers
Chucks and Collets
Clamps
Comparators
Counters
Countersinks
Cutters and Cutting Machinery

View all products / services offered"
T.R. Wigglesworth Machinery Company,440-232-6660,https://wigglesworth.com/,"Bedford, OH 44146",Distributor,"Distributor of new and used machinery. Products include NC and CNC milling, boring, drilling, hobbing, plasma cutting and grinding machinery, band saws, lathes, mechanical and hydraulic presses and horizontal and vertical machining centers. Crane and hoist hooks, boring bars, V belts, chucks, NC and CNC controls, chip conveyors, coolant systems and pumps, digital readout systems, AC drives, tombstone fixtures, granulators, heads, tool holders, key seaters, oilers, parts washer system, angle and floor plates, welding positioners, drill sharpeners, arc welders, rotary tables and grinding wheels are also available.",,www.linkedin.com/company/2399001?trk=tyah&trkInfo=tarId%3A1398109498363%2Ctas%3At.r.%20wiggl%2Cidx%3A1-1-1,$5 - 9.9 Mil,1-9  Employees,Digital Readout Systems,"All Products / Services

Abrasive Blast Equipment
Arms
Bars
Belts
Bits
Blowers
Boring Machinery
Centers
Chuckers
Chucks and Collets
CNC Machinery
Collectors
Comparators
Compressors


Controls and Controllers
Conveyors
Coolant Systems
Cutters and Cutting Machinery
Drills
Fabricating Machinery
Fixtures
Granulators
Grinders
Heads
Hobbing Machinery
Holders
Hooks
Jaws

View all products / services offered"
