Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
Ryan Herco Flow Solutions (HQ),888-201-3597,https://www.rhfs.com,"Burbank, CA 91504 | Locations",Distributor,"Distributor of flow and fluid handling equipment and supplies. Fluid handling equipment includes pumps, storage tanks, treatment systems, filters, heaters, mixers, pipes, tubes and valves. Flow measuring products such as indicators, switches, meters, sensors, level controllers and pressure and temperature gauges offered. Chamfering, deburring, flaring, pipe cutting and tubing tools and hose and tube fittings available. Also custom manufactures waste pumping stations, pump lift control panels, fume hoods and fabricated and neutralization tanks. Serves the water, wastewater, microelectronic, life science, metal and surface finishing, food, beverage, aquatic, life support, construction and specialty chemical industries. Stock items available. 24/7, pump repair, export and material identification services provided. Same day shipping.","Ryan Herco Products is a leading distributor of corrosion-resistant fluid flow products in the United States, employing over 300 people. Our regularly published Product Guide can be found on desks throughout the world helping people specify their fluid-flow requirements. With a growing number of service centers located throughout the U.S., we are a company keeping pace with the increasing needs of our customers.",,$250 Mil. and over,200-499  Employees,"Recorders: Digital
Instruments: Flow Recording & Indicating
Instruments: Recording & Indicating
Recorders: Analog
Recorders: Chart


Recorders: Circular Chart
Recorders: Conductivity
Recorders: Flow
Recorders: Instrument Chart
Recorders: Oxygen

View all Recorders categories","All Products / Services

Treatment Equipment
Filters
Tanks
Pumps
Plant Equipment
Flowmeters
Scrubbers
Controls and Controllers
Lifts
Mixers


Stations
Water
Actuators
Adapters
Adhesives
Air Filtration Equipment & Supplies
Alarms
Analyzers
Angles
Anodizing Equipment

View all products / services offered"
"Albertus Energy, Inc.",866-979-6655,http://www.albertusenergy.com/,"Malvern, PA 19355 | Locations",Service Company,"Distribution and service of burners, refractories, heat exchangers and thermal accessories. Specialty contractor and systems integrator for combustion and thermal systems. Custom manufacturer of thermal products, refractory lined vessels, precast shapes, packaged fuel trains and burner management systems. Integration services for combustion and thermal systems including furnaces, kilns, grate or boiler systems, fixed hearth and rotary systems, fume and liquid incinerators, thermal, regenerative and catalytic oxidizers, fluidized bed reactors, ovens, heaters and melters.",,,$5 - 9.9 Mil,50-99  Employees,"Recorders: Digital
Recorders: Chart
Instruments: Recording & Indicating
Recorders
Recorders: Circular Chart


Recorders: Electronic
Recorders: Graphic
Recorders: Honeywell
Recorders: Paperless
Recorders: Strip Chart

View all Recorders categories","All Products / Services

Controls and Controllers
Flowmeters
Instruments
Meters
Recorders
Transmitters
Valves
Refractories
Burners
Actuators


Adapters
Analyzers
Anchors
Blankets
Blocks
Blowers
Boards
Boilers
Brick
Chambers

View all products / services offered"
Tempco Electric Heater Corp.,855-242-0230,https://www.tempco.com/,"Wood Dale, IL 60191-1452",Manufacturer,"ISO 9001 certified manufacturer of standard and custom electric heating elements, temperature controllers or sensors and heating systems. Band, cartridge, cast-in, ceramic fiber, coil or cable, flexible, screw plug immersion, infrared, process, strip and tubular heaters are offered. Instrumentation products such as melt-pressure transducers, gages, melt pressure electronic indicators or sensors, multimeters, displays or temperature displays, recorders and temperature transmitters, videographic data loggers and rotating electric connectors are also available. Serves the aerospace, automotive, chemical processing, medical and power generation industries. CSA approved. CE certified. RoHS compliant. UL listed. Made in the USA.","Tempco was established in 1972 and continues to produce custom manufactured electric heating solutions to original equipment manufacturers and end users worldwide. Our products are sold both nationally and internationally through a network of sales representatives and distributors and through our own distribution center located in Mexico City.

Tempco stands behind its premium quality products, expert customer service, and industry leading turn-around times for order sizes small and large. Visit our website to learn more about our company and products.

Product Types:

Electric heating elements, temperature sensors, temperature controls, process heating system.

Manufacturing Highlights:

ISO 9001:2015 certified, custom engineering and manufacturing, CNC machine shop and CNC sheet metal department, aluminum and bronze foundry, wood pattern shop, UL 508A certified panel shop.

Industries Served:

Aerospace, automotive, chemical processing, commercial dishwashing equipment, cryogenics, degreasing, More... equipment, distillation, food processing, laboratory equipment, medical industry, packaging, plastics processing, power generation, recycling, scientific, semi-conductor manufacturing, steam generation, storage tanks, transportation. Less",www.linkedin.com/company/tempco-electric-heater-corporation/,$25 - 49.9 Mil,200-499  Employees,"Recorders: Digital
Instruments: Recording & Indicating
Recorders
Recorders: Analog


Recorders: Chart
Recorders: Data Acquisition
Recorders: Paperless
Recorders: Videographic","All Products / Services

Heaters
Sensors / Detectors / Transducers
Elements
Controls and Controllers
Adapters
Blocks
Bolts
Boxes
Buttons
Cold Chain Equipment
Connectors


Consoles
Contactors
Converters
COVID-19 Response
Data Loggers
Displays
Electric Wire, Cable and Cable Assemblies
Enclosures
Extenders
Fasteners
Fittings

View all products / services offered"
"PCE Americas, Inc.",844-842-6529,https://www.pce-instruments.com/f/t/us/main.htm,"Jupiter, FL 33458",Manufacturer,"Manufacturer of instruments and related products for commercial, industrial, university and research institution applications. Selection includes analytical, baby, basis weight, carat, compact portable, gold, GSM, jewelry, pharmacy, precision, spring, weighing, moisture, electronic and laboratory balances, animal weighing, approved, hand pallet truck, hanging, health, HGV, benchtop, bench counting, parcel, part counting, portioning, platform, dual display, checkweighing, controlling, container, crane, livestock, system, shipping, table top, trade approved, washdown, floor and lifter scales, measuring instruments and laboratory equipment.",,,Under $1 Mil,1-9  Employees,"Recorders: Digital
Instruments: Recording & Indicating
Noise Measuring, Testing & Recording Equipment
Recorders
Recorders: Analog


Recorders: Electronic
Recorders: Paperless
Recorders: Process
Recording Equipment","All Products / Services

Flowmeters
Borescopes
Measuring Equipment
Cold Chain Equipment
Data Loggers
Meters
Vaccine Cold Chain Supplies and Logistics
Analyzers
Cameras
Instruments


Photometers
Scales
Accelerometers
Gages
Magnetometers
Alarms
Anemometers
Balances
Beams
Calibration Services

View all products / services offered"
Classic Automation,844-865-6740,https://www.classicautomation.com/,"Webster, NY 14580",Remanufacturer,"One-stop-shop remanufacturer of surplus parts for installed control systems, drives, and servo motors. Provides a wide selection of components from many different manufacturers and systems as well as repair services, diagnostics, and program transfer.","Open for online business

Classic Automation serves key industries vital to combating the Coronavirus pandemic. These include critical manufacturing processes such as pharmaceuticals, food and beverage, pulp and paper, utilities, and more. As always, ""We help keep the world's production running"" - and it is important that we continue to operate with this in mind.

Extend the life of your installed control systems, drives, and servo motors with new and refurbished parts and repair services. Reduce your maintenance costs with surplus parts from our extensive inventory for control systems (DCS, PLC, CNC), panel controllers, HMIs, industrial PCs, drives, power supplies, and servo motors. All parts and repairs come with a 2-year warranty.",www.linkedin.com/company/classic-automation,$10 - 24.9 Mil,50-99  Employees,"Recorders: Digital
Recorders


Recorders: Chart
Recorders: Multipoint","All Products / Services

Controls and Controllers
Motor Controllers and Drives
Maintenance and Repair Services
Drives
Printed Circuit Boards
Adapters
Backplanes
Bases
Blocks
Boards
Brackets
Breakers
Buses


Cards
Chassis
Circuits
Computer and Communication Terminals
Computer Mice (Mouses)
Computers
Connectors
Converters
Counters
Couplers and Couplings
Covers
Digital Memory
Disks

View all products / services offered"
"Devar, Inc.",800-566-6822,https://www.devarinc.com/,"Bridgeport, CT 06605",Manufacturer,"An ISO 9001:2008 certified manufacturer of instrumentation products for monitoring, control & data acquisition. Products include alarms, annunciators, calibrators, controllers, data loggers & recorders, humidity transmitters, loop powered indicators, isolators, level & pressure transmitters, panel meters, pH transmitters, power supplies, pump controllers, signal converters, wireless telemetry systems, temperature transmitters & totalizers. Types of pump controllers include dual alternating pump controllers, pump controllers with 2 or 3 relays & lift station control systems. Services include designing, application engineering & customer services. Instrumentation products are UL & FM approved & available with 2-year warranty. Made in the USA.","Devar has been known as a manufacturer of quality instrumentation products for over 40 years. Throughout these years customer service has remained paramount, positioning Devar as an instrument supplier second to none in design, quality, reliability and service. Devar units interface with all standard and nonstandard process variable signals and are available in a variety of enclosures.

Devar instruments have exceeded the highest industry standards for many years. Our quality assurance program provides compliance to U.S. Nuclear Regulatory Commission criteria 10CFR50, 10CFR21 and MIL-I-45208A. Many of our products are FM Approved and UL Listed.",,Under $1 Mil,10-49  Employees,"Recorders: Digital
Instruments: Flow Recording & Indicating
Instruments: Recording & Indicating
Instruments: Temperature Recording & Indicating
Recorders


Recorders: Analog
Recorders: Chart
Recorders: Conductivity
Recorders: Continuous
Recorders: Electronic

View all Recorders categories","All Products / Services

Indicators
Controls and Controllers
Transmitters
Meters
Treatment Equipment
Isolators
Alarms
Amplifiers
Analyzers
Annunciators


Automation Systems
Boosters
Boxes
Calibrators
Charts
Cold Chain Equipment
Comparators
Conditioners
Converters
Data Acquisition Systems

View all products / services offered"
"B & B Instruments, Inc.",800-347-9008,https://www.bbinstruments.com/,"Indianapolis, IN 46220 | Locations",Distributor,"Distributor of measurement, control and calibration equipment for pressure, temperature, flow, humidity and level instruments. Products include gages, sensors, switches, transducers, detectors, boosters, calibrators, thermometers, thermocouples, flowmeters, controllers, seals, thermowells, scanners, positioners and recorders. Testers, filters, monitors, totalizers, tachometers, nozzles, indicators, enclosures, strainers, unions, orifices, filter bags, analyzers, digital indicating meters, data loggers and modules are also offered. Suitable for water, wastewater, natural gas, power generation, metal milling, transportation, plastic forming, packaging, compressor, pump, OEM, research and development applications. Serves the pharmaceutical, petroleum, agricultural, government, food and beverage industries. Some instruments are CE certified, CSA approved and UL listed.",,,Not Available,Not Available  Employees,"Recorders: Digital
Instruments: Flow Recording & Indicating
Instruments: Recording & Indicating
Instruments: Temperature Recording & Indicating
Recorders


Recorders: Chart
Recorders: Electronic
Recorders: Frequency
Recorders: Instrument Chart
Recorders: Paperless

View all Recorders categories","All Products / Services

Sensors / Detectors / Transducers
Gages
Thermocouples
Cold Chain Equipment
Data Loggers
Vaccine Cold Chain Supplies and Logistics
Bags
Indicators
Regulators
Thermometers


Aerators
Annunciators
Blocks
Boosters
Calibration Services
Calibrators
Computers
Conditioners
Controls and Controllers
Converters

View all products / services offered"
"NetSource Technology, Inc.",855-970-5135,https://www.nstechnology.com/,"San Clemente, CA 92673",Distributor,"NetSource Technology, Inc. is a distributor of electronic components and accessories for OEMs and contract manufacturers. Products include cables, adapters, hubs, wireless and range extenders, HDMI switches and splitters, graphic and video cards, SSD drives, LCDs, memory integrated circuits and network switches. Other products such as relays, switches, connectors, capacitors, inductors, resistors, amplifiers, converters, diodes, transistors and trigger devices are also available. Serves the electronics, computer, telecommunications, aerospace, aviation, medical, automotive, and transportation industries. ITAR registered. Stock items are available. Procurement, inventory, and supply chain management services are also offered.","Founded in 1997, NetSource Technology, Inc. is a global procurement organization and is one of the largest independent stocking distributors of electronic components. We provide professional and supply chain solutions to OEMs and contract manufacturers worldwide. Our specialty is locating hard-to-find, obsolete, end-of-life (EOL) and highly allocated components with long lead times. We are focused on supporting customers throughout the complete supply chain lifecycle.

Our commitment to quality assurance is validated through our ISO 9001:2015 certification, ITAR registration and industry leading counterfeit prevention programs. NetSource Technology serves as a trusted supply chain partner to leading global organizations across the telecom, IOT, mobile, automotive, medical and aerospace industries. We are the exclusive North American and United Kingdom distributor of Cadyce products. The company is headquartered in San Clemente, CA with offices worldwide.",www.linkedin.com/company/netsource-technology/,$5 - 9.9 Mil,10-49  Employees,"Recorders: Digital
Recorders


Recorders: Sony
Recorders: Video, Network","All Products / Services

Electronic Components
Circuits
Capacitors
Digital Memory
Displays
Resistors
Connectors
Electrical Components
Power Supplies
Printed Circuit Boards
Relays
Adapters
Amplifiers


Antennas
Arrays
Attenuators
Backshells
Batteries
Blocks
Breakers
Cameras
Cards
Chargers
Chips
Circulators
Comparators

View all products / services offered"
DCC Corporation,800-991-5207,http://www.dcccorporation.com/index.html,"Pennsauken, NJ 08110",Manufacturer,"Manufacturer of portable welders systems. Types include capacitive discharge thermocouple welders for spot, pin, wire and stud welding. Welding units are suitable for thermocouple wires to be formed into freestanding beads or directly welded to metal surfaces for temperature sensing. Additional products include data loggers, wires, field covers, rechargeable batteries, grounding magnet with knob, pliers, holding vises, welding probes and female and male connectors. Welding units are suitable for field use, shop use, lab and pilot run uses.","Save time, save money and improve results by making your own thermocouples! DCC's HotSpot allows thermocouple wires to be welded as free-standing beads or directly attached to any metal surface for all your temperature sensing needs!

DCC's new HotSpot Plus capacitive discharge welding unit offers economy and flexibility to designers, engineers, technicians, and service personnel searching for quick, simple fastening solutions. A companion array of hand attachments facilitates basic spot welding, stud welding, and pin welding operations. The small size (11.5 in. x 8.5 in. x 3.5 in.) and weight (18 lb.) make this conveniently packaged design an undemanding assistant in the laboratory and field. The powerline draw is only a few amps during charging.",,Under $1 Mil,10-49  Employees,"Recorders: Digital
Instruments: Recording & Indicating
Recorders
Recorders: Analog
Recorders: Chart


Recorders: Data Acquisition
Recorders: Electronic
Recorders: Process
Recorders: Temperature
Recorders: Temperature & Pressure Combined

View all Recorders categories","All Products / Services

Welders
Adapters
Adhesives
Aircraft
Analyzers
Batteries
Boards
Calibrators
Cases
Cold Chain Equipment


Computer Peripherals
Connectors
Covers
COVID-19 Response
Data Acquisition Systems
Data Loggers
Electric Wire, Cable and Cable Assemblies
Fittings
Furnaces
Goggles

View all products / services offered"
"Cybertech, Inc.",215-957-6220,https://www.cbrtech.com/,"Horsham, PA 19044",Manufacturer,"Manufacturer of standard and custom panel mount printers and human machine interface touchscreens. Secondary services include engineering, consulting, designing, research and development. Serves the pharmaceutical packaging identification, instrumentation, emergency response service, recording and bioprocessing industries.",,www.linkedin.com/company/cybertech-inc-,$1 - 4.9 Mil,10-49  Employees,"Recorders: Digital
Instruments: Recording & Indicating


Recorders","All Products / Services

Panels
Research, Design and Development Services
Controls and Controllers
Displays
Engineering Services
Maintenance and Repair Services


Printers
Recorders
Consulting Services
Instruments
Interfaces
Screens"
