Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
"Eagle Microsystems, Inc.",610-323-2250,https://www.eaglemicrosystems.com/,"Pottstown, PA 19464",Manufacturer,"Designer, engineer and manufacturer of mechanical and electronic scales, weighing systems, volumetric feeders and analytical instruments for water treatment and industrial environments. Also providing a versatile series of displays for standalone or computer interfaced operation. Products and systems are modified and configured to meet specified requirements. Products and services include: weigh products and systems for cylinders, ton containers, carboys, drums and tanks, specializing in corrosion-proof weigh bases and microprocessor-based electronics. Weigh products and feeder systems for industrial weighing, filling and batching applications. Design, development and manufacturing of microprocessor-based instrumentation utilized in a variety of environmental and industrial products.","Eagle Microsystems has been an active industrial weighing specialist for nearly half a century.

Founded as manufacturers representatives, the company has grown into a full service developer of high-quality mechanical and electronic scales. We design, engineer and manufacture all of our products to rigid quality standards for a broad range of applications. Currently, Eagle Microsystems products and services include:

- Manufacturing of weigh products and systems for cylinders, ton containers, carboys, drums and tanks, specializing in corrosion-proof weigh bases and microprocessor-based electronics.

- Manufacturer of weigh products and systems for industrial weighing, filling and batching applications.

- Design, development and manufacturing of microprocessor-based instrumentation utilized in a variety of environmental and industrial products.

Engineering:

Since the 1960's, engineering weighing systems, devices and supporting electronics for the industrial, chemical and water industries has More... been our focus. Keeping pace with industry changes, manufacturing methods and new environments has made us a leader for both turnkey systems and custom solutions that tap our broad experience.

 Product development:

 When developing new products, we work closely with our customers to make sure each enhancement is based on real-world needs. That might mean improved interfacing or actual product design changes to improve versatility.

 Custom design and consulting:

 We are often called upon to assist manufacturers, raw materials providers and end users to design custom system/solutions for special environments, materials or other situations where an off-the-shelf design is not sufficient. Less",,Not Available,1-9  Employees,"Scales: Digital
Scales
Weighing Systems
Indicators: Weight
Scales: Chlorine


Scales: Cylinder
Scales: Industrial
Scales: Intermediate Bulk Container (IBC) Tote
Scales: Precision
Scales: Weighing

View all Scales categories","All Products / Services

Scales
Feeders and Feed Systems
Analyzers
Controls and Controllers
Indicators
Monitors
Transmitters
Cells
Containment Systems
Converters


Dispensers
Disposal Equipment
Engineering Services
Frames
Instruments
LEDs
Measuring Equipment
Plant Equipment
Platforms
Process Machinery

View all products / services offered"
"Scaletron Industries, Ltd.",215-766-2670,http://www.scaletronscales.com,"Plumsteadville, PA 18949",Manufacturer,"Manufacturer of scales, feeders and digital scale controllers. Types of scale include cylinder, drum, tank, platform, intermediate bulk container (IBC) tote and spill containment. Turning wrenches, conversion kits, lifting bars and storage trunnions are also available. Serves the waste water, sewage treatment, chemical, gas manufacturing, semiconductor, electronics and fire protection system industries.","Scaletron Industries, Ltd. Plumsteadville, PA is well known as the industry leader in corrosion resistance technology for scales used in the harsh environments of the municipal drinking water and waste water treatment industry, as well as for use in industrial water and waste water treatment. Our scales are designed specifically for monitoring usage, feed rate and inventory of water treatment and other process chemicals.

Scaletron Industries has been manufacturing electronic base scales since 1983 when we received our first patent for our Model 2350 Digital Dual Cylinder Scale. We manufacture a full line of electronic scales including cylinder, ton cylinder, drum, tank, platform, and spill containment, for use in many different applications. These digital scales offer a high degree of accuracy to 0.1%. We also manufacture other mechanical and electronic scales for weighing chemicals commonly used in the water treatment industry including chlorine, sulfur dioxide, ammonia, hydrogen chloride, More... carbon dioxide, and other liquid or liquefied gas. We offer a full 5 year warranty on all our products.

 In addition to our scales, we offer the Model 1099 Chemical Process Controller which makes possible a Total Electronic System"" providing more accurate scale weights and automated use reports of water treatment chemicals.

 If, after reviewing our web site, you have any questions about our scales, scale options and accessories, or want to make sure they will meet your specific needs and/or specifications, please feel free to call us. Our goal is to provide our customers with quality products and exceptional customer service to accomplish their particular application requirements. Less",,$1 - 4.9 Mil,10-49  Employees,"Scales: Digital
Scales
Scales: Chlorine
Scales: Cylinder
Scales: Industrial


Scales: Intermediate Bulk Container (IBC) Tote
Hand Truck Scales
Indicators: Weight
Measuring Devices
Scales: AC Operated

View all Scales categories","All Products / Services

Scales
Treatment Equipment
Feeders and Feed Systems
Cabinets
Containment Systems
Controls and Controllers
COVID-19 Response
Dispensers
Disposal Equipment
Fire Protection Products


Indicators
Instruments
Laboratory Equipment
Lifts
Machinery
Measuring Equipment
Medical Laboratory Consumable Supplies
Medical Products and Hospital Equipment
Monitors
Plant Equipment

View all products / services offered"
Carolina Scales Inc.,888-712-6773,https://www.carolinascales.com/index.html,"West Columbia, SC 29169",Distributor,"Distributor and servicer of industrial weighing and measuring equipment. Truck, railroad, and portable vehicle scales are available, as well as floor, bench, counting, used, crane and hanging, medical and health, retail, belt, conveyor, lift truck, and wheel loader scales. Also offers balances, weight indicators, load cells, weigh modules, junction boxes, remote displays, scoreboards, printers, scanners, labels, software, and traceability systems. Custom weighing systems and devices are also available. Capabilities include installation, calibration, inspection, certification, maintenance, repair, and rental services. Provides 24/7 emergency services. ISO/IEC 17025:2005 certified.","Carolina Scales Inc. was established in March 1950 to install and service mechanical truck scales throughout the southeast. During the 1970s and 1980s with the transition from mechanical to electronic devices, Carolina Scales grew from a small sales and service scale company to a quality supplier specializing in sales and the service of industrial weighing equipment, material batching and blending, data collection, calibration services, PLCs and weighing control systems, and one of the largest rental scale fleets.

Our goal is to combine industry product knowledge with superior customer service to help our customers keep pace with ever-changing technology. It is our responsibility to examine and understand our customers' requirements in order to make them more effective and competitive in their industry.",www.linkedin.com/company/2599007?trk=tyah,$1 - 4.9 Mil,10-49  Employees,"Scales: Digital
Scales
Scales: Bench
Scales: Checkweighing
Scales: Floor


Scales: Industrial
Scales: Railroad
Scales: Truck
Checkweighers
Checkweighers: In-Motion

View all Scales categories","All Products / Services

Scales
Calibration Services
Calibrators
Maintenance and Repair Services
Cells
Analyzers
Animal Health Products
Balancers
Balances
Bank Equipment


Barcode Systems
Batchers
Benches
Blending Services
Boards
Boxes
Certification Services
Construction Equipment
Controls and Controllers
Conveyors

View all products / services offered"
"Meyer Material Handling Products, Inc.",866-334-9075,https://www.meyermat.com/,"Indianapolis, IN 46203",Distributor,"Woman-owned Distributor of a wide range of material handling products and systems. Products include bins, cabinets, carts, containers, conveyors, cranes, dock equipment, drum handling equipment, ergonomic lift equipment, hand trucks, hoists, lockers, matting, mezzanines, mirrors-convex, pallet handling equipment, pallet rack systems, platform trucks, safety equipment, self dumping hoppers, shelf trucks, shelving, work tables and workbenches. Custom equipment designing, project designing, integration, layout planning, installation and shipping services are available. Lean manufacturing capable. JIT delivery.","Meyer Material Handling is a full service material handling products and systems distributor established in 1974 with the vision of servicing the materials handling and storage needs of industry. From the beginning, we have operated with a desire to place the needs of our customers first. A true value-added service company. As the business progressed, Meyer became an authorized distributor of more than 200 manufacturers. We have successfully completed full facility systems layouts and projects. As companies continue to advance with technologies and automation, the material handling business also becomes more technical and is changing to keep pace. Meyer keeps up with today's environment by offering industry leading products, systems, and services that meet or exceed customer expectations, all while maintaining a competitive pricing structure. Our customer list contains many Fortune 500 Companies. Meyer is doing business nationwide with companies large and small.",www.linkedin.com/company/meyer-material-handling-products-inc,$1 - 4.9 Mil,10-49  Employees,"Scales: Digital
Scales


Scales: Warehouse
Scales: Weighing","All Products / Services

Racks
Handling Equipment
Lifts
Cabinets
Dividers
Lockers
Trucks and Carts
Benches
Boxes
Hoists
Hoppers
Mezzanines
Shelves and Shelving


Attachments
Barricades
Barriers
Bars
Beams
Bins
Blankets
Booths
Bronze
Buildings
Bumpers
Cages
Cans

View all products / services offered"
Sterling Machinery Exchange,855-457-8293,https://www.sterlingmachinery.com/,"South El Monte, CA 91733-1097",Distributor,"Distributor of new and used metalworking machinery including air compressors, feeders, benders, bevelers, mills, brake presses and cranes. Crimpers, dust collectors, grinders, hones, lathes, cutting and milling machines, nibblers, notchers, riveters, sanders, shears, welders and expanders are also available. Testers, upenders, swagers, saws, roll formers, punches and planishing, wire or gear hobbing machinery provided. Material handling equipment such as lift tables and strapping machines offered.","Established in 1954, Sterling Machinery is one of America's largest, most well-established national dealers for Fabrication Equipment and Chip Making Machinery. Our vast warehouse contains over 2,000 pieces of New and Used machines available for inspection in person, or live via internet webcam fed directly to your computer's browser. 

We are one of the longest standing and prestigious members of the MDNA (Machinery Dealers National Association) and are proud to display an A ranking with the Better Business Bureau. We also abide by the standards set by the AMEA to provide professional appraisal practice and ethical conduct through market-based experience. 

In the last 60 years, we've built strong and reputable connections in shipping, rigging, installation and maintenance to ensure smooth a transaction in every aspect. With so many professional associations, we strive to continually improve ourselves, our products and our business processes to delight our customers.",www.linkedin.com/company/sterling-machinery,$10 - 24.9 Mil,10-49  Employees,"Scales: Digital
Indicators: Weight
Scales
Scales: Chatillon


Scales: Crane
Scales: Electronic
Scales: Industrial
Scales: Wireless","All Products / Services

Presses
Machinery
Benders
Mills
Cutters and Cutting Machinery
Lathes
Saws
Shears
CNC Machinery
Fabricating Machinery
Ironworkers


Rolls and Rollers
Auctioneers
Grinders
Lasers
Machine Tools
Abrasive Blast Equipment
Assembly Machinery
Beaders
Bevelers
Blades
Boring Machinery

View all products / services offered"
A-1 Alloys,877-887-1767,http://www.a1alloys.net/,"San Diego, CA 92173",Distributor,"Supplier of stainless steel, carbon steel, brass, bronze, aluminum, high temperature and abrasion or corrosion resistant alloys. Available in bar, rod, plate, sheet, pipe and tube forms. Also, distributes interior or exterior, drywall, multipurpose and heavy duty framing systems. Capabilities include shearing, welding, heat treating, forming, band sawing and waterjet, flame and plasma cutting, punching and drilling. Serves the shipbuilding, heavy equipment, defense, construction, building and architectural industries. Stock items available. Made in the USA.","A1 Alloys inc. has been in business since 1978. Located in San Diego California, we cover a multitude of metals that are stocked in our warehouse and other metals related services and products for the entire globe. We can expedite material shipments to all locations.

What Makes Us Different

It is the mission of A1 Alloys Inc. to provide quality materials and expedient service in the metal supply and manufacturing industries. This division is focused on procurement services including expediting materials and manufacturing of products. We stock ferrous, non-ferrous, exotic and precious metals, as well as plastics and other non-metallic materials. We can precision cut to size any of the materials that we sell. Our machine shop, sheet-metal forming, casting, extrusion, and finishing experience allows us to efficiently manufacture products to your drawings & specifications. Our customer base includes the aerospace industries, military, industrial, marine, commercial, and government entities. More... Our vendors are quality control oriented producers and suppliers of domestic and imported products. We can arrange freight and expediting to locations all around the globe. We will provide you what you need, when you need it at a competitive price. Less",,$10 - 24.9 Mil,10-49  Employees,"Scales: Digital
Scales: Dormant
Scales: Electronic
Scales: Heavy Duty


Scales: Load Cell
Scales: Net Weighing
Scales: Platform","All Products / Services

Steel
Aluminum
Brass
Bronze
Copper
Titanium
Bismuth
Cobalt
Gold
Inconel®
Iron (Metal)


Lead
Manganese
Metals
Miscellaneous Metals
Molybdenum
Monel®
Nickel
Platinum
Silver
Tin
Tungsten

View all products / services offered"
"RPMI Packaging, Inc.",513-398-4040,https://www.rpmipackaging.com/,"Lebanon, OH 45036",Manufacturers' Rep,"Distributor of material handling and packaging equipment including cartoners, sanitary construction servo sleevers, tape, hot melt adhesive, case, pressure sensitive and interchangeable sealers, case erectors, checkweighers, case palletizers and depalletizers. High-performance, eliminator and monitor metal detectors, optical full crate, fill level, contaminant detection and X-ray inspection systems, shrink wrappers, tray formers, tray loaders and feeding systems are also offered.",,,$10 - 24.9 Mil,10-49  Employees,"Scales: Digital
Checkweighers
Checkweighers: In-Motion
Meters: Weight
Scales


Scales: Automatic
Scales: Bagging
Scales: Barrel
Scales: Checkweighing
Scales: Food Processing

View all Scales categories","All Products / Services

Packaging Machinery
Inspection Equipment
Wrapping Machinery
Palletizers
Sealing Equipment
Inspection Services
Conveyors
Depalletizers
Erectors
Packers


Sensors / Detectors / Transducers
Cartoners
Closers
Feeders and Feed Systems
Forming Machinery
Loaders
Scales
Distribution Systems
Dryers
Elevators

View all products / services offered"
Practical Packaging Solutions,866-293-2924,https://www.practicalpackaging.com/index.html,"Glendale Heights, IL 60139",Distributor,"Distributor of packaging machinery and materials. Packaging machinery include semi-automatic L-bar sealers, fully automatic side sealers, bottom overlap wrappers, semi-automatic and fully automatic high speed case erecting and tray forming with bottom tape or hot melt glue machinery, semi-automatic and fully automatic top and bottom case sealers, random size case sealers, semi-automatic low and high profile systems, rotary tower systems, labeling machinery and fully automatic and semi-automatic bagging systems. Packaging materials include genuine Autobags, pre-opened plain and pre-printed bags on roll, air pouch void fill, flat bags, gusseted and wicketed bags made from polyethylene, carton sealing and specialty tapes, UV flexo and rotary screen printed labels and polyethylene and polyolefin films for shrink and stretch packaging applications. Package designing and testing, warehousing, contract packaging and inventory control management services are available.",,,$5 - 9.9 Mil,1-9  Employees,"Scales: Digital
Machinery: Weighing
Scales


Scales: Automatic
Scales: Packaging
Scales: Weighing","All Products / Services

Displays
Point of Purchase (POP) Products
Packaging Materials
Film
Boxes
Packaging Machinery
Bags
Wrapping Machinery
Research, Design and Development Services
Bagging Machinery
Cannabis Products
Cold Chain Packaging Supplies


Erectors
Installation Services
Sealing Equipment
Vaccine Cold Chain Supplies and Logistics
Automation Systems
Bundlers
Cartons
Conveyors
Counters
Cushions
Custom Machinery
Diverters

View all products / services offered"
Riverside Paper Co.,844-828-9079,http://www.rpconline.com/,"Miami, FL 33167 | Locations",Manufacturer,"Manufacturer and distributor of bags, corrugated boxes, cohesive packaging materials, warehouse, safety, security, storage, protective cushioning products, labels, lunchroom supplies, mailers, envelopes, shrink or stretch wrap films, staplers, staples, strapping, packaging machinery, dispensers, tags, tapes and wrapping papers. Janitorial supplies including tissue, hand towels, soaps, can liners, deodorizers, disinfectants, mops, buckets, brooms, cleaners, feminine hygiene products, wipers, waste containers, and aerosol sprays are also available. Suitable for packaging, shipping, transportation, protection, void fill, cleaning, wrapping, bundling, cushioning, wadding, and storing applications.","Riverside Paper Co. works with customers to provide them with a customized solution for their unique packaging, shipping, and production needs. We believe that every company deserves more than just having to choose from a list of products with predetermined pricing. We tailor pricing and products to your specific needs. 

Riverside manufactures and converts many of our products. We specialize in custom printed and custom sized boxes of all sorts, corrugated cartons, folding chipboard boxes, rigid set up boxes, and more. Cost saving innovations for each area of your business is our goal to earn and maintain your business.

There are over 15,000 items in our system to help us individualize a program to make your job easier, quicker, and less costly. Since 1973, Riverside Paper has been partnering with manufacturers, fulfillment centers, fabricators, printers, retailers, and other small business with our stock and custom products. Visit our website to learn more.",,Not Available,Not Available  Employees,"Scales: Digital
Machinery: Weighing
Measuring Devices
Scales
Scales: Animal Weighing


Scales: Bench
Scales: Computing
Scales: Counting
Scales: Crane
Scales: Electronic

View all Scales categories","All Products / Services

Boxes
Bags
Packaging Materials
Covers
Bands
Cushions
Film
Liners
Pallets
Paper


Strapping and Banding
Straps
Wrap
Absorbers
Adhesives
Air Fresheners
Aluminum
Banding Machinery
Bars
Belts

View all products / services offered"
"PCE Americas, Inc.",844-842-6529,https://www.pce-instruments.com/f/t/us/main.htm,"Jupiter, FL 33458",Manufacturer,"Manufacturer of instruments and related products for commercial, industrial, university and research institution applications. Selection includes analytical, baby, basis weight, carat, compact portable, gold, GSM, jewelry, pharmacy, precision, spring, weighing, moisture, electronic and laboratory balances, animal weighing, approved, hand pallet truck, hanging, health, HGV, benchtop, bench counting, parcel, part counting, portioning, platform, dual display, checkweighing, controlling, container, crane, livestock, system, shipping, table top, trade approved, washdown, floor and lifter scales, measuring instruments and laboratory equipment.",,,Under $1 Mil,1-9  Employees,"Scales: Digital
Scales: Industrial
Checkweighers
Hand Truck Scales
Inventory Control Scales


Machinery: Weighing
Measuring Devices
Pallet Truck Scales
Scales
Scales: Animal Weighing

View all Scales categories","All Products / Services

Flowmeters
Borescopes
Measuring Equipment
Cold Chain Equipment
Data Loggers
Meters
Vaccine Cold Chain Supplies and Logistics
Analyzers
Cameras
Instruments


Photometers
Scales
Accelerometers
Gages
Magnetometers
Alarms
Anemometers
Balances
Beams
Calibration Services

View all products / services offered"
