Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
"Stephens Mfg. Co., Inc.",855-279-9237,https://www.stephensmfg.com/,"Tompkinsville, KY 42167",Manufacturer,"Manufacturer of standard & custom concrete plants, products & parts. Products include silos, bins, batchers, conveyors, dust collectors, vents, belting, chutes, mixers & reclaimers. Manufacturer & distributor of standard & custom hose, valves & control boxes. Distributor of gear reducers & meters. Various parts include air fittings, cylinders, regulators, controls, load cells, solenoids, bearings, indicators, vibrators, sprockets, ducts, wipers, switches, hoppers, gates, liners, motors, relays, timers, idlers, pulleys, buttons, lights, transitions, blowers, cartridges & harnesses. Actuators, adapters, relay bases, drill bits, bladders, blades, blocks, boards, boots, brackets, boxes, breakers, chains, collars, couplings, displays, fasteners, gaskets, guides, guards, paddles, pilots, repair kits, rings, rotors, shafts, strainers, sweeps, taps, tensioners, tubing, turnbuckles, wipers & wrenches are also available.","We have been in the concrete plant manufacturing business since 1957. We can custom build a plant to your specifications. Each plant conforms to CPMB (Concrete Plant Manufacturing Bureau) criteria.

We take pride in our craftsmanship and strive to give you the best equipment on the market at a very competitive price. We are an international company and have the proud reputation of having world class customer service.",www.linkedin.com/company/stephens-manufacturing/mycompany/,$5 - 9.9 Mil,200-499  Employees,"Displays: Digital Sign


Displays","All Products / Services

Conveyors
Plants
Collectors
Silos
Mixers
Batchers
Bins
Concrete Machinery
Reclaimers
Actuators
Adapters
Air Filtration Equipment & Supplies
Bases
Bearings


Belts
Bits
Bladders
Blades
Blocks
Blowers
Boards
Bolts
Boots
Bowls
Boxes
Brackets
Breakers
Bushings

View all products / services offered"
Central Package and Display,763-425-7444,https://www.centralpackage.com/,"Minneapolis, MN 55443",Manufacturer,"Manufacturer & distributor of standard & custom packaging products & supplies including display & graphic packaging, corrugated & protective packaging, static control products, set-up & folding cartons & specialty packaging. Display & graphic packaging products include floor displays, advertising promotions, micro-electronic displays, event graphics, pallet displays & display racks. Static control products include bags, wrist strips, testers, hardware heel grounders, straps, work surface cords, mats, monitors, foams, clam shell packages, partitions, anti-static tapes, tote boxes, bins, trays, checkers, ionizers, static field meters, surface resistivity meters, hand lotions, labels, smocks, lab coats, static dissipative sheet protectors & work surface cleaners. Services include fulfillment solutions, die cutting, assembling, gluing, loading, packaging, collating, labeling, inspection, logistics management & warehousing. JIT delivery available.","The role of packaging has become increasingly important in medical device manufacturing, pharmaceuticals, and health care products. With over 5 decades of servicing these industries, Central Package & Display has the experience that matters when it comes to the design and manufacture of your packaging needs.

With creative and effective structural design capabilities we strive for high performance in aesthetics and function. In addition, we provide an extraordinary level of service, quality, cost and material management, along with a willingness to commit to your schedule requirements.

Central Package & Display is the one source for all your corrugated, folding carton, rigid packaging and protective packaging needs.

Our plant operates in an ISO compliant manner and is successfully audited on a routine basis by industry leading medical device and medical products customers. In 2020 we began the process of becoming ISO13485 certified. We have completed our gap analysis and expect to certify More... before the end of the year. Our entire team is dedicated to delivering top quality custom-designed packaging solutions that are reliable, compliant, and deliver outstanding performance. Less",,$25 - 49.9 Mil,100-199  Employees,"Displays: Digital Sign
Displays: Point of Purchase (POP)
Displays: Point of Purchase (POP), Custom
Displays
Displays: Advertising & Product Storage, Metal Wire


Displays: Assembled
Displays: Convenience Store
Displays: Corrugated
Displays: Countertop
Displays: Custom

View all Displays categories","All Products / Services

Boxes
Packaging Materials
Displays
Point of Purchase (POP) Products
Cartons
Fulfillment Services
Totes
Cushions
Bags
Bins


Cases
Consulting Services
Containers
COVID-19 Response
Display Components
Envelopes
Film
Foams
Janitorial Equipment
Janitorial Supplies

View all products / services offered"
Teguar Computers,800-870-7715,https://teguar.com/,"CHARLOTTE, NC 28273",Manufacturer,"Manufacturer of industrial PCs, computers, and tablets. Various types include medical, industrial panel pcs, waterproof computers, fanless computers, rugged tablet PCs, open frame, and explosion proof. Automation, transportation, tunneling, mining, manufacturing, pharmaceutical, medical, aerospace, energy, defense, military and various other industries served. Stock items, customized product orders made to client specs, and various operation systems available. On-time delivery.","Headquartered in Charlotte, NC, Teguar is a leading provider of industrial and medical computers and tablets. Teguar computers are designed to perform in extreme environments including manufacturing floors, clean rooms, emergency medical rooms, and even outdoors in all weather types. Our dynamic and experienced team keeps up to date on changing industry trends across all the sectors we serve, from industrial automation to healthcare, to clean room manufacturing. We also provide OEM/ODM services for customers needing an innovative, unique solution. With Teguar Computers, customers can build a reliable system and experience a fast return on investment.",www.linkedin.com/company/teguar-corporation,Not Available,10-49  Employees,Displays: Digital Sign,"All Products / Services

Computers
Integration Services
Tablets
Automation Systems
Cleanroom Equipment
COVID-19 Response
Displays
Educational Products
Electrical Equipment
Electronics
Imaging Equipment
Instruments
Kiosks


Machinery
Management Systems
Marine Equipment
Medical Equipment
Medical Products and Hospital Equipment
Medical/Hospital Consumable Supplies
Military Equipment
Mining Equipment
Monitors
Processors
Surgical Equipment
Terminals and Lugs
Tunneling Machinery"
"Premio, Inc.",855-307-8248,https://premioinc.com/,"City of Industry, CA 91748",Manufacturer,"Manufacturer of computing solutions including embedded and edge computers, LCD monitors, motherboards, data center or cloud storage servers and HMI touch displays. Services such as product development and designing, logistics, support and supply chain management are provided. Serves the airport security, industrial or factory automation, kiosk machine, medical interface analysis, mining, computing, NVR surveillance and vehicle fleet telematics industries. EPA registered.","Premio is a global solutions provider specializing in computing technology from the edge to the cloud. We design and manufacture highly reliable, world-class computing solutions for enterprises with complex, highly specialized requirements for over 30 years. Our engineering specialty and agile manufacturing push the technical boundaries in embedded IoT computers, rugged edge computers, HMI displays and HPC storage servers.

At Premio, we go to extraordinary lengths to solve the most formidable challenges faced by our customers. We do so by becoming more than their partner: we become their 'inside outsource' - an extension of their businesses, work cultures, manufacturing processes and operations, modulating our solutions to answer their special needs with speed, agility and precision.

With a state-of-the-art facility in Los Angeles, California (ISO 9001, ISO 14001, ISO 13485) and strategic locations in Taiwan, Malaysia and Germany Premio provide robust product engineering, flexible speed More... to market and unlimited manufacturing transparency. Less",www.linkedin.com/company/premio-inc-,$50 - 99.9 Mil,100-199  Employees,"Displays: Digital Sign
Displays
Displays: Industrial


Displays: Liquid Crystal (LCD)
Displays: Touchscreen","All Products / Services

Computers
Motherboards
Servers
Computer Accessories
Computer Accessories
Displays


Interfaces
Modules
Monitors
Network Equipment
Server Accessories"
NRI Industrial Sales LLC,844-806-0871,https://www.nriparts.com/,"Delta, OH 43515 | Locations",Distributor,"Distributor of new, surplus, and used bearings, shock absorbers, accumulators, actuators, and adapters. Adhesives, ammeters, amplifiers, analyzers, applicators, beakers, bellows, belts, benders, blades, and blowers are available. Brakes, brushes, bushings, switches, buttons, and broaches are also provided. Same day shipping is offered. Serves oil, petrochemical, energy, food processing, mining, pulp, and paper industries.","Our journey started in 2001 with a simple beginning. Today, we have become one of the largest surplus equipment sellers in North America. Throughout our growth, our mission has been constant. We specialize in providing our clients with sustainable solutions for highly sought-after new and used industrial equipment.

We do so by partnering with businesses from various sectors, including Pulp and Paper, Oil and Petro-Chemical, Energy, Food Processing, and Mining, to preserve the economic and environmental well-being of the communities we serve.

We take pride in our sustainable solutions that keep tons of obsolete machines, equipment, and parts out of landfills and scrap piles while providing the industry with an economical source to industrial equipment.",www.linkedin.com/company/nri-parts/,Not Available,Not Available  Employees,"Displays: Digital Sign
Displays
Displays & Exhibits
Displays: Flat Panel
Displays: Industrial


Displays: Light Emitting Diode (LED)
Displays: Liquid Crystal (LCD)
Displays: Medical Imaging
Displays: Touchscreen","All Products / Services

Motor Controllers and Drives
Printed Circuit Boards
Motors
Absorbers
Accumulators
Actuators
Adapters
Adhesives
Air Conditioner Parts
Air Filtration Equipment & Supplies


Ammeters
Amplifiers
Analyzers
Applicators
Attachments
Automation Systems
Balls
Baths
Beakers
Bearings

View all products / services offered"
AEI,562-481-3276,https://www.accele.com/,"Santa Fe Springs, CA 90670",Manufacturer,"Manufacturer of vehicle security, hardware and audio electronic gadgets. Various products available include actuators, adapters, alarms, amplifiers, baffles, batteries, bits, blades, blocks, boards, brackets, bullets, bushings, cables, cameras, capacitors, caps, carpets, caulks, chimes, circuits, clamps, cleaners, clips, cloth, coils, conduits, connectors, contacts, controls, converters, corners, crimpers, cutters, diodes, disconnects, displays, dissolvers, drivers, drives, eliminators, extenders, fans, feet, filters, first aid kits, fuse holders, fuse taps, flashers, fuses, glue, grilles, grommets, headphones, heaters, headsets, horns, LCD hour meters, inductors, instruments, inverters, isolators, jacks, keypads, keys, knives, lamps, latches, LCD monitors, lighters, liners, locks, looms, magnets, microphones, mirrors, modulators, modules, monitors, mounts, nuts, door openers, paints, panels, pins, plates, plugs, ports, profiles, projectors, radio sets, recorders, reducers, relays, removers, resisters, rings, rockers, rulers, screens, screws, sensors, sockets, solder, solenoids, solvents, spacers, spades, speakers, splitters, testers, tips, tubes, air vents, washers, wicks and wires.","AEI is unmatched in the years of experience and expertise in the electronics industry.

We have been manufacturing and supplying the electronic industry for over 30 years.",,$10 - 24.9 Mil,10-49  Employees,"Displays: Digital Sign
Displays
Displays & Exhibits
Displays: 3M
Displays: Advertising


Displays: Alphanumeric
Displays: Convenience Store
Displays: Countertop
Displays: Custom
Displays: DVD/CD

View all Displays categories","All Products / Services

Relays
Actuators
Adapters
Adhesives
Alarms
Ammeters
Amplifiers
Antennas
Audio Visual (AV) Equipment
Automotive Parts


Baffles
Batteries
Bits
Blades
Blocks
Boards
Brackets
Bulbs
Bushings
Cameras

View all products / services offered"
Akrylix,888-894-9341,https://www.akrylix.com/,"Frankfort, IL 60423",Custom Manufacturer,"Custom manufacturer of blended plastic & fabricator of a wide variety of acrylic products including signs, holders, furniture, boxes, containers, displays, awards, guards, & fixtures. Materials include acrylic, thermoset plastics, polycarbonate sheets, HP impact sheet, styrene, PVC, HDPE, nylon, laminate & plexiglas. Distributor of a broad range of plastic sheet materials & plastic glue. Fabrication capabilities include CNC laser & router cutting, forming gluing & bending. Applications include use in trade shows, exhibits, promotional events, hotels, institutions, museums, & food industry. Markets served include museums, stores, display mfrs., lighting mfrs., & exhibitions. Industries served include medical, food, metal & machinery. Capabilities include no minimum order quantity, conventional & UV silk screening, blow molding & vacuum forming, interactive online assistance, & FTP uploading of CAD drawings, hand drawings or pictures.",,,$1 - 4.9 Mil,10-49  Employees,"Displays: Digital Sign
Displays
Displays & Exhibits
Displays: Acrylic
Displays: Acrylic, Souvenir


Displays: Advertising
Displays: Battery
Displays: CD Holder
Displays: Countertop
Displays: Custom

View all Displays categories","All Products / Services

Fabrication Services
Acrylic
Boxes
Prototyping Services
Acrylic Products
Additive Manufacturing Materials
Advertising Specialties, Novelties, and Promotional Products
Awards
Bins
Bonding Services


Bottles
Cabinets
Caps
Cases
Containers
Covers
COVID-19 Response
Display Components
Displays
Dividers

View all products / services offered"
ALICE Receptionist,702-284-7377,https://www.alicereceptionist.com/,"Las Vegas, NV 89148",Manufacturer,"Manufacturer of software for lobby and vendor management, security, and surveillance applications. Kiosks, displays, and desktop systems are also provided. Serves the health and safety, government, education, and public sector industries.",,,$10 - 24.9 Mil,10-49  Employees,"Displays: Digital Sign
Display Systems: Graphic
Displays
Displays: Electronic
Displays: Electronic System


Displays: Flat Panel
Displays: Graphic
Displays: Industrial
Displays: Interactive
Displays: Liquid Crystal (LCD)

View all Displays categories","All Products / Services

Displays
Hardware
Kiosks
Management Systems


Security Systems
Software
Virtual Receptionist Systems"
"Review Display Systems, Inc.",414-296-8360,https://www.review-displays.com/,"Milwaukee, WI 53202",Distributor,"Distributor of displays. Display types include LCD, TFT, EL, OLED, and E-INK. Additional products include DC to DC converters, display drivers, inverters, and digital sign displays.",,,$10 - 24.9 Mil,1-9  Employees,"Displays: Digital Sign
Displays
Displays: LCD, High Bright


Displays: LCD, Transflective
Displays: Liquid Crystal (LCD)
Displays: Touchscreen","All Products / Services

Baseboards
Displays
Modules
Power Supplies


Screens
Signs
Software"
"Okaya USA, Inc.",847-621-5550,https://www.okaya-usa.com/,"Arlington Heights, IL 60005",Distributor,"Global distributor of steel, resins, manufacturing equipment, and automation technology. Importer of biodegradable plastics, resins, and films, providing both supply chain management and warehousing capacity. Customized automation and analytics solutions utilizing IoT and AI technology, integrating manufacturing equipment and robotics. ISO9001 and ISO140001 certified.",,,Not Available,Not Available  Employees,Displays: Digital Sign,"All Products / Services

Aluminum
Chemicals
Computers
Copper
Displays
Electrical Components
Electronics
Iron (Metal)
Lasers
Machinery
Metals


Miscellaneous Plastics
Pipes
Plastics
Printed Circuit Boards
Resins
Robots
Semiconductors
Sensors / Detectors / Transducers
Software
Steel"
