Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
Classic Automation,844-865-6740,https://www.classicautomation.com/,"Webster, NY 14580",Remanufacturer,"One-stop-shop remanufacturer of surplus parts for installed control systems, drives, and servo motors. Provides a wide selection of components from many different manufacturers and systems as well as repair services, diagnostics, and program transfer.","Open for online business

Classic Automation serves key industries vital to combating the Coronavirus pandemic. These include critical manufacturing processes such as pharmaceuticals, food and beverage, pulp and paper, utilities, and more. As always, ""We help keep the world's production running"" - and it is important that we continue to operate with this in mind.

Extend the life of your installed control systems, drives, and servo motors with new and refurbished parts and repair services. Reduce your maintenance costs with surplus parts from our extensive inventory for control systems (DCS, PLC, CNC), panel controllers, HMIs, industrial PCs, drives, power supplies, and servo motors. All parts and repairs come with a 2-year warranty.",www.linkedin.com/company/classic-automation,$10 - 24.9 Mil,50-99  Employees,"Boards: Digital Signal Processing
Boards
Boards: Communications


Boards: I/O
Boards: Interface","All Products / Services

Controls and Controllers
Motor Controllers and Drives
Maintenance and Repair Services
Drives
Printed Circuit Boards
Adapters
Backplanes
Bases
Blocks
Boards
Brackets
Breakers


Buses
Cards
Chassis
Circuits
Computer and Communication Terminals
Computer Mice (Mouses)
Computers
Connectors
Converters
Counters
Couplers and Couplings
Covers

View all products / services offered"
"Interworld Electronics & Computer Industries, Inc.",877-902-2979,https://www.interworldna.com/gemini/loggers.php,"Point Roberts, WA 98281 | Locations",Distributor,"Distributor of electronic components including digitizers, data loggers, oscilloscopes, sensors, analyzers, synthesizers and I/O boards or cards. Data acquisition and collection systems are available. Software such as construction estimating, quoting and data analysis are offered. Resistors, capacitors, current shunts, server room monitors, cables, cords, pulse generators and connectors are provided. Other products include tables, pedestals, buttons, trays, cameras, magnifiers, tubes, grommets and workstations. Serves aerospace, automotive, medical, transportation, military and defense industries. Some products are RoHS compliant and UL listed.","When thinking about today's industrial computing environment, the ""basics"" tend to be somewhat complicated. In fact, bringing them all together takes up more time and resources than you care to think about. Have Interworld Electronics assist you in making the correct choice the first time! Products we sell and support include: Digitizers, Data Acquisition, Hardware and Software, Data Loggers, Construction Estimating Software, Communication Boards, USB, PCIe, PCMCIA and Expresscard .",www.linkedin.com/company/interworld-electronics-&-computer-industries-inc./,$1 - 4.9 Mil,1-9  Employees,"Boards: Digital Signal Processing
Boards
Boards: Communications
Boards: Data Acquisition
Boards: I/O


Boards: Interface
Boards: PC-Compatible
PC-104 Analog I/O Boards
PCI Communication Boards
PCI Data Acquisition Boards

View all Boards categories","All Products / Services

Instruments
Analyzers
Cold Chain Equipment
Data Acquisition Systems
Data Loggers
Digitizers
Measuring Equipment
Modules
Oscilloscopes
Probes


Testers
Vaccine Cold Chain Supplies and Logistics
Adapters
Alarms
Ammeters
Autodialers
Belts
Boards
Buttons
Calibrators

View all products / services offered"
"Acromag, Inc.",248-295-0881,https://www.acromag.com/,"Wixom, MI 48393-2417",Manufacturer,"Manufacturer of a wide variety of I/O devices for manufacturing, military, scientific, public utility, and transportation applications. For process instrumentation, the signal conditioning line features transmitters, isolators, alarms, and computation modules. If networked I/O is required, analog and discrete I/O modules for ethernet, modbus, and profibus are offered. For real-time control systems, a full line of high-performance analog, digital I/O and serial I/O bus boards for VMEbus, PCI, and CompactPCI® computer systems including AcroPack®, IndustryPack®, XMC, and PMC mezzanine modules are provided. Rugged embedded computers and COM Express for deployable options are also available.","Acromag is a multi-million dollar international corporation that combines more than 60 years of process monitoring and control experience with a solid background in high-tech computer design. Established in 1957, Acromag built its reputation designing critical measurement instrumentation equipment for the petrochemical and aerospace industries. Acromag, Inc. was soon recognized internationally as a leading designer of analog and digital control products for the industrial I/O market.

Today, Acromag's product line encompasses a wide variety of I/O devices for manufacturing, military, scientific, public utility, and transportation applications. For process instrumentation, Acromag's signal conditioning line features more than 100 transmitters, isolators, alarms, and computation modules. If networked I/O is required, Acromag offers analog and discrete I/O modules for ethernet, modbus, and profibus. For real-time control systems, Acromag provides a full line of high-performance analog, digital More... I/O and serial I/O bus boards for VMEbus, PCI, and CompactPCI® computer systems including AcroPack®, IndustryPack® and PMC mezzanine modules.

 Experience makes the difference. Acromag's years of experience in designing industrial I/O have given us a clear understanding of the problems associated with industrial measurement and control. Solutions to ground loops, RFI/EMI noise, and temperature drift are designed into every product to assure precise operation in hostile environments. Many products are available with agency approvals such as UL, cUL, FM, CSA, CE, ATEX, and others.

 In addition to the over 3800 products available for shipment, Acromag has 60 years' experience modifying units and producing custom products. Once a modification is defined, Acromag enters it into our documentation system and it becomes available as a standard product. This means that it can be re-ordered at any time in the future simply by using the assigned model number.

 You will find that Acromag products routinely out perform their listed specifications. Printed specifications reflect minimum performance standards that every product must meet or exceed before shipment. These conservative specifications guarantee a repeatable level of performance for all applications.

 Strict quality control measures further assure you of the finest product. State of the art manufacturing and test equipment keeps Acromag's products the best in the world. Extensive burn-in procedures and demanding test requirements are among the strict quality control measures used to maintain the high levels of reliability that Acromag customers have come to expect. Over the last several years, Acromag has incorporated the latest techniques of statistical quality management to assure that we maintain and constantly improve our product quality. Less",www.linkedin.com/company/acromag,$10 - 24.9 Mil,50-99  Employees,"Boards: Digital Signal Processing
Boards
Boards: Communications
Boards: Controller
Boards: Data Acquisition


Boards: I/O
Boards: Image Processing
Boards: Interface
Boards: Multifunction
Boards: PC-Compatible

View all Boards categories","All Products / Services

Adapters
Alarms
Amplifiers
Assemblies
Barriers
Blocks
Boards
Buses
Cards
Computers


Conditioners
Connectors
Controls and Controllers
Converters
Counters
Data Acquisition Systems
Digital Memory
Hardware
Indicators
Instruments

View all products / services offered"
VersaLogic Corp.,800-824-3163,https://www.versalogic.com/,"Tualatin, OR 97062",Manufacturer,"Manufacturer of COTS & custom single board computers & computer hardware for digital signal processing in industrial, medical & military applications. Hardware includes CPU boards, data acquisition boards & systems, development platforms, digital I/O modules, enclosures, ethernet adapters, boards, modules & bridges, extraction tools, flash adapters, flash memory modules, low voltage power supplies, motherboards, PC/104, PCI & PCMCIA boards, printed circuit boards, RS-232 modules & video transmitters. RoHS compliant.",,,$1 - 4.9 Mil,50-99  Employees,"Boards: Digital Signal Processing
Boards: Data Acquisition
Boards: I/O
Boards: PC-Compatible
Embedded Boards: Custom


PC-104 Analog I/O Boards
PCI Communication Boards
PCI Data Acquisition Boards
RS-232, RS-422, RS-485 Asynchronous & Synchronous Serial Boards","All Products / Services

Adapters
Boards
Bridges
Cages
Cards
Computers
Controls and Controllers
Data Acquisition Systems
Digital Memory
Embedded Systems


Enclosures
Extractors
Hardware
Modules
Motherboards
Platforms
Power Supplies
Printed Circuit Boards
Transmitters"
"Aegis Electronic Group, Inc",480-635-8400,https://aegis-elec.com/,"Gilbert, AZ 85233 | Locations",Distributor,"Distributor of imaging components & integrated system solutions Applications of imaging components include machine vision, bioscience, microscopy, conferencing, robotics, military, traffic, space & medical applications.","Aegis offers a full line of industrial and machine vision cameras, lenses, frame grabbers, monitors and software for complete integration of your imaging applications. Aegis also provides complete imaging systems with hardware and software solutions. These systems feature the following premier manufacturers: 

Cameras by:

Aegis, AVP, Basler, Canon, CIS Americas, CNB Technology, Elmo, Foculus, Genwac/Watec, Hitachi, Iconix, JAI Pulnix, KT&C, Lumenera, NET, Qwonn, 

Sanyo, Sentech, Sony VIP, Toshiba America, Toshiba-Teli America, Ueye

Frame grabbers by:

BitFlow, Black Magic, Cyberoptics Imagenation, dPict Imaging, Integral Technologies, National Instruments, Viewcast Osprey 

Lenses by:

Canon, CBC America, Fujinon, Kowa, Linos, Navitar, Pentax, Senko ADL, Tamron, Tokina 

 Monitors by:

EverFocus, Orion/ViewZ, 

Panasonic, Sony, Tatung Controllers by:

AVP, SONY, 

Telemetrics 

Cables by:

Nortech/Intercon Housing/Mounts by:

AVP, SONY Lighting by:

Schott Fostec 

Recorders/Players by:

Convergent Design, More... KT&C FCB Converters & Interface Boards:

 Pleora & Aegis Less",,$10 - 24.9 Mil,10-49  Employees,Boards: Digital Signal Processing,"All Products / Services

Adapters
Automation Systems
Boards
Cable Components
Camera Parts
Cameras
Cards
Chips
Converters
Electric Wire, Cable and Cable Assemblies
Grabs
Housings
Inspection Equipment
Kits


Lenses
Machine Vision Systems
Mechanical Wire, Cable and Rope
Monitors
Mounts
Processors
Recorders
Reels
Rings
Software
Splitters
Springs
Surveillance Equipment"
Mistral Solutions Inc.,408-705-2240,https://www.mistralsolutions.com/,"Fremont, CA 94538",Service Company,"Manufacturer of products such as VLSI(very-large-scale integration) hardware, RADAR(Radio Detection And Ranging) and SOM(system on module) modules, development platforms, drones, software, enclosures, boards, switches and finders. SONAR (sound navigation and ranging), electronic warfare, airborne, telemetry, display and naval systems are also available. Services include system engineering, application deployment, software development, hardware, product design, FPGA( field-programmable gate array) design. Other services include production support, PCB (printed circuit board)design, resourcing and quality assurance. Suitable for industrial automation, infotainment, VIP security, airport and ports, emergency management and medical electronics,  applications. Serves the aerospace, defense and homeland security industries.",,,$250 Mil. and over,1-9  Employees,"Boards: Digital Signal Processing


Boards: I/O","All Products / Services

Backplanes
Boards
Computers
Consoles
Controls and Controllers
Displays
Electronic Warfare Systems
Embedded Systems
Enclosures
Encoders
Engineering Services
Finders
Middleware
Modules


Monitoring Systems
Processors
Radar Systems
Recorders
Research, Design and Development Services
Routers
Sensors / Detectors / Transducers
Software
Steering Systems
Surveillance Equipment
Switches
Telemetry Systems
Testing Services
Transistors

View all products / services offered"
Cal-Comp USA,858-587-6900,http://www.calcompusa.com,"Carlsbad, CA 92008",Custom Manufacturer,"EMS provider that specializes in creating custom tailored production systems to suit a wide array of business and product models. Single rapid prototype builds to complex high volume products are available to fit your specific needs. Electronic manufacturing services are available for RF boards, printed circuit boards, board-level assemblies, and box build assemblies. Projects have included modems, networking products, home theater multiplexers, airplane-to-satellite interconnection systems, GPS transponders, prosumer video editing systems, satellite communications modem with GPS, defense communications systems, and medical diagnostic instrumentation. Capabilities include lead free manufacturing, prototyping, program management, materials management, logistics, and fulfillment. Technologies used include through-hole, BGA, microBGA, CGA, lead-free processing and RF technology. JIT inventory system available.1-year warranty on workmanship and material is available. Markets served include military, computer and peripherals, medical, telecommunications, automotive, industrial and consumer products industry. ISO/TS 16949, QS-9000 and AS-9100 certified, FDA registered, IPC-A-610 compliant and NSA and COMSEC approved.",,www.linkedin.com/company/sms-technologies,$50 - 99.9 Mil,200-499  Employees,"Boards: Digital Signal Processing
Boards: Aircraft & Marine Instrument
Boards: Automobile Instrument
Boards: Communications
Boards: Controller


Boards: Data Acquisition
Boards: I/O
Boards: Interface
Boards: PC-Compatible
Boards: Production Control

View all Boards categories","All Products / Services

Additive Manufacturing Services
Amplifiers
Arrays
Assemblies
Assembly Services
Boards
Coatings
Communication Systems
Computers
Connectors


Consulting Services
Conveyors
COVID-19 Response
Diagnostic Equipment
Drivers
Electric Wire, Cable and Cable Assemblies
Electronic Components
Electronics
Engineering Services
Fiber Optic Cable and Cable Assemblies

View all products / services offered"
U.S. Dynamics,631-842-5600,http://www.usdynamicscorp.com/,"Amityville, NY 11701",Service Company,"Military support & sustainment of current products, depot, post production & aftermarket services for electronic & electromechanical systems in support of DMS & legacy programs for domestic & FMS which require repair, overhaul, reverse engineering & new build form, fit & function replacement services.  Core competencies include reverse engineering, system integration, technology insertion, obsolescence management & in-house environmental screening.",,,$10 - 24.9 Mil,100-199  Employees,Boards: Digital Signal Processing,"All Products / Services

Aligners
Amplifiers
Assembly Machinery
Avionics
Boards
Custom Machinery
Electronics
Enclosures
Engineering Services
Gyroscopes
Handling Equipment


Integration Services
Lappers
Machinery
Machining
Maintenance and Repair Services
Positioners
Printed Circuit Boards
Processors
Research, Design and Development Services
Testing Services"
"RTD Embedded Technologies, Inc.",814-234-8087,https://www.rtd.com/,"State College, PA 16803",Manufacturer,"Manufacturer of standard and custom rugged and stackable embedded computer modules, mezzanines and systems. Products include single board computers, specialty, data collection and peripheral modules, power supplies and motion controllers in a variety of specifications, functions and features. Products have been subjected to extreme shock and vibration, humidity and extreme temperatures in the harshest conditions of the oceans, deserts, arctic poles, high altitudes and space. Industries served include commercial, industrial, military, communications and aerospace.","Incorporated in 1985, RTD Embedded Technologies, Inc.  a founder of the PC/104 Consortium and an AS9100 and ISO 9001 certified company  specializes in the research, design, and manufacturing of standards-based computer modules and systems, addressing intelligent process control, data acquisition and processing, adaptive signal processing, video capture, telematics, wireless, field bus, and power supply technologies. Our high-performance products are all designed and manufactured in-house at our Pennsylvania facility. When you work with RTD to engineer application solutions, you benefit from years of defense, aerospace, and industrial experience. Driven by some of the brightest minds in software, hardware, and systems engineering, RTD knows how to deliver. As a long time supplier to the aerospace, defense, transportation, industrial, and maritime industries, RTDs continued focus is to assure the highest degree of excellence and customer satisfaction. Our AS9100 and ISO 9001 registration More... exemplifies our commitment to deliver superior products with unsurpassed attention to quality, safety, and reliability. Less",www.linkedin.com/company/rtd-embedded-technologies-inc-,$10 - 24.9 Mil,10-49  Employees,"Boards: Digital Signal Processing
Boards
Boards: Communications
Boards: Data Acquisition
Boards: Frame Grabber


Boards: I/O
Boards: Interface
Boards: PC-Compatible
Embedded Boards: Custom
PC-104 Analog I/O Boards

View all Boards categories","All Products / Services

Accelerators
Adapters
Analyzers
Boards
Cable Components
Computer Accessories
Computer Peripherals
Computers
Connectors
Consoles


Controls and Controllers
Converters
Counters
Data Acquisition Systems
Digital Memory
Digitizers
Emergency Power & Lighting Supplies
Enclosures
Encoders
Global Positioning Systems (GPS)

View all products / services offered"
Pentek Inc. - Digital Signal Processing,201-818-5900,https://www.pentek.com/,"Upper Saddle River, NJ 07458",Manufacturer,"Manufacturer of high-speed real-time recording systems and software, data acquisition and I/O, digital signal processing (DSP) and software radio products. Signal processing systems include data acquisition systems, I/O systems, digital signal processing computer systems, processors, FMC I/O process systems, field-programmable gate array (FPGA) process systems, recording systems and software radio products. Types of software include board support software, driver software, recording software, processor software and system software. Software radio products such as receivers, transceivers and up-converters are available. Products are available with 1-year warranty. Markets served include defense, medical, research, communications, telecommunications, electronic surveillance, instrumentation, satellites, commercial and industrial.",,,Not Available,Not Available  Employees,"Boards: Digital Signal Processing
Boards
Boards: Adapter
Boards: Data Acquisition


Boards: I/O
Boards: Image Processing
Boards: Interface
Boards: PC-Compatible","All Products / Services

Adapters
Amplifiers
Baseboards
Boards
Cages
Cold Chain Equipment
Communication Systems
Computers
Controls and Controllers
Converters
Data Acquisition Systems


Data Loggers
Drivers
Emulators
Generators
Interfaces
Modules
Processors
Radios
Receivers
Recorders
Routers

View all products / services offered"
