Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
AutomationDirect,855-789-6828,https://www.automationdirect.com,"Cumming, GA 30040-5860",Distributor,"Distributor of automation and industrial control products. Various products include drives, motors, beacons, cable ties, cables, sensors, circuit breakers, contactors, cord grips, counters, disconnects, relays, enclosures, encoders/optical transducers, Ethernet products, connectors, flexible electrical tubing, switches, fuses, gearboxes, gloves, HMI/operator interfaces, HMI software, lights, software, junction blocks, displays, modems, monitors, motion controls, multi-wire connectors, plugs, connectors, receptacles, pneumatic parts, pneumatic cylinders, pneumatic fittings and couplings, valves, hoses, power distribution blocks, power supplies, pressure gauges, safety glasses, safety light curtains, signal conditioners, stroboscopes, tachometers, thermometers, tools, wire and wire duct. Suitable for wide variety of industries such as automotive, food and beverage, packaging, waste water, pharmaceutical and oil and gas. AutoCAD files accepted. Most items available in stock for immediate shipping.","AutomationDirect is a well-known distributor of thousands of industrial automation products, such as programmable logic controllers (PLCs), AC drives/motors, operator interfaces/HMI, sensors, NEMA enclosures, pneumatic components, cut-to-length cable, machine safety equipment, and much more. In business since 1994, the company headquarters is located just north of Atlanta, Georgia.

Ordering is easy and their service is exceptional.

Their online store is one of the most exhaustive in the industry - all technical documentation can be downloaded free of charge, and hundreds of instructional videos are available for viewing without registration. Free online PLC training is also available to any user who registers.

Shipping is super-fast and free on orders over $49. AutomationDirect maintains a huge inventory with an intuitive website which makes self-service easy. Useful tools such as product selectors, a 3-D CAD viewer, and more help users to do their job.

Most all products come with a 30-day More... money-back guarantee including software (see Terms and Conditions for certain exclusions). Less",www.linkedin.com/company/80083/,Not Available,200-499  Employees,"Timers: Digital
Switches: Timer
Timers
Timers: Counting
Timers: Electric


Timers: Electronic
Timers: Panel Mount
Timers: Programmable
Timers: Solid State","All Products / Services

Motor Controllers and Drives
Electric Wire, Cable and Cable Assemblies
Enclosures
Automation Systems
Pneumatic Systems
Sensors / Detectors / Transducers
Controls and Controllers
Drives
Breakers
Motors


Displays
Blocks
Interfaces
Software
Cylinders
Lights
Protectors
Raceways
Racks
Relays

View all products / services offered"
Wisconsin Oven Corp.,866-268-5253,https://www.wisoven.com/,"East Troy, WI 53120",Manufacturer,"Turnkey system integrator for ovens, chambers and furnaces. Furnace types include temper, pit, draw batch, pusher and conveyor. Oven replacement parts include bushings, sprays, thermocouples, timers, transformers, bearings, belts, blocks, breakers, chambers, fans, filters, guards, heaters, lights, lamps, plates, relays and rivets. Caulks, chains, gaskets, hinges, latches, adhesives, amplifiers, boards, burners, buttons, followers, horns, pads, rods, spark plugs, valves and fasteners are available. Remanufactured and rental ovens or furnaces are also offered. Relocation, training, calibration, repair and rental services are provided. Suitable for aluminum aging, composite curing, heat treating, powder coating, annealing, baking, tempering and stress relieving applications. Serves the aerospace, automotive, finishing, foundry, composite, energy, heat treating, laboratory, military and pharmaceutical industries.","Dedicated to a tradition of fairness and respect for our customers, employees, and community. Our team is guided by the timeless principles upon which our corporation was founded: quality, service, and integrity. 

Wisconsin Oven Corporation is located in East Troy, Wisconsin, southwest of Milwaukee and northwest of Chicago. Our main manufacturing operations and various subsidiaries and divisions are housed in our complex of eight buildings located in the East Troy Business Park. Wisconsin Oven Corporation employs the finest individuals, dedicated to quality, service, and customer satisfaction.

Customers worldwide are served directly from our corporate headquarters in East Troy, and also via our dealers and representatives located throughout the world.

In addition to marketing under its own name, Wisconsin Oven Corporation is America's largest OEM supplier of industrial ovens. We are currently producing over twenty (20) brands of equipment for other companies who provide ovens and furnaces More... worldwide. Our long history of serving and working with OEM and direct customers throughout the world attests to our ability and our commitment to supply the highest quality equipment at competitive prices. 

 Wisconsin Oven Corporation has experienced installation and service personnel available to provide assistance to our customers worldwide. Less",www.linkedin.com/company/362770?trk=NUS_CMPY_TWIT,$1 - 4.9 Mil,100-199  Employees,"Timers: Digital
Timers
Timers: ATC
Timers: Automotive


Timers: Industrial
Timers: Laboratory
Timers: Process","All Products / Services

Ovens
Furnaces
Dryers
Incinerators
Coating Equipment
Maintenance and Repair Services
Oxidizers
Treatment Equipment
Actuators
Adapters
Adhesives


Amplifiers
Arms
Bases
Beads
Bearings
Belts
Blocks
Blower Parts
Boards
Bodies
Bolts

View all products / services offered"
"Pepperl + Fuchs, Inc.",855-287-5183,https://www.pepperl-fuchs.com,"Twinsburg, OH 44087",Manufacturer,"Manufacturer of proximity, photoelectric, vision, ultrasonic, distance, inclination, acceleration and vibration sensors. Through-beam, retro reflective, diffuse mode, fiber optic, slot or slot grid, color, inductive, capacitive and magnetic field sensors are available. Explosion protection products such as intrinsic safety barriers, signal conditioners, remote I/O systems, power supplies, purge or pressurization systems and surge protection are provided. Gateways, adapters, temperature converters, control units, control stations, monitors, interfaces, tablets, microphones, barcode or radio frequency identification (RFID) scanners and portable thermal imaging cameras are also offered. Serves the machine or plant engineering, chemical, pharmaceutical, packaging, material handling, renewable energy and electronics industries.","Automation is our world. Perfect application solutions are our goal.

In 1945, Walter Pepperl and Ludwig Fuchs founded a small radio workshop in Mannheim, Germany, based on the principles of inventiveness, entrepreneurial foresight, and self-reliance. The experience they acquired was transformed into new ideas, and they continued to enjoy developing products for customers. The eventual result was the invention of the proximity switch. This innovation represented the starting point of the company's success story.

Today, Pepperl+Fuchs is known by customers around the world as a pioneer and an innovator in electrical explosion protection and sensor technology. Our main focus is always on your individual requirements: With a passion for automation and groundbreaking technology, we are committed to working in partnership with you now and in the future. We understand the demands of your markets, developing specific solutions, and integrating them into your processes.",www.linkedin.com/company/pepperl-fuchs-group/,$250 Mil. and over,1000+  Employees,"Timers: Digital
Timers
Timers: Automotive


Timers: Industrial
Timers: Reset","All Products / Services

Sensors / Detectors / Transducers
Safety Equipment
Encoders
Identification Products
Identifiers
Computers
Enclosures
Communication Systems
Electric Wire, Cable and Cable Assemblies
Interfaces
Barriers
Modules


Panels
Scanners / Readers
Software
Suppressors
Switches
Tags
Activators
Actuators
Adapters
Alarms
Amplifiers
Bases

View all products / services offered"
Rockwell Automation,888-898-3275,https://www.rockwellautomation.com/en-us.html,"Milwaukee, WI 53204 | Locations",Manufacturer,"Manufacturer of power, control and information solutions. Products and technologies include circuit and load protection, industrial computers and operator interfaces, connection devices, drives and motors, energy monitoring, input/output modules, lighting control, motion control, networks and communications, power supplies, programmable controllers, pushbuttons and signaling devices, relays and timers, safety products, sensors and switches, signal conditioners, information solutions and services. Brands include Allen-Bradley and FactoryTalk.","We connect the imaginations of people with the potential of technology to expand what is humanly possible, making the world more intelligent, more connected and more productive. Our strategy is bringing the connected enterprise to life. We help industrial companies and their people be more productive by integrating control and information across the enterprise.

Offerings Include:

- Logix - the only control platform that performs discrete, hybrid and process applications in a single hardware and software environment

- Visualization and scalable analytics software

- Secure EtherNet/IP network infrastructure

- Safety products and systems

- Intelligent motor control products and systems

- Full range of automation systems and smart components",www.linkedin.com/company/rockwell-automation/,$250 Mil. and over,1000+  Employees,"Timers: Digital
Timers
Timers: Counting
Timers: Cycle


Timers: Electronic
Timers: Industrial
Timers: Solid State","All Products / Services

Controls and Controllers
Sensors / Detectors / Transducers
Switches
Panels
Power Supplies
Contactors
Motor Controllers and Drives
Software
Curtains
Relays
Blocks


Breakers
Conditioners
Electric Wire, Cable and Cable Assemblies
Enclosures
Encoders
Network Equipment
Networks
Accelerometers
Actuators
Alarms
Analytical Services

View all products / services offered"
"Safety Technology International, Inc. (STI)",855-857-1741,https://www.sti-usa.com/,"Waterford, MI 48327",Manufacturer,"Manufactures cages, covers, alarms and custom buttons that help protect buildings against vandalism, false fire alarms, theft of fire extinguishers and other equipment and misuse of emergency doors. Access control buttons, cabinets, mounting poles. Patented Stopper II® cover helps stop false fire alarms in schools, hospitals and public buildings. Protective covers and wire cages for control panels, strobe horn signals, smoke detectors, clocks, bells, keypads and fluorescent lights. Many UL, ULC, CUL, ADA and FM approved.","About Safety Technology International (STI)

STI is a family owned and operated business that began over forty years ago with Jack Taylor's invention of the StopperÂ® Pull Station Protector. Safety Technology now markets hundreds of unique products throughout the world to prevent false fire alarms and the theft and vandalism of the things that protect us all, such as smoke detectors, pull stations, horn/strobes, exit signs, and fire extinguishers.

With offices in Waterford, Michigan, Worcestershire, England, and Waterford, Ireland, the STI team has worked hard to continue the work that Jack Taylor started. STI's first product came directly at the request of a customer, Garnett Hegeman: a high school principal in Detroit, Michigan who had a problem with false fire alarms. Most new products throughout the years are a direct result of these types of requests. If you have a false fire alarm, theft, vandalism or other problem, STI invites you to contact them with the challenge of solving it. More... Less",www.linkedin.com/company/safety-technology-international-inc-/,$5 - 9.9 Mil,50-99  Employees,"Timers: Digital
Timers
Timers: Cycle


Timers: Electronic
Timers: Industrial","All Products / Services

Safety Equipment
Switches
Cabinets
Enclosures
Alarms
Lights
Clocks
Extinguishers
Horns
Protectors
Sensors / Detectors / Transducers
Signs


Access Equipment
Automation Systems
Boxes
Brackets
Buttons
CCTV Equipment
Chimes
Controls and Controllers
Covers
COVID-19 Response
Disaster Preparedness Supplies
Electrical Equipment

View all products / services offered"
Zooby Promotional,866-666-3705,https://www.zooby-promotional.com/,"Dallas, TX 75214",Distributor,"Distributor of promotional products including apparel, headwear, sunglasses, watches, shoes, awards, bags, and drinkware. Coolers, chairs, blankets, umbrellas, fans, towels, balls, toys, backpacks, mugs, mats, wipes, covers, markers, and pads are available. Candles, pedometers, desk items, labels, magnets, holders, pens, erasers, personal protective equipment (PPE), flash drives, cables, cords, universal serial bus (USB) hubs, adapters, power banks, speakers, and chargers are also offered. Custom logo imprinting options are provided. Some products are made in the USA and FDA approved.",,,Not Available,Not Available  Employees,"Timers: Digital
Digital Stopwatches
Hourglasses
Stopwatches
Stopwatches: Digital & Mechanical


Timers
Timers: Cooking
Timers: Electronic
Timers: Industrial
Timers: Sports","All Products / Services

Advertising Specialties, Novelties, and Promotional Products
Backpacks
Disaster Preparedness Supplies
Hurricane Response
Janitorial Supplies
Mugs
Pads
Wipes and Wipers
Adapters
Aggregates


Air Fresheners
Albums
Amenities
Aprons
Artwork
Atomizers
Awards
Awnings
Baby Accessories
Badges

View all products / services offered"
"Longbehn & Co., Inc.",877-771-9394,https://www.longbehn.com/,"Downers Grove, IL 60516",Distributor,"Distributor of imprinted promotional and advertising products. Products include apparel, tools, planners, lanyards, awards, holders, cards, kits, and bags. Available in various sizes, shapes, styles, colors, and designs. Products are made of metal, cloth, plastic, wood, and ceramic. Suitable for use in applications such as tradeshows, conventions, corporate and sporting events, and seminars.","Longbehn and Company, Incorporated has been owned and operated by the Longbehn family since 1954, when Anna and Lawrence Longbehn, Sr. first started the business in Chicago, to develop and expand the advertising promotional products division. We are now in our third generation of quality service.

Since that time, we have provided our clients with years of experience, full research and graphic arts capabilities, the highest-quality products, and a dedication to the finest personal customer service in the promotional products industry. 

With this in mind, we invite you to utilize the research capabilities of this web site. There are thousands of items that can be searched by product category, price, word search, brand names, etc. We hope that this resource will help answer your promotional product needs.",,Under $1 Mil,10-49  Employees,"Timers: Digital
Stopwatches


Timers","All Products / Services

Advertising Specialties, Novelties, and Promotional Products
Backpacks
Bags
Calendars
Cups
Disaster Preparedness Supplies
Hurricane Response
Mugs
Sportswear
Adapters
Albums
Aprons
Awards


Badges
Balloons
Balls
Balms
Bandanas
Bands
Banks
Banners
Barbecue Equipment
Barware
Baskets
Bibs
Binders

View all products / services offered"
Quark Glass LLC,800-955-0376,https://www.quarkglass.com/,"Vineland, NJ 08360 | Locations",Manufacturer,"Manufacturer of laboratory glassware & accessories including adapters, agitators, beakers, bioreactors, biotechnology equipment, bottles, bubblers, caps, carboys, chromatography equipment & supplies, clamps, cocks, columns, condensers, dishes, distillation equipment, evaporators, extractors, flasks, funnels, joints, manifolds, heating mantles, nozzles, O-rings, hot plates, quartzware, rings, septa, spargers, spatulas, stirrers, stopcocks, stoppers, syringes, thermometers, traps, tubes, tubing, vacuum components, valves & vials. Applications include air sensitive glassware, ambient air sampling, cell culture, chromatography, distillation, extraction, evaporation, fermentation, glassblowing parts, microscale apparatus, large-scale reaction apparatus & vacuum apparatus. Services include custom fabrication, modification & repair.","Quark is a manufacturer of laboratory glassware and a direct supplier of many accessories used in conjunction with our glassware. Our company operates with minimal overhead, which allows us to pass significant savings onto our customers. With this simple philosophy we are leading the way toward becoming the preeminent glassware supplier in the scientific industry.

Quark offers a full line of glassware used in air sampling, chromatography, cell culture, distillation, extraction, evaporation, microscale kits, and vacuum apparatus. Please take a look at our products to view a sampling of our product line, our catalog, and what's new at our company.",,$1 - 4.9 Mil,10-49  Employees,"Timers: Digital
Timers


Timers: Electric
Timers: Interval","All Products / Services

Adapters
Ampules
Beakers
Bearings
Biotechnology Equipment
Blades
Blocks
Bottles
Boxes
Bubblers
Caps
Cells
Chromatographs


Chucks and Collets
Circulators
Clamps
Clips
Collars
Columns
Condensers (Heat Transfer)
Connectors
Containers
Controls and Controllers
Cord and Cordage
Corrosion Resistant Products
Couplers and Couplings

View all products / services offered"
Selco Products Co.,888-565-9589,https://www.selcoproducts.com/,"Reno, NV 89521-5908",Manufacturer,"ISO 9001:2008 certified manufacturer and supplier of temperature control products including disc, electric, bulb, capillary, PCB and probe thermostats, NTC thermistors, custom thermistors, thermal protectors, thermal cut-offs, and electronic temperature controls. Customized assemblies, including custom thermistor probes, brackets, epoxy over molding, and specialty connectors provide turnkey solutions. Temperature control products for applications including appliance, HVAC, medical, telecommunications, food service equipment and instrumentation. Additional product lines include knobs and panel instruments. LED high-bright light fixtures for applications including cargo trucks, security, emergency, indication and marine lighting. Knobs include collet, conventional push-on, two color push-on or soft touch, pushbuttons, sliders, trio three color control and appliance knobs. Panel instrument product line includes remote monitors, process monitors, digital panel meters and signal covers.","For over four decades, Selco Products has served a wide variety of markets on a strong yet simple foundation of personal service. Every member of our customer support team is dedicated to one goal - providing you with knowledgeable assistance, timely response to special requirements, and prompt delivery of your order. From prototypes to volume production requirements, we have structured our service and engineering support operations to provide a virtually seamless means of meeting your changing needs. Our products range from thermal measurement and control devices to panel mounted analog and digital metering instruments to a wide range of thoughtfully engineered components. We service OEM and end-user companies with equal ease, delivering a combination of price/performance benefits and value-added features that simplify your product selection efforts and enhances your manufacturing processes. Our customers range from the Who's Who of HVAC and telecommunications to food service, process More... controls, appliances and recording/instrumentation. We welcome the opportunity to help you, with a unique combination of knowledgeable and responsive people, quality products and prompt delivery. Less",,$10 - 24.9 Mil,10-49  Employees,"Timers: Digital
Timers
Timers: Cooking
Timers: Countdown


Timers: Electric
Timers: Electronic
Timers: Programmable","All Products / Services

Controls and Controllers
Switches
Thermostats
Knobs
Probes
Sensors / Detectors / Transducers
Ammeters
Bezels
Brackets
Capillaries
Caps


Covers
Dials
Fuses
Harnesses
Indicators
Instruments
Measuring Equipment
Meters
Monitoring Systems
Monitors
Plates

View all products / services offered"
"Fargo Controls, Inc.",800-241-3755,http://www.fargocontrols.com,"Eatontown, NJ 07724",Manufacturer,"Manufacturer of proximity sensors, counters, timers, hour meters & time delay relays. Proximity sensors include inductive, capacitive, photoelectric & magnetic. Counters & ratemeters include electronic counters, electromechanical counters & mechanical counters & are available for applications including counting, positioning, length & rate display, batch counting, coil winding numeric positioning, maintenance & length measurement. Timers are available for monitoring of operating time, warranty period, testing & maintenance interval applications. Capabilities include modifying products to customer requirements. Industries served include packaging, automotive, production, textile, chemical & food processing machinery.","Fargo Controls Inc. has provided effective and reliable solutions to the industrial controls market since 1983. Our success is based on dedication to quality and commitment to customer satisfaction.

We offer a variety of solutions for applications involving proximity sensors, counters, timers and ratemeters.",,Under $1 Mil,10-49  Employees,"Timers: Digital
Timers
Timers: Electric
Timers: Electronic


Timers: Interval
Timers: Panel Mount
Timers: Process
Timers: Reset","All Products / Services

Sensors / Detectors / Transducers
Counters
Controls and Controllers
Electronics
Meters


Relays
Switches
Timers
Totalizers"
