Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
"Ashcroft, Inc.",855-784-9762,https://www.ashcroft.com/,"Stratford, CT 06614",Manufacturer,"ISO 9001:2015, 14001:2015 and 17025:2017 certified. Manufacturer of pressure and temperature calibration, testing and measuring equipment. Products include digital/differential pressure gauges, transducers, transmitters, thermometers, thermowells, pressure/temperature switches, panel meters, test instruments, diaphragm seals, instrument isolators and mechanical gauge accessories. Types of thermometers include bimetal, gas actuated and digital thermometers. Test instruments such as digital pressure indicators, vacuum/pressure pumps and controllers, hydraulic testers and comparators are also offered. Serves the oil and gas, water and wastewater, chemical, power, HVAC/R, pharmaceutical, medical, food and beverage and semiconductor industries. RoHS and REACH compliant. CE certified. CSA approved. UL listed.","Ashcroft is a leading source of pressure and temperature instrument solutions for critical process and industrial/OEM (original equipment manufacturer) applications across the globe. Our extensive industry experience and customer-driven approach allow us to provide solutions that fully accommodate the needs of your critical processes and applications ensuring accurate and safe operations. 

Ashcroft maintains a worldwide network of manufacturing facilities, sales offices, local representatives and distributors. With pressure gauges, thermometers, transducers, transmitters, pressure and temperature switches, calibration equipment, recorders and other instruments to suit virtually every application, our trademarks Ashcroft®, Heise®, Rueger®, Stiko, Weksler® and Willy® have set the standard worldwide for accuracy, quality and dependability.

The continuing commitment of our people to this widespread network ensures that the service and application expertise you need to maintain More... safety and performance in your installation is always available when and where you need it. Less",www.linkedin.com/company/ashcroft-inc-/,$100 - 249.9 Mil,1000+  Employees,"Transducers: Digital
Sensors
Sensors: Temperature
Detectors: Resistance Temperature (RTD)
Sensors: Medical


Sensors: Pressure
Temperature Sensors: Aircraft
Transducers: Pressure
Transducers
Detectors

View all Sensors / Detectors / Transducers categories","All Products / Services

Sensors / Detectors / Transducers
Switches
Instruments
Thermometers
Gages
COVID-19 Response
Measuring Equipment
Medical Products and Hospital Equipment
Thermowells & Protection Tubes
Adapters


Calibrators
Comparators
Contacts
Controls and Controllers
Dampers
Dials
Fittings
Hydraulic Equipment
Indicators
Isolators

View all products / services offered"
Strainsert Co.,610-825-3310,https://www.strainsert.com/,"West Conshohocken, PA 19428",Manufacturer,"Manufacturer of patented transducer designs made possible by internal gaging process and engineering and custom capabilities. Load cells and transducers are designed to be responsive, accurate, efficient force measurement solutions for research, testing, weighing and control applications. In-house design and production allows rapid prototyping, soldering in accordance with industry standards and design flexibility, while NIST traceable calibration facility provides the capability for special proof/overload testing as well as a final force calibration on all products. Products are used continually in Aerospace, Automotive, Marine and many other industrial applications. Features include accuracy in harsh conditions, all components internal to host material, survivable in harsh field applications, durable for rough installation/removal, wide operational temperature ranges, hydrostatic/submersible applications available. AS9100 (including ISO 9001) certified.","Since 1960, Strainsert has pioneered the force transducer industry. Our patented transducer designs are made possible by innovative internal gaging processes and an unsurpassed dedication to engineering and customer requirements. For a product overview description, see below.

Today we continue to champion the industry with our technical, sales, and manufacturing teams. Our goal is to provide the most responsive, accurate, efficient force measurement solutions for research, testing, weighing, and control applications.

Further, we understand the importance of each one of our customer's applications and hold quality manufacturing as our highest priority. Our in-house design and production allow rapid prototyping, soldering in accordance with industry standards, and design flexibility, while our NIST traceable calibration facility provides the capability for special proof/overload testing as well as a final force calibration on all products. Finally, Strainsert offers a two-year warranty on More... all Strainsert manufactured products, twice the typical industry standard.

 Our products are used continually in aerospace, automotive, marine, and many other industrial applications. The applications range from simple force measurement solutions up to such cutting-edge products as the Mars Exploration Rover Mission for NASA, the space shuttle launching pad, and hydrostatic or submersible vehicles used deep under the ocean's surface.

 We look forward to hearing from you and continuing to provide accurate, rugged, and dependable force transducers. Less",www.linkedin.com/company/strainsert-company/,$5 - 9.9 Mil,10-49  Employees,"Transducers: Digital
Sensors: Force
Automotive Sensors
Force Sensors: Impact
Sensors


Sensors: Aircraft
Sensors: Bi-Directional
Sensors: Custom
Sensors: Digital
Sensors: Extreme Environment

View all Sensors / Detectors / Transducers categories","All Products / Services

Cells
Bolts
Pins
Calibration Services
Maintenance and Repair Services
Measuring Equipment
Sensors / Detectors / Transducers
Amplifiers
Boxes
Calibrators


Clevises
Cold Chain Equipment
Conditioners
Data Acquisition Systems
Data Loggers
Displays
Dynamometers
Fasteners
Gages
Indicators

View all products / services offered"
"Figaro USA, Inc.",866-486-0128,https://www.figarosensor.com/,"Rolling Meadows, IL 60008",Manufacturer,"Manufacturer & distributor of solid state & electrochemical gas sensors for combustible gases, carbon monoxide, ammonia, hydrogen, hydrogen sulfide, Freon, hydrocarbon, organic vapor, alcohol & oxygen, for use in gas leak alarms, CO detectors, ventilation control, automatic microwave ovens, breath analyzers, space heaters, water heaters, in-plant monitoring, fermentation control, fire detectors & toxic gas detectors.","The world leader in gas sensing innovation, Figaro has more than 50 years of experience in supplying cost-effective gas sensing solutions in the field of safety, air quality control, HVAC, home appliances, and the automotive industry.",www.linkedin.com/company/figaro-engineering/,$25 - 49.9 Mil,1-9  Employees,"Transducers: Digital
Detectors: Gas
Sensors
Sensors: Gas
Detectors: Carbon Dioxide


Sensors: Carbon Dioxide
Automotive Sensors
Detectors
Detectors: Ammonia
Detectors: Carbon Monoxide

View all Sensors / Detectors / Transducers categories","All Products / Services

Sensors / Detectors / Transducers
Monitors


Alarms
Analyzers"
"Novotechnik U.S., Inc.",800-667-7492,https://www.novotechnik.com/,"Southborough, MA 01772 | Locations",Manufacturer,"ISO/TS 16949, ISO 9001 & QS 9000 certified. Manufacturer of sensors, transducers, potentiometers & accessories. Types of sensors include rotary, linear, position, panel mount, low torque, precision, hollow-shaft, industrial grade, multi-turn, potentiometric & touchless & non-contacting angle sensors. Accessories & elements include couplings, process monitors, signal conditioners, roller heads & indicators or displays. Industries served include machine engineering, plastics, medical, hydraulic, pneumatic, control, automotive, material handling, aerospace, agriculture, robotics & process control. Meets VDA 6.1, AVSQ & EAQF standards.","Novotechnik develops and manufactures a wide variety of rotary and linear position transducers, position sensors, potentiometers, components and other related products for motion control. All of our products including contactless and conductive plastic transducers are produced to the same standards of the highest quality and true reliability. 

One unvarying thing stands out about Novotechnik -- we stand behind every position sensor , transducer, and other product we produce. We do this through superior engineering, proven reliability, and by consistently publishing clear, no nonsense specifications for all of our sensors and other products.

Whether you need to know repeatability of a position sensor, temperature coefficient or product life expectation, it's readily available with no guess work. When you have this kind of information available about the products you choose, it makes each aspect of a product solidly defined. Reliability becomes true reliability.",,$1 - 4.9 Mil,1-9  Employees,"Transducers: Digital
Sensors: Position
Transducers: LVDT
Transducers: Position
Sensors: Position, Linear


Sensors: Displacement
Automotive Sensors
Sensors: Inductive
Sensors: Linear
Sensors: Rotary Position/Angle

View all Sensors / Detectors / Transducers categories","All Products / Services

Sensors / Detectors / Transducers
Resistors
Conditioners
Couplers and Couplings
COVID-19 Response
Displays
Elements


Handling Equipment
Indicators
Medical Equipment
Medical Products and Hospital Equipment
Monitors
Sensor Components"
"Marsh Electronics, Inc.",888-698-7147,https://www.marshelectronics.com,"Milwaukee, WI 53214 | Locations",Distributor,"ISO 9001:2015 certified broad-line stocking distributor offering electronic components from manufacturers of passive, electromechanical and power semi-conductor products. Stock inventory tailored to customer needs and provides customized management programs to fulfill electronic component requirements.","Since 1937, Marsh Electronics has proudly delivered extremely high-quality products, service, and value to our customers. This philosophy has helped us grow into a regional industry leader, distributing a wide range of electronic components and solutions throughout the north central United States.

As our many satisfied customers have come to know, Marsh Electronics offers not only products and services you can depend on, but also a convenient, cost-effective partnership that will help your business grow.",www.linkedin.com/company/245179?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A245179%2Cidx%3A2-1-2%2CtarId%3A1477337866336%2Ctas%3Amarsh%20electronics,Not Available,100-199  Employees,"Transducers: Digital
Sensors
Sensors: Analog
Sensors: Current
Sensors: Digital


Sensors: Flow
Sensors: Geartooth
Sensors: Hall Effect
Sensors: Inertial
Sensors: Linear

View all Sensors / Detectors / Transducers categories","All Products / Services

Fans
Lights
Displays
Relays
Modules
Switches
Transistors
Cameras
Capacitors
Drivers


Monitors
Adapters
Alarms
Antennas
Assemblies
Automation Systems
Batteries
Blocks
Blowers
Boards

View all products / services offered"
Exponential Power,888-242-2079,https://www.exponentialpower.com/,"Menomonee Falls, WI 53051-0160",Manufacturer,"Manufacturer and distributor of DC power solutions. Various products include analyzers, batteries, chargers, battery packs, battery spill containment systems, watering systems, carts, cleaners, inverters, cranes, data loggers, deionizers, hydrogen detectors, hydrometers, digital meters, micro-ohmmeters, multimeters, neutralizers, oscilloscopes, power supplies, data logging recorders, rectifiers, alarm relays, testers, thermometers, uninterruptible power supplies (UPS) and workstations. Preventative maintenance, engineering, emergency repair, rental and testing services are also provided. Most items available in stock. 24/7 emergency services available. JIT delivery.","Established in 1915, Storage Battery Systems has become renown for providing DC power solutions for stationary and motive applications. From flooded battery cells to sealed VRLA strings, from Ni-Cd jars to Lithium-ION rechargeable battery packs, SBS has developed a reputation for delivering superior performance and dedication to customer service. At SBS, we offer a wide variety of DC products and services for stationary and motive power requirements that can enhance and maximize the performance you get from your application.

Today we provide total power system solutions for any stationary or motive power application, specializing in the critical data power, telecommunications network power, material handling-motive power and utility-power generation market segments. SBS can assume a single point of responsibility and accountability for your power surety system from concept to end of useful service life replacement. SBS can take responsibility for feasibility, design, implementation, installation, More... commissioning, maintenance and even 24/7/365 repair services becoming your single point of accountability for availability and uptime whether for a singular component or the entire power surety system. Our highly professional staff includes design engineers, project managers, electrical engineers, asset managers, construction generalists, third-party logistics supervisors, field technicians, service engineers, product managers and market technology specialists.

 We are guided by six values that drive our actions as a company and as individual employees. They are the foundation of how we work with customers, partners, colleagues, suppliers, and candidates.

 â¢ Safety â Actively ensuring that no one gets hurt

 â¢ Integrity â Always truthful, trustworthy, and honest

 â¢ Customer â Relationships and service are at our core

 â¢ Ownership â Taking personal accountability for behaviors and results

 â¢ Quality â Delivering excellence at every opportunity

 â¢ Growth â Continuously improving and innovating

 Vision: To be the premier resource for reliable, stored power solutions. Weâre the power when you need it.

 Mission: We deliver reliability, advance technology, reduce risk, and provide an unmatched experience. Less",www.linkedin.com/company/716990?trk=tyah&trkInfo=tarId%3A1398277571156%2Ctas%3Astorage%20battery%2Cidx%3A1-1-1,$100 - 249.9 Mil,100-199  Employees,"Transducers: Digital
Detectors: Gas
Detectors
Detectors: Remote Monitoring & Reporting
Hydrogen Detectors


Sensors
Sensors: Current
Sensors: Gas
Sensors: Temperature
Transducers

View all Sensors / Detectors / Transducers categories","All Products / Services

Sensors / Detectors / Transducers
Batteries
Fans
Monitors
Testers
Caps
Hydrometers
Loads
Racks
Testing Services


Absorbers
Accumulators
Analyzers
Assembly Machinery
Automotive Parts
Battery Components
Beams
Brackets
Breakers
Cabinets

View all products / services offered"
Pizzato USA,833-979-1690,https://www.pizzatousa.com/index.php,"East Syracuse, NY 13057",Manufacturer,"Manufacturer of switches, safety devices, HMI components and elevator devices. Types of switches include position, foot, high temperature, micro, pushbutton, selector, cam and actuating. Safety sensors, handles, modules, pushbuttons, contact blocks, sockets, indicator lights, potentiometers, joysticks, housings, illuminated discs, buzzers and elevator control stations offered. Accessories such as connectors, actuators, security screws, fixing plates, LED signaling lights, cable glands, nut and cables are also provided. Most items available in stock. REACH and RoHS compliant.","Pizzato Elettrica is one of the leading European manufacturers of position switches, microswitches, safety devices, safety modules, foot switches, control and signalling devices, and devices for elevators. An entrepreneurial company such as Pizzato Elettrica bases its foundations on a solid and widely shared value system. The pillars that form the basis of the company's work have remained constant, and constitute the fundamental guiding principles for all company activities.

Passion for quality

Passion for product quality, orientation towards excellence, innovation, and continuous development, represent the key principles of Pizzato Elettrica's everyday work. Anyone using Pizzato Elettrica's products does so in the certainty that these devices are of certified quality since they are the result of a process that is scrupulously controlled at every stage of the production. The company's goal is to offer the market safe, reliable, and innovative solutions.

Care for the customer

In order to More... be successful, a product must respond to the specific needs of those who will use it. Market developments must be carefully monitored in order to understand, in advance, which new applications will prove themselves truly useful. This is why Pizzato Elettrica has always cultivated close synergies with the companies that have chosen it as a supplier, using this continuous dialogue to identify the potential developments of the own product range in order to make it highly flexible, complete and capable to respond to the most diverse needs.

 100% made in Italy

 All Pizzato Elettrica products are designed, developed, and tested entirely at the 5 company plants in Marostica, in the province of Vicenza in Italy. The company is thus able to meet specific customer requirements at all times, by offering a comprehensive range of products and technologically advanced solutions. Less",www.linkedin.com/company/pizzatousa/,Not Available,Not Available  Employees,"Transducers: Digital
Sensors: Magnetic
Sensors
Sensors: Current
Sensors: Digital


Sensors: Magnetic Coded
Sensors: RFID
Sensors: Safety
Sensors: Special
Sensors: Voltage

View all Sensors / Detectors / Transducers categories","All Products / Services

Switches
Guards
Lights
Controls and Controllers
Interfaces
Interlocks
Relays
Sensors / Detectors / Transducers
Actuators
Blocks


Boxes
Buttons
Buzzers
Caps
Connectors
Elevator Parts
Glands
Handles, Pulls and Levers
Holders
Housings

View all products / services offered"
Celera Motion,888-358-9737,https://www.celeramotion.com/,"Bedford, MA 01730 | Locations",Custom Manufacturer,"Manufacturer of motion control solutions including optical and inductive encoders, direct drive motors, rotary and linear sensors, servo drives, transducers, air bearing spindles and direct drive stages. Shims, spacer rings, motor stators, 8 and 10 way, integral and integral axial electric cables, rotor shaft clamps and radial or axial connectors are also provided. Industries served include motion control, metrology, medical and life science equipment, semiconductor, electronic assembly, test and measurement and data storage industries. Encoders, motors, sensors, transducers, servo drives are also available in custom sizes. ISO 9001 and ISO 13485 compliant.","Solving complex engineering challenges in a global market, Celera Motion advances the field and science of motion control. Our precision motion components and integrated mechatronic systems solve application-specific challenges for technology-driven original equipment manufacturers (OEMs) around the world.

Derived from the Latin word ""celer"" for quick and swift, the name Celera reflects our commitment to delivering motion control solutions that accelerate our customers' success. Celera Motion's cohesive vision, superior technologies, and consultative team approach make us the trusted partner in solving your most challenging motion control problems.

Celera Motion offers a dynamic core of brands MicroE optical encoders, Zettlex inductive encoders, Applimotion motors and actuators, Ingenia servo drives, Westwind air bearing spindles, and mechatronic sub-system solutions. Designed using state-of-the-art technologies and offered with feature sets targeted to solve the most demanding applications, More... our product lines optimize performance.

 Our visionary approach, innovative products, and industry expertise deliver exceptional results tailored to your unique application and challenge. Discover how our dynamic motion control solutions can accelerate your innovation today. Less",www.linkedin.com/company/52645/,$50 - 99.9 Mil,200-499  Employees,"Transducers: Digital
Sensors
Sensors: Position, Linear
Sensors: Position, Rotary
Detectors


Detectors: Liquid Level
Sensors: Analog
Sensors: Custom
Sensors: Digital
Sensors: Displacement

View all Sensors / Detectors / Transducers categories","All Products / Services

Motors
Encoders
Sensors / Detectors / Transducers
Motor Controllers and Drives
Spindles
Actuators
Assemblies
Cartridges
Collars
Connectors


Controls and Controllers
COVID-19 Response
Drives
Electric Wire, Cable and Cable Assemblies
Engineering Services
Gearheads and Gearboxes
Laminations
Maintenance and Repair Services
Medical Components
Microelectronics

View all products / services offered"
"Exsenco, LLC - US division for Santest Co.",855-892-1434,http://www.exsenco.com,"Corpus Christi, TX 78427",Distributor,"Distributor of measurement, sensing and control products for precision measurement of displacement, level, position, pressure, force, flow-rate and temperature applications. Various products available include probes, thermometers, servo controllers, non-contact on-off switches, proportional solenoid or direct acting high speed servo valves, linear encoders, shock data loggers, digit LED displays, rotary resolvers, linear gauges and sensors. High performance analog, high end digital, CC-link certified and adaptive servo controllers are also offered. Custom options and accessories such as floats and magnets are also provided.","EXSENCO, LLC, offering consultancy in the general area of control systems engineering, is the U.S. division for SANTEST, Co. Ltd. from Osaka Japan. Through advancing the state-of-the-art contributions while maintaining extraordinarily high quality standards, Santest has dedicated its efforts towards optimizing the performance of magnetostrictive displacement transducers to facilitate their successful use in cases where incremental encoders can be replaced by these absolute transducers. We believe that success will follow innovation. Improvements in R&D, manufacturing and reliable delivery have elevated accuracy standards so that new applications are occurring daily in detection systems for advanced industrial applications and specialized machinery. We are proud of Santest's worldwide acceptance, based on its performance and quality.",,Not Available,Not Available  Employees,"Transducers: Digital
Sensors: Position
Transducers
Sensors: Linear
Sensors: Displacement


Sensors: Magnetic
Sensors: Magnetostrictive
Sensors: Position, Linear
Sensors: Rotary Position/Angle
Transducers: Displacement

View all Sensors / Detectors / Transducers categories","All Products / Services

Sensors / Detectors / Transducers
Encoders
Modules
Switches
Valves
Amplifiers
Cold Chain Equipment
Data Loggers
Motor Controllers and Drives
Vaccine Cold Chain Supplies and Logistics


Controls and Controllers
Displays
Floats
Gages
Instruments
LEDs
Magnets
Measuring Equipment
Probes
Recorders

View all products / services offered"
"Kinequip, Inc.",855-253-0740,https://www.kinequip.com/,"Buffalo, NY 14228 | Locations",Distributor,"Distributor of electrical, fluid power, automation, vacuum, and compressed air systems, equipment, and components. Products include air compressors, pumps, valves, motors, fittings, filters, sensors, and gauges. Also manufactures specialty vehicle cameras, cables, voltage and current meters, circuit breakers, and switches. Capabilities include air compressor training, maintenance, inspection, consultation, installation, repair, rental, and audit services. Laser cutting, engraving, and marking and 3D laser scanning and printing services are also available. Same-day, FOB, and drop shipping are provided depending on orders.","Welcome to Kinequip.com. We carry a full line of automation products that are engineered to fit applications in every sector of the market.

We have been distributing industrial products since 1946. The products that we carry range from air motors, blowers, industrial controls, valves, compressors, fittings and couplers, instrumentation, and many more. Please feel free to use the product browser on the left to browse through our products.

We have products from SMC Pneumatics, Kaeser, Rietschle, Gast, Wago, Destaco, Robohand, Circle Seal Controls, Hoke, Bauer, WIKA, and many more.",,Not Available,10-49  Employees,"Transducers: Digital
Automatic/Automated Guided Vehicle Sensors
Detectors: Double Metal Sheet
Detectors: Gas
Detectors: Leak


Detectors: Liquid Level
Detectors: Water
Laser Displacement Sensors
Leak Detectors: Water
Sensors

View all Sensors / Detectors / Transducers categories","All Products / Services

Valves
Clamps
Connectors
Cylinders
Gages
Pumps
Tubes
Adapters
Blowers
Bushings


Caps
Couplers and Couplings
Crosses
Elbows
Eliminators
Filters
Fittings
Grippers
Lights
Motors

View all products / services offered"
