Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
Imagineering Inc.,888-503-0924,https://www.pcbnet.com/,"Elk Grove Village, IL 60007 | Locations",Turnkey Systems Integrator,"Custom manufacturer of multilayer, lead free, high density interconnect (HDI), flip chip, metal core, rigid, flexible, surface mount technology (SMT), and plated through hole (PTH) printed circuit boards (PCB). Made from aluminum, composite, ceramic, polyimide, PTFE, epoxy, Arlon®, and other plastic materials. Fabrication, contract manufacturing, assembly, supply chain management, and sourcing services are also offered. Prototypes and low to medium volume production runs available Serves electronics, aerospace, military, and medical industries. Meets AS9100D standards. ITAR registered. RoHS compliant. UL listed.",,,Not Available,Not Available  Employees,"Contract Manufacturing: Electronic
Contract Manufacturing
Contract Manufacturing: Aerospace
Contract Manufacturing: Box Build Assembly
Contract Manufacturing: Electronic, RoHS Compliant


Contract Manufacturing: Low Volume
Contract Manufacturing: Medical
Contract Manufacturing: Military
Contract Manufacturing: Plastics
Contract Manufacturing: Surface Mount Technology

View all Manufacturing Services categories","All Products / Services

Printed Circuit Boards
Manufacturing Services
Research, Design and Development Services
Prototyping Services
Assemblies
Assembly Services
Electric Wire, Cable and Cable Assemblies
Electronic Components


Electronics
Enclosures
Fabrication Services
Harnesses
Maintenance and Repair Services
Sourcing Services
Supply Chain Management Services"
"MacroFab, Inc.",877-648-6223,https://macrofab.com/,"Houston, TX 77092",Custom Manufacturer,"Custom Manufacturer for PCB assembly services. Prototype to high-volume production. Capabilities include fine-pitch BGA, HDI, and QFN assembly. Instant upload and real-time pricing and supply chain information for prototyping and smaller orders. Large or complex orders Instant quote within 48 hours. Secondary services with assembly include supply chain management, sourcing, programming, and testing.","Founded in 2013, the MacroFab technology platform and marketplace have changed the way North American OEMs source PCBAs from early prototypes to high-volume production runs. We leverage AI-enabled sourcing, our expert internal teams, and an easy-to-use connected platform to give companies a better way to produce high-quality electronics while keeping the flexibility they need to meet all business needs. 

MacroFab connects OEMs to the right factory at the right time, making it easier for customers to move through the product development lifecycle. With our North American factory network, MacroFab builds millions of custom-manufactured products a year, close to end-users and ready to ship. With our diverse and reliable supply chain, our customers can maintain a competitive edge by managing products efficiently.

Value-added services include product packaging and fulfillment, automated inventory management, strategic sourcing, kitting, quality testing, and full box build and assembly. We More... serve a variety of industries including but not limited to robotics, industrial, energy, transportation, telecommunications, biotechnology, and oil & gas. 

 Talk to our team today and find out why our customer loyalty score consistently remains one of the highest in the industry. Less",www.linkedin.com/company/macrofab-inc-,$25 - 49.9 Mil,200-499  Employees,"Contract Manufacturing: Electronic
Electronic Manufacturing Services (EMS)
Contract Manufacturing: Box Build Assembly
Contract Manufacturing


Contract Manufacturing: Electronic, RoHS Compliant
Contract Manufacturing: Low Volume
Manufacturing Services","All Products / Services

Manufacturing Services
Printed Circuit Boards
Assemblies
Assembly Services
Prototyping Services


Supply Chain Management Services
Boards
Circuits
Instant Quote Custom Manufacturing
Inventory Management Services"
"Precision Mfg. Co., Inc.",888-472-9891,https://precmfgco.com/,"Dayton, OH 45404-2542",Custom Manufacturer,"Woman-owned ISO 9001:2008 and HUBZone certified. Custom manufacturer of wiring harness and electromechanical assemblies. Capabilities include ultrasonic welding, prototyping, wire processing, design, engineering, automated stripping, kitting, quality inspection, EDI scheduling and shipping. Serves the aerospace, automotive, agricultural, heavy equipment, military and energy and power industries. Lean manufacturing capable. Meets Mil-Spec. JIT and Kanban delivery.",,,$1 - 4.9 Mil,10-49  Employees,"Contract Manufacturing: Electronic
Contract Manufacturing
Contract Manufacturing: Aerospace
Contract Manufacturing: Automotive Assemblies
Contract Manufacturing: Box Build Assembly


Contract Manufacturing: Electromechanical
Contract Manufacturing: Low Volume
Contract Manufacturing: Medical
Contract Manufacturing: Military
Contract Manufacturing: Tank

View all Manufacturing Services categories","All Products / Services

Harnesses
Manufacturing Services
Panels
Assemblies
Electric Wire, Cable and Cable Assemblies
Additive Manufacturing Services
Assembly Services
Boxes
Connectors
COVID-19 Response


Engineering Services
Forming Services
Fulfillment Services
Leads
Machining
Mechanical Wire, Cable and Rope
Packaging Services
Plating Services
Private Label Manufacturing
Prototyping Services

View all products / services offered"
"PGF Technology Group, Inc.",866-606-5324,https://www.pgftech.com/,"Rochester Hills, MI 48309",Manufacturer,"PGF is an ISO 9001:2015 and ISO 13485:2016 certified contract manufacturer who assembles surface mount and through-hole electronic printed circuit boards (PCB), custom cables, box-builds, prototypes, and wire harnesses. Cable, wire harness, RF, and data link assemblies are available. Types of cables include motor, servo, power, signal, sensor, and C-track cables. PGF provides wire and cable or wire connectors. Prototype and low to high volume production offered. Wire processing, testing, and quality assurance services are also available. PGF serves aerospace, agricultural, automotive, computer, construction, firefighting equipment, grinding technology, material handling, medical, military, motorcycle, telecommunication, transportation, and other industries. REACH compliant. On-time delivery. 12-month warranty.","We strive to establish a long-term relationship with our customers based on mutual respect, trust, and loyalty. Our client-focused operating philosophy singles PGF out from the rest by providing transparent solutions and always making our partnerships a priority.

Our company specializes in assembling printed circuit boards, custom cables, wire harnesses, and box builds. Our manufacturing capabilities range from prototype to high production quantities. Without a doubt, our commitment to on-time delivery, superior quality, and competitive pricing has earned us the admiration of our customers. By focusing on the objective of being a ""solutions provider,"" we center our goals on supplying only the best results.",www.linkedin.com/company/pgf-technology-group,Not Available,10-49  Employees,"Contract Manufacturing: Electronic
Electronic Manufacturing Services (EMS)
Contract Manufacturing
Contract Manufacturing: Aerospace
Contract Manufacturing: Box Build Assembly


Contract Manufacturing: Low Volume
Contract Manufacturing: Medical
Contract Manufacturing: Medical Device
Contract Manufacturing: Military
Contract Manufacturing: Surface Mount Technology

View all Manufacturing Services categories","All Products / Services

Printed Circuit Boards
Manufacturing Services
Harnesses
Electric Wire, Cable and Cable Assemblies
Mechanical Wire, Cable and Rope


Enclosures
Assemblies
Assembly Services
Connectors
COVID-19 Response"
NAS Electronics,877-865-7834,https://naselectronics.tech/,"Las Vegas, NV 89115",Custom Manufacturer,"Flexible printed circuit board (PCB) fabrication and assembly services for aluminum clad, fiberglass, Getek®, Kevlar®, Mylar®, phenolic, polyester, polyimide and polytetrafluoroethylene (PTFE). Contract manufacturing and prototyping services are also available. Additional services such as designing, cutting, potting, routing, drilling, repair and rework provided. Prototype and low to high volume production runs offered. Serves the aerospace, automotive, gaming, industrial control, public safety and telecommunications industries. Made in the USA.","Transforming Tech

One product at a time

At NAS, we turn big ideas into revolutionary products.

Electronics manufacturing is our core competency and has been for over thirty years. Our end-to-end expertise, strong supplier relationships, state-of-the-art facilities, and extensive industry knowledge can instantly expand your capabilities as needed without the overhead -- or the headaches.",www.linkedin.com/company/naselectronics,Not Available,Not Available  Employees,"Contract Manufacturing: Electronic
Electronic Manufacturing Services (EMS)
Contract Manufacturing: Box Build Assembly
Contract Manufacturing: Low Volume
Contract Manufacturing: Automotive Assemblies


Contract Manufacturing: Mechanical
Computer Integrated Manufacturing Services
Contract Manufacturing
Contract Manufacturing: Aerospace
Contract Manufacturing: Automation Equipment

View all Manufacturing Services categories","All Products / Services

Manufacturing Services
Printed Circuit Boards
Assembly Services
Prototyping Services
Coating Services


Assemblies
Electric Wire, Cable and Cable Assemblies
Fabrication Services
Finishing Services
Job Shop Services"
"RPC Electronics, Inc.",888-691-0307,https://www.rpcelectronics.com/,"Chagrin Falls, OH 44023",Custom Manufacturer,"Custom manufacturer of electronic assemblies, products & systems. Electronic products/systems include printed circuit boards, electronic subsystems, wire harnesses, chassis, panels, enclosures, epoxy/thermoplastic potting, semiconductor devices & embedded memory modules. Electronic assemblies such as wire/cable assemblies, box build assemblies, electromechanical assemblies, printed circuit board assemblies, sensor assemblies & electronic subassemblies are fabricated. Capabilities include prototyping, turnkey manufacturing, testing, assembly, integration, packaging & shipping. Services such as design engineering, contract manufacturing, materials management, supply chain management, fulfillment & new product introduction services are available. Supply chain management services include component kitting, lead forming, device programming & Kanban/JIT delivery services. Markets served include OEM, industrial, commercial, medical, military, defense/aerospace, computing, communications & multimedia. Electronic products/systems are UL½ certified.",,,$5 - 9.9 Mil,10-49  Employees,"Contract Manufacturing: Electronic
Contract Manufacturing
Contract Manufacturing: Automotive Assemblies
Contract Manufacturing: Box Build Assembly
Contract Manufacturing: Electromechanical


Contract Manufacturing: Electromechanical OEM Component
Contract Manufacturing: Electronic Multichip Module
Contract Manufacturing: Electronic Subsystem
Contract Manufacturing: Electronic, RoHS Compliant
Contract Manufacturing: Medical

View all Manufacturing Services categories","All Products / Services

Printed Circuit Boards
Manufacturing Services
Assemblies
Panels
Assembly Services
Boards
Chassis
Computers
Controls and Controllers
Digital Memory


Displays
Electric Wire, Cable and Cable Assemblies
Electronics
Embedded Systems
Enclosures
Engineering Services
Forming Services
Harnesses
Mechanical Wire, Cable and Rope
Modification Services

View all products / services offered"
Vexos Corporation,877-472-7295,https://www.vexos.com/,"Lagrange, OH 44050 | Locations",Custom Manufacturer,"Full-service EMS provider specializing in high-mix, low- to mid-volume programs. Services include PCB assembly and testing, manufacturing, box-build assembly, DFM/DFT & engineering, DFSC (design for supply chain) BoM review/analysis, test development and implementation and PCB repair services. Custom material solutions include PCBs, metal solutions, plastic injection moulding, silicone compression moulding, membrane switches, keypads and touch-screens. Serving the industrial, automotive, computing, medical, communications, aviation/defence market segments. Meets various standards including ISO9001, ISO13485, ISO 14001, ISO 45001 and IAFT16949. RoHS compliant. Lean manufacturing capable. With manufacturing facilities in the United States, Canada, China, and Vietnam, Vexos can efficiently compete in today's marketplace, primarily focus on industrial, automotive, computing, medical, communications, aviation/defense market segments.","Vexos, is an award-winning global electronics manufacturing services (EMS) and custom material solutions (CMS) company, providing complete end-to-end supply chain management solutions in electronic and mechanical products for original equipment manufacturers (OEMs) and new emerging technology companies. Vexos services extend over the entire electronic product life cycle, from value engineering services for product development to prototyping and new product introduction (NPI) through to the growth, maturity, and end-of-life phases with a strong focus and commitment to quality and customer service satisfaction.

Vexos meets various standards including ISO 9001, ISO 13485, ISO 14001, ISO 45001, CGP certification and IAFT16949. RoHS compliant. Lean manufacturing capable. With manufacturing facilities in the United States, Canada, China, and Vietnam, Vexos can efficiently compete in today's marketplace, primarily focus on industrial, automotive, computing, medical, communications, aviation/defense More... market segments. Less",www.linkedin.com/company/vexos/,$250 Mil. and over,1000+  Employees,"Contract Manufacturing: Electronic
Contract Manufacturing: Box Build Assembly
Electronic Manufacturing Services (EMS)
Contract Manufacturing
Contract Manufacturing: Computer Assemblies


Contract Manufacturing: Electronic, RoHS Compliant
Contract Manufacturing: Telecommunications Assemblies
Contract Manufacturing: Through Hole Technology
Manufacturing Services","All Products / Services

Manufacturing Services
Assembly Services
Printed Circuit Boards
Research, Design and Development Services
Additive Manufacturing Services
Assemblies
Casting Services
Consulting Services
Controls and Controllers
COVID-19 Response


Cutting Services
Electronics
Enclosures
Engineering Services
Extrusion Services
Fabrication Services
Inspection Services
Inventory Management Services
Machining
Maintenance and Repair Services

View all products / services offered"
"Wilmanco, Inc.",833-613-3320,https://www.wilmanco.com,"Moorpark, CA 93021",Custom Manufacturer,Manufacturer of microwave products. Contract manufacturing with machine shop and production capabilities including assembly and soldering of electronic components.,"Founded in 1979 by Harold Williams, Wilmanco started its journey in Los Angeles as an innovative manufacturer of quality microwave products. Today, the Williams Family continues that legacy. Wilmanco, Inc. is a leading contract manufacturer of precision RF technology with a focus on GPS antennae. The company is located in Moorpark, California and is ISO 9001:2015 Certified.",www.linkedin.com/company/wilmanco/about/,Not Available,10-49  Employees,"Contract Manufacturing: Electronic
Contract Manufacturing
Contract Manufacturing: Aerospace
Contract Manufacturing: Aluminum
Contract Manufacturing: Electronic, RoHS Compliant


Contract Manufacturing: Low Volume
Contract Manufacturing: Medical
Contract Manufacturing: Military
Contract Manufacturing: OEM Component & Part
Contract Manufacturing: Plastics

View all Manufacturing Services categories","All Products / Services

Assemblies
Manufacturing Services
Milling Services
Machining
Additive Manufacturing Services
Assembly Services
Boring Services
Cutting Services
Drilling Services


Fabrication Services
Job Shop Services
Plastics
Prototyping Services
Punching Services
Soldering Services
Tapping Services
Threading Services"
"VR Industries, Inc.",877-568-0826,https://www.vrindustries.com/,"Warwick, RI 02886-2459",Custom Manufacturer,"Full-service electronic contract manufacturer, serving a diverse group of customers across many fields. Manufacturing services range from printed circuit board assembly to complete box build assemblies and testing. Investments in infrastructure and manufacturing principles have helped reduce waste and increase value to customers. The staff is trained and certified to many industry standards including ISO 9002/13485, IPC J-STD-001ES and is registered with the FDA. Customers are provided with key metrics to ensure projects are completed to the highest standards.","At VR Industries we focus on providing cost-effective/value rich solutions for electronic contract manufacturing services across many fields. We work hard to create partnerships with our customers which help to ensure their diverse and complex needs are consistently met. Our team prides itself on open communication and hard work to maintain the highest levels of quality, on time deliveries, and customer satisfaction.

Maintaining excellent quality, timeliness, and satisfaction requires tremendous effort from our employees. The staff is well equipped with the right technology, training, and drive to ensure the partnerships we have are successful. We are ISO certified and work hard to quickly adopt new compliance requirements. This ensures our customers are receiving the best products and services on a consistent basis.",www.linkedin.com/company/vr-industries,$10 - 24.9 Mil,10-49  Employees,"Contract Manufacturing: Electronic
Electronic Manufacturing Services (EMS)
Contract Manufacturing: Box Build Assembly
Contract Manufacturing
Contract Manufacturing: Electromechanical


Contract Manufacturing: Electronic, RoHS Compliant
Contract Manufacturing: Medical
Contract Manufacturing: Military
Manufacturing Services","All Products / Services

Manufacturing Services
Printed Circuit Boards
Assembly Services
Electric Wire, Cable and Cable Assemblies
Assemblies
Additive Manufacturing Services
Backplanes
Circulators
Controls and Controllers
Engineering Services


Harnesses
Inspection Services
Monitoring Systems
Project Management Services
Prototyping Services
Pumps
Research, Design and Development Services
Subassemblies
Supply Chain Management Services
Testing Services"
"DIGICOM Electronics, Inc.",877-821-0107,https://www.digicom.org,"Oakland, CA 94621",Custom Manufacturer,"AS9100:2016 (Rev D), ISO 9001:2015, ISO 13485:2016, SBE and HUBZone certified. Contract manufacturing services specializing in electronic assemblies. Capabilities include through-hole, surface mount, mixed technology, single and double-sided and leaded and lead-free RoHS compliant printed circuit board (PCB) contract assembly services. Also offers module and box build, enclosure and high end cable assemblies. Available in prototypes to high volume production runs. Secondary services such as supply chain, kitting, selective soldering, optical and X-ray inspection and functional testing services are available. Serves various markets including medical, telecommunications, industrial, aerospace and military. Meets Mil-Spec 45208, 21 CFR 820, ANSI/IPC-A-601D and ANSI/IPC-A-610B standards. ITAR registered. FDA approved. GMP compliant.","Digicom Electronics offers advanced electronics manufacturing with ""Made in the USA quality"" that fits the needs of larger enterprises while at the same time providing the benefits and individual attention needed to serve start-up companies. Digicom collaborates in all aspects of the process from design to the final, fully compliant product. Material procurement and management services include planning, purchasing, expediting and warehousing of components and materials. Digicom is certified for ISO 9001:2015, ISO13485:2016 medical devices quality, and quality system regulation 21 CFR 820.and is a certified HubZone and Small Business.

Digicom Electronics was founded in 1982 and built on many years of experience in electronics manufacturing and operations management. In March 2012 we moved to a new, larger and environmentally friendly facility in Oakland, California, USA. Digicom customers can now take advantage of Digicom's new Diamond Track Process and have access to the most technologically More... advanced equipment and services. Less",www.linkedin.com/company/digicom-electronics/,$1 - 4.9 Mil,10-49  Employees,"Contract Manufacturing: Electronic
Electronic Manufacturing Services (EMS)
Contract Manufacturing: Medical Device
Contract Manufacturing: Aerospace
Contract Manufacturing


Contract Manufacturing: Box Build Assembly
Contract Manufacturing: Computer Assemblies
Contract Manufacturing: Consumer Product
Contract Manufacturing: Electromechanical
Contract Manufacturing: Electronic, RoHS Compliant

View all Manufacturing Services categories","All Products / Services

Manufacturing Services
Printed Circuit Boards
Electronics
Assemblies
Assembly Services
Boards
Circuits
Converters
COVID-19 Response
Electric Wire, Cable and Cable Assemblies


Electronic Components
Fabrication Services
Generators
Hardware
Harnesses
Medical Equipment
Modules
Power Supplies
Prototyping Services
Soldering Services

View all products / services offered"
