Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
Siemens Process Instrumentation,855-628-0145,http://www.usa.siemens.com/pi,"Harleysville, PA 19438",Manufacturer,"Manufacturer of process instrumentation for pressure, temperature, flow, level and weight measurement. Products include pneumatic valve positioners, calculators, flow or motion sensors, weighing scales, transmitters, transducers, regulators, relays, feeders and process protection devices. Plant device management maintenance stations are also available. Accessories such as input and output isolators, instrumentation displays, monitoring devices and adapters are offered.","Siemens Process Instrumentation brings you innovative measurement solutions to increase plant efficiency and enhance product quality, including flow, temperature, pressure, level, weighing and valve positioning. And we understand that in the process industry, every second counts which is why we offer world-class engineering, testing and production directly from our 183,000 sq. ft. state-of-the-art manufacturing facility in North America. Your production doesn't stop, so why would we? Siemens delivers the instruments you need and the reliability you depend on, with same-day shipping and service available 24 hours a day, 365 days a year.",www.linkedin.com/company/siemens-industry-us,$250 Mil. and over,1000+  Employees,"Flowmeters: Electronic
Flowmeters
Flowmeters: Coriolis
Flowmeters: Mass
Flowmeters: Water


Flowmeters: Magnetic
Flowmeters: Ultrasonic
Flowmeters: Gas
Flowmeters: Food & Beverage
Flowmeters: Natural Gas

View all Flowmeters categories","All Products / Services

Flowmeters
Sensors / Detectors / Transducers
Cells
Scales
Transmitters
Positioners
Controls and Controllers
Measuring Equipment
Process Machinery
Adapters


Ammeters
Calculators
Corrosion Resistant Products
Displays
Feeders and Feed Systems
Filters
Handling Equipment
Instruments
Isolators
LEDs

View all products / services offered"
Endress+Hauser,888-684-7098,https://www.endress.com/en,"Greenwood, IN 46143 | Locations",Manufacturer,"ISO 9001:2015/IEC17025 certified manufacturer of measuring instruments, software and system components. Batch, flow, level, gas, pressure and temperature measurement instruments, thermometers, flowmeters, thermowells, analyzers, sensors, monitors, transmitters, photometers and flow cells are available. Terminal, data, document, energy, measuring and calibration software is offered. Systems products such as data managers and loggers, barriers, gateways, modems, surge arresters and handheld communicators are available. Capabilities include engineering, commissioning, training, repairing, calibrating and maintenance. Serves the oil and gas, marine, power, energy, water and wastewater, food and beverage, chemical and utilities industries.","Endress+Hauser first began operations in the U.S in 1970. We manufacture flow, level, pressure, temperature and analytical products, and have a complete network of Sales and Service locations to support your products wherever they are installed. To support your project needs, we have engineering and project management services available to you. Let us be your complete process automation solution.

More than 90% of all instruments ordered and shipped within the U.S. are manufactured in the U.S. What does this mean for you? When you are experiencing downtime in production because you need a new product, we will be there to get you back up and running  quickly. 

Endress+Hauser can also help get your process started and provide premium service and training along the way. From commissioning and calibration services, to hands-on training in our PTU® (Process Training Unit), our unique offering will help you gain efficiency, increase manufacturing quality and maximize plant availability.

Now you More... can order low-cost, easy-to-configure Endress+Hauser products online with E-direct! Less",www.linkedin.com/company/endress-hauser-group,$250 Mil. and over,500-999  Employees,"Flowmeters: Electronic
Flowmeters
Flowmeters: Coriolis
Flowmeters: Ultrasonic
Flowmeters: Food & Beverage


Flowmeters: In-Line
Flowmeters: Liquid
Flowmeters: Magnetic
Flowmeters: Sludge & Slurry
Flowmeters: Air

View all Flowmeters categories","All Products / Services

Flowmeters
Calibration Services
Sensors / Detectors / Transducers
Switches
Transmitters
Adapters
Alarms
Analyzers
Arresters
Assemblies


Assembly Machinery
Assistants
Automation Systems
Barriers
Buffers
Calculators
Calibrators
Cells
Cleaning Equipment
Cold Chain Equipment

View all products / services offered"
Coker Pump & Equipment Co.,866-585-3019,http://www.cokerpump.com/index.html,"Oakland, CA 94607 | Locations",Distributor,"Distributor & fabricator of engineered pump units for markets including food processing, bio-tech, mining, pulp & paper, wastewater, chemical, aggregate, semi-conductor, pharmaceutical & all related manufacturing industries. Air-operated, bellows, boiler feed, booster systems, centrifugal, chemical, diaphragm, double diaphragm, drum, gear, high pressure, high viscosity, magnetic-drive, metering, peristaltic, plastic, positive displacement, sanitary, self-priming, strainers, submersible, vacuum & all types of pumps.","Coker Pump & Equipment Company has provided superior pumping solutions to industry since 1956. Our two facilities are capable of fabricating engineered pump units in most configurations for the following areas: FOOD PROCESSING, BIO-TECH, MINING, PULP & PAPER, WASTE WATER, CHEMICAL, AGGREGATE, SEMICONDUCTOR, PHARMACEUTICAL, and all related Manufacturing Industries.

Our ten salesmen have a combined experience in pump engineering of 140 years. This, coupled with an inventory in excess of $2,000,000 and complete shop facilities, enables us to assist you with any pumping needs you may incur.",,Not Available,10-49  Employees,"Flowmeters: Electronic
Flowmeters
Flowmeters: Batching
Flowmeters: Blending
Flowmeters: Food & Beverage


Flowmeters: Fuel
Flowmeters: In-Line
Flowmeters: Liquid
Flowmeters: Non-Contact
Flowmeters: Petroleum Oil

View all Flowmeters categories","All Products / Services

Pumps
Maintenance and Repair Services
Pump Parts
Bases
Conditioners
Flowmeters
Gearheads and Gearboxes


Handling Equipment
Mining Equipment
Motors
Process Machinery
Processors
Pumping Systems
Strainers"
Exair Corporation,877-706-9712,https://exair.co/93-home,"Cincinnati, OH 45249-1621",Manufacturer,"Manufacturer of compressed air-operated products suitable for industrial plants. Engineered products reduce compressed air use & save energy while providing OSHA safe product to protect personnel. Product lines include vortex tubes & applied products utilizing vortex tubes, air amplifiers, air knives, air nozzles, optimization products, air wipes, safety air guns, vacuum generators, air operated conveyors, liquid atomizing nozzles, industrial vacuums, & ionizing products for static elimination. These products meet CE requirements, OSHA standards for dead-end pressure & noise exposure, & RoHS compliance.","EXAIR intelligent compressed air products solve problems in industrial plants while reducing compressed air consumption and increasing safety for personnel. We have the largest variety of sizes, materials and performance characteristics in order to provide the best solution for your processes and problems. 

Our products are commonly used to conserve air, cool processes or parts, convey material, clean surfaces or coat surfaces. EXAIR's 15 extensive product lines include air knives, air wipes, air nozzles and jets, atomizing nozzles, static eliminators, cold gun air coolant systems, air amplifiers, safety air guns, air operated conveyors, industrial housekeeping products, vortex tubes and spot cooling products, cabinet cooler systems, vacuum generators, compressed air optimization products, and associated accessories. 

Products meet OSHA standards and are CE and RoHS compliant. Five-year warranty on compressed air products and one-year warranty on accessories and electrically powered products. More... Less",www.linkedin.com/company/exair-corporation,Not Available,Not Available  Employees,"Flowmeters: Electronic
Flowmeters: Air


Flowmeters
Flowmeters: Compressed Air","All Products / Services

Coolers
Dryers
Cleaning Equipment
Janitorial Supplies
Nozzles
Blowers
Conveyors
Conditioners
Pumps
Amplifiers
Curtains
Ejectors
Eliminators


Exchangers
Exhaust Systems
Fans
Flowmeters
Guns
Knives
Lifters
Recovery Equipment
Tubes
Vacuum Systems
Abrasive Blast Equipment
Air Handlers
Attachments

View all products / services offered"
"Jamieson Equipment Co., Inc.",866-509-1176,https://www.jamiesonequipment.com/,"Buford, GA 30518",Distributor,"Distributor of actuators, aeration blowers, filters, air compressors, refrigerated dryers, air cylinders, air valves, bearings, bulk bag handling equipment, concrete batch plants, conveyors, idlers, return rolls, belt alignment, safety stop and material flow switches, detectors, gear reducers, motors, hoppers, feeders, impact beds, pulleys, dust control systems, dry bulk loading equipment, ducting, hoses, fittings, dust collection systems, water reclaimers, flat tank covers, indicators, liner material, moisture sensors and controls, motion controls, post drivers, post pullers, radio remote controls, screw conveyors, feeders, wheel chocks, derails, rerailers, safety signs, wheel blocks, marking tapes, car pullers, hopper gate openers, motion sensing signals, scales, load cells, silos, slump inspection platforms, ticket delivery systems, vibrators, air blasters, water meters, heaters, chillers, steam generators, and safety products.","Since 1982, Jamieson Equipment Company and its founder, Ted Jamieson, have been dedicated to providing unrivaled customer service, quality products, systems and support to the dry bulk material handling industry. Doing business with integrity over 3 decades - we believe that says something powerful about who we are. We are not a fly-by-night internet company. You can't find us at a P.O. box. We have a real foundation and we are solid. We invite you to visit our headquarters any weekday between 8 AM and 5 PM Eastern Time. We are right here for you 7 days a week. Even after hours and on holidays, you may call us, leave a message in our emergency mailbox, and your message will be returned right away! You may also submit questions or requests for quotes 24 hours a day via our website, whichever option works best for you! When you visit us online, please be sure to check out our online catalog, where we add and update products daily. We sell more than 10,000 products in more than 50 industries, More... including yours! 

 We sometimes boast about our countless years of field experience and the fact that we carry such an extensive line of products, but it's our customers who tell us that what really makes us invaluable is the fact that with us, one call is all it takes to help troubleshoot a problem and then purchase anything they may need! We also fabricate and assemble a number of key items for our customers prior to shipping and, as a certified Wyco concrete vibrator and Parker solenoid valve service center, we handle repairs in house as well. A few of our other specialties include working with our customers to develop training workshops and seminars for their staff and offering project management services for larger projects and installations. 

 We are a family business with world-class expertise. Thanks to the internet connecting our world and thanks to the world-renowned manufacturers we represent, we have customers on five of seven continents. We have a great deal of experience in international trade including importing, exporting, rates of exchange, financing, and regulation. We may be from Anytown, USA, but we look forward to serving you anywhere you are! Less",www.linkedin.com/company/jamieson-equipment-company,$5 - 9.9 Mil,10-49  Employees,"Flowmeters: Electronic
Flowmeters
Flowmeters: Liquid


Flowmeters: Magnetic
Flowmeters: Water","All Products / Services

Motors
Plants
Vibrators
Conveyors
Valves
Controls and Controllers
Conveyor Parts
Meters
Silos
Actuators
Concrete Machinery
Mixers


Aerators
Air Filtration Equipment & Supplies
Aligners
Arms
Automation Systems
Bags
Batchers
Bearings
Belts
Blenders
Blower Parts
Blowers

View all products / services offered"
"Springer Pumps, LLC",877-788-8841,https://www.springerpumps.com/,"Telford, PA 18969",Distributor,"Distributor of industrial pumps, IBC and drum unloaders, mixers, pigging systems and industrial cleaning equipment. Industrial pumps for the following markets: industrial, food & beverage, pharmaceutical, petrochemical, HVAC, agricultural, personal care, refining, aggregate & OEM. Pumps that handle water to sulfuric acid, from honey to peanut butter, from oil to mastics & from WFI to sludge. Pumps transfer, meter, dispense, mix, circulate and more. From ml per minute to 50,000 gpm. Controls & packages depending on application requirements.","Springer Pumps is a full service distributor of process pumps for the industrial and sanitary industries. We service Eastern PA, New Jersey, Delaware, and Maryland. We specialize in specifying and sizing the correct pump for an application and repair all brands of pumps, mixers, and systems. We will not just sell you a pump that will work, we will provide you with the right pump to make your process as efficient and require the least amount of maintenance and service possible. Let our trained, experienced technicians take complete responsibility for getting you up and running quickly and economically.",www.linkedin.com/company/springer-pumps-llc,$5 - 9.9 Mil,10-49  Employees,"Flowmeters: Electronic
Flowmeters
Flowmeters: Magnetic
Flowmeters: Oil
Flowmeters: Positive Displacement


Flowmeters: Precision
Flowmeters: Stainless Steel
Meters: Liquefied Petroleum Gas (LPG)
Meters: Positive Displacement","All Products / Services

Pumps
Mixers
Pump Parts
Adapters
Air Filtration Equipment & Supplies
Balls
Bases
Blenders
Bolts
Boxes


Brackets
Bushings
Caps
Chillers
Clamps
Cleaning Equipment
Clips
Columns
Connectors
Containers

View all products / services offered"
HydraCheck,866-984-5253,https://www.hydracheck.com/,"Salt Lake City, UT 84119",Distributor,"Distributor of diagnostic instruments. Products include accumulator products, diagnostic kits, diagnostic quick disconnects, flow products, gauge port adaptors, hose/tube cleaning products & identification kits. Oil sampling products, pressure/leak products, pressure test products, safety products, temperature products, tachometers & stroboscopes are also available. Accumulator test products include accumulator charge assembly & accumulator charge kit. Diagnostic quick disconnects such as pressure test connectors, direct gauge adaptors, hose unions, hose/gauge bulkhead adaptors, microbore hoses, diagnostic nipples, diagnostic test couplings, snap-check test nipples & snap-check test couplings are available. Flow meter test products include basic inline flow meters, flow meter test kits & digital flow test products. Pressure test products such as pressure gauges, vacuum gauges & digital pressure gauges are available.",,,Under $1 Mil,1-9  Employees,"Flowmeters: Electronic
Flowmeters
Flowmeters: Fuel
Flowmeters: Hedland
Flowmeters: High Pressure


Flowmeters: High Temperature
Flowmeters: In-Line
Flowmeters: Liquid
Flowmeters: Multifunction
Flowmeters: Oil

View all Flowmeters categories","All Products / Services

Flowmeters
Gages
Adapters
Connectors
Couplers and Couplings
Elbows
Fittings
Nipples
Plugs and Stoppers
Unions


Multimeters
Testers
Analyzers
Assemblies
Books
Bottles
Capsules
Cells
Cleaning Compounds and Chemicals
Cleaning Equipment

View all products / services offered"
Ultraflux,877-814-5726,https://www.ultraflux.net/en/,"Houston, TX 77070",Manufacturer,"Manufacturer of standard and custom ultrasound instrumentation including flowmeters, detectors and probes. Sphere, over speed, leak, scraper and interface detectors and external, intrusive, wetted and ATEX certified probes available. Types of flowmeters include portable, full pipe ultrasonic, gas, river and open channel flowmeters. Engineering, training and commissioning services provided. Suitable for measuring flow of gases and liquids. Serves the sanitation, constructions, rivers, natural environment, hydroelectricity, nuclear, HVAC, climate control, chemistry, petrochemistry, pharmacy and agriculture food industries.","Ultraflux is a French SME specialising in flow measurement instrumentation based on the ultrasonic transit time difference principle. Created in 1974, the company has genuine expertise in ultrasound flow metering thanks in particular to its experience on an extensive installed base of devices around the world.

Ultraflux has always designed, developed, manufactured and sold its own range of flow meters, detectors and probes.",www.linkedin.com/company/ultraflux/,$10 - 24.9 Mil,50-99  Employees,"Flowmeters: Electronic
Flowmeters
Flowmeters: Ultrasonic
Flowmeters: Blending
Flowmeters: Custom


Flowmeters: Food & Beverage
Flowmeters: Fuel
Flowmeters: Gas
Flowmeters: Gas Turbine
Flowmeters: In-Line

View all Flowmeters categories","All Products / Services

Flowmeters
Audit Services
Calibration Services
Engineering Services
Inspection Services
Instruments
Maintenance and Repair Services


Measuring Equipment
Meters
Probes
Research, Design and Development Services
Sensors / Detectors / Transducers
Separators"
Eastern Instruments,888-430-7643,https://easterninstruments.com/Air%20Flow%20Industries.html,"Wilmington, NC 28412",Manufacturer,"Manufacturer of precision flow measurement and control products including air ducts. Intended to be used for both clean air and particulate-laden air flow measurement applications. Meters can handle bulk densities from 1lb/ft3 to 100lb/ft3 and have flow rates of 0.35 ft3/min to 60 ft3/min.  Flow meters can be used for mixing, blending, or ratio control applications. Serves the petrochemical, agricultural, aggregate, food, and pharmaceutical industries. Other products include controllers, blending systems, feeders, and pitot tubes.","Eastern Instruments is a flow measurement solutions company located adjacent to the North Carolina International State Port in Wilmington, North Carolina. Since 1984, the company has been engaged in the development of solid particle mass flow and airflow measurement and control systems for clients in a variety of industries including the food, petrochemical, and agricultural industries. Many of the legend companies use Eastern Instruments in the processes that make the brands that touch the lives of millions every day.

Founded in 1984, Eastern has evolved into a manufacturing organization that builds engineered-to-order components as well as complete systems for clients located around the globe. Backed by more than thirty patents and an experienced staff of engineers and designers, the company's focus is on the use of mass flow technology in applications that involve mixing, blending, inventory control, truck/rail car load out, and much more.

The company operates a facility within the landmark More... industrial area. Included within this facility are our general and engineering offices, our prototype development studio and our systems assembly and machine and fabrication shops as well as a complete testing laboratory which has the capability of replicating most customer applications for solids mass flow measurement. An airflow chamber is also available for testing and validation. Less",www.linkedin.com/company/8312030/,$1 - 4.9 Mil,10-49  Employees,"Flowmeters: Electronic
Flowmeters: Mass
Flowmeters: Food & Beverage
Flowmeters: Air
Flowmeters: Bulk Solids


Flowmeters
Flowmeters: Custom
Flowmeters: HVAC
Flowmeters: In-Line
Flowmeters: Low Flow

View all Flowmeters categories","All Products / Services

Feeders and Feed Systems
Flowmeters
Measuring Equipment
Transmitters
Probes
Tubes
Batchers


Blenders
Conditioners
Filling Machinery
Sensors / Detectors / Transducers
Supply Systems
Testers
Weights"
"B & B Instruments, Inc.",800-347-9008,https://www.bbinstruments.com/,"Indianapolis, IN 46220 | Locations",Distributor,"Distributor of measurement, control and calibration equipment for pressure, temperature, flow, humidity and level instruments. Products include gages, sensors, switches, transducers, detectors, boosters, calibrators, thermometers, thermocouples, flowmeters, controllers, seals, thermowells, scanners, positioners and recorders. Testers, filters, monitors, totalizers, tachometers, nozzles, indicators, enclosures, strainers, unions, orifices, filter bags, analyzers, digital indicating meters, data loggers and modules are also offered. Suitable for water, wastewater, natural gas, power generation, metal milling, transportation, plastic forming, packaging, compressor, pump, OEM, research and development applications. Serves the pharmaceutical, petroleum, agricultural, government, food and beverage industries. Some instruments are CE certified, CSA approved and UL listed.",,,Not Available,Not Available  Employees,"Flowmeters: Electronic
Flowmeters
Flowmeters: Air
Flowmeters: Dwyer
Flowmeters: Environmental


Flowmeters: Food & Beverage
Flowmeters: Gas
Flowmeters: Gas Turbine
Flowmeters: High Pressure
Flowmeters: High Temperature

View all Flowmeters categories","All Products / Services

Sensors / Detectors / Transducers
Gages
Thermocouples
Cold Chain Equipment
Data Loggers
Vaccine Cold Chain Supplies and Logistics
Bags
Indicators
Regulators
Thermometers


Aerators
Annunciators
Blocks
Boosters
Calibration Services
Calibrators
Computers
Conditioners
Controls and Controllers
Converters

View all products / services offered"
