Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
"Pelonis Technologies, Inc.",855-885-7743,http://www.pelonistechnologies.com,"Exton, PA 19341",Manufacturer,"Manufacturer of standard and custom OEM products. Various products available include fans, blowers, heaters, power cords, fan trays, and guards, heating elements, PTC heater assemblies, and temperature controllers. Conductors and thermistors are also offered. Serves the gaming, power and energy, robotics and automation, security, material handling, HVAC, transportation, aerospace, and broadcast industries.","Pelonis Technologies is a leading innovator of air movement technologies, cooling products, induction motors, and specialty heating applications for commercial and industrial use. We offer high quality products at competitive costs and employ flexible manufacturing techniques that enable us to respond to large and small-scale requirements. Our goal is to provide our customers with significant value-added services, ready solutions, or custom designs to meet their needs.",www.linkedin.com/company/pelonis-technologies-inc-,$1 - 4.9 Mil,10-49  Employees,"Heaters: Electronic
Heaters: Immersion
Heaters: Positive Temperature Coefficient (PTC)
Heaters: Electric
Heaters: Flexible


Electric Heating Devices
Heaters
Heaters: Acid
Heaters: Aerospace
Heaters: Air

View all Heaters categories","All Products / Services

Fans
Motors
Gearheads and Gearboxes
Heaters
Blowers
Elements
Air Conditioner Parts
Air Handlers
Assemblies
Blades


Conductors
Controls and Controllers
Coolers
Corrosion Resistant Products
COVID-19 Response
Curtains
Fan Parts
Filters
Guards
Impellers

View all products / services offered"
WATTCO,877-276-3831,https://www.wattco.com/,"Hallandale, FL 33009",Manufacturer,"Manufacturer of standard and custom electric heaters and heating elements. Types of heaters include tubular heaters, finned tubular heaters, flanged heaters, boiler heaters, screw plug heaters, in line heaters, circulation heaters, over the side heaters, immersion heaters, strip heaters, cartridge heaters, mica heaters and ceramic band heaters, silicone rubber heaters, duct heaters, infrared heaters radiant heaters and inline heaters. Thermowells, wire, thermocouples, thermostats and control panels are also available. Various applications include drying, curing, sterilization, roll heating, degreasing, softening resins, heat treating, air drying, air pre-heating, multizone reheating and annealing. CSA and UL approved.","Immersion Heaters such as flanged heaters, circulation heaters and inline heaters are a sample of the full product range WATTCO manufactures for industries such as oil and gas, chemical, defense and HVAC.

We offer quotes in 60 minutes and guarantee our prices to be the lowest in the industry.",,$50 - 99.9 Mil,50-99  Employees,"Heaters: Electronic
Heaters: Industrial
Heaters: Immersion
Heaters: Tank
Heaters: Circulation


Heaters: Process
Heaters: Electric
Heaters: Explosion Proof
Heaters: Radiant
Heaters: Chemical

View all Heaters categories","All Products / Services

Heaters
Panels
Elements
Analyzers
Autoclaves
Blowers
Boards
Boilers
Bridges
Burners


Cafeteria Equipment
Ceilings
Cement
Ceramic Products
Coils
Controls and Controllers
Convectors
Coolers
COVID-19 Response
Dampers

View all products / services offered"
Ryan Herco Flow Solutions (HQ),888-201-3597,https://www.rhfs.com,"Burbank, CA 91504 | Locations",Distributor,"Distributor of flow and fluid handling equipment and supplies. Fluid handling equipment includes pumps, storage tanks, treatment systems, filters, heaters, mixers, pipes, tubes and valves. Flow measuring products such as indicators, switches, meters, sensors, level controllers and pressure and temperature gauges offered. Chamfering, deburring, flaring, pipe cutting and tubing tools and hose and tube fittings available. Also custom manufactures waste pumping stations, pump lift control panels, fume hoods and fabricated and neutralization tanks. Serves the water, wastewater, microelectronic, life science, metal and surface finishing, food, beverage, aquatic, life support, construction and specialty chemical industries. Stock items available. 24/7, pump repair, export and material identification services provided. Same day shipping.","Ryan Herco Products is a leading distributor of corrosion-resistant fluid flow products in the United States, employing over 300 people. Our regularly published Product Guide can be found on desks throughout the world helping people specify their fluid-flow requirements. With a growing number of service centers located throughout the U.S., we are a company keeping pace with the increasing needs of our customers.",,$250 Mil. and over,200-499  Employees,"Heaters: Electronic
Heaters
Heaters: Acid
Heaters: Chemical
Heaters: Coil


Heaters: Electric
Heaters: Electric, Water
Heaters: Immersion
Heaters: In-Line Water
Heaters: Industrial

View all Heaters categories","All Products / Services

Treatment Equipment
Filters
Tanks
Pumps
Plant Equipment
Flowmeters
Scrubbers
Controls and Controllers
Lifts
Mixers


Stations
Water
Actuators
Adapters
Adhesives
Air Filtration Equipment & Supplies
Alarms
Analyzers
Angles
Anodizing Equipment

View all products / services offered"
"Xiamen Innovacera Advanced Materials Co., Ltd",888-214-3688,https://www.innovacera.com/,"Laurel, MD 20723",Custom Manufacturer,"Custom manufacturer of alumina, beryllium oxide, boron nitride, porous, zirconia, and machinable glass ceramic products. Alumina heaters, ceramic porous filters, blades, pumps, and valves are also offered. Capabilities include isostatic or dry pressing, injection molding, precision grinding, CNC machining, lapping, polishing, and metallization. Prototypes and production runs are available. Serves aerospace, automotive, defense, electronics, research, fluid handling, and other industries.","Xiamen Innovacera Advanced Materials Co.,Ltd (INNOVACERA) locates in the Special Economic Zone of Xiamen, Fujian Province. There is rich resources and convenient transportation.

INNOVACERA engages in R&D, manufacturing and selling the products of advanced ceramic materials, including Alumina, Zirconia, Boron Nitride, Silicon Nitride, Machinable Glass Ceramic and other advanced materials. Through different manufacturing processes, we supply metallized ceramic components, alumina heater, ceramic pump components and other ceramic components as request.

Our products are mainly used in Aerospace, Research, Food Processing, Fluid Handling, Scientific, Automotive, Defense, Thermal Processing, Electronic and Electrical, Process Control, Textile, Pulp and Paper, Mechanical, Glass Processing, Mineral Processing and other Industrial.

INNOVACERA is a professional high-tech enterprise, cooperate with Chinese University in advanced materials, many products are awarded as high-tech products and obtain More... patents.

 Our aim is to offer the ideal advanced material solution for any application. Less",www.linkedin.com/company/xiamen-innovacera-advanced-materials-co-ltd,$1 - 4.9 Mil,10-49  Employees,"Heaters: Electronic
Heaters: Ceramic, Advanced
Heaters
Heaters: Aerospace
Heaters: Air, High Temperature


Heaters: Appliance
Heaters: Automotive
Heaters: Custom
Heaters: Dielectric
Heaters: Electric, Water

View all Heaters categories","All Products / Services

Ceramics
Alumina (Aluminum Oxide)
Boron Nitride
Zirconia (Zirconium Oxide)
Beryllia (Beryllium Oxide)
Heaters
Silicon Nitride
Automotive Parts
Bearings
Blades


Blocks
Bushings
Ceramic Products
Chucks and Collets
COVID-19 Response
Cutters and Cutting Machinery
Diffusers
Discs
Electronic Components
Filters

View all products / services offered"
Tempco Electric Heater Corp.,855-242-0230,https://www.tempco.com/,"Wood Dale, IL 60191-1452",Manufacturer,"ISO 9001 certified manufacturer of standard and custom electric heating elements, temperature controllers or sensors and heating systems. Band, cartridge, cast-in, ceramic fiber, coil or cable, flexible, screw plug immersion, infrared, process, strip and tubular heaters are offered. Instrumentation products such as melt-pressure transducers, gages, melt pressure electronic indicators or sensors, multimeters, displays or temperature displays, recorders and temperature transmitters, videographic data loggers and rotating electric connectors are also available. Serves the aerospace, automotive, chemical processing, medical and power generation industries. CSA approved. CE certified. RoHS compliant. UL listed. Made in the USA.","Tempco was established in 1972 and continues to produce custom manufactured electric heating solutions to original equipment manufacturers and end users worldwide. Our products are sold both nationally and internationally through a network of sales representatives and distributors and through our own distribution center located in Mexico City.

Tempco stands behind its premium quality products, expert customer service, and industry leading turn-around times for order sizes small and large. Visit our website to learn more about our company and products.

Product Types:

Electric heating elements, temperature sensors, temperature controls, process heating system.

Manufacturing Highlights:

ISO 9001:2015 certified, custom engineering and manufacturing, CNC machine shop and CNC sheet metal department, aluminum and bronze foundry, wood pattern shop, UL 508A certified panel shop.

Industries Served:

Aerospace, automotive, chemical processing, commercial dishwashing equipment, cryogenics, degreasing, More... equipment, distillation, food processing, laboratory equipment, medical industry, packaging, plastics processing, power generation, recycling, scientific, semi-conductor manufacturing, steam generation, storage tanks, transportation. Less",www.linkedin.com/company/tempco-electric-heater-corporation/,$25 - 49.9 Mil,200-499  Employees,"Heaters: Electronic
Heaters: Electric
Heaters: Band
Heaters: Cartridge
Heaters: Cast


Heaters: Drum
Heaters: Infrared
Coils: Heating
Electric Heating Devices
Heat Tracing Cables

View all Heaters categories","All Products / Services

Heaters
Sensors / Detectors / Transducers
Elements
Controls and Controllers
Adapters
Blocks
Bolts
Boxes
Buttons
Cold Chain Equipment


Connectors
Consoles
Contactors
Converters
COVID-19 Response
Data Loggers
Displays
Electric Wire, Cable and Cable Assemblies
Enclosures
Extenders

View all products / services offered"
"Markair, Inc.",877-375-8466,https://www.markair.net/,"Jacksonville, FL 32223",Manufacturers' Rep,"Manufacturers representative for industrial ventilation equipment and systems. Products include industrial fans/blowers, man-coolers, make-up air units, louvers, dampers, heating/cooling coils, dust collectors, fume exhaust systems, heaters, air curtains, heat exchangers, energy recovery systems, dehumidification equipment, industrial noise control products, silencers, roof/wall ventilators, flow measuring devices and enclosures. Services include field surveys, system design/recommendations, project budget/appropriation and turnkey installation. Ventilation equipment & systems are designed to meet OSHA, ASHRAE and NFPA requirements. Serving industrial manufacturing facilities, naval architects, consulting engineers, municipalities, design-build contractors, OEMs and mechanical contractors. Typical industries include pulp/paper, power, water/wastewater, food manufacturing, general manufacturing and ship construction/retrofits.",,,$1 - 4.9 Mil,1-9  Employees,"Heaters: Electronic
Coils: Heating
Ventilating & Heating Systems: Industrial
Heaters
Heaters: Air


Heaters: Air, Direct Fired
Heaters: Air, High Temperature
Heaters: Coil
Heaters: Commercial
Heaters: Commercial, Radiant

View all Heaters categories","All Products / Services

Collectors
Fans
Blowers
Coils
Exchangers
Dampers
Heaters
Aluminum
Controls and Controllers
Air Handlers


Air Rotation Units
Baffles
Barriers
Blades
Booths
Brass
Breakers
Bronze
Cleaning Equipment
Compounds

View all products / services offered"
Mod-Tronic Instruments Limited,800-794-5883,https://www.mod-tronic.com/,"Brampton, ON L6T5G1",Distributor,"Supplier & stocking distributor of instruments for industrial, process, medical, military, aerospace, building automation, HVAC & rotating machinery applications. Products include alarm trips, analog meter relays & panel meters, bi-metal thermostats, rotating electrical connectors, multi-channel, temperature, process, power & rotary speed controllers, current sensors, transducers, switches & transformers, data acquisition recorders, pressure gauges & transmitters, electrical power measurement, flexible circuits & heaters, handheld instruments, humidity sensors, transmitters & switches, infrared temperature sensors, scanners & thermal switches, loop power supplies, magnetic pickups, manometer, mercury contactors, position transducers, resistance temperature detectors (RTDs), signal conditioners & isolators, slip rings, solid state relays, speed switches, square root extractors, tachometers, temperature indicators, temperature & process monitors, thermocouples, timers & valve positioners.","When quality and performance are as important as price... You can count on our proven brands!

This has been our company motto since 1972 and 50 years later we pride ourselves more than ever on providing our customers with quality products at competitive prices.

We are an authorized stocking distributor of 14 leading manufacturers (Absolute Process Instruments, Camille Bauer, Cecomp Electronics, Dwyer, Dynalco, Exergen, Love Controls, Mercotac, Minco, Shinko, Simpson, Veris) of industrial/commercial sensors, transducers, heaters, flex-circuits and instrumentation. We are very proud to say that the majority of the products we sell are Made in the USA.

Our sales force has over 80 years of combined experience solving our customers unique and diverse application challenges. We have earned a valued reputation in our industry for working with our customers. We take the time necessary to fully understand your application, analyze your requirements and offer you the correct products at competitive More... prices.

 We stock thousands of catalog items for same day shipment to anywhere in North America and most countries around the world. Don't see the exact product you require? Tell us what you need, most of our manufacturers offer custom built solutions to meet your exact requirements.

 Thank you for taking the time to learn more about our company. We are proud of the excellent products and service that we offer and we would appreciate the opportunity to work with you and your company. Less",www.linkedin.com/company/2854259,$1 - 4.9 Mil,1-9  Employees,"Heaters: Electronic
Heaters: Flexible
Heaters
Heaters: Aerospace
Heaters: Air


Heaters: Air, High Temperature
Heaters: Aircraft
Heaters: Appliance
Heaters: Automotive
Heaters: Compressed Air

View all Heaters categories","All Products / Services

Sensors / Detectors / Transducers
Heaters
Actuators
Adapters
Alarms
Amplifiers
Automation Systems
Automotive Parts
Barriers
Calibrators


Cells
Circuits
Cold Chain Equipment
Conditioners
Connectors
Contactors
Controls and Controllers
Counters
COVID-19 Response
Data Acquisition Systems

View all products / services offered"
Metafin Supply Company,855-435-3493,https://www.metafinsupply.com/,"Volo, IL 60073",Distributor,"Distributor of metal finishing, electroplating, anodizing and printed circuit board equipment and supplies. various products include anode baskets, anode hooks, anode bags, plating barrels, tank saddles, barrel danglers, plating chemicals, centrifugal dryers, spin dryer and dipping baskets, immersion heaters, temperature controls, coils and heat exchangers. industrial pumps, drum pumps and hand pumps, filtration systems, filter cartridges, carbon media, horizontal filter discs, filter bags, switch mode rectifiers, mixers, agitators, dispensers, tanks, tank liners and tank magnets are also available. meets NASF and AESF  standards.","Metafin Supply Company has been supplying metal finishing, electroplating, anodizing, printed circuit board, and municipalities industries for over 35 years. We have built a reputation as one of the premier suppliers representing some of the finest manufacturers and their products utilized in the Surface Finishing Industry.

Our goal has remained the same, to service our customers beyond their expectations and provide quality products at competitive prices. Our sales and customer service team is focused on the needs of our customers at all times.

If you are in need of any parts or items that are not present on our website, please contact us via e-mail request or by phone.

As a new Metafin Supply customer, we look forward to meeting your needs. If you are a returning customer, as always, thank you for your continued business and loyalty.",www.linkedin.com/company/metafin-supply-company/about/,Under $1 Mil,1-9  Employees,"Heaters: Electronic
Heaters: Immersion
Coils: Heating
Electric Heating Devices
Heaters


Heaters: Acid
Heaters: Chemical
Heaters: Coil
Heaters: Custom
Heaters: Electric

View all Heaters categories","All Products / Services

Filters
Heaters
Pumps
Plating Machinery
Rectifiers and Diodes
Abrasive Compounds / Media
Adapters
Air Filtration Equipment & Supplies
Anodes
Bags


Barrels and Drums
Baskets
Blades
Carbon
Cartridges
Chambers
Coils
Containers
Controls and Controllers
COVID-19 Response

View all products / services offered"
Abbeon Cal Inc.,888-489-8676,https://www.abbeon.com/,"Ventura, CA 93003",Distributor,"Distributor of plastic working tools and industrial supplies. Plastic welders, plastic cutters and plastic manufacturing equipment. Industrial supplies include paint markers, measuring equipment, safety knives, static removal products, vibration isolation products and vortex tubes. Plastic working tools include welding rods, automatic welders, butt welders, extrusion welders, hand welders, ultrasonic welders, industrial hot air tools, air routers, cutting nippers, duburring tools, drill and router bits, hot knife cutters, saws, saw blades, shear cutters and strip cutters. Plastic manufacturing equipment such as heat sealers, assembly systems and benders are available. Dataloggers, dial instruments, environmental sensors, hand held digital instruments, sensor accessories, weather stations and weather accessories are available.","Abbeon Cal, Inc., publisher of the plastic working catalog and several web sites, has been providing specialty tools and instruments to businesses since 1946.

It is our mission at Abbeon to provide project solutions and outstanding customer service. We make a positive effort to sell only the best merchandise at a fair price and with our 100% guarantee of absolute satisfaction. The people who deal with us are protected in every way we can think of. After all, it is only good business to have happy customers.

Abbeon's office is located in the beach community of Ventura, California. We look forward to serving your needs.",www.linkedin.com/company/abbeon-cal-inc-,$1 - 4.9 Mil,10-49  Employees,"Heaters: Electronic
Heaters
Heaters: Flexible
Heaters: Plastics Processing


Heaters: Strip
Heating Systems
Plastic Strip Heaters
Silicone Heaters","All Products / Services

Cutters and Cutting Machinery
Fire Fighting Electronics
Guns
Hygrometers
Plastic Equipment
Tools
Welders
Wildfire Response
Welding Rods, Wire and Electrodes
Air Filtration Equipment & Supplies
Assembly Machinery


Attachments
Balances
Barometers
Bars
Benders
Bits
Blades
Blowdown and Blow-off Systems
Blowers
Clamps
Cleaning Compounds and Chemicals

View all products / services offered"
General Installation Company,800-705-1444,https://www.generalinstallation.com/,"Gardena, CA 90249",Distributor,"Distributor and installation services of water heaters for commercial and residential applications. Types of water heaters include dielectric and natural gas heaters and boilers. Ultra low natural gas heaters are available in 30, 40, and 50 short and tall models. Available for large residence, office building, business, restaurant, hotel, school, and hospital applications. Repair services, remodeling services, and heater replacement parts are available. Meets ASME specifications.",,,$1 - 4.9 Mil,10-49  Employees,"Heaters: Electronic
Heaters: Hot Water
Heaters: Water
Car Wash Heaters
Electric Heating Devices


Heaters
Heaters: Circulation
Heaters: Commercial
Heaters: Confined Space
Heaters: Cylinder

View all Heaters categories","All Products / Services

Heaters
Boilers
Contractors


Maintenance and Repair Services
Tanks"
