Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
"MacroFab, Inc.",877-648-6223,https://macrofab.com/,"Houston, TX 77092",Custom Manufacturer,"Custom Manufacturer for PCB assembly services. Prototype to high-volume production. Capabilities include fine-pitch BGA, HDI, and QFN assembly. Instant upload and real-time pricing and supply chain information for prototyping and smaller orders. Large or complex orders Instant quote within 48 hours. Secondary services with assembly include supply chain management, sourcing, programming, and testing.","Founded in 2013, the MacroFab technology platform and marketplace have changed the way North American OEMs source PCBAs from early prototypes to high-volume production runs. We leverage AI-enabled sourcing, our expert internal teams, and an easy-to-use connected platform to give companies a better way to produce high-quality electronics while keeping the flexibility they need to meet all business needs. 

MacroFab connects OEMs to the right factory at the right time, making it easier for customers to move through the product development lifecycle. With our North American factory network, MacroFab builds millions of custom-manufactured products a year, close to end-users and ready to ship. With our diverse and reliable supply chain, our customers can maintain a competitive edge by managing products efficiently.

Value-added services include product packaging and fulfillment, automated inventory management, strategic sourcing, kitting, quality testing, and full box build and assembly. We More... serve a variety of industries including but not limited to robotics, industrial, energy, transportation, telecommunications, biotechnology, and oil & gas. 

 Talk to our team today and find out why our customer loyalty score consistently remains one of the highest in the industry. Less",www.linkedin.com/company/macrofab-inc-,$25 - 49.9 Mil,200-499  Employees,"Electronic Manufacturing Services (EMS)
Contract Manufacturing: Electronic
Contract Manufacturing: Box Build Assembly
Contract Manufacturing


Contract Manufacturing: Electronic, RoHS Compliant
Contract Manufacturing: Low Volume
Manufacturing Services","All Products / Services

Manufacturing Services
Printed Circuit Boards
Assemblies
Assembly Services
Prototyping Services


Supply Chain Management Services
Boards
Circuits
Instant Quote Custom Manufacturing
Inventory Management Services"
"Thomas Instrumentation, Inc.",855-305-2186,https://tiweb.net/service/prototyping/,"Cape May Court House, NJ 08210",Custom Manufacturer,"Complete turnkey services to include: concept design, circuit board design, PCB layout, Gerber file generation, prototyping, software development, supply chain management, electronics manufacturing, wire harness assembly, 100% inspection and testing, diagnostic and repair. Production capabilities range from prototyping to high volume, fine pitch surface mount to plated-through-hole technology and mixed technology. Can work with client from start to finish, or perform services individually, including contract manufacturing of any volume. RoHS, REACH and ITAR Compliant. ISO 9001:2015 registered and Made in the USA.","You deserve a trustworthy, quality partner that gives you affordable and simple solutions to your electronics needs. We understand you want someone to make the electronics portion of your project easy which is why we provide electrical engineering, software development, and electronics manufacturing all under one roof. We're a USA made, one stop shop with experts always available to answer your questions, solve your problems, and give you the best solutions as fast as possible. If you're looking for experienced professionals, high quality product, and great customer service, then look no further. Our family business background and over 50 years of industry experience means you'll get the best product and be treated like part of the family.",,Not Available,10-49  Employees,"Electronic Manufacturing Services (EMS)
Contract Manufacturing: Surface Mount Technology
Contract Manufacturing
Contract Manufacturing: Electronic


Contract Manufacturing: Electronic, RoHS Compliant
Contract Manufacturing: Through Hole Technology
Manufacturing Services","All Products / Services

Printed Circuit Boards
Manufacturing Services
Prototyping Services
Research, Design and Development Services
Analytical Services
Assemblies
Circuits
Consulting Services
Diagnostic Services
Electric Wire, Cable and Cable Assemblies
Electronics


Engineering Services
Harnesses
Inspection Services
Inventory Management Services
Maintenance and Repair Services
Procurement Services
Quality Assurance Services
Sourcing Services
Subassemblies
Supply Chain Management Services
Testing Services"
"VR Industries, Inc.",877-568-0826,https://www.vrindustries.com/,"Warwick, RI 02886-2459",Custom Manufacturer,"Full-service electronic contract manufacturer, serving a diverse group of customers across many fields. Manufacturing services range from printed circuit board assembly to complete box build assemblies and testing. Investments in infrastructure and manufacturing principles have helped reduce waste and increase value to customers. The staff is trained and certified to many industry standards including ISO 9002/13485, IPC J-STD-001ES and is registered with the FDA. Customers are provided with key metrics to ensure projects are completed to the highest standards.","At VR Industries we focus on providing cost-effective/value rich solutions for electronic contract manufacturing services across many fields. We work hard to create partnerships with our customers which help to ensure their diverse and complex needs are consistently met. Our team prides itself on open communication and hard work to maintain the highest levels of quality, on time deliveries, and customer satisfaction.

Maintaining excellent quality, timeliness, and satisfaction requires tremendous effort from our employees. The staff is well equipped with the right technology, training, and drive to ensure the partnerships we have are successful. We are ISO certified and work hard to quickly adopt new compliance requirements. This ensures our customers are receiving the best products and services on a consistent basis.",www.linkedin.com/company/vr-industries,$10 - 24.9 Mil,10-49  Employees,"Electronic Manufacturing Services (EMS)
Contract Manufacturing: Box Build Assembly
Contract Manufacturing: Electronic
Contract Manufacturing
Contract Manufacturing: Electromechanical


Contract Manufacturing: Electronic, RoHS Compliant
Contract Manufacturing: Medical
Contract Manufacturing: Military
Manufacturing Services","All Products / Services

Manufacturing Services
Printed Circuit Boards
Assembly Services
Electric Wire, Cable and Cable Assemblies
Assemblies
Additive Manufacturing Services
Backplanes
Circulators
Controls and Controllers
Engineering Services


Harnesses
Inspection Services
Monitoring Systems
Project Management Services
Prototyping Services
Pumps
Research, Design and Development Services
Subassemblies
Supply Chain Management Services
Testing Services"
SEACOMP,888-590-5678,https://www.seacomp.com/divisions/mh-manufacturing,"Carlsbad, CA 92009",Custom Manufacturer,"Contract manufacturer of electronics for home automation, consumer goods and medical industries. Capabilities include assembly, prototyping, plastic injection molding and welding. Product development, design and engineering services are also offered. Secondary services such as bulk/retail packaging, pad printing, laser etching, sourcing, testing and warehousing are provided. Mexico and China manufacturing options. UL listed. ISO9001 and ISO13485 certified.","SEACOMP offers turnkey solutions, product development, manufacturing, and logistics services through our electronics manufacturing division, MH MFG. We specialize in designing, engineering and manufacturing industrial products, consumer electronics, and medical devices.

Partner with MH MFG as your electronics manufacturer and you will receive high quality control of your product's materials and electronic components, customization of production processes to meet your product's unique needs, and strict protection of your product design's intellectual property.

Our company's vision is to make great ideas into great products. If your product design falls into this criteria, please start the conversation to see if we would be a good fit for each other. Choosing a manufacturing partner is a huge investment and we want to ensure that your product development goals are met.

MH MFG meets your unique needs through a new product introduction (NPI) roadmap to get your product from concept to manufacturing, More... design for manufacturing (DFM) to optimize your product design for the production line, design engineering services completed in-house at our Carlsbad, CA office, and manufacturing is done either in our overseas China production facility or our manufacturing facility in Mexico. 

 We take quality control very seriously and this is proven in our most recently awarded ISO 13485:2016 certification. This standard, specific to manufacturing medical devices, pertains to quality management systems. Our certifications, including ISO 9001:2015, show that we are committed to fulfilling regulatory requirements to best serve our customers.

 Our goal is to help bring your passion to the global marketplace. Less",www.linkedin.com/company/seacomp-mhmfg-displaytech-hdppower/,$25 - 49.9 Mil,100-199  Employees,"Electronic Manufacturing Services (EMS)
Manufacturing Services
Contract Manufacturing: Consumer Product
Contract Manufacturing
Contract Manufacturing: Box Build Assembly


Contract Manufacturing: Electronic
Contract Manufacturing: Electronic Subsystem
Contract Manufacturing: Electronic, RoHS Compliant
Contract Manufacturing: Industrial Control
Contract Manufacturing: Large Component

View all Manufacturing Services categories","All Products / Services

Manufacturing Services
Engineering Services
Research, Design and Development Services
Electronics
Assemblies
Consulting Services
COVID-19 Response


Electronic Components
Medical Equipment
Medical Products and Hospital Equipment
Printed Circuit Boards
Prototyping Services
Tier 2 Medical Mfg. Supplies, Materials, Components & Services"
"DIGICOM Electronics, Inc.",877-821-0107,https://www.digicom.org,"Oakland, CA 94621",Custom Manufacturer,"AS9100:2016 (Rev D), ISO 9001:2015, ISO 13485:2016, SBE and HUBZone certified. Contract manufacturing services specializing in electronic assemblies. Capabilities include through-hole, surface mount, mixed technology, single and double-sided and leaded and lead-free RoHS compliant printed circuit board (PCB) contract assembly services. Also offers module and box build, enclosure and high end cable assemblies. Available in prototypes to high volume production runs. Secondary services such as supply chain, kitting, selective soldering, optical and X-ray inspection and functional testing services are available. Serves various markets including medical, telecommunications, industrial, aerospace and military. Meets Mil-Spec 45208, 21 CFR 820, ANSI/IPC-A-601D and ANSI/IPC-A-610B standards. ITAR registered. FDA approved. GMP compliant.","Digicom Electronics offers advanced electronics manufacturing with ""Made in the USA quality"" that fits the needs of larger enterprises while at the same time providing the benefits and individual attention needed to serve start-up companies. Digicom collaborates in all aspects of the process from design to the final, fully compliant product. Material procurement and management services include planning, purchasing, expediting and warehousing of components and materials. Digicom is certified for ISO 9001:2015, ISO13485:2016 medical devices quality, and quality system regulation 21 CFR 820.and is a certified HubZone and Small Business.

Digicom Electronics was founded in 1982 and built on many years of experience in electronics manufacturing and operations management. In March 2012 we moved to a new, larger and environmentally friendly facility in Oakland, California, USA. Digicom customers can now take advantage of Digicom's new Diamond Track Process and have access to the most technologically More... advanced equipment and services. Less",www.linkedin.com/company/digicom-electronics/,$1 - 4.9 Mil,10-49  Employees,"Electronic Manufacturing Services (EMS)
Contract Manufacturing: Electronic
Contract Manufacturing: Medical Device
Contract Manufacturing: Aerospace
Contract Manufacturing


Contract Manufacturing: Box Build Assembly
Contract Manufacturing: Computer Assemblies
Contract Manufacturing: Consumer Product
Contract Manufacturing: Electromechanical
Contract Manufacturing: Electronic, RoHS Compliant

View all Manufacturing Services categories","All Products / Services

Manufacturing Services
Printed Circuit Boards
Electronics
Assemblies
Assembly Services
Boards
Circuits
Converters
COVID-19 Response
Electric Wire, Cable and Cable Assemblies


Electronic Components
Fabrication Services
Generators
Hardware
Harnesses
Medical Equipment
Modules
Power Supplies
Prototyping Services
Soldering Services

View all products / services offered"
"LeeMAH Electronics, Inc.",866-816-9798,http://www.leemah.com/index.html,"Brisbane, CA 94005 | Locations",Custom Manufacturer,"Custom contract manufacturer of electronic assemblies such as coaxial and semi-rigid cables, electromechanical box builds and surface-mount and pin thru-hole printed circuit boards. Capabilities include crimping, wire cutting and stripping, hand insertion and soldering and assembly. Available in prototypes and low and high-volume production runs. Also offers custom molded cables. Serves OEMs in transportation, aerospace and defense, professional audio, industrial instrumentation and medical device industries. Provides design and test engineering services such as in-circuit, flying probe, functional and boundary scan. Meets SA8000:2008 standards. AS-9100C, IPC, NAICS and FDB certified. ITAR registered.","LeeMAH Electronics is a global electronics manufacturing service company founded in 1971 offering contract manufacturing and test solutions to OEMs with high-mix and low-medium volume needs. We utilize the same processes and similar equipment and test sets in all of our locations to provide seamless migrations and hybrid solutions for our customers.

Our philosophy is based upon flexibility with our customer's needs and forming long-term relationships. We offer customer-focused strategies with our California, Texas, and China locations which total over 232,000 square feet. LeeMAH's strategy allows the customer to enter our low cost region in China in structured steps with our domestic locations or directly.",,Not Available,Not Available  Employees,"Electronic Manufacturing Services (EMS)
Contract Manufacturing: Electronic
Contract Manufacturing: Medical Device
Contract Manufacturing: Aerospace
Contract Manufacturing


Contract Manufacturing: Automotive Assemblies
Contract Manufacturing: Box Build Assembly
Contract Manufacturing: Consumer Product
Contract Manufacturing: Electromechanical
Contract Manufacturing: Electronic, RoHS Compliant

View all Manufacturing Services categories","All Products / Services

Manufacturing Services
Printed Circuit Boards
Electronics
Assemblies
Assembly Services
Cabinets
Distribution Systems
Electric Wire, Cable and Cable Assemblies


Electromechanical Devices
Electronic Components
Harnesses
Membranes
Power Supplies
Printed Circuit Board Pin Insertion Services
Racks
Testing Services"
"PGF Technology Group, Inc.",866-606-5324,https://www.pgftech.com/,"Rochester Hills, MI 48309",Manufacturer,"PGF is an ISO 9001:2015 and ISO 13485:2016 certified contract manufacturer who assembles surface mount and through-hole electronic printed circuit boards (PCB), custom cables, box-builds, prototypes, and wire harnesses. Cable, wire harness, RF, and data link assemblies are available. Types of cables include motor, servo, power, signal, sensor, and C-track cables. PGF provides wire and cable or wire connectors. Prototype and low to high volume production offered. Wire processing, testing, and quality assurance services are also available. PGF serves aerospace, agricultural, automotive, computer, construction, firefighting equipment, grinding technology, material handling, medical, military, motorcycle, telecommunication, transportation, and other industries. REACH compliant. On-time delivery. 12-month warranty.","We strive to establish a long-term relationship with our customers based on mutual respect, trust, and loyalty. Our client-focused operating philosophy singles PGF out from the rest by providing transparent solutions and always making our partnerships a priority.

Our company specializes in assembling printed circuit boards, custom cables, wire harnesses, and box builds. Our manufacturing capabilities range from prototype to high production quantities. Without a doubt, our commitment to on-time delivery, superior quality, and competitive pricing has earned us the admiration of our customers. By focusing on the objective of being a ""solutions provider,"" we center our goals on supplying only the best results.",www.linkedin.com/company/pgf-technology-group,Not Available,10-49  Employees,"Electronic Manufacturing Services (EMS)
Contract Manufacturing: Electronic
Contract Manufacturing
Contract Manufacturing: Aerospace
Contract Manufacturing: Box Build Assembly


Contract Manufacturing: Low Volume
Contract Manufacturing: Medical
Contract Manufacturing: Medical Device
Contract Manufacturing: Military
Contract Manufacturing: Surface Mount Technology

View all Manufacturing Services categories","All Products / Services

Printed Circuit Boards
Manufacturing Services
Harnesses
Electric Wire, Cable and Cable Assemblies
Mechanical Wire, Cable and Rope


Enclosures
Assemblies
Assembly Services
Connectors
COVID-19 Response"
NAS Electronics,877-865-7834,https://naselectronics.tech/,"Las Vegas, NV 89115",Custom Manufacturer,"Flexible printed circuit board (PCB) fabrication and assembly services for aluminum clad, fiberglass, Getek®, Kevlar®, Mylar®, phenolic, polyester, polyimide and polytetrafluoroethylene (PTFE). Contract manufacturing and prototyping services are also available. Additional services such as designing, cutting, potting, routing, drilling, repair and rework provided. Prototype and low to high volume production runs offered. Serves the aerospace, automotive, gaming, industrial control, public safety and telecommunications industries. Made in the USA.","Transforming Tech

One product at a time

At NAS, we turn big ideas into revolutionary products.

Electronics manufacturing is our core competency and has been for over thirty years. Our end-to-end expertise, strong supplier relationships, state-of-the-art facilities, and extensive industry knowledge can instantly expand your capabilities as needed without the overhead -- or the headaches.",www.linkedin.com/company/naselectronics,Not Available,Not Available  Employees,"Electronic Manufacturing Services (EMS)
Contract Manufacturing: Electronic
Contract Manufacturing: Box Build Assembly
Contract Manufacturing: Low Volume
Contract Manufacturing: Automotive Assemblies


Contract Manufacturing: Mechanical
Computer Integrated Manufacturing Services
Contract Manufacturing
Contract Manufacturing: Aerospace
Contract Manufacturing: Automation Equipment

View all Manufacturing Services categories","All Products / Services

Manufacturing Services
Printed Circuit Boards
Assembly Services
Prototyping Services
Coating Services


Assemblies
Electric Wire, Cable and Cable Assemblies
Fabrication Services
Finishing Services
Job Shop Services"
Vexos Corporation,877-472-7295,https://www.vexos.com/,"Lagrange, OH 44050 | Locations",Custom Manufacturer,"Full-service EMS provider specializing in high-mix, low- to mid-volume programs. Services include PCB assembly and testing, manufacturing, box-build assembly, DFM/DFT & engineering, DFSC (design for supply chain) BoM review/analysis, test development and implementation and PCB repair services. Custom material solutions include PCBs, metal solutions, plastic injection moulding, silicone compression moulding, membrane switches, keypads and touch-screens. Serving the industrial, automotive, computing, medical, communications, aviation/defence market segments. Meets various standards including ISO9001, ISO13485, ISO 14001, ISO 45001 and IAFT16949. RoHS compliant. Lean manufacturing capable. With manufacturing facilities in the United States, Canada, China, and Vietnam, Vexos can efficiently compete in today's marketplace, primarily focus on industrial, automotive, computing, medical, communications, aviation/defense market segments.","Vexos, is an award-winning global electronics manufacturing services (EMS) and custom material solutions (CMS) company, providing complete end-to-end supply chain management solutions in electronic and mechanical products for original equipment manufacturers (OEMs) and new emerging technology companies. Vexos services extend over the entire electronic product life cycle, from value engineering services for product development to prototyping and new product introduction (NPI) through to the growth, maturity, and end-of-life phases with a strong focus and commitment to quality and customer service satisfaction.

Vexos meets various standards including ISO 9001, ISO 13485, ISO 14001, ISO 45001, CGP certification and IAFT16949. RoHS compliant. Lean manufacturing capable. With manufacturing facilities in the United States, Canada, China, and Vietnam, Vexos can efficiently compete in today's marketplace, primarily focus on industrial, automotive, computing, medical, communications, aviation/defense More... market segments. Less",www.linkedin.com/company/vexos/,$250 Mil. and over,1000+  Employees,"Electronic Manufacturing Services (EMS)
Contract Manufacturing: Electronic
Contract Manufacturing: Box Build Assembly
Contract Manufacturing
Contract Manufacturing: Computer Assemblies


Contract Manufacturing: Electronic, RoHS Compliant
Contract Manufacturing: Telecommunications Assemblies
Contract Manufacturing: Through Hole Technology
Manufacturing Services","All Products / Services

Manufacturing Services
Assembly Services
Printed Circuit Boards
Research, Design and Development Services
Additive Manufacturing Services
Assemblies
Casting Services
Consulting Services
Controls and Controllers
COVID-19 Response


Cutting Services
Electronics
Enclosures
Engineering Services
Extrusion Services
Fabrication Services
Inspection Services
Inventory Management Services
Machining
Maintenance and Repair Services

View all products / services offered"
"American Products, Inc.",800-486-2741,https://www.americanproductsinc.com/,"York, PA 17406",Custom Manufacturer,"Electronic contract manufacturer and custom electronic design firm. Services include wire and cable assembly, printed circuit board assembly via SMT (surface mount technology), through hole technology and mixed hybrid (SMT and through hole) technology. Capabilities include in-house designing, product development, system integration, prototyping, wiring, testing, turnkey and lean manufacturing, labeling, potting, conformal coating, clean room assembly, custom packaging and shipping. Custom electronic designing, software and hardware development services are offered. Wire harness and cable manufacturing services are also available. Suitable for industrial, medical, communications, robotics, transportation, computer, automation, power management, defense and aerospace industries. One year limited warranty available. RoHS compliant. CSA and UL listed.","American Products, Inc. (API) was established in 1983, and has gained a reputation for excellence and professionalism in the industrial electronic business. We have built our business on customer service, flexibility and the highest quality standards. 

 With our sales, engineering and manufacturing facilities we are able to offer a totally integrated solution to your project. This turnkey approach offers a single source solution for product design from prototyping through production. 

 American Products Inc. specializes in printed circuit board design and manufacturing as well as cable and harness assembly, panel and chassis assembly. Our engineering staff is continually improving our processes and standards to insure that API is on the cutting edge of technology. 

 American Products Inc. has been ISO certified since 1997 and currently is ISO 9001-2008 certified. Our mission is to satisfy our customers with quality products on time with the commitment to promoting customer confidence in More... our ability to meet future expectations. We will attain our goals for customer satisfaction through the dedication and teamwork of our employees. Less",,$10 - 24.9 Mil,50-99  Employees,"Electronic Manufacturing Services (EMS)
Contract Manufacturing: Electronic
Contract Manufacturing: OEM Component & Part
Manufacturing Services
Contract Manufacturing


Contract Manufacturing: Aerospace
Contract Manufacturing: Automation Equipment
Contract Manufacturing: Automotive Assemblies
Contract Manufacturing: Box Build Assembly
Contract Manufacturing: Consumer Product

View all Manufacturing Services categories","All Products / Services

Manufacturing Services
Printed Circuit Boards
Research, Design and Development Services
Assemblies
Assembly Machinery
Assembly Services
Chips
Coating Services
Communication Systems
Controls and Controllers


Displays
Electric Wire, Cable and Cable Assemblies
Electromechanical Devices
Electronic Components
Electronics
Emergency Power & Lighting Supplies
Enclosures
Engineering Services
Forming Services
Hardware

View all products / services offered"
