Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
Hello Bom,888-889-9811,https://www.hellobom.com/,"Boca Raton, FL 33433",Distributor,"Distributor of electronic components including semiconductors, resistors, diodes, capacitors, inductors, connectors, transistors and sensors. Amplifiers, anemometers, calibrators, comparators, converters, batteries and fuses are also offered. One click matching, and quick quotation turn-around offered.",,,Not Available,Not Available  Employees,"Cameras: Digital, High Resolution
Cameras
Cameras, Equipment & Supplies
Cameras: Digital
Cameras: High Resolution


Cameras: Imaging
Cameras: Infrared
Cameras: Inspection
Cameras: Microscope
Cameras: Smart

View all Cameras categories","All Products / Services

Connectors
Inductors
Capacitors
Rectifiers and Diodes
Resistors
Accelerometers
Actuators
Adhesives
Ammeters
Amplifiers


Anemometers
Attenuators
Batteries
Blankets
Blocks
Boxes
Brackets
Bulbs
Buzzers
Calibrators

View all products / services offered"
"PCE Americas, Inc.",844-842-6529,https://www.pce-instruments.com/f/t/us/main.htm,"Jupiter, FL 33458",Manufacturer,"Manufacturer of instruments and related products for commercial, industrial, university and research institution applications. Selection includes analytical, baby, basis weight, carat, compact portable, gold, GSM, jewelry, pharmacy, precision, spring, weighing, moisture, electronic and laboratory balances, animal weighing, approved, hand pallet truck, hanging, health, HGV, benchtop, bench counting, parcel, part counting, portioning, platform, dual display, checkweighing, controlling, container, crane, livestock, system, shipping, table top, trade approved, washdown, floor and lifter scales, measuring instruments and laboratory equipment.",,,Under $1 Mil,1-9  Employees,"Cameras: Digital, High Resolution
Cameras: Industrial
Cameras
Cameras: Digital
Cameras: Digital, High Speed


Cameras: High Resolution
Cameras: High Speed
Cameras: High Speed Complementary Metal Oxide Semiconductor (CMOS)
Cameras: High Temperature
Cameras: Imaging

View all Cameras categories","All Products / Services

Flowmeters
Borescopes
Measuring Equipment
Cold Chain Equipment
Data Loggers
Meters
Vaccine Cold Chain Supplies and Logistics
Analyzers
Cameras
Instruments


Photometers
Scales
Accelerometers
Gages
Magnetometers
Alarms
Anemometers
Balances
Beams
Calibration Services

View all products / services offered"
"NetSource Technology, Inc.",855-970-5135,https://www.nstechnology.com/,"San Clemente, CA 92673",Distributor,"NetSource Technology, Inc. is a distributor of electronic components and accessories for OEMs and contract manufacturers. Products include cables, adapters, hubs, wireless and range extenders, HDMI switches and splitters, graphic and video cards, SSD drives, LCDs, memory integrated circuits and network switches. Other products such as relays, switches, connectors, capacitors, inductors, resistors, amplifiers, converters, diodes, transistors and trigger devices are also available. Serves the electronics, computer, telecommunications, aerospace, aviation, medical, automotive, and transportation industries. ITAR registered. Stock items are available. Procurement, inventory, and supply chain management services are also offered.","Founded in 1997, NetSource Technology, Inc. is a global procurement organization and is one of the largest independent stocking distributors of electronic components. We provide professional and supply chain solutions to OEMs and contract manufacturers worldwide. Our specialty is locating hard-to-find, obsolete, end-of-life (EOL) and highly allocated components with long lead times. We are focused on supporting customers throughout the complete supply chain lifecycle.

Our commitment to quality assurance is validated through our ISO 9001:2015 certification, ITAR registration and industry leading counterfeit prevention programs. NetSource Technology serves as a trusted supply chain partner to leading global organizations across the telecom, IOT, mobile, automotive, medical and aerospace industries. We are the exclusive North American and United Kingdom distributor of Cadyce products. The company is headquartered in San Clemente, CA with offices worldwide.",www.linkedin.com/company/netsource-technology/,$5 - 9.9 Mil,10-49  Employees,"Cameras: Digital, High Resolution
Cameras
Cameras, Equipment & Supplies
Cameras: Bullet
Cameras: Complementary Metal Oxide Semiconductor (CMOS)


Cameras: Computer
Cameras: Digital
Cameras: High Resolution
Cameras: Hitachi
Cameras: Industrial

View all Cameras categories","All Products / Services

Electronic Components
Circuits
Capacitors
Digital Memory
Displays
Resistors
Connectors
Electrical Components
Power Supplies
Printed Circuit Boards


Relays
Adapters
Amplifiers
Antennas
Arrays
Attenuators
Backshells
Batteries
Blocks
Breakers

View all products / services offered"
Mega Speed Corporation,888-618-2714,https://www.megaspeedusa.com/,"Minnedosa, MB R0J1E0",Manufacturer,"Manufacturer of high speed cameras including portable, handheld, digital, high resolution and PC-connected. Digital video recorders (DVRs) and custom imaging systems are also offered. Secondary services such as consulting and testing are available. Suitable for recording fast-moving objects in food processing, beverage packaging, semiconductor, research and development applications. Serves automotive, aerospace, military, biological, surface mining and pharmaceutical industries.","Mega Speed Corporation's high speed products and services are used to analyze and capture events that are too fast for the human eye to see and then play the event back in super slow motion for detailed frame by frame image analysis and report generation. Our cameras are used for testing and verification of automotive safety systems, destructive impact testing, trouble-shooting / preventative maintenance, high speed production lines, aviation flight safety, spacecraft decelerator systems, NASA rocket testing, digital image correlation, beverage packaging, pharmaceutical quality control, surface mining explosion diagnostics and general research and development applications.",,$1 - 4.9 Mil,10-49  Employees,"Cameras: Digital, High Resolution
Cameras
Cameras: Digital
Cameras: Digital, High Speed
Cameras: High Resolution


Cameras: High Speed
Cameras: Imaging
Cameras: Industrial
Cameras: Video
Cameras, Equipment & Supplies

View all Cameras categories","All Products / Services

Cameras
Imaging Equipment


Recorders"
"RIEGL USA, Inc.",407-248-9927,http://www.rieglusa.com/index.html,"Winter Garden, FL 34787",Manufacturer,"Research, development and manufacture of time-of-flight based optical radar systems. Products are used for tripod, airborne survey, industrial process control, altimetry, aerospace, mobile, hydrographic and bathymetric applications.","Celebrating twenty years of excellence, RIEGL USA delivers cutting edge technology in airborne, mobile and stationary terrestrial laser scanning solutions. From your initial purchase, to integration of the systems, as well as training and support, RIEGL USA stands out as a leader in the industry. The key factor to RIEGL USAs success is providing complete reliability and support to our customers.

As a result of this success, RIEGL USA is recognized as the performance leader in the mobile mapping, civil infrastructure, airborne scanning, hydrographic, mining and terrestrial based industries. Our instruments are well known for their ruggedness and reliability under demanding environmental conditions. RIEGLs various 3D scanners offer a wide array of performance characteristics and serve as a platform for continuing Innovation in 3D for the laser scanning business.

RIEGL USA, located in Orlando, Florida, serves as the North American center of sales, training, and support for RIEGL Laser More... Measurement Systems, GmbH. 

 RIEGL Laser Measurement Systems, GmbH, is headquartered in Horn, Austria. RIEGL has over thirty years of experience in the research, development and production of laser rangefinders, distancemeters, and scanners that deliver proven innovations in 3D. RIEGL is dedicated to designing, developing, and producing the best possible laser sensors for the desired application in order to perfectly fulfill the given measurement tasks and therefore, fully satisfy the customers' expectations worldwide.

 RIEGL USA: Building Systems, Delivering Performance Less",www.linkedin.com/company/riegl-usa,$5 - 9.9 Mil,10-49  Employees,"Cameras: Digital, High Resolution


Cameras: Imaging","All Products / Services

Aircraft
Altimeters
Cameras
Finders
Fire Fighting Electronics
Fire Fighting Vehicles
Housings
Imaging Equipment
Instruments
Lasers


Lidar Systems
Measuring Equipment
Meters
Multicopters
Scanners / Readers
Sensors / Detectors / Transducers
Software
Surveying Equipment
Wildfire Response"
Lapmaster Wolters,877-352-8637,https://www.lapmaster-wolters.com/,"Mount Prospect, IL 60056",Manufacturer,"Manufacturer of precision surface products including machinery, bore honing & finishing equipment, consumables, accessories, cleaning systems & metallographic products. Accessories include flatness instruments, lapping & polishing machine tooling & hand lapping polishing plates. Cleaning agents, ultrasonic cleaning solutions, beakers & ultrasonic degreasers are also available. Capabilities include contract flat lapping, grinding, polishing & optical flat reconditioning. Various industries served include automotive, diesel, aerospace, bearings, coatings, castings, compound semiconductors, compressors, valves, cutting tools, knives, data storage, electro optics, mechanical seals, sealing surfaces, medical devices, optics, pumps, technical ceramics & tools & dies.","In today's technologically advanced world, there are a growing number of applications where conventional machining techniques just aren't accurate enough to meet precision surfacing requirements. Precision surfacing with abrasive media, a technology developed and refined by Lapmaster International over the past 50 years, can often be the answer.

 However, it takes more than the technology alone to produce precision surfacing specifications. It takes a company with extensive knowledge and experience with a broad range of materials and applications . . .A company capable of creating customized, turnkey precision surfacing solutions utilizing the latest conventional and super-abrasive techniques...It takes Lapmaster International, your partner in precision surfacing technology.

Since 1948, industry has relied on Lapmaster International to solve the most challenging precision surfacing problems. With over 50 years of experience, Lapmaster has a proven history of successfully developing cost More... effective processing solutions for virtually any application. Whether its precision sizing, flatness, parallelism, or surface finish that's required, Lapmaster has the solution!

 Lapmaster serves the Fine Grinding, Advanced Materials, Precision Optics, Bore Honing and Finishing, Lapping/Polishing, Contract Grinding Services, Contract DeBurring Services, Contract Finishing Services and Metallographic markets through an expanding network of sales and services offices located throughout the world. Sales and technical service is available either through your local Lapmaster Sales Representative or through our main Sales and Technical Services Centers located in Mount Prospect, IL, Plymouth, UK, Chennai, India, Tokyo, Japan and Shenyang, China. Our customer service staff is standing by to assist you. We invite you to visit one of our facilities for equipment and process training free of charge. On site training is also available for a nominal fee. Less",www.linkedin.com/company/lapmaster-international-llc?trk=hb_tab_compy_id_794672,$25 - 49.9 Mil,200-499  Employees,"Cameras: Digital, High Resolution
Camcorders: Digital
Cameras
Cameras: CCD
Cameras: Digital


Cameras: Digital, High Speed
Cameras: High Resolution
Cameras: High Speed
Cameras: Imaging
Cameras: Industrial

View all Cameras categories","All Products / Services

Abrasive Compounds / Media
Alumina (Aluminum Oxide)
Applicators
Assembly Machinery
Ballasts
Bases
Beakers
Bearings
Belts
Blades


Blocks
Bolts
Bottles
Buffers
Cabinets
Cameras
Capacitors
Carriers
Charts
Chemicals

View all products / services offered"
"ProImage Apparel, LLC",855-213-2883,https://proimageapparel.com/,"Clifton, NJ 07012",Distributor,"Dist of clothing, apparel, bags, drinkware, office, tradeshow and event products. Headband, bandanas, sunglasses, hats or caps, jackets, sweatshirts, polo shirts and T-shirts are available. Backpacks, briefcases or messenger, drawstring, fanny, lunch, paper, plastic and tote bags are offered. Drinkware products include mugs, BPA free bottles, coasters, plastic cups, tumblers and thermoses. Awards, caddies, card holders, calculators, magnets, buttons, displays, mousepads or notepads are also provided. Writing or drawing products include chalk, crayons, pens, pencils, highlighters, markers and sharpeners. COVID-19 response products include gloves, gowns, protective masks, hand sanitizers, disposable face shields, thermometers and wipes. Advertising and promotional products are also distributed. Services include custom embroidery and screen printing.",,,Under $1 Mil,1-9  Employees,"Cameras: Digital, High Resolution
Camcorders
Camcorders: Digital
Cameras


Cameras: Digital
Cameras: High Resolution
Cameras: Recording","All Products / Services

Advertising Specialties, Novelties, and Promotional Products
Shirts
Clothing
Embroidery Services
Printing and Marking Services
Air Fresheners
Aprons
Awards
Backpacks
Bags
Baked Goods


Balls
Balms
Bandanas
Bands
Binders
Bottles
Brushes
Caddies
Calculators
Calendars
Cameras

View all products / services offered"
"HSAUSA, LLC",800-298-8936,https://www.hsausa.com/,"Perth Amboy, NJ 08861",Manufacturer,"Manufacturer & distributor of industrial printing & marking products including industrial ink jet printers, controllers, bar code readers, bar code verifiers & bar code scanners, inks, pharmaceutical vision systems, transport bases, optical character readers, page printers, feeders & printer accessories. Accessories include cartridges, printer stands & UV curing lamps. Ink jet printers include industrial ink jet printers with EPROM. Types of controllers include ink jet printer controllers, industrial printer controllers with 15 in. touch screen panels, PCI-based controller boards, high resolution controller units & tiny controller units. Printers are available with Windows® software. Markets served include cosmetics & pharmaceutical.","Don't miss the opportunity to try the next generation in printing and coding! We carry a complete line of high-end fully integrated product handling and marking solutions with print and barcode verification. All of our printing solutions come with a user-friendly Windows-based software package.

Our printers are specifically designed to meet the packaging and mailing requirements of the pharmaceutical, cosmetic, and food industries. In every instance, the HSAUSA distribution network works closely with customers to develop and deliver the best possible results. HSAUSA printers, coders, and markers incorporate the latest innovative printing technology, so they are reliable, cost-effective, easy-to-use, and have maintenance solutions built right in.",,Under $1 Mil,10-49  Employees,"Cameras: Digital, High Resolution
Cameras: Digital


Cameras: Digital, High Speed","All Products / Services

Feeders and Feed Systems
Printers
Coders
Applicators
Assembly Machinery
Automation Systems
Barcode Systems
Bases
Boards
Cameras
Cartridges
Cases
Circuit Board Components


Controls and Controllers
Counters
COVID-19 Response
Custom Machinery
Daters
Identification Products
Inking Systems
Inks
Integration Services
Labelers
Machine Vision Systems
Mailing Systems
Markers and Marking Equipment

View all products / services offered"
Fox Valley Fire & Safety,847-695-5990,https://www.foxvalleyfire.com/,"Elgin, IL 60124",Turnkey Systems Integrator,"Distributor and turnkey systems integrator of fire and safety products. Fire alarms, monitoring systems, wireless transceivers, portable and wheeled fire extinguishers, fire blanket, hose, extinguisher and valve cabinets, control panels, engineered fire suppression equipment, emergency exit lightings, inverters, security systems and sprinkler equipment are available. Fire alarm products include communication systems, detectors/sensors, pull stations, initiating devices, strobes, horns, speakers, chimes and bells. Security systems include reader and telephone access controls, proximity cards and readers, keypads, cameras and intercoms. Sprinkler products include valves, heads, switches, backflow preventers, gauges, compressors, anti-freezers and corrosion monitoring equipment. Capabilities include on-site surveying, designing, engineering, installation, training, inspection and repairing. Markets served include commercial, retail, restaurants, hospitals, schools, industrial and warehouses. 24 x 7 emergency services are available. NICET certified.","The Authoritative Source for Customized Fire & Safety Protection.

Serving Chicagoland Since 1960.

NICET Certified",www.linkedin.com/company/3334806?trk=tyah,$25 - 49.9 Mil,200-499  Employees,"Cameras: Digital, High Resolution
Cameras
Cameras: Bullet
Cameras: CCD
Cameras: CCTV


Cameras: Digital
Cameras: Dome
Cameras: High Resolution
Cameras: Infrared
Cameras: Low Light

View all Cameras categories","All Products / Services

Adapters
Alarms
Amplifiers
Annunciators
Antifreeze
Appliances
Batteries
Bells
Blankets
Boxes


Brackets
Cabinets
Cameras
Caps
Cards
CCTV Equipment
Charges
Chimes
Cleaning Equipment
Communication Systems

View all products / services offered"
ISVI Corp.,203-881-3322 (fax),http://www.isvi-corp.com,"Oxford, CT 06478",Manufacturer,"Manufacturer of high speed & high resolution cameras. Services include installation, consultation, product training & after-sale support.",,,Under $1 Mil,1-9  Employees,"Cameras: Digital, High Resolution
Cameras
Cameras: Digital
Cameras: High Resolution


Cameras: High Speed
Cameras: Industrial
Cameras: Intelligent
Cameras: Machine Vision","All Products / Services

Cameras"
