Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
Penn Radiant Products,866-668-0618,https://www.pennradiant.com/,"Wexford, PA 15090-1354",Distributor,"Distributor of gas heating, electric heating and cooling equipment. Various products include heaters and heating elements, torches, regulators, ventilators, blowers, fans, coolers and air conditioning units. Available with various features and specifications. Also offers kits and replacement parts.",,,$1 - 4.9 Mil,10-49  Employees,"Thermostats: Digital, Programmable
Thermostats


Thermostats: Electric
Thermostats: Line Voltage","All Products / Services

Heaters
Elements
Heating Equipment Parts
Adapters
Aluminum
Assemblies
Attachments
Axles
Baffles
Bases
Bearings
Belts
Blades


Blocks
Blowers
Boards
Boxes
Brackets
Breakers
Burners
Bushings
Caps
Carriers
Cartridges
Casters
Chains

View all products / services offered"
"Alan Manufacturing, Inc.",800-435-2526,https://www.alanmfg.com/,"Wooster, OH 44691",Manufacturer,"Manufacturer of standard and custom dampers, zone control products, damper hardware/accessories and duct supports. Types of dampers include single stud, double stud, manual and zone control/motorized dampers. Zone control products such as wireless zone control dampers, motors, occupancy sensors, thermostats and zone control panels are available. Damper hardware includes clips, blades, metal rings, duct hangers, end bearings, regulator dials, elbows, duct mufflers/silencers, air conditioner brackets and flexible duct connectors. Types of zone control/motorized dampers include gladiola plastic damper systems, motorized flat gasketed dampers, motorized radial style dampers and motorized shutter dampers. Retrofitting, upgrading and repairing services are available. Markets served include HVAC, residential, commercial and industrial industries. Products are available with 5-year limited warranty.",,www.linkedin.com/company/1122685?,$1 - 4.9 Mil,10-49  Employees,"Thermostats: Digital, Programmable


Thermostats","All Products / Services

Dampers
Silencers
Duct Accessories
Actuators
Adapters
Aluminum
Anchors
Assemblies
Bearings
Blades
Bolts
Boxes
Braces
Brackets


Buckles
Bushings
Clamps
Clips
Collars
Conduits and Ducts
Connectors
Controls and Controllers
Corrosion Resistant Products
Covers
Cutters and Cutting Machinery
Dials
Diffusers
Disaster Preparedness Supplies

View all products / services offered"
Phoenix Mfg. Inc.,602-437-1034,https://phoenixmanufacturing.com/,"Phoenix, AZ 85040",Manufacturer,"Manufacturer of evaporative air coolers for commercial applications. Rigid media, mobile, window, fan, and blower air coolers are offered. Programmable drainage pumps, digital thermostats, winterizing panels, and drain controllers are also available. Suitable for garages, workshops, mobile homes, greenhouses, commercial, industrial, institutional or agricultural facilities and buildings. UL listed.","Since its founding in 1975, we have been at the leading edge of the evaporative cooler industry. With over 100 years combined experience in the industry, the management team has learned that the future of manufacturing in America will be in the hands of companies who recognize today the needs of tomorrow.",www.linkedin.com/company/evapcool/posts/?feedView=all,Not Available,100-199  Employees,"Thermostats: Digital, Programmable
Thermostats
Thermostats: Automotive


Thermostats: Cold Control
Thermostats: Cooling System, Automotive & Aircraft
Thermostats: Electronic","All Products / Services

Blowers
Controls and Controllers
Coolers
Fans


Panels
Pumps
Thermostats"
"Ray Murray, Inc.",800-628-5044,https://www.raymurray.com/,"Lee, MA 01238 | Locations",Distributor,"Distributor of propane installation, plant, bobtail, transport, compressed gas, hearth, HVAC and grill and outdoor living equipment. Propane installation equipment such as cylinders and tanks, regulators, replacement valves, polyethylene pipes and fittings are available. Plant, bobtail and transport equipment including plant valving, pumps, compressors, meters, hose, bulk storage and transfer equipment are offered. Compressed gas equipment such as cylinder valves, CGA fittings, cages and cradles, pigtails, vaporizers, cryogenic equipment and fill connectors are available. Hearth products including gas log sets, fireplaces, inserts and stoves and hearth accessories are offered. HVAC products such as heaters, generators, refrigerators, air conditioning and indoor gas lights are available. Grill and outdoor living products including grills and cookers, firepits and mosquito traps are offered. Technical services, warehousing, shipping and installation are available.",,,$50 - 99.9 Mil,50-99  Employees,"Thermostats: Digital, Programmable
Thermostats
Thermostats: Honeywell


Thermostats: Johnson Controls
Thermostats: Mercurial
Thermostats: White-Rodgers","All Products / Services

Actuators
Adapters
Additives
Analyzers
Anchors
Anodes
Anvils
Applicators
Arms
Arresters
Bags
Bands


Barbecue Equipment
Barriers
Bars
Bases
Baskets
Beads
Bearings
Benders
Binders
Blocks
Blowers
Boilers

View all products / services offered"
Viega LLC,877-843-4262,https://www.viega.us/en/homepage.html,"Broomfield, CO 80021",Manufacturer,"Manufacturer of pipe joining, plumbing and heating technology fittings and tools. Offerings include elbows, tees, couplings, unions, adapters, reducers, valves, pipe and tubing. Available in a variety of sizes, specifications and materials such as bonze, copper, brass, cross-linked polyethylene (PEX) and carbon and stainless steels. Accessories and spare parts are available. Serves the commercial, residential and industrial installation markets. ISO 9001:2008 registered and ANAB accredited. PEX fittings are provided with 10-year transferrable warranty.",,,$100 - 249.9 Mil,200-499  Employees,"Thermostats: Digital, Programmable
Thermostats
Thermostats: Appliance


Thermostats: Cold Control
Thermostats: Electric
Thermostats: Heat Control","All Products / Services

Actuators
Adapters
Adhesives
Blades
Blocks
Cabinets
Calipers
Caps
Clamps
Connectors
Controls and Controllers
Corrosion Resistant Products


Couplers and Couplings
Crossovers
Cutters and Cutting Machinery
Elbows
Extensions
Fasteners
Fittings
Flanges
Flushers
Inserts
Joints
Manifolds

View all products / services offered"
HeatLink Group Inc.,800-661-5332,https://www.heatlink.com,"Calgary, AB T2E6M3",Manufacturer,"Manufacturer of HVAC systems, plumbing equipment and related supplies for commercial applications. Products include potable water, radiant heating and cooling systems, plumbing fixtures, tools, fittings and accessories.","HeatLink Group Inc. is a leading supplier of PEX-a plumbing, potable water systems, and radiant heating and cooling systems for the residential and commercial building markets across North America. As a fully integrated plumbing and heating manufacturing company, we offer a complete system approach. Our international reputation has been built on more than 25 years of experience, innovation and industry leadership.",,Not Available,50-99  Employees,"Thermostats: Digital, Programmable
Thermostats


Thermostats: Electronic
Thermostats: Heat Control","All Products / Services

Actuators
Adapters
Analytical Services
Boiler Parts
Brackets
Cleaning Compounds and Chemicals
Cleaning Equipment
Clips
Connectors
Controls and Controllers
Couplers and Couplings
Cutters and Cutting Machinery
Elbows


Exchangers
Filters
Fittings
Heaters
Heating Equipment Parts
Housings
Inhibitors
Lubricants
Manifolds
Melters
Mixers
Panels
Pipe Fittings

View all products / services offered"
AMF Industries Inc.,877-331-4633,http://www.amfindustries.com/,"Labrador City, NL A2V2J",Distributor,"Distributor of flowmeters, actuators, heaters, boosters, regulators, cylinders, sensors and exhaust systems. Hoses, ducts, cables, wire ropes, pipes, vents, grinding balls and controllers are available. Fittings including couplings, elbows, connectors and expansion joints are offered. Ball, check, butterfly, air, pinch, damper, globe and gate valves are provided. Other products include vaporizers, thermostats, hydraulic power units, thermocouples, converters, manifolds, transmitters and boosters. Serves aerospace, power generation, mining, paper, pulp, water treatment, pharmaceutical, oil and gas industries. Some products are CE certified, CSA approved, UL listed and meet ASME standards.","At AMF Industries we strive to have an impact on each of our customer's business success by responding promptly and fully to their needs in an efficient and responsible manner.

We are determined to maintain technological leadership in the market we serve, committed to achieve superior quality in the products we offer and the services we provide.",,Not Available,Not Available  Employees,"Thermostats: Digital, Programmable
Thermostats
Thermostats: Alarm


Thermostats: Hazardous Location
Thermostats: Heat Control
Thermostats: Immersion","All Products / Services

Valves
Actuators
Adapters
Amplifiers
Arresters
Balls
Boilers
Boosters
Boxes
Clips
Conduits and Ducts
Connectors


Controls and Controllers
Converters
Couplers and Couplings
Cylinders
Diffusers
Displays
Elbows
Electric Wire, Cable and Cable Assemblies
Enclosures
Encoders
Exhaust Systems
Fittings

View all products / services offered"
"Heatrex, Inc.",800-394-6589,http://www.heatrex.com/index.html,"Saint Louis, MO 63144",Manufacturer,"Custom manufacturer of electric heating element including heaters. Types of heaters include bolt heaters, flexible bolt, replaceable element bolt, cartridge, flanged immersion, fluid and air circulation, hopper, infrared process, railroad track switch, refrigeration defrost, replaceable element, screw plug immersion, space, switch gear space, tubular and finned element and tubular strip. Immersion round over-the-side, portable drum, though-the-side, dishwasher and urn, duct, defrost, railroad, switch gear space and cartridge heaters are also available. Capabilities include control panels, prototype design and testing and electric power distribution centers.","From its beginning in 1959, Heatrex has held the belief that good communication, employee education, attentive customer service and the attitude to excel are the primary ingredients in the manufacture of superior products. Heatrex commits its future to continually provide quality products and performance to its customers. 

The engineering team at Heatrex utilizes the latest in CAD systems to provide a timely response to each customer's needs. Schooled in the ""Total Quality"" philosophy, Heatrex engineers maintain, and strive to continually improve the design process. Proprietary software removes subjectivity from the design process, providing innovative solutions for design challenges. Drawing and specification control procedures insure that all internal departments, suppliers and subcontractors are continually updated, using the latest customer specifications.

Heatrex understands customer needs; that the accuracy and dependability of a product are crucial to its performance. Heatrex maintains More... an organization-wide effort to insure product conformance to rigid specifications. Each department carries its own responsibilities in the Continuous Improvement Process, in order to perpetually enhance the production sequence and insure product compliance. Manufacturing parameters are well defined and methodically monitored, assuring cost-effective production and product consistency. Quality is built-in rather than ""hoped for"" eliminating outdated modes of inspection.

 Heatrex maintains quality throughout the manufacturing process starting with inspection of incoming materials from pre-approved suppliers to final inspections of finished products; each critical operation is carefully documented. All documentation travels with the customer order. Testing equipment is kept in compliance with defined specifications, and is independently audited to confirm accuracy, repeatability and reproducibility. First Article inspection is performed to confirm that all specifications have been met.

 Final quality audits of product characteristics and in-process control procedures insure that all customer specifications and expectations have been met... resulting in total customer satisfaction. Less",,$5 - 9.9 Mil,50-99  Employees,"Thermostats: Digital, Programmable
Thermostats
Thermostats: Bi-Metal
Thermostats: Electric
Thermostats: Electric Heater


Thermostats: Electronic
Thermostats: Immersion
Thermostats: Line Voltage
Thermostats: Remote Bulb
Thermostats: Snap Acting","All Products / Services

Connectors
Contactors
Convectors
Distribution Systems
Elements
Fittings
Heaters


Hubs
HVAC Equipment
Panels
Radiators
Thermostats
Thermowells & Protection Tubes"
Energy Care Technologies,305-949-0330,https://energycaretech.com/en/,"Doral, FL 33172",Distributor,"Distributor of home automation devices, energy monitoring equipment, electrical controls and power generation equipment. Products include thermostats, cameras, door locks, doorbells, temperature sensors, thermistor sensors, energy management systems, power submeters, motor controls, relays, protection panels, modified sine inverters, power stations and backup power kits.","We offer technology products and services to enhance energy efficient generation, transmission, distribution, and utilization.

Energy Care Technologies headquarter is based in Doral, Florida, conveniently located near the Miami International Airport to serve the US domestic market as well as international customers. We team up with a network of sales associates and professional contractors across North and South America to promote and implement sustainable energy efficient technologies.",,Not Available,Not Available  Employees,"Thermostats: Digital, Programmable
Thermostats


Thermostats: Electronic","All Products / Services

Alarms
Automation Systems
Bells
Cameras
Controls and Controllers
COVID-19 Response
Displays
Doorbells
Gloves
Janitorial Supplies
Locks
Management Systems


Medical Personal Protective Equipment (PPE)
Meters
Motor Controllers and Drives
Panels
Power Supplies
Relays
Security Systems
Sensors / Detectors / Transducers
Starters
Stations
Thermostats"
Munters Corporation - AirTech,800-843-5360,https://www.munters.com/,"Amesbury, MA 01913 | Locations",Manufacturer,"ISO 9001:2015 certified. Manufacturer of dehumidification systems, humidifiers, pollution controllers, humidity controllers, heated, heat exchangers, mist eliminators, separators, controllers, evaporative media, fans, coolers, light filters, cooling pads, sensors and detectors. Alumina balls, air curtains, safety alarms, circuit breaker switches, baffles, fasteners, hardware, valves, water distribution systems, chambers, circulators, condensers, egg counters, light dimmers, grids, gutters, limiters, piping feed systems, shutters, trays and vanes also provided. Capabilities include installation, training, maintenance, reconditioning and repair services. Serves the agriculture, construction, aerospace, food and beverage, greenhouse, power generation, steel, automotive, chemical processing, data centers, electronics, pharmaceuticals, storage, preservation and marine industries. Custom dehumidification systems are also available. USDA approved. ETL and UL listed.",,www.linkedin.com/company/munters/,Not Available,1000+  Employees,"Thermostats: Digital, Programmable


Thermostats","All Products / Services

Abatement Systems
Air Handlers
Alarms
Baffles
Balls
Breakers
Circulators
Coalescers
Cold Chain Equipment
Collectors
Communication Systems
Concentrators
Condensers (Heat Transfer)
Conditioners


Controls and Controllers
Coolers
Counters
COVID-19 Response
Curtains
Dehumidifier Parts
Dehumidifiers
Desiccants and Molecular Sieves (Adsorbents)
Dimmers
Distribution Systems
Dryers
Economizers
Eliminators
Emergency Power & Lighting Supplies

View all products / services offered"
