Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
"Keller America, Inc.",888-466-1079,https://www.kelleramerica.com/,"Newport News, VA 23606",Manufacturer,"Manufacturer of OEM, level, pressure and temperature instruments and components such as sensors, transmitters, transducers, loggers and gages. Optional accessories such as assemblies, fittings, hangers, enclosures and protectors are available. Serves the oil and gas reservoir, migrating marine mammals, medical devices and commercial aircraft industries.","Keller is a world leading manufacturer of pressure measurement instrumentation. From pressure sensors to completed transmitters, autonomous level loggers, and digital pressure gauges, Keller instruments provide proven, reliable, high accuracy solutions for applications in aerospace, automotive, oil & gas, defense, water, wastewater, groundwater, food and beverage, oceanographic, pharmaceutical, and medical industries. 

Keller America is the North American subsidiary of KELLER AG für Druckmesstechnik, and is tasked with providing local market sales on support for all Keller products. Keller America also houses a state of the art manufacturing facility for production of several versatile level and pressure transmitters, built to your specifications in only 3 short business days.",www.linkedin.com/company/keller-america-inc.?trk=biz-companies-cyf,$5 - 9.9 Mil,10-49  Employees,"Manometers: Digital
Gauges: Pressure
Gauges
Gauges: Combined Indicating & Recording
Gauges: Digital Pressure


Gauges: Fuel
Gauges: Indicating
Gauges: Liquid Level, Digital
Gauges: Low Pressure
Gauges: Measuring

View all Gages categories","All Products / Services

Sensors / Detectors / Transducers
Gages
Transmitters
Calibrators
Cold Chain Equipment
COVID-19 Response
Data Collection Systems
Data Loggers
Indicators
Instruments


Intrinsically Safe Products
Logging Equipment
Measuring Equipment
Medical Components
Medical Products and Hospital Equipment
Thermometers
Tier 2 Medical Mfg. Supplies, Materials, Components & Services
Transponders
Vaccine Cold Chain Supplies and Logistics"
RED-WHITE VALVE CORP.,877-216-1082,https://redwhitevalvecorp.com/,"Lake Forest, CA 92630",Manufacturer,"Manufacturer of balancing, ball, butterfly, gate, globe, check, hydronic and radiator valves. Made from stainless steel, brass, bronze, cast and ductile iron, polypropylene, PVC and lead-free materials. Other products such as linear actuators, boiler drains, hoses, manometers, orifice plates, strainers, tankless water heater valve kits and dielectric unions are also provided. Forging, casting and machine tooling services are also available. Serves the plumbing, commercial and HVAC industries.",,,$10 - 24.9 Mil,10-49  Employees,"Manometers: Digital


Manometers","All Products / Services

Valves
Strainers
Actuators
Circulators
Convectors
Drains
Elbows


Gages
Hose
Orifices
Plumbing Equipment
Unions
Vents"
Furness Controls,888-318-6156,https://www.furness.com/us/,"Indian Trail, NC 28079",Manufacturer,"ISO 9001:2015 certified manufacturer of leak detectors, flow measurement, differential pressure instruments and calibrators. Products also include flow meters, low pressure transmitters, transducers and micromanometers. Capabilities include calibration and repair services. Serves the aerospace, automotive, gas, medical, plumbing and energy industries.","Furness Controls is associated with and provides a complete sales, service and calibration facility for the Furness Controls Limited product line in the United States and Canada. This world leading product line includes production line leak detectors, flow meters, low pressure transmitters, transducers, calibrators, micro manometers, and a fundamental primary standard for ultra-low pressures.

Furness Controls is the industry leader in ultra low-pressure measurement. With our unique fundamental primary standard (.000004 to 160"" H2O) we are able to achieve the best accuracy at the lowest pressures in the industry.

The unique design of the Furness Controls manufactured transducer is what gives us the edge on resolution, accuracy, repeatability and speed in our production line leak detectors. With over 45 years experience the Furness Controls products cannot be out performed in our market.",,Under $1 Mil,1-9  Employees,"Manometers: Digital
Instruments: Pressure
Gauges
Gauges: Air
Gauges: Air Flow


Gauges: Air Pressure
Gauges: Differential Pressure
Gauges: Digital Pressure
Gauges: Flow
Gauges: Gas Pressure

View all Gages categories","All Products / Services

Sensors / Detectors / Transducers
Calibrators
Flowmeters
Calibration Services
Testers
Transmitters
Gages
COVID-19 Response
Indicators
Instruments


Laboratories
Laboratory Equipment
Maintenance and Repair Services
Measuring Equipment
Medical Laboratory Consumable Supplies
Medical Products and Hospital Equipment
Meters
Monitors
Testing Services
Tubes

View all products / services offered"
"PCE Americas, Inc.",844-842-6529,https://www.pce-instruments.com/f/t/us/main.htm,"Jupiter, FL 33458",Manufacturer,"Manufacturer of instruments and related products for commercial, industrial, university and research institution applications. Selection includes analytical, baby, basis weight, carat, compact portable, gold, GSM, jewelry, pharmacy, precision, spring, weighing, moisture, electronic and laboratory balances, animal weighing, approved, hand pallet truck, hanging, health, HGV, benchtop, bench counting, parcel, part counting, portioning, platform, dual display, checkweighing, controlling, container, crane, livestock, system, shipping, table top, trade approved, washdown, floor and lifter scales, measuring instruments and laboratory equipment.",,,Under $1 Mil,1-9  Employees,"Manometers: Digital
Gauges: Pressure
Gauges
Gauges: Coating Thickness
Gauges: Digital Pressure


Gauges: Force Measuring
Gauges: Industrial
Gauges: Paint
Gauges: Thickness
Gauges: Ultrasonic Thickness

View all Gages categories","All Products / Services

Flowmeters
Borescopes
Measuring Equipment
Cold Chain Equipment
Data Loggers
Meters
Vaccine Cold Chain Supplies and Logistics
Analyzers
Cameras
Instruments


Photometers
Scales
Accelerometers
Gages
Magnetometers
Alarms
Anemometers
Balances
Beams
Calibration Services

View all products / services offered"
"B & B Instruments, Inc.",800-347-9008,https://www.bbinstruments.com/,"Indianapolis, IN 46220 | Locations",Distributor,"Distributor of measurement, control and calibration equipment for pressure, temperature, flow, humidity and level instruments. Products include gages, sensors, switches, transducers, detectors, boosters, calibrators, thermometers, thermocouples, flowmeters, controllers, seals, thermowells, scanners, positioners and recorders. Testers, filters, monitors, totalizers, tachometers, nozzles, indicators, enclosures, strainers, unions, orifices, filter bags, analyzers, digital indicating meters, data loggers and modules are also offered. Suitable for water, wastewater, natural gas, power generation, metal milling, transportation, plastic forming, packaging, compressor, pump, OEM, research and development applications. Serves the pharmaceutical, petroleum, agricultural, government, food and beverage industries. Some instruments are CE certified, CSA approved and UL listed.",,,Not Available,Not Available  Employees,"Manometers: Digital
Gauges: Pressure
Boiler Gauges: Water Level
Gaging Systems
Gauges


Gauges: Air
Gauges: Air Flow
Gauges: Air Pressure
Gauges: Aircraft & Aerospace
Gauges: Automatic Control

View all Gages categories","All Products / Services

Sensors / Detectors / Transducers
Gages
Thermocouples
Cold Chain Equipment
Data Loggers
Vaccine Cold Chain Supplies and Logistics
Bags
Indicators
Regulators
Thermometers


Aerators
Annunciators
Blocks
Boosters
Calibration Services
Calibrators
Computers
Conditioners
Controls and Controllers
Converters

View all products / services offered"
Mod-Tronic Instruments Limited,800-794-5883,https://www.mod-tronic.com/,"Brampton, ON L6T5G1",Distributor,"Supplier & stocking distributor of instruments for industrial, process, medical, military, aerospace, building automation, HVAC & rotating machinery applications. Products include alarm trips, analog meter relays & panel meters, bi-metal thermostats, rotating electrical connectors, multi-channel, temperature, process, power & rotary speed controllers, current sensors, transducers, switches & transformers, data acquisition recorders, pressure gauges & transmitters, electrical power measurement, flexible circuits & heaters, handheld instruments, humidity sensors, transmitters & switches, infrared temperature sensors, scanners & thermal switches, loop power supplies, magnetic pickups, manometer, mercury contactors, position transducers, resistance temperature detectors (RTDs), signal conditioners & isolators, slip rings, solid state relays, speed switches, square root extractors, tachometers, temperature indicators, temperature & process monitors, thermocouples, timers & valve positioners.","When quality and performance are as important as price... You can count on our proven brands!

This has been our company motto since 1972 and 50 years later we pride ourselves more than ever on providing our customers with quality products at competitive prices.

We are an authorized stocking distributor of 14 leading manufacturers (Absolute Process Instruments, Camille Bauer, Cecomp Electronics, Dwyer, Dynalco, Exergen, Love Controls, Mercotac, Minco, Shinko, Simpson, Veris) of industrial/commercial sensors, transducers, heaters, flex-circuits and instrumentation. We are very proud to say that the majority of the products we sell are Made in the USA.

Our sales force has over 80 years of combined experience solving our customers unique and diverse application challenges. We have earned a valued reputation in our industry for working with our customers. We take the time necessary to fully understand your application, analyze your requirements and offer you the correct products at competitive More... prices.

 We stock thousands of catalog items for same day shipment to anywhere in North America and most countries around the world. Don't see the exact product you require? Tell us what you need, most of our manufacturers offer custom built solutions to meet your exact requirements.

 Thank you for taking the time to learn more about our company. We are proud of the excellent products and service that we offer and we would appreciate the opportunity to work with you and your company. Less",www.linkedin.com/company/2854259,$1 - 4.9 Mil,1-9  Employees,"Manometers: Digital
Gauges
Gauges: Absolute Pressure
Gauges: Alarm
Gauges: Compound


Gauges: Differential Pressure
Gauges: Digital Pressure
Gauges: Dwyer
Gauges: Electronic
Gauges: Force Measuring

View all Gages categories","All Products / Services

Sensors / Detectors / Transducers
Heaters
Actuators
Adapters
Alarms
Amplifiers
Automation Systems
Automotive Parts
Barriers
Calibrators


Cells
Circuits
Cold Chain Equipment
Conditioners
Connectors
Contactors
Controls and Controllers
Counters
COVID-19 Response
Data Acquisition Systems

View all products / services offered"
Vacuum Research Corporation,800-426-9340,https://www.vacuumresearch.com/,"Pittsburgh, PA 15222",Manufacturer,"Manufacturer of vacuum products including pumps, flanges, valves, gauges, and manometers. Other products such as clamps, adapters, reducers, elbows, tees, filters, sorbents, traps, and nipple fittings are also available. RoHS compliant.","About Vacuum Research Corp.

Vacuum Research Limited has over 50 years of experience manufacturing quality products for High Vacuum applications. We offer oil-free vacuum pumps, rotary vane vacuum pumps; pirani, thermocouple, diaphragm, convection gauges; and stainless steel and aluminum high vacuum valves. Our products are supported by full warranties and VRL's commitment to customer service and satisfaction.",,$5 - 9.9 Mil,10-49  Employees,"Manometers: Digital
Gauges
Gauges: Absolute Pressure
Gauges: Differential Pressure
Gauges: Digital Pressure


Gauges: Leak Detector
Gauges: Low Pressure
Gauges: Pirani
Gauges: Pressure
Gauges: Refrigeration

View all Gages categories","All Products / Services

Pumps
Absorbers
Adapters
Bell Jars
Bellows
Caps
Chambers
Clamps
Controls and Controllers
Crosses


Cylinders
Elbows
Eliminators
Filters
Fittings
Gages
Hose
Indicators
Instruments
Jars

View all products / services offered"
Digivac,855-541-0152,https://www.digivac.com/,"Morganville, NJ 07751",Manufacturer,"Manufacturer of vacuum instruments and scientific controllers. Products include vacuum gauges, vacuum controllers, vapor pressure controllers, pumps, filters and traps. Accessories include sensors, adapters, flanges, vacuum fittings, protective cases, hoses, vacuum greases, test ports, hose clamps and siphons. Provides software to monitor, control and analyze the vacuum pressure readings. Suitable for manufacturing, scientific, laboratory, research, botanical processing, and cryogenic applications. Serves the power, semiconductor, HVAC, marine and medical industries. One year warranty available.","At DigiVac, we are the home of vacuum engineering excellence. 

We thrive on innovation and engineer vacuum solutions that are functional, durable and state of the art. Our deep understanding of research and processing applications delivers measurement and control instruments you can rely on. We design and manufacture vacuum measurement and control solutions for all applications in rough vacuum, process vacuum, industrial vacuum and research and development. We have been delivering quality American made scientific instruments for over 35 years.

Our flagship products are:

The patented Bullseye precision gauge--portable and precise vacuum gauge that gives you visual graphics and the option of remote monitoring.

StrataVac line of products is an expandable vacuum gauge and controller that can monitor and control your vacuum system at one point on up to 4 points in your system.

VPC | vapor pressure controller is the ideal pressure controller to precisely process, extract, and isolate distillate More... in industrial, solvent recovery, and research applications.

 The model 200 is a wide-range laboratory grade vacuum gauge that measures through 6 decades of wide range rough vacuum.

 We offer calibration services. Including NIST calibration with traceable data.

 We offer OEM and custom gauges and have a team of engineers on staff that have a wealth of vacuum and temperature experience to help you tackle tough vacuum questions.

 Not sure where to start with getting the tools you need for vacuum applications? Call us. Our team of engineers can assist you in finding the right equipment to help solve your problem. Less",www.linkedin.com/company/digivac,$1 - 4.9 Mil,10-49  Employees,"Manometers: Digital
Gauges: Vacuum
Gauges
Gauges: Absolute Pressure
Gauges: Alarm


Gauges: Cold Cathode
Gauges: Combined Indicating & Recording
Gauges: Cryogenic
Gauges: Custom
Gauges: Digital Pressure

View all Gages categories","All Products / Services

Controls and Controllers
Gages
Adapters
Calibration Services
Cases
Clamps
Cold Chain Equipment
Cryogenic Equipment
Eliminators
Engineering Services


Exhaust Systems
Exhausters
Filters
Fittings
Freezers
Grease
Hose
Instruments
Interfaces
Laboratories

View all products / services offered"
"Aerospace Control Products, Inc.",800-845-0927,http://www.acpi-aero.com/index.html,"Davenport, IA 52806",Manufacturer,"ISO 9001:2008 and AS9100C certified manufacturer of standard and custom pressure and liquid level switches. Gage, barometric, rolling and flat diaphragm, differential and hydraulic pressure and horizontal and vertical liquid level switches are available. Applications include aircraft, military electronics and vehicle, nuclear power plants, high value machine tool devices and railroad equipment. Repair services are offered. FAA approved. On-time delivery.",,,$1 - 4.9 Mil,10-49  Employees,Manometers: Digital,"All Products / Services

Aircraft Parts
Calibrators
Flowmeters
Gages
Ground Support Equipment


Indicators
Oxygen Systems
Sensors / Detectors / Transducers
Stands
Switches"
"CME, a division of Aerospace Control Products",800-845-0927,http://www.cmeflow.com,"Davenport, IA 52806",Manufacturer,"Manufacturer of standard and custom laminar gas flowmeters, gas flow calibrators, oxygen test stands and laminar flow elements. Types of flowmeters include digital, analog and portable digital flowmeters. Gas flow calibrators such as portable calibrators and laboratory calibrators are available. Applications include military and industrial calibration laboratories. NIST traceable.",,,Not Available,Not Available  Employees,Manometers: Digital,"All Products / Services

Benches
Calibrators
Flowmeters
Gages
Indicators
Measuring Equipment
Military Equipment


Oxygen Systems
Sensors / Detectors / Transducers
Stands
Tables
Testers
Totalizers"
