Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
"DoorKing, Inc.",855-793-4422,https://www.doorking.com/,"Inglewood, CA 90301 | Locations",Manufacturer,"Manufacturer of access control systems and products including telephone entry systems, digital keypads, electric or magnetic locks, power inverters, card readers and gate operators. Barrier gates, lane barriers, traffic spikes, warning signs and signals are also offered. Accessories such as elevator control boards, push buttons, lock boxes, mounting posts, camera or handset kits, keypads, time clocks, surge suppressors, transformers, loop detectors, software and V-wheels available. Serves the building, self-storage, apartment and college hall, commercial, security and traffic control industries. Made in the USA.","DKS DoorKing, Inc. is one of the largest and oldest manufacturers of access control and vehicular gate operator systems in the United States. Based in Inglewood, California since the company was founded in 1948, DKS operates from seven buildings and is located less than 3-miles from Los Angeles International Airport (LAX). These buildings include our corporate headquarters, manufacturing, warehousing and shipping and receiving facilities. Additionally, we maintain 14 outside sales offices located throughout the country.",www.linkedin.com/company/doorking-inc-,$25 - 49.9 Mil,100-199  Employees,"Access Control Systems
Controls: Radio Remote
Traffic Control Devices
Wireless Remote Controls
Access Control Systems: Integrated


Access Control Systems: Proximity
Card Access Systems
Control Systems
Control Systems: Industrial
Controllers

View all Controls and Controllers categories","All Products / Services

Gates
Controls and Controllers
Device Operators
Barriers
Speed Bumps
Sensors / Detectors / Transducers
Identification Products
Identifiers
Power Supplies
Hinges


Kiosks
Pads
Adapters
Amplifiers
Answering Machines
Antennas
Assemblies
Badges
Bases
Boards

View all products / services offered"
"Long Fence, Inc.",866-966-4337,https://www.longfence.com/,"Capitol Heights, MD 20743 | Locations",Custom Manufacturer,"Custom manufacturer and installation of fences, gates, decks, railings and ironworks for residential and commercial applications. Types of fences include wood, vinyl, ornamental iron, aluminum, chain link, deer and agricultural fences. Types of gates include swing, slide, barrier arm, lift parking lot, cantilever slide, overhead track, vertical lift, roller and anti-crash gates. Types of railings include hand, window, balcony, safety, guard, pipe and stair railings. Awnings, barricades, bollards, cages, enclosures, gazebos, pavilions, screens, sunrooms and trellises are also available. Services include rental, architectural drawing, inspection, hauling, installation, repairing, project planning, designing, cost analysis, quality control, project management and maintenance. EPA certified. One year warranty.","Long® Fence, a nationally recognized commercial fencing contractor, provides perimeter security and access control products to business, industry and the government. Our name has become synonymous with quality products and dependable service since 1945.

At Long® Fence, we furnish and install commercial fencing and related products to fit all types of job requirements, from aesthetic applications to maximum-security or K-rated projects. We offer a variety of other amenities to increase the usability, functionality and protection of your environment.

Long® Fence plans, designs and constructs fence, crash barriers, gate and bollard systems rated K-4 to K-12 to provide security for the most critical sites. Non-rated systems are available for private industry and commercial sites that require anti-climb and anti-ram protection.

Our team of designers, craftsmen, installers and safety and quality control experts supports your dedicated project manager. We are committed to excellence in the design, More... execution, warranty and maintenance of your project. Less",www.linkedin.com/company/long-fence,$250 Mil. and over,200-499  Employees,Access Control Systems,"All Products / Services

Rails
Fences
Gates
Barricades
Controls and Controllers
Arbors
Arches
Awnings
Barriers
Benches
Bollards
Brackets
Cages
Canopies


Columns
Conservatories
Covers
Decks
Device Operators
Dividers
Docks
Doors
Enclosures
Engineering Services
Fittings
Gazebos
Goals
Grilles

View all products / services offered"
CardLogix Corporation,877-895-1728,https://www.cardlogix.com/,"Irvine, CA 92618",Custom Manufacturer,"Manufacturer of standard and custom magnetic stripe, blank, secure, holofoil and smart cards made from printed plastic material. Dual interface, contactless or RFID, JAVA, memory, contact, hardware security module (HSM), and microprocessor smart cards are available. Biometric solutions (tablet and desktop devices) for enrolment, validation (AFIS) And verification, devices, cameras, signature pads, ID document scanners and printers are also offered. Custom options are also provided. Serves the gaming, hospitality, healthcare, telecommunication, ticketing and transportation industries.","Since 1998, CardLogix has supplied millions of cards and card components to over 83 countries around the world. CardLogix is continuously at the forefront of smart card technology providing innovative solutions to governments and organizations that need strong front end authentication, identification, secure transactions, protected data storage and more.

Experts in smart card technology and infrastructures.

Committed to the highest industry and security standards.

Extensive partnerships for complementary infrastructure components.

Innovative products and solutions that simplify and accelerate smart card system deployments.

Differentiated technology with lower costs.

Continuous customer support and involvement with evolving card projects.

Only smart card manufacturers with their own operating system for 100% security.",www.linkedin.com/company/cardlogix-corporation,Not Available,Not Available  Employees,"Access Control Systems
Access Control Systems: Biometric
Card Access Systems
Access Control Systems: Facial Recognition
Access Control Systems: Fingerprint


Control Systems
Control Systems: Custom
Control Systems: Industrial
Controllers
Controllers: Industrial

View all Controls and Controllers categories","All Products / Services

Cards
Controls and Controllers
Biometric Devices
Security Systems
Attendance Systems
Barcode Systems
Cameras
Identification Products


Identifiers
Pads
Printers
Ribbons
Scanners / Readers
Software
Tablets"
"I2 Security Solutions, Div. of Time and Parking Controls",800-331-4265,https://i2securitysolutions.com/,"Upper Darby, PA 19082",Turnkey Systems Integrator,"Integrator of parking/access controls, building security systems, video surveillance and time management solutions. Integrated building security control systems, visitor management systems, employee & Visitor identification systems, turnstiles & emergency mass notification systems. Access control systems with wireless locks, biometric readers, scalable access control software systems, employee database information integration & historical reporting systems, auxiliary related systems & employee photo/visitor identification systems are available. Types of video surveillance products include analog & Internet protocol (IP) video cameras, DVR's and NVR's. Gates such as barrier lift arm gates, slide gates & swing gates are available. Design, integration, installation & maintenance services are available. Markets served include government, hospital, life care, manufacturing, educational, utilities, hospitality & finance.","I2 Security Solutions has earned an excellent reputation over the past 30 years while providing customers with parking, security and time keeping products.

Our new name comes with a change in ownership and more clearly represents our company going forward as a complete security systems integration provider. While our name and look have changed, we continue to support our clients with the management, office, sales and service teams that our clients have come to know and trust.

Going forward, i2 Security's motivation will remain true to the customer centric focus the organization was built on while working diligently to align with best of breed manufacturers and strategic alliance partners.

As a security systems integration provider, we offer sales consulting, system design/build with installation and support from a single source. Our dedication to building and maintaining long lasting business relationships, along with our experience and knowledge enables us to provide the most advantageous More... solutions to our customers. Less",www.linkedin.com/company/i2-security-solutions/,$1 - 4.9 Mil,10-49  Employees,"Access Control Systems
Access Control Systems: Biometric
Card Access Systems
Access Control Systems: Fingerprint
Access Control Systems: Integrated


Access Control Systems: Proximity
Barcode Access Controls
Controls and Controllers: Panasonic
Controls: Access
Controls: Time

View all Controls and Controllers categories","All Products / Services

Gates
Cameras
Controls and Controllers
Parking Lot Products
Doors
Security Systems
Barriers
Cards
CCTV Equipment
Identification Products


Identifiers
Monitors
Alarms
Attendance Systems
Automation Services
Badges
Barcode Systems
Booths
Clocks
Consulting Services

View all products / services offered"
"Industrial Plastic Supply, Inc.",855-756-1042,https://iplasticsupply.com/,"Anaheim, CA 92806-6104",Distributor,"Specializing in engineered, mechanical and high performance plastic sheet, rods and tubes. Our in stock product range includes: ABS, Acetal, Acrylic, Delrin, HDPE, High Pressure Laminates, High Impact Styrene, Kynar, LDPE, Noryl, Nylon, PBT, PEEK, PET, PETG, Phenolic, Polycarbonate, Polyethylene, Polypropylene, PVC, PVDF, Polysulfone, PTFE, Radel, Sunboard, UHMW and Ultem. Some generic plastic callouts include: High Density Polyethylene, Low Density Polyethylene, Polyester, Polyvinylidene Fluoride, Polypropylene, Polysulfone, Polyetheretherketone, Polyphenylene Oxide, Polyethylene Terephthalate, Polyimide, Polyamide, Polybutylene Terephthalate, Polyethylene Terephthalate Glycol, Acrylonitrile Butadiene Styrene, Poly Vinyl Chloride, Polytetrafluoroethylene, Ultra High Molecular Weight Polyethylene, and many more. All materials are available in various forms such as sheet, rod, tube, film, block, panel, bar, slab and strip. Materials can be machined and fabricated and most are also thermoformable, paintable, heat/vacuum formable, bondable and weldable. Call us for details on the materials you are interested in. Our products are suitable for many applications, including: bearing, bushing, fluid sensor, chemical processing, electrical housing, semiconductor components, food equipment applications, and many more. We are ISO 9001:2015 Certified. Most items available in stock. Meets NAFTA standards and we our materials are RoHS compliant. All of our Performance Plastics are made in the USA.","We have been servicing business since 1975. With one of the largest experienced staffs on the planet. We have a combined 125 + years of plastic industry experience to serve you. Our employees are the most knowledgeable in the industry. With an average experience level of over 21 years, our sales team can answer your tough questions quickly.

We are located in Anaheim, California (Very near Disneyland and Edison Field - Angels stadium).

Our massive inventory enables us to process and ship most orders the same day.

Industrial Plastic Supply, Inc. was started to service the small to medium sized machine shop and has grown to one of the largest plastic supply houses on the West Coast. We supply a widely varying customer base including many plastic distributors nationwide. Industrial Plastic Supply has the size and variety of plastic to suit your need.

We are proud to be certified as ISO 9001:2015, and our quality processes have been ISO certified since 2015.",www.linkedin.com/company/2378800/,$5 - 9.9 Mil,10-49  Employees,Access Control Systems,"All Products / Services

Polyethylene (PE)
Polytetrafluoroethylene (PTFE)
Acetal
Nylon
Polypropylene (PP)
Acrylic
Polyurethane
Plastics
Miscellaneous Plastics
Polycarbonate
Acrylonitrile Butadiene Styrene (ABS)
Additive Manufacturing Materials
COVID-19 Response
Tier 2 Medical Mfg. Supplies, Materials, Components & Services


Polyvinyl Chloride (PVC)
Polyetheretherketone (PEEK)
Polyvinylidene Fluoride (PVDF)
Polyamide-Imide (PAI)
Polysulfone (PSU)
Ethylene Chlorotrifluoroethylene (ECTFE)
Polyester
Polyethylene Terephthalate (PET)
Polyimide
Polyphenylene Oxide (PPO)
Polyphenylene Sulfide (PPS)
Polystyrene (PS)
Micarta®
Polybutylene Terephthalate (PBT)

View all products / services offered"
Re:Build Optimation,855-933-4061,https://www.optimation.us/,"Rush, NY 14543-9746 | Locations",Service Company,"ISO 9001:2015 certified. Design, fabrication and installation of automation systems, test equipment, control systems, machinery, conveyors, machine vision systems, skids and panels. Various capabilities include bending, shearing, cutting, forming, stamping, rolling, flanging, machining and welding. Engineering, consulting, repair, millwright, relocation, rigging, project management and maintenance services are also available. Additional services such as assembly, finishing, painting, polishing, prefinishing and structural steel erection provided. Prototype and low to high volume production runs offered. Serves the automotive, aerospace, oil, gas, chemical, film, plastic, food, beverage, glass and ceramic industries.","The next time you see an insulin pump, COVID vaccine, DNA test, or you put gas in your car, get an X-ray, buy fresh avocados, get bloodwork, or put in a new battery for a smoke detector, you are seeing something that was affected by an optimation professional's expertise.

Can your service provider:

Conceptualize, engineer and design your process or product?

Fabricate, test and install your equipment?

Manage construction and startup/commissioning?

Automate and integrate upgrades into your existing plant?

Document and train for future maintenance?

Integrate with plant and enterprise data systems?

Support and maintain your facility?

... all as one company?

We can.",www.linkedin.com/company/237948?trk=NUS_CMPY_FOL-pdctd,$50 - 99.9 Mil,200-499  Employees,"Access Control Systems
Motion Control Systems
Boiler Control Systems
Building Controls: Open Systems
Control Systems


Control Systems: Agricultural
Control Systems: Air Compressor, Smart Sequencer
Control Systems: Autoclave
Control Systems: Bridge Lighting
Control Systems: Chemical Vapor Deposition (CVD) & Chemical Vapor Infiltration (CVI)

View all Controls and Controllers categories","All Products / Services

Integration Services
Process Machinery
Engineering Services
Panels
Maintenance and Repair Services
Millwrights
Testers
Vessels
Contractors
Accumulators


Automation Systems
Controls and Controllers
Converting Machinery
Handling Equipment
Manufacturing Services
Pallets
Relocation Services
Research, Design and Development Services
Alignment Services
Assembly Machinery

View all products / services offered"
"American Products, Inc.",800-486-2741,https://www.americanproductsinc.com/,"York, PA 17406",Custom Manufacturer,"Electronic contract manufacturer and custom electronic design firm. Services include wire and cable assembly, printed circuit board assembly via SMT (surface mount technology), through hole technology and mixed hybrid (SMT and through hole) technology. Capabilities include in-house designing, product development, system integration, prototyping, wiring, testing, turnkey and lean manufacturing, labeling, potting, conformal coating, clean room assembly, custom packaging and shipping. Custom electronic designing, software and hardware development services are offered. Wire harness and cable manufacturing services are also available. Suitable for industrial, medical, communications, robotics, transportation, computer, automation, power management, defense and aerospace industries. One year limited warranty available. RoHS compliant. CSA and UL listed.","American Products, Inc. (API) was established in 1983, and has gained a reputation for excellence and professionalism in the industrial electronic business. We have built our business on customer service, flexibility and the highest quality standards. 

 With our sales, engineering and manufacturing facilities we are able to offer a totally integrated solution to your project. This turnkey approach offers a single source solution for product design from prototyping through production. 

 American Products Inc. specializes in printed circuit board design and manufacturing as well as cable and harness assembly, panel and chassis assembly. Our engineering staff is continually improving our processes and standards to insure that API is on the cutting edge of technology. 

 American Products Inc. has been ISO certified since 1997 and currently is ISO 9001-2008 certified. Our mission is to satisfy our customers with quality products on time with the commitment to promoting customer confidence in More... our ability to meet future expectations. We will attain our goals for customer satisfaction through the dedication and teamwork of our employees. Less",,$10 - 24.9 Mil,50-99  Employees,"Access Control Systems
Control Equipment & Components
Control Systems
Control Systems: Custom
Control Systems: Industrial


Control Systems: Machine Tool
Control Systems: OEM
Controllers
Controllers: Access Power
Controllers: Bus

View all Controls and Controllers categories","All Products / Services

Manufacturing Services
Printed Circuit Boards
Research, Design and Development Services
Assemblies
Assembly Machinery
Assembly Services
Chips
Coating Services
Communication Systems
Controls and Controllers


Displays
Electric Wire, Cable and Cable Assemblies
Electromechanical Devices
Electronic Components
Electronics
Emergency Power & Lighting Supplies
Enclosures
Engineering Services
Forming Services
Hardware

View all products / services offered"
Advanced Energy Management Ltd.,844-339-2508,http://www.aemltd.com/,"Dartmouth, NS B3B0B1 | Locations",Turnkey Systems Integrator,"Design, fabrication and installation of commercial and industrial control systems. Types of control systems include boiler, chiller, burner, combustion, security access and fume hood. Building automation systems, HVAC energy management systems, video surveillance systems, energy conservation equipment and industrial water heaters are available. Energy plant contracting and emissions monitoring services also provided. Suitable for universities, hospitals, production and processing facilities, agricultural facilities and fish plants.",,,Not Available,Not Available  Employees,"Access Control Systems
Boiler Control Systems
Controls: Combustion
Controls: HVAC
Energy Management Controls: HVAC


Boiler Controls
Combustion Control Systems
Control Systems
Control Systems: Industrial
Controllers

View all Controls and Controllers categories","All Products / Services

Controls and Controllers
Boilers
Conservation Equipment
Engineering Services
Heaters
HVAC Equipment
Management Systems
Monitoring Services


Automation Systems
Chillers
Cogeneration Systems
Contractors
Integration Services
Sensors / Detectors / Transducers
Surveillance Equipment"
"Nixalite of America, Inc.",877-822-0473,https://www.nixalite.com/,"East Moline, IL 61244",Manufacturer,"Manufacturer and distributor of humane pest bird and wildlife control products. Products include bird spikes, bird netting, traps, screens, guards, repellents, deterrents, fogging equipment and much more.","Nixalite of America Inc invented and patented the world's first bird spike in 1950. Today we offer an impressive line of quality products for the pest bird and wildlife control industry. Planning and product support services are available to anyone interested in specifying, quoting or installing any of the Nixalite bird and animal control products. Please contact us for more information.",www.linkedin.com/company/3923276/,$1 - 4.9 Mil,10-49  Employees,"Access Control Systems
Controls: Access


Odor Control Systems","All Products / Services

Nets and Netting
Generators
Pest Control Services
Repellents
Barriers
Control Products
COVID-19 Response
Disaster Preparedness Supplies
Disinfectants
Disinfectants, Sanitizers, Soap and Cleaners
Hurricane Response
Air Filtration Equipment & Supplies
Anchors


Antimicrobials
Bolts
Brackets
Chargers
Chemicals
Clamps
Cleaning Compounds and Chemicals
Clips
Coatings
Connectors
Controls and Controllers
Cord and Cordage
Cutters and Cutting Machinery

View all products / services offered"
Protogetic,858-222-7447,https://protogetic.com/,"Dover, DE 19901",Distributor,"Distributor of protective security products. Products include vehicle barriers, windows, security gates, turnstiles, doors, revolving entrances, fences, modular buildings, booths, bullet and blast resistant panels, and access control systems. Applications include multi­level parking garages, warehouses, and military.",,,Not Available,Not Available  Employees,Access Control Systems,"All Products / Services

Barriers
Buildings
Doors
Fences
Gates
Glass
Houses
Windows
Battens
Bollards


Booths
Controls and Controllers
Entrances
Hurricane Response
Infrastructure Protection Supplies
Louvers
Panels
Turnstiles
Walls"
