Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
Trinity Electronics Systems Ltd.,888-687-0419,https://trinity-electronics.com/,"Edmonton, AB T5S1K8",Custom Manufacturer,"Manufacturer of standard and custom electronics. Offers simple to complex project and printed circuit board CAD design, engineering, and development with a variety of manufacturing capabilities such as PCB assembly, metal fabrication, and wave soldering. Products include power transducers, audio boards, amplifiers, light sequencers, industrial timers and controls, and rated power supplies. Distributor of infrared, temperature, pressure, and humidity sensors and right angle headers. Available in a variety of models, materials, and sizes. Industries served include petrochemical, oilfield service, mining, power generation and transmission, and professional audio. Product modifications, upgrades, and warranty repairs are available.",,,Under $1 Mil,10-49  Employees,"Digital Audio Systems


Audio Equipment & Supplies","All Products / Services

Research, Design and Development Services
Engineering Services
Printed Circuit Boards
Consulting Services
Amplifiers
Assemblies
Assembly Services
Audio Visual (AV) Equipment
Batteries
Boards
Cages
Cards
Cases
Chargers


Communication Systems
Controls and Controllers
Converters
Corrosion Resistant Products
COVID-19 Response
Data Acquisition Systems
Distribution Systems
Electronics
Gages
Headers
Heaters
Instruments
Intercoms
Interfaces

View all products / services offered"
"Meridian Technologies, Inc.",516-285-1000,https://www.meridian-tech.com/,"Elmont, NY 11003",Manufacturer,"Manufacturer of digital fiber optic transmission products and network management systems. Products such as data modems, audio and contact closures, Ethernet transceivers and switches, media converters, power supplies, video, audio and data systems are available.",,,$1 - 4.9 Mil,10-49  Employees,"Digital Audio Systems
Audio Equipment & Supplies
Audio Visual (AV) Equipment & Supplies


Video Equipment & Supplies
Video Transmission Systems","All Products / Services

Adapters
Audio Visual (AV) Equipment
Converters
Management Systems
Modems


Modules
Optics
Switches
Transceivers
Transmissions"
Projectus,888-268-8267,https://www.projectus.com/,"Portland, OR 97224",Turnkey Systems Integrator,"Turnkey systems integrator of audio visual systems for commercial, education, house of worship and residential applications. Capabilities include design and installation of conference rooms, training rooms, audio systems, control systems, digital signage, projectors, panels, document cameras, projection systems, monitors, packages, screens, home theater systems, automation systems and structured wiring.",,,Not Available,Not Available  Employees,"Digital Audio Systems


Audio Visual (AV) Equipment & Supplies","All Products / Services

Audio Visual (AV) Equipment
Automation Systems
Cameras
Conference Room Equipment
Controls and Controllers
Electric Wire, Cable and Cable Assemblies
Home Theater Systems


Integration Services
Monitors
Panels
Projectors
Screens
Signs"
Jones Audio,785-776-1499,https://jonesaudio.net/,"Manhattan, KS 66502",Service Company,"Service Company Providing Audio System Design, Consulting, Service, Repair & Sales.  Services And Products Include Sound Systems, Amplifiers, Microphones, Speakers, Piublic Address Systems, Sound Reinforcement, Mixers, Equalizers, Wireless Mics, Installat",,,Under $1 Mil,1-9  Employees,Digital Audio Systems,"All Products / Services

Audio Visual (AV) Equipment


Public Address (PA) Systems"
"Laservision World, Inc.",323-730-5050,https://www.laservisionworld.com/,"Los Angeles, CA 90007",Turnkey Systems Integrator,"Design, build and installation of audio-video and lighting systems. Products such as mixers, consoles, speakers, woofers, amplifiers, podiums, controllers, light panels, projectors, monitors and tripods are available. Markets served include commercial and public sectors.",,,Not Available,Not Available  Employees,"Digital Audio Systems


Audio Visual (AV) Equipment & Supplies","All Products / Services

Amplifiers
Audio Visual (AV) Equipment
Installation Services
Integration Services
Lights


Mixers
Monitors
Podiums
Projectors
Speakers"
"Southern Cal Telecom, Inc.",800-338-1966,https://socaltel.com/,"Lakeside, CA 92040",Turnkey Systems Integrator,"Design, install and maintain audio and video systems for commercial applications. Products include phone, voicemail, transmission media, projection and paging systems, security cameras, fiber optics, network, data and coaxial cabling, and communications network.",,,$1 - 4.9 Mil,10-49  Employees,Digital Audio Systems,"All Products / Services

Audio Visual (AV) Equipment
Cameras
Communication Systems
Distribution Systems
Electric Wire, Cable and Cable Assemblies
Integration Services
Network Equipment
Networks


Optics
Pagers
Projectors
Telephone Systems
Telephones
Transmissions
Voice Message Systems"
"Field Shop, Inc.",866-400-4535,https://fieldshop.com/TFS2/,"Little Rock, AR 72209",Turnkey Systems Integrator,"Design, build and installation of broadcast systems, education systems, house of worship systems and mobile unit TV system. Products include television system, audio and video systems and lighting systems.",,,Under $1 Mil,1-9  Employees,"Digital Audio Systems
Audio Equipment & Supplies


Audio Visual (AV) Equipment & Supplies
Video Equipment: Broadcasting","All Products / Services

Audio Visual (AV) Equipment
Broadcasting Equipment
Installation Services
Integration Services


Lights
Mobile Units
Televisions"
Landmark Audio/Video,910-686-2252,https://landmarkaudiovideo.com/,"Hampstead, NC 28443",Turnkey Systems Integrator,"Turnkey systems integrator of home automation systems. Capabilities include design and installation of home theater systems, distributed audio and video systems and TV mounting systems.",,,Not Available,Not Available  Employees,Digital Audio Systems,"All Products / Services

Audio Visual (AV) Equipment
Automation Systems


Home Theater Systems"
AV Group,516-823-9494,https://www.avgroupny.com/,"Lynbrook, NY 11563 | Locations",Service Company,"Audio, video, and lighting equipment rental and services for production and presentation needs. Equipment rentals include event and venue lighting, sound reinforcement, HD and LCD projection, staging, digital sound boards, LCD and plasma screens, special effects, video switching, podiums, pipe & drape, video walls, speaker systems, and more. Services include technical planning, rigging, project management, and production directing. Suitable for various types of events, including meetings, conferences, concerts, theaters, parties, presentations, conventions, permanent and temporary installations, clubs, web casts, fundraisers, weddings, stores, and more.","Anyone who has hosted a large corporate event, social gathering, or concert knows how important superior audiovisual coordination is to success in event production! At AV Group, our reputation for innovation is just one reason we're a leading AV Company in New York and beyond.

In the AV world, technological expertise matters. AV Group uses the best equipment to jumpstart your event, then we combine it with top sound engineers, lighting designers, and producers who make it their personal mission to focus on your needs, from simple to spectacular.

Look to AV Group for event solutions and key services:

Equipment rentals

Corporate events equipment sales

Staging for webcasts and other productions

Power Point, special effects, and more

Let AV Group craft the event production at your next gathering, large or small. Contact us for more information on our audiovisual services and pricing. Your success is our success call today.",,Not Available,10-49  Employees,"Digital Audio Systems
Amusement Digital Audio Systems
Audio Equipment & Supplies
Audio Visual (AV) Equipment & Supplies


Sound Systems
Video Equipment & Supplies
Video Equipment: Broadcasting
Wireless Audio Products","All Products / Services

Aids
Amplifiers
Audio Visual (AV) Equipment
Boards
Booths
Borders
Bridges
Bulbs
Cameras
Communication Systems
Conferencing Equipment


Conferencing Services
Consoles
Consulting Services
Controls and Controllers
Convention and Meeting Equipment
Crossovers
Displays
Distribution Systems
Draperies
Editing Equipment
Engineering Services

View all products / services offered"
Dal Media Solutions Inc,623-374-9200,https://dal-media.tv/,"Carefree, AZ 85377",Turnkey Systems Integrator,"Systems integrator of multimedia communication systems for government agencies and universities. Products include television, radio, command and control, broadcast, VTC, CCTV, visual and distance learning centers, studio lighting, audio video, security and satellite receiving systems and design conference rooms.",,,$1 - 4.9 Mil,10-49  Employees,"Digital Audio Systems


Audio Equipment & Supplies","All Products / Services

Audio Visual (AV) Equipment
CCTV Equipment
Communication Systems
Conference Room Equipment
Disaster Preparedness Supplies
Hurricane Response
Integration Services


Lights
Monitoring Systems
Networks
Radios
Receivers
Security Systems
Televisions"
Audio visual design Consultants,888-831-0144,https://avdcav.com/,"Washington, DC 20007",Turnkey Systems Integrator,"Design, installation and integration of audio, video and communication systems. Products include projection screens, projectors, displays, monitors, mounts, video wall, digital signage, speakers, microphones, podium, racks and accessories. Services include design and installation, consulting, training, maintenance, project management, cabling, documentation and engineering. Markets served include offices, residential and commercial industries.",,,Not Available,Not Available  Employees,Digital Audio Systems,"All Products / Services

Audio Visual (AV) Equipment
Cameras
Communication Systems
Controls and Controllers
Displays
Electric Wire, Cable and Cable Assemblies
Furniture
Installation Services
Integration Services
Lecterns
Microphones


Monitors
Mounts
Panels
Podiums
Projectors
Racks
Screens
Signs
Speakers
Switches
Telephone Systems"
4M Connect,908-864-4377,https://4mconnect.com/,"Bound Brook, NJ 08805",Turnkey Systems Integrator,"Systems integrator of wire networks. Offers cabling, fiber optic, audio, video, phone, and security networks, as well as sound masking systems. Also offers data and server room cleanup, network troubleshooting, design, cabling, installation, maintenance, repair, data recovery and backup, electrical, network, and data services.",,,Not Available,Not Available  Employees,"Digital Audio Systems


Sound Systems","All Products / Services

Audio Visual (AV) Equipment
Electric Wire, Cable and Cable Assemblies
Masks


Networks
Security Systems
Telephone Systems"
