Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
"Columbia Weather Systems, Inc.",866-625-8620,https://columbiaweather.com,"Hillsboro, OR 97124-7135",Manufacturer,"Manufacturer of weather stations for fixed-mount, portable, and vehicle-mount installations for industry and government agencies worldwide. Model options include all-in-one and modular sensor configurations. Monitoring options include software, stand-alone display console, and/or Weather MicroServer for Internet-ready weather data and industrial protocols. Technical support available.","Columbia Weather Systems: Our professional weather stations offer immediate weather data for operational decisions.

 Sensor selection, both all-in-one and modular systems available.

 Monitoring options: software, stand-alone touchscreen display, Internet, PLC, industrial protocols.

 Fixed-mount, portable, vehicle-mount configurations.

 Priced in the $3,000 to $10,000 range.

 Small business with personal service and great customer support.",www.linkedin.com/company/columbia-weather-systems-inc-/,$1 - 4.9 Mil,1-9  Employees,"Barometers: Digital


Barometers","All Products / Services

Stations
Instruments
Anemometers
Barometers
Fire Fighting Equipment
Forestry Equipment
Gages
Geophysical Equipment
Hygrometers
Indicators
Measuring Equipment


Meters
Monitoring Systems
Monitors
Oil and Gas Field Equipment
Other Fire Fighting Equipment
Recorders
Sensors / Detectors / Transducers
Thermometers
Tripods
Velocimeters
Wildfire Response"
Kestrel Instruments,800-784-4221,https://kestrelinstruments.com/,"Boothwyn, PA 19061",Manufacturer,"Manufacturer of environmental measuring devices, including weather meters, data loggers, heat stress monitors, and trackers. Select products can measure up to 20 different meteorological parameters, including temperature, wind speed, fire, agricultural, and racing weather, heat index, dew point, pressure, altitude, and humidity. Products are drop, dust, and waterproof and can withstand harsh-environments. Compatible with smart phones and USB-wired products. Suitable for agricultural, ballistics, firefighting, heat stress management, hunting, fishing, industrial, military, research, outdoor recreation, and meteorological applications.","At Kestrel we've been researching, designing, manufacturing and distributing our weather & environmental meters for more than 20 years. Our team of experts and engineers are determined to make the most accurate and reliable handheld weather devices available. We are continuously dedicated to researching ways to improve the Kestrel line and create new products to meet our customers' needs.

Every single Kestrel Weather & Environmental Meter is calibrated for every single value, either directly against NIST-traceable standards or against an intermediary standard calibrated daily. Every unit is shipped with a FREE Certificate of Conformity that states what calibrations were performed, and the certified performance specifications. What does that mean for you? You can be absolutely sure that your weather readings are accurate to the stated specifications. Some competing weather instruments claim the same specifications as Kestrel, but only Kestrel certifies their accuracy. For an additional charge, More... we can even provide a NIST-traceable Certificate of Calibration that specifies exactly which values were measured in each multi-point calibration, and details the calibrated standard used for testing. Our 30-day satisfaction guarantee covers accuracy concerns as well, so if you question your unit's accuracy after purchase we will double-check every calibration to verify the unit meets specifications. Less",,$10 - 24.9 Mil,50-99  Employees,"Barometers: Digital


Barometers","All Products / Services

Agricultural Equipment
Anemometers
Barometers
Chronographs
Cold Chain Equipment
COVID-19 Response
Data Collection Systems
Data Loggers
Fire Fighting Electronics
Fire Fighting Equipment
Fire Protection Products
Gages
Hygrometers
Indicators


Instruments
Law Enforcement Equipment
Measuring Equipment
Medical Personal Protective Equipment (PPE)
Meters
Military Equipment
Monitoring Systems
Monitors
Recorders
Reticles
Scopes
Sensors / Detectors / Transducers
Shielding
Sports Equipment

View all products / services offered"
"GENEQ, Inc.",800-463-4363,https://geneq.com/en,"Montreal, QC H1J1S5",Distributor,"Manufacturer and distributor of testing & measuring equipment. Various products include adapters, amplifiers, alarms, altimeters, analyzers, augers, autoclaves, antennas, bags, balances, barometers, beads, beakers, binoculars, bins, blades, blotters, boilers, bottles, brushes, brackets, burets, burners, cabinets, calipers, cameras, calibrators, catheters, centrifuges, clocks, channels, circulators, chambers, counters, controls, crushers, computers and desiccators. Detectors, drills, dewars, dredges, dividers, electrodes, encoders, evaporators, extractors, flashlights, flumes, gages, furnaces, freezers, grinders, gloves, heaters, hygrothermographs, illuminators, meters, monitors, mixers, ovens, pumps, recorders, samplers, sensors and transmitters are also available.",,,$5 - 9.9 Mil,10-49  Employees,"Barometers: Digital


Barometers","All Products / Services

Adapters
Aids
Alarms
Aligners
Altimeters
Ammeters
Amplifiers
Analyzers
Anemometers
Anesthesia Equipment
Antennas
Applicators
Aquaculture Equipment
Augers


Autoclaves
Bags
Bailers
Balances
Balloons
Barometers
Baths
Beads
Beakers
Beds
Benches
Binoculars
Bins
Biofeedback Equipment

View all products / services offered"
"Apex Instruments, Inc.",800-882-3214,https://www.apexinst.com/,"Fuquay Varina, NC 27526",Manufacturer,"Manufacturer & distributor of emission measurement sampling equipment & supplies. Various products include analyzers, probes, filter assemblies, pre-filters, sample lines, controllers, condensers, flow drawers, dilution panels, meters, flanges, packing glands, gages, velocity loggers, regulators, simulators, jacks, thermocouples, wire, monitors, detectors, sensors, automated systems, consoles, traps, cases, glassware, umbilicals, calculators, spreadsheets, nozzles, boxes & cables. Adapters, conditioners, balls, blankets, bushings, cabinets, brushes, caps, cartridges, clips, coolers, cutters, ferrules, flasks, grease, hooks, heaters, monorails, nuts, oils, ovens, plugs, software, shields, sheaths, trays & trolleys are also available. Capabilities include calibration, on-site repair & support, training & system integration. Various industries served include combustion, incineration, metals, mineral, chemical & food.","Apex Instruments, Inc. designs, manufactures and distributes world-wide a large variety of source sampling equipment for measuring emissions from smoke stacks and industrial combustion sources according to US EPA guidelines. As new environmental requirements and technology are developed, Apex Instruments is in the forefront of prototype construction and field testing of both the equipment and the test methods. An example is the Apex Instruments XC-6000EPC Automated Mercury Sorbent Trap Sampling System developed by Apex Instruments and tested by government agencies, universities and power plants. The Apex MercSampler is fast becoming the industry standard for sampling mercury from coal-fired generators.",,$1 - 4.9 Mil,10-49  Employees,"Barometers: Digital


Barometers","All Products / Services

Adapters
Altimeters
Analyzers
Anemometers
Bags
Balls
Barometers
Blankets
Bottles
Boxes
Brackets
Brushes
Burets
Bushings


Cabinets
Calculators
Calibration Services
Calibrators
Caps
Cartridges
Cases
Clamps
Clips
Computers
Condensers (Heat Transfer)
Conditioners
Connectors
Consoles

View all products / services offered"
Aquatech Scientific Instruments LLC,267-573-4050,http://www.digitalbarograph.com,"Yardley, PA 19067",Manufacturer,"Manufacturer of weather alert instrument and barograph barometer. Colors available are blue, red and green. Applications include meteorology, marine world, research, mining industry, oil platforms and refineries, laboratories, medical and health related fields.",,,Under $1 Mil,1-9  Employees,"Barometers: Digital


Barometers","All Products / Services

Barometers


Instruments"
"Vaisala, Inc.",877-824-7252,https://www.vaisala.com/en,"Woburn, MA 01801 | Locations",Manufacturer,"Manufacturer of industrial measurement & control instruments for humidity, dewpoint, carbon dioxide, oxygen, moisture in oil, barometric pressure, wind speed & direction. Instruments include fixed mount transmitters, hand-held meters & OEM modules, NIST traceable & intrinsically safe. Applications & industries served include HVAC, life sciences, automotive, building automation, biotechnology & food processing. A2LA ISO/IEC17025 certified lab.",,,$250 Mil. and over,1000+  Employees,"Barometers: Digital


Barometers","All Products / Services

Airport Equipment
Analyzers
Anemometers
Barometers
Calibration Services
Calibrators
Consulting Services
Controls and Controllers
Fire Fighting Electronics
Gages
Hydrometers
Hygrometers
Indicators
Instruments


Meters
Monitors
Probes
Recorders
Regulators
Sensors / Detectors / Transducers
Stations
Testers
Thermographs
Thermometers
Transmitters
Vanes
Warning Systems
Wildfire Response"
Weather Scientific,866-223-5699,https://www.weatherscientific.com/,"Sheridan, WY 82801",Manufacturer,"Distributor of weather and marine instruments for commercial sectors. Weather stations, barometers, compasses, rain gauges and sensors are offered. Thermometers, detectors, navigation calculators and alarm or tide clocks are also available. Suitable for indoor and outdoor temperature, wind speed, humidity, atmospheric pressure and rainfall amount measuring applications.",,,Not Available,Not Available  Employees,"Barometers: Digital


Barometers","All Products / Services

Barometers
Calculators
Clocks
Compasses
Gages


Instruments
Recorders
Sensors / Detectors / Transducers
Stations
Thermometers"
"Scientific Sales, Inc.",800-788-5666,https://www.scientificsales.com/Default.asp,"Lawrenceville, NJ 08648",Distributor,"Factory authorized supplier of weather stations and meteorological instruments. Providing industrial grade and consumer weather instruments to industrial customers, emergency response organizations, universities, the National Weather Service, and various government agencies around the world. In addition to weather station, offers a line of weather instruments including anemometers, barometers, thermometers, rain gauges, weather radios, lightning detectors, wind alarms, and weather balloons. Represents manufacturers of weather instruments and weather stations around the world. Researches current technological weather equipment.",,,$5 - 9.9 Mil,1-9  Employees,"Barometers: Digital


Barometers","All Products / Services

Adapters
Airport Equipment
Alarms
Altimeters
Analyzers
Anemometers
Antennas
Balloons
Barometers
Bladders
Brackets
Charts
Clamps
Cleanrooms


Cold Chain Equipment
Computer Peripherals
Computer Room Equipment
Cones
Consoles
Consulting Services
Controls and Controllers
COVID-19 Response
Data Acquisition Systems
Data Loggers
Dials
Disaster Preparedness Supplies
Displays
Engineering Services

View all products / services offered"
Mensor Corp.,800-984-4200,https://www.mensor.com/,"San Marcos, TX 78666",Manufacturer,"ISO/IEC 17025:2005 certified manufacturer & designer of pressure measuring, pressure calibration & pressure controlling instruments & test systems for the precision pressure instrumentation & calibration market. Products include digital pressure gauges, digital barometers, digital pressure transducers, automated pressure controllers/calibrators, deadweight testers, air data test sets, transmitters, sensors, indicators & controllers. Applications include engineering & test labs, metrology labs, calibration labs, research facilities & production & manufacturing areas. Meets ANSI/NCSL Z540-1-1994 standards.",,,$10 - 24.9 Mil,50-99  Employees,"Barometers: Digital


Barometers","All Products / Services

Barometers
Calibration Services
Calibrators
Controls and Controllers
Gages
Ground Support Equipment


Indicators
Instruments
Measuring Equipment
Sensors / Detectors / Transducers
Testers
Transmitters"
Climatronics Corporation,631-567-7300,http://www.climatronics.com,"Bohemia, NY 11716",Manufacturer,"ISO 9001:2000 certified manufacturer of weather monitoring instruments & systems. Products available include anemometers, analog & digital barometers, temperature sensors, data logging & acquisition systems, & weather stations including portable, aviation, hazmat, & rapid response models. Services available include machine calibration, factory & on-site repair, custom software programming, field installation, training, & maintenance. Spare parts & test fixtures also available. Serving the military, security, aviation, water management, & environmental protection industries.",,,$10 - 24.9 Mil,100-199  Employees,"Barometers: Digital


Barometers","All Products / Services

Anemometers
Barometers
Cold Chain Equipment
Data Acquisition Systems
Data Loggers
Fire Fighting Electronics


Instruments
Sensors / Detectors / Transducers
Stations
Telemetry Systems
Vaccine Cold Chain Supplies and Logistics
Wildfire Response"
