Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
Thermal Solutions Products LLC,717-239-7642,https://www.thermalsolutions.com/,"Lancaster, PA 17601",Manufacturer,"Manufacturer of thermal heating equipment and systems for hot water systems. Products include boilers, heaters, heat exchangers, storage tanks or skids, control systems and accessories. Boilers such as high, condensing ultra-high and midrange efficiency boilers are available. Control systems include advanced controls, propel cognitive pump technology controls, temperature sensors, communications gateways, fuses and boiler control assemblies. Products are designed for industrial, commercial and institutional heating and domestic hot water applications. Markets served include military, healthcare, hospitals, schools, hotels and casinos. Custom design and configuration heating systems are available. Products are UL®, cUL®, ETL and ASME design standards approved. Made in the USA.","Thermal Solutions Products, LLC offers high quality, reliable and high efficiency commercial copper-finned hot water boilers and water heaters along with ultra high efficiency commercial stainless steel condensing hot water boilers.

Thermal Solutions has designed the Evolution high efficiency copper-finned boilers and water heaters to meet the needs of today's commercial heating requirements. The Evolution takes the very best of existing copper-finned boiler and water heater technology to the next level by incorporating a list of design features not found in all products. Real-life serviceability, exceptional heat exchanger, advanced combustion design made simple, and unique timesaving controls are all combined in a compact quick-connect package with efficiencies of up to 97%. The Evolution is truly a step above the rest. 

As a leader in condensing ultra high efficiency commercial hot water boilers, Thermal Solutions offers a wide array of product sizes to meet every condensing application More... with certified third-party thermal efficiencies up to 97%.

 Where efficiency and longevity meet! Less",www.linkedin.com/company/11556827,$5 - 9.9 Mil,10-49  Employees,"Communication Equipment: Digital
Communication & Connectivity Devices
Communication Equipment


Communication Links
Communication Systems
Digital Communication Systems","All Products / Services

Boilers
Heaters
Automation Systems
Boiler Parts
Burners
Communication Protocols
Communication Systems
Controls and Controllers
Exchangers


Gateways
Monitoring Systems
Monitors
Process Machinery
Pumps
Sensors / Detectors / Transducers
Tanks
Thermal Management Materials
Thermal Systems"
"Pleora Technologies, Inc.",877-345-8020,https://www.pleora.com/,"Kanata, ON K2K3A2",Manufacturer,"Manufacturer of quality inspection, machine vision, rugged networking systems and software for industrial applications. Products include turnkey visual inspection system, connectivity devices, gateways, frame grabbers, network interfaces and video switchers. Capable of automated inspection, high-performance imaging, object detection, rapid decision making and multi-sensor working. Serves the parts manufacturing, print and packaging, consumer goods, food & beverage, industrial automation, medical, security, and defense industries.","Global manufacturers and brand leaders rely on Pleora's AI and machine vision solutions, systems expertise, and standards knowledge to shorten time-to-market, reduce risk, and lower costs.

AI for Quality Inspection: Reduce errors and risks, lower costs, and automate manual tasks with end-to-end solutions for AI quality inspection.

Machine Vision Automation: Speed design of sensor-to-display connectivity and high-performance imaging solutions for real-time industrial, medical, and defense systems.

Rugged Networking and AI: Deploy automated and rapid decision-making to imaging systems operating in harsh environments with flexible and scalable multi-sensor networking and AI.",www.linkedin.com/company/pleora-technologies/,Not Available,50-99  Employees,"Communication Equipment: Digital
Communication & Connectivity Devices
Communication Equipment


Communication Systems
Data Communication Equipment & Systems
Digital Communication Systems","All Products / Services

Inspection Equipment
Machine Vision Systems
Imaging Equipment
Automation Systems
Communication Systems
Grabs


Interfaces
Modules
Network Equipment
Platforms
Software
Switchers"
"Cepoint Networks, LLC",603-557-7464,https://www.cepoint.com/,"Nashua, NH 03060 | Locations",Manufacturer,"Manufacturer of applied computing systems, industrial strength 1U Rackmount computing systems, enterprise storage raid, network communication systems, applied computing products, and technologies. Products include, 48V DC and 110V DC powered NAS servers, raid storage, imaging system, medical imaging, high speed DVR with IRIG-B, mobile computers, shipboard computers & carrier grade servers. IDE-raid, SATA Raid, NAS, ISCSI, frame grabbers, portable computers, fault-tolerant, fault-resilient computers , battery powered servers, cluster node, imaging & uncompressed video. Industries served include rf microwave, telecommunications, test and measurements, military electronics and high technologies industry, industrial, aerospace, scientific, laboratory, R & D & homeland security.","Cepoint Networks established in 2000 is a IT systems integration and manufacturing company, specializing in high performance Industrial data acquisition, industrial strength computing, Enterprise storage server products, communications, and applied computing products and technologies for scientific applications and industrial processes. 

 INDUSTRY SUPPORT:

Aerospace and Defence

Homeland Security

Broadcast and Multimedia

Information Technology

Power Grid & Generation

Manufacturing

Oil & Gas

PRODUCTS & SOLUTIONS:

Rugged rack mount Computers for harsh environments

Advanced storage solutions for mission-critical applications

High performance Real-time Digital Video recorders/Image acquisition systems

Broadcast and multimedia

Data Acquisition

Advanced Surveillance and Security systems

PRODUCT HANDLING & MANUFACTURING PROCESSES:

Cepoint applies stringent Quality and manufacturing process in every job or product

Vendors and parts are carefully selected

Every project, job or product is per custom More... basis and with respect to customer requirements

 Third party testing is used where necessary

 Cepoint adheres to ISO 9001/9002 standard Less",,$250 Mil. and over,500-999  Employees,"Communication Equipment: Digital
Communication Equipment
Communication Systems
Communication Systems & Radios: Tactical
Communication Systems: Broadcasting


Communication Systems: Digital Distribution
Communication Systems: Microwave
Communication Systems: RF
Communication Systems: Satellite
Communication Systems: Two-Way

View all Communication Systems categories","All Products / Services

Analyzers
Archive Systems
Arrays
Audio Visual (AV) Equipment
Bridges
Cameras
Cold Chain Equipment
Communication Services
Communication Systems
Computer and Communication Terminals


Computers
Conferencing Equipment
Conferencing Services
Consulting Services
Controls and Controllers
Data Acquisition Systems
Data Loggers
Disk Subsystems
Displays
Distribution Systems

View all products / services offered"
Bridge Wireless,800-229-3006,https://www.bridgewireless.com/,"San Jose, CA 95124",Distributor,"Distributor of Motorola, Kenwood, Maxon, and Ritron Two-Way radios or Walkie Talkies. Types of radios include portables, mobiles, and repeater systems. Industries served include construction, education, fire and EMS, healthcare, hospitality, law enforcement, manufacturing, retail, transportation, and utilities.",,,Not Available,Not Available  Employees,"Communication Equipment: Digital
Communication Equipment


Communication Products, Components & Systems
Communication Systems","All Products / Services

Antennas
Batteries
Boxes
Communication Systems
Consoles
Disaster Preparedness Supplies
Fire Fighting Electronics
Headsets


Hurricane Response
Networks
Radios
Repeaters
Speakers
Telephones
Wildfire Response"
Keyence Corp. of America,888-539-3623,https://www.keyence.com/,"Itasca, IL 60143",Manufacturer,"Manufacturer of industrial automation and inspection systems, equipment and supplies. Products include sensors, measurement sensors, measurement systems, safety products, process controls, static eliminators/ionizers, machine vision systems, Auto ID systems, controls, PLCs, laser markers/laser engravers, microscopes and macroscopes. Sensors such as photoelectric sensors, fiber optic sensors, laser sensors, inductive proximity sensors, positioning sensors, measurement sensors, 1D laser displacement sensors, 2D laser displacement sensors, confocal laser displacement sensors, LVDT contact distance sensors, process sensors, pressure sensors, flow sensors, temperature sensors and vision sensors are available. Safety equipment includes light curtains, laser scanners and E-stop controllers. Control products such as process control sensors, analog sensor controllers, machinery controls, counters, programmable logic controllers (PLCs), LCD display preset counters and timers are available.",,www.linkedin.com/company/keyence?trk=parent_company_logo,Not Available,Not Available  Employees,"Communication Equipment: Digital
Communication Equipment


Communication Systems","All Products / Services

Aligners
Automation Systems
Barcode Systems
Blowers
Cameras
Communication Systems
Comparators
Consoles
Controls and Controllers
Counters
Curtains
Cutters and Cutting Machinery
Eliminators


Engraving Equipment
Fiber
Gages
Identification Products
Imaging Equipment
Inspection Equipment
Instruments
Integration Services
Ionizers
Lasers
Lenses
Lights
Machine Vision Systems

View all products / services offered"
Tiger Direct,855-248-499,https://www.tigerdirect.com/indexus.asp?,"Miami, FL 33144 | Locations",Distributor,"Distributor of computers, televisions and related products. Selection includes desktops computers, notebooks, servers, tablets, printers, scanners, computer components, network hardware, cables, software, communication devices, office furniture, speakers, surveillance systems, GPS and appliances.",,,$250 Mil. and over,200-499  Employees,"Communication Equipment: Digital


Communication Equipment","All Products / Services

Books
Communication Systems
Computer Accessories
Computer Accessories
Computers
Copiers
Drives
Electronics
Fire Fighting Electronics
Global Positioning Systems (GPS)
Hardware


Motherboards
Mounts
Office Equipment
Printers
Scanners / Readers
Servers
Shredders
Software
Storage Equipment
Televisions
Wildfire Response"
Timewave Technology Inc.,651-489-5080,https://timewave.com/,"Saint Paul, MN 55113",Manufacturer,"Manufacturer of voice and digital communication systems for the military, marine, and radio industries. Products include telemetry and radio modems, signal processing systems, noise reduction filters, software, and fiber optic computer interfaces. Adapters, analyzers, controllers, detectors, decoders, and noise cancellers are also available. Suitable for commercial and government applications. Made in the USA.",,,Under $1 Mil,1-9  Employees,"Communication Equipment: Digital
Communication & Connectivity Devices
Communication Products, Components & Systems
Communication Systems


Communication Systems: Mobile Voice
Digital Communication Systems
Military Communication Systems","All Products / Services

Adapters
Analyzers
Cancellers
Communication Systems
Controls and Controllers
Decoders
Filters


Hardware
Interfaces
Modems
Processors
Sensors / Detectors / Transducers
Software
Telemetry Systems"
Gentex Corporation,570-282-3550,https://www.gentexcorp.com/,"Carbondale, PA 18407 | Locations",Manufacturer,"Manufacturer of personal protection and communications products, systems and platforms. Products include aircrew life support systems, helmet mounted displays and communications equipment, ground soldier protective equipment, aluminized fabrics, communications equipment, and related products. Serves aircraft and aerospace, training, military, law enforcement, fire fighting, special operations, automotive racing, and related markets.",,,$100 - 249.9 Mil,500-999  Employees,"Communication Equipment: Digital
Communication Components & Subsystems
Communication Equipment
Communication Products, Components & Systems
Communication Systems


Communication Systems & Radios: Tactical
Communications Systems: Aircraft & Aerospace
Helicopter Communications Equipment
Military Communication Systems","All Products / Services

Communication Systems
Controls and Controllers
COVID-19 Response
Displays
Electronics
Fabrics and Cloths
Filters
Fire Fighters' Personal Protective Equipment (PPE)
Fire Fighting Equipment
Glass


Headsets
Helmet Parts
Helmets
Hurricane Personal Protective Equipment
Hurricane Response
Imaging Equipment
Intercoms
Laser Components
Law Enforcement Equipment
Lenses

View all products / services offered"
"Sensera, Inc.",978-606-2600,http://sensera.com/,"Woburn, MA 01801",Manufacturer,"Manufacturer of wireless communications equipment and related products for Internet of Things applications. Selection includes specialized high performance micro-sensors, microelectromechanical systems and wireless data communication software. Serving the healthcare, industrial, defense and aerospace markets.",,,Not Available,Not Available  Employees,"Communication Equipment: Digital
Communication Equipment
Communication Products, Components & Systems
Communication Systems


Communication Systems: Wireless
Data Communication Equipment & Systems
Data Communication Systems: Wireless","All Products / Services

Communication Systems
Hardware
Links
Microelectromechanical Systems (MEMS)


Network Equipment
Sensors / Detectors / Transducers
Software"
Radio Wholesale,800-537-2346,http://www.radiowholesale.com,"Columbus, GA 31906",Distributor,"Distributor of two-way radio systems, parts & accessories. Products include radios installed in power supply, VHF mobile 256 channels systems, portable radio systems, VHF air band mobile transceivers, VHF air band portable transceivers, UHF & VHF mobile systems, UHF & VHF portable systems & 2-tone voice pagers. Products such as antennas, microphones, adapters, speakers, audio accessories, batteries, cables, carrying cases & clips, chargers, antenna mounts, mounting brackets, duplexers, junction boxes, footswitches, speakers & power supplies are available. Services include installation, maintenance & repair. Rental services for two-way radio systems, earpieces, speaker microphones & headsets are available. UHF LTR trunking for wireless communication is available.","Radio Wholesale is located in Columbus, Georgia and has been in business since 1973. It was founded by John Cunningham and purchased by the current owners in 1997. Our corporation still carries his name. John passed away in 2002 and his legacy is the John Cunningham Conference Center at Columbus State University.",,Under $1 Mil,1-9  Employees,"Communication Equipment: Digital
Communication Equipment
Communication Systems & Radios: Tactical
Communication Systems: Kenwood


Communication Systems: Mobile Voice
Communication Systems: Motorola
Communication Systems: Wireless
Wireless Communication Systems: Government","All Products / Services

Adapters
Antennas
Bags
Batteries
Boxes
Brackets
Buzzers
Cases
Chargers
Clips
Communication Systems


Disaster Preparedness Supplies
Duplexers
Electric Wire, Cable and Cable Assemblies
Handsets
Hangers
Headsets
Hurricane Response
Maintenance and Repair Services
Microphones
Mounts
Pagers

View all products / services offered"
