Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
Ellsworth Adhesives,888-615-1507,https://www.ellsworth.com/,"Germantown, WI 53022 | Locations",Distributor,"Distributor of specialty chemicals and equipment including adhesives, sealants, lubricants, coatings, encapsulants, and tapes. Soldering products, surface preparations, UV curing equipment, maintenance and repair products, and dispensing equipment available. Custom dispensing equipment and packaging products are also offered. Value-added services include custom labeling and documentation, managed inventory services, converting services, and custom formulation provided. Contract manufacturing and low pressure molding services provided. Serves the battery, defense, transportation, lighting, medical, power, and consumer product industries.","Ellsworth Adhesives is a solutions provider for applications and manufacturing processes that utilize adhesives, sealants, coatings, encapsulants, lubricants, tapes, other specialty chemicals and related equipment from top manufacturers including Dow, Henkel, Dymax, 3M, Parker LORD, Humiseal, Sika, Techcon, and many others. Ellsworth Adhesives also provides custom chemical formulation to meet exact application requirements or custom packaging of chemicals in cartridges, kits, or syringes for easy application in precise amounts. 

Ellsworth Adhesives® specialty chemical knowledge spans across multiple industries including electronics, lighting, automotive, aerospace, medical and general assembly. A global network of engineering sales representatives is available to assist with the integration of adhesives through the design, supply and production processes. Ellsworth Adhesives offers accurate documentation, labeling and shelf-life control. ISO 9001:2015 and AS9120B certified.",www.linkedin.com/company/28305?trk=ape_s000001e_1000,$100 - 249.9 Mil,1000+  Employees,"Controls: Digital
Controllers
Controllers: Industrial
Controllers: Liquid Flow
Controllers: Pneumatic


Controllers: Pressure
Controllers: Proportional Integral Derivative (PID)
Controls
Controls and Controllers: 3M
Controls: Industrial

View all Controls and Controllers categories","All Products / Services

Adhesives
Lubricants
Grease
Oils
Solid Film Lubricants
Resins
Coatings
Tapes
Epoxies
Dispensers


Labelers
Static Control Equipment
Film
Applicators
Encapsulants
Chemicals
Sealants
Thermal Interface Materials
Bulbs
Coders

View all products / services offered"
"Pelonis Technologies, Inc.",855-885-7743,http://www.pelonistechnologies.com,"Exton, PA 19341",Manufacturer,"Manufacturer of standard and custom OEM products. Various products available include fans, blowers, heaters, power cords, fan trays, and guards, heating elements, PTC heater assemblies, and temperature controllers. Conductors and thermistors are also offered. Serves the gaming, power and energy, robotics and automation, security, material handling, HVAC, transportation, aerospace, and broadcast industries.","Pelonis Technologies is a leading innovator of air movement technologies, cooling products, induction motors, and specialty heating applications for commercial and industrial use. We offer high quality products at competitive costs and employ flexible manufacturing techniques that enable us to respond to large and small-scale requirements. Our goal is to provide our customers with significant value-added services, ready solutions, or custom designs to meet their needs.",www.linkedin.com/company/pelonis-technologies-inc-,$1 - 4.9 Mil,10-49  Employees,"Controls: Digital
Aircraft Control Systems
Control Systems: OEM
Controllers: Automation
Controllers: Indicator


Controllers: Industrial
Controllers: Temperature
Controllers: Terminal
Controls
Controls: AC To DC

View all Controls and Controllers categories","All Products / Services

Fans
Motors
Gearheads and Gearboxes
Heaters
Blowers
Elements
Air Conditioner Parts
Air Handlers
Assemblies
Blades


Conductors
Controls and Controllers
Coolers
Corrosion Resistant Products
COVID-19 Response
Curtains
Fan Parts
Filters
Guards
Impellers

View all products / services offered"
Siemens Process Instrumentation,855-628-0145,http://www.usa.siemens.com/pi,"Harleysville, PA 19438",Manufacturer,"Manufacturer of process instrumentation for pressure, temperature, flow, level and weight measurement. Products include pneumatic valve positioners, calculators, flow or motion sensors, weighing scales, transmitters, transducers, regulators, relays, feeders and process protection devices. Plant device management maintenance stations are also available. Accessories such as input and output isolators, instrumentation displays, monitoring devices and adapters are offered.","Siemens Process Instrumentation brings you innovative measurement solutions to increase plant efficiency and enhance product quality, including flow, temperature, pressure, level, weighing and valve positioning. And we understand that in the process industry, every second counts which is why we offer world-class engineering, testing and production directly from our 183,000 sq. ft. state-of-the-art manufacturing facility in North America. Your production doesn't stop, so why would we? Siemens delivers the instruments you need and the reliability you depend on, with same-day shipping and service available 24 hours a day, 365 days a year.",www.linkedin.com/company/siemens-industry-us,$250 Mil. and over,1000+  Employees,"Controls: Digital
Controls: Level
Control Systems
Control Systems: Industrial
Controllers


Controllers: Industrial
Controllers: Process
Controls
Controls: Automatic
Controls: Electric

View all Controls and Controllers categories","All Products / Services

Flowmeters
Sensors / Detectors / Transducers
Cells
Scales
Transmitters
Positioners
Controls and Controllers
Measuring Equipment
Process Machinery
Adapters


Ammeters
Calculators
Corrosion Resistant Products
Displays
Feeders and Feed Systems
Filters
Handling Equipment
Instruments
Isolators
LEDs

View all products / services offered"
"Emerson Automation Solutions, Regulators and Relief Valves",855-816-0856,https://www.emerson.com/en-us/automation/fisher,"McKinney, TX 75070 | Locations",Manufacturer,"Manufacturer of automation and HVAC products for commercial and residential applications. Products include valves, actuators, regulators, filters, gages and AC controls. Industries served include automotive, chemical, marine, OEM and medical. ISO 9001 certified.","At Emerson, our pressure regulators and valves, pressure and safety relief valves and flow control systems are engineered to exacting standards, each carefully designed, thoroughly tested and developed to handle higher pressures while providing increased delivery capacity, reduced noise output and zero emission. We go beyond baseline industry standards to ensure our equipment operates reliably in even the most extreme conditions anywhere in the world. We are committed to continually raising the bar in our efforts to develop still higher quality, more advanced systems that operate safely and reliably well into the future.

Emerson brings together technology and engineering to provide an expanding array of innovative manufacturing and processing solution for industrial, commercial, and consumer markets. Emerson helps process, hybrid, and discrete manufacturers maximize production, protect personnel and the environment while optimizing their energy and operating costs.

Throughout the world, More... Emerson supplies leading liquefied petroleum gas (LP-Gas) suppliers with the broadest available line of Fisher's commercial service LP-Gas regulators and bulk storage and transport equipment. Renowned as the propane industry standard for reliable pressure regulation, Fisher LP-Gas valves and regulators provide high value solutions across a range of stationary storage and mobile applications. With more than 2,000 technical experts at over 200 locations. Less",www.linkedin.com/company/emerson-automation-solutions/,$50 - 99.9 Mil,1000+  Employees,"Controls: Digital
Control Systems
Controllers
Controllers: Pneumatic
Controllers: Process


Controllers: Temperature
Controls
Controls & Regulators: Multifunctional, Remote Monitoring & Reporting
Controls and Controllers: Rosemount
Controls: Back Pressure

View all Controls and Controllers categories","All Products / Services

Regulators
Valves
Gages
Traps
Actuators
Arresters
Assemblies
Automation Systems
Blanketing Systems
Boosters


Boxes
Breakers
Breathers
Bushings
Compressors
Conditioners
Conduits and Ducts
Connectors
Consulting Services
Controls and Controllers

View all products / services offered"
Teikoku USA,215-343-6000,https://teikokupumps.com/,"Warminster, PA 18974 | Locations",Manufacturer,"Manufacturer of seal-less and leak-proof canned motor pumps. Various types of pumps include acid, air and water cooled, centrifugal, chemical, circulating, diaphragm, high pressure, high temperature, metering, nuclear, refrigerant, seal-less, self-priming, slurry, stainless steel, cryogenic, motor, liquefied and submerged pumps. Carbon steel, stainless steel, alloy 20, Hastelloy® B, Monel®, Inconel®, nickel, titanium and zirconium Hastelloy® C materials worked. CSA and FM approved. UL listed.","Teikoku USA is an innovator in sealless pump manufacture with product offerings that span the simplest designs for OEM applications to the most complex for high pressure and temperature services in critical nuclear, chemical and petrochemical production processes. Originators of Canned Motor Pump technology, Teikoku USA's Chempump brand continues to lead technological change that is often copied but never surpassed. Regardless of the simplicity or complexity of the application, all Teikoku USA products feature a design basis that offers users the ultimate in reliability, simplicity, noise reduction and space savings through minimization and commonality of wearing parts, lowest installed cost, use of premium material and real time monitoring of operating conditions. Teikoku USA has U.S. patents on its IntelliSense rotor monitoring device, the first for both axial and radial position outputs, and its silicon carbide bearing system featuring a fail safe mode that keeps processes operating, More... even after a bearing failure, until repairs can be made. Outputs can be generated to a single digital data collection point in a user's control system or personal computer for up to 30 installed units to predict maintenance intervals and not just react to costly failures.

 Teikoku USA is represented throughout the world by authorized and trained agencies. These organizations know our products; their application and can provide service and start up assistance when required. Chempump owns and operates a service center in Belmont, WV. Factory authorized service can also be performed by Texas Process Equipment based in Houston, TX. Application engineering and system analysis is available from both the factory and sales agency personnel.

 Teikoku USA is a modern pump manufacturer with a well-equipped laboratory and can perform a variety of tests and provide documentation to meet exacting customer requirements. Teikoku USA is an American Society of Mechanical Engineers (ASME) authorized manufacturer of nuclear products under its N-stamp quality criteria and can apply those same design standards to commercial pumps. If you are looking for experience, quality and state of the art solutions to Industry's most demanding requirements for sealless pumping, secondary containment and high reliability, Teikoku USA has a solution for you because: We're Serious about Sealless Pump Performance. Less",,$25 - 49.9 Mil,50-99  Employees,"Controls: Digital


Controls: Pump","All Products / Services

Pumps
Process Machinery
Blowdown and Blow-off Systems
Controls and Controllers
Corrosion Resistant Products
Feeders and Feed Systems
Meters


Recovery Equipment
Recycling Machinery
Supply Systems
Thermowells & Protection Tubes
Transfers
Treatment Equipment"
AutomationDirect,855-789-6828,https://www.automationdirect.com,"Cumming, GA 30040-5860",Distributor,"Distributor of automation and industrial control products. Various products include drives, motors, beacons, cable ties, cables, sensors, circuit breakers, contactors, cord grips, counters, disconnects, relays, enclosures, encoders/optical transducers, Ethernet products, connectors, flexible electrical tubing, switches, fuses, gearboxes, gloves, HMI/operator interfaces, HMI software, lights, software, junction blocks, displays, modems, monitors, motion controls, multi-wire connectors, plugs, connectors, receptacles, pneumatic parts, pneumatic cylinders, pneumatic fittings and couplings, valves, hoses, power distribution blocks, power supplies, pressure gauges, safety glasses, safety light curtains, signal conditioners, stroboscopes, tachometers, thermometers, tools, wire and wire duct. Suitable for wide variety of industries such as automotive, food and beverage, packaging, waste water, pharmaceutical and oil and gas. AutoCAD files accepted. Most items available in stock for immediate shipping.","AutomationDirect is a well-known distributor of thousands of industrial automation products, such as programmable logic controllers (PLCs), AC drives/motors, operator interfaces/HMI, sensors, NEMA enclosures, pneumatic components, cut-to-length cable, machine safety equipment, and much more. In business since 1994, the company headquarters is located just north of Atlanta, Georgia.

Ordering is easy and their service is exceptional.

Their online store is one of the most exhaustive in the industry - all technical documentation can be downloaded free of charge, and hundreds of instructional videos are available for viewing without registration. Free online PLC training is also available to any user who registers.

Shipping is super-fast and free on orders over $49. AutomationDirect maintains a huge inventory with an intuitive website which makes self-service easy. Useful tools such as product selectors, a 3-D CAD viewer, and more help users to do their job.

Most all products come with a 30-day More... money-back guarantee including software (see Terms and Conditions for certain exclusions). Less",www.linkedin.com/company/80083/,Not Available,200-499  Employees,"Controls: Digital
Controllers: Programmable Logic (PLC)
Controllers: Programmable
Control Equipment & Components
Control Systems


Controllers
Controllers: Automation
Controllers: Communications
Controllers: I/O
Controllers: I/O, USB

View all Controls and Controllers categories","All Products / Services

Motor Controllers and Drives
Electric Wire, Cable and Cable Assemblies
Enclosures
Automation Systems
Pneumatic Systems
Sensors / Detectors / Transducers
Controls and Controllers
Drives
Breakers
Motors


Displays
Blocks
Interfaces
Software
Cylinders
Lights
Protectors
Raceways
Racks
Relays

View all products / services offered"
WATTCO,877-276-3831,https://www.wattco.com/,"Hallandale, FL 33009",Manufacturer,"Manufacturer of standard and custom electric heaters and heating elements. Types of heaters include tubular heaters, finned tubular heaters, flanged heaters, boiler heaters, screw plug heaters, in line heaters, circulation heaters, over the side heaters, immersion heaters, strip heaters, cartridge heaters, mica heaters and ceramic band heaters, silicone rubber heaters, duct heaters, infrared heaters radiant heaters and inline heaters. Thermowells, wire, thermocouples, thermostats and control panels are also available. Various applications include drying, curing, sterilization, roll heating, degreasing, softening resins, heat treating, air drying, air pre-heating, multizone reheating and annealing. CSA and UL approved.","Immersion Heaters such as flanged heaters, circulation heaters and inline heaters are a sample of the full product range WATTCO manufactures for industries such as oil and gas, chemical, defense and HVAC.

We offer quotes in 60 minutes and guarantee our prices to be the lowest in the industry.",,$50 - 99.9 Mil,50-99  Employees,"Controls: Digital
Control Systems
Controllers
Controllers: Fuzzy Logic
Controllers: Industrial


Controllers: Microprocessor-Based
Controllers: Power
Controllers: Process
Controllers: Programmable
Controllers: Proportional

View all Controls and Controllers categories","All Products / Services

Heaters
Panels
Elements
Analyzers
Autoclaves
Blowers
Boards
Boilers
Bridges
Burners


Cafeteria Equipment
Ceilings
Cement
Ceramic Products
Coils
Controls and Controllers
Convectors
Coolers
COVID-19 Response
Dampers

View all products / services offered"
Ryan Herco Flow Solutions (HQ),888-201-3597,https://www.rhfs.com,"Burbank, CA 91504 | Locations",Distributor,"Distributor of flow and fluid handling equipment and supplies. Fluid handling equipment includes pumps, storage tanks, treatment systems, filters, heaters, mixers, pipes, tubes and valves. Flow measuring products such as indicators, switches, meters, sensors, level controllers and pressure and temperature gauges offered. Chamfering, deburring, flaring, pipe cutting and tubing tools and hose and tube fittings available. Also custom manufactures waste pumping stations, pump lift control panels, fume hoods and fabricated and neutralization tanks. Serves the water, wastewater, microelectronic, life science, metal and surface finishing, food, beverage, aquatic, life support, construction and specialty chemical industries. Stock items available. 24/7, pump repair, export and material identification services provided. Same day shipping.","Ryan Herco Products is a leading distributor of corrosion-resistant fluid flow products in the United States, employing over 300 people. Our regularly published Product Guide can be found on desks throughout the world helping people specify their fluid-flow requirements. With a growing number of service centers located throughout the U.S., we are a company keeping pace with the increasing needs of our customers.",,$250 Mil. and over,200-499  Employees,"Controls: Digital
Wastewater Odor Control Systems
Air Pollution Control Equipment
Control Systems: Industrial
Control Systems: Water & Wastewater


Controllers
Controllers: Automation
Controllers: Batch
Controllers: Flow
Controllers: I/O

View all Controls and Controllers categories","All Products / Services

Treatment Equipment
Filters
Tanks
Pumps
Plant Equipment
Flowmeters
Scrubbers
Controls and Controllers
Lifts
Mixers


Stations
Water
Actuators
Adapters
Adhesives
Air Filtration Equipment & Supplies
Alarms
Analyzers
Angles
Anodizing Equipment

View all products / services offered"
Carolina Scales Inc.,888-712-6773,https://www.carolinascales.com/index.html,"West Columbia, SC 29169",Distributor,"Distributor and servicer of industrial weighing and measuring equipment. Truck, railroad, and portable vehicle scales are available, as well as floor, bench, counting, used, crane and hanging, medical and health, retail, belt, conveyor, lift truck, and wheel loader scales. Also offers balances, weight indicators, load cells, weigh modules, junction boxes, remote displays, scoreboards, printers, scanners, labels, software, and traceability systems. Custom weighing systems and devices are also available. Capabilities include installation, calibration, inspection, certification, maintenance, repair, and rental services. Provides 24/7 emergency services. ISO/IEC 17025:2005 certified.","Carolina Scales Inc. was established in March 1950 to install and service mechanical truck scales throughout the southeast. During the 1970s and 1980s with the transition from mechanical to electronic devices, Carolina Scales grew from a small sales and service scale company to a quality supplier specializing in sales and the service of industrial weighing equipment, material batching and blending, data collection, calibration services, PLCs and weighing control systems, and one of the largest rental scale fleets.

Our goal is to combine industry product knowledge with superior customer service to help our customers keep pace with ever-changing technology. It is our responsibility to examine and understand our customers' requirements in order to make them more effective and competitive in their industry.",www.linkedin.com/company/2599007?trk=tyah,$1 - 4.9 Mil,10-49  Employees,"Controls: Digital
Control Equipment & Components
Controllers
Controllers: Communications
Controllers: I/O, USB


Controllers: Indicator
Controllers: Industrial
Controllers: Programmable
Controllers: Programmable Logic (PLC), Ethernet Transmission Control Protocol/Internet Protocol (TCP/IP)
Controllers: Scale

View all Controls and Controllers categories","All Products / Services

Scales
Calibration Services
Calibrators
Maintenance and Repair Services
Cells
Analyzers
Animal Health Products
Balancers
Balances
Bank Equipment


Barcode Systems
Batchers
Benches
Blending Services
Boards
Boxes
Certification Services
Construction Equipment
Controls and Controllers
Conveyors

View all products / services offered"
"DoorKing, Inc.",855-793-4422,https://www.doorking.com/,"Inglewood, CA 90301 | Locations",Manufacturer,"Manufacturer of access control systems and products including telephone entry systems, digital keypads, electric or magnetic locks, power inverters, card readers and gate operators. Barrier gates, lane barriers, traffic spikes, warning signs and signals are also offered. Accessories such as elevator control boards, push buttons, lock boxes, mounting posts, camera or handset kits, keypads, time clocks, surge suppressors, transformers, loop detectors, software and V-wheels available. Serves the building, self-storage, apartment and college hall, commercial, security and traffic control industries. Made in the USA.","DKS DoorKing, Inc. is one of the largest and oldest manufacturers of access control and vehicular gate operator systems in the United States. Based in Inglewood, California since the company was founded in 1948, DKS operates from seven buildings and is located less than 3-miles from Los Angeles International Airport (LAX). These buildings include our corporate headquarters, manufacturing, warehousing and shipping and receiving facilities. Additionally, we maintain 14 outside sales offices located throughout the country.",www.linkedin.com/company/doorking-inc-,$25 - 49.9 Mil,100-199  Employees,"Controls: Digital
Access Control Systems
Controls: Radio Remote
Traffic Control Devices
Wireless Remote Controls


Access Control Systems: Integrated
Access Control Systems: Proximity
Card Access Systems
Control Systems
Control Systems: Industrial

View all Controls and Controllers categories","All Products / Services

Gates
Controls and Controllers
Device Operators
Barriers
Speed Bumps
Sensors / Detectors / Transducers
Identification Products
Identifiers
Power Supplies
Hinges


Kiosks
Pads
Adapters
Amplifiers
Answering Machines
Antennas
Assemblies
Badges
Bases
Boards

View all products / services offered"
