Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
Avantier Inc.,888-708-6148,http://www.avantierinc.com/,"North Plainfield, NJ 07060",Custom Manufacturer,"Custom manufacturer of optical components including lenses, prisms, filters, and beam splitters. Rapid prototyping and assembly services are also offered. Other services include consulting, reverse engineering, digital imaging, and analysis. Standard lenses are provided. Serves aerospace, defense, automotive, life science, and medical industries.",,,Not Available,Not Available  Employees,"Imaging Systems: Digital
Airborne Imaging Systems
Computer Imaging Systems
Confocal Fluorescent Imaging Systems
Electronic Imaging Systems


Electronic Imaging Systems: High Speed
Imaging Equipment: Diagnostic
Imaging Equipment: Printed Circuit Board (PCB)
Imaging Systems: Digital RAID
Imaging Systems: Radiographic

View all Imaging Equipment categories","All Products / Services

Imaging Equipment
Engineering Services
Optics
Imaging Services
Instruments
Software
Analytical Services
Lenses
Panels
Processors


Additive Manufacturing Services
Assembly Services
Consulting Services
Filters
Mirrors
Optical Components
Prisms
Prototyping Services
Research, Design and Development Services
Splitters"
Carolina Scales Inc.,888-712-6773,https://www.carolinascales.com/index.html,"West Columbia, SC 29169",Distributor,"Distributor and servicer of industrial weighing and measuring equipment. Truck, railroad, and portable vehicle scales are available, as well as floor, bench, counting, used, crane and hanging, medical and health, retail, belt, conveyor, lift truck, and wheel loader scales. Also offers balances, weight indicators, load cells, weigh modules, junction boxes, remote displays, scoreboards, printers, scanners, labels, software, and traceability systems. Custom weighing systems and devices are also available. Capabilities include installation, calibration, inspection, certification, maintenance, repair, and rental services. Provides 24/7 emergency services. ISO/IEC 17025:2005 certified.","Carolina Scales Inc. was established in March 1950 to install and service mechanical truck scales throughout the southeast. During the 1970s and 1980s with the transition from mechanical to electronic devices, Carolina Scales grew from a small sales and service scale company to a quality supplier specializing in sales and the service of industrial weighing equipment, material batching and blending, data collection, calibration services, PLCs and weighing control systems, and one of the largest rental scale fleets.

Our goal is to combine industry product knowledge with superior customer service to help our customers keep pace with ever-changing technology. It is our responsibility to examine and understand our customers' requirements in order to make them more effective and competitive in their industry.",www.linkedin.com/company/2599007?trk=tyah,$1 - 4.9 Mil,10-49  Employees,"Imaging Systems: Digital
Digital Imaging Materials & Supplies


Electronic Imaging Systems
Imaging Systems","All Products / Services

Scales
Calibration Services
Calibrators
Maintenance and Repair Services
Cells
Analyzers
Animal Health Products
Balancers
Balances
Bank Equipment
Barcode Systems
Batchers
Benches


Blending Services
Boards
Boxes
Certification Services
Construction Equipment
Controls and Controllers
Conveyors
Corrosion Resistant Products
Counters
COVID-19 Response
Crane Parts
Custom Machinery
Data Collection Systems

View all products / services offered"
"Pleora Technologies, Inc.",877-345-8020,https://www.pleora.com/,"Kanata, ON K2K3A2",Manufacturer,"Manufacturer of quality inspection, machine vision, rugged networking systems and software for industrial applications. Products include turnkey visual inspection system, connectivity devices, gateways, frame grabbers, network interfaces and video switchers. Capable of automated inspection, high-performance imaging, object detection, rapid decision making and multi-sensor working. Serves the parts manufacturing, print and packaging, consumer goods, food & beverage, industrial automation, medical, security, and defense industries.","Global manufacturers and brand leaders rely on Pleora's AI and machine vision solutions, systems expertise, and standards knowledge to shorten time-to-market, reduce risk, and lower costs.

AI for Quality Inspection: Reduce errors and risks, lower costs, and automate manual tasks with end-to-end solutions for AI quality inspection.

Machine Vision Automation: Speed design of sensor-to-display connectivity and high-performance imaging solutions for real-time industrial, medical, and defense systems.

Rugged Networking and AI: Deploy automated and rapid decision-making to imaging systems operating in harsh environments with flexible and scalable multi-sensor networking and AI.",www.linkedin.com/company/pleora-technologies/,Not Available,50-99  Employees,"Imaging Systems: Digital
Imaging Systems


Computer Imaging Systems
Vision Systems","All Products / Services

Inspection Equipment
Machine Vision Systems
Imaging Equipment
Automation Systems
Communication Systems
Grabs


Interfaces
Modules
Network Equipment
Platforms
Software
Switchers"
Mega Speed Corporation,888-618-2714,https://www.megaspeedusa.com/,"Minnedosa, MB R0J1E0",Manufacturer,"Manufacturer of high speed cameras including portable, handheld, digital, high resolution and PC-connected. Digital video recorders (DVRs) and custom imaging systems are also offered. Secondary services such as consulting and testing are available. Suitable for recording fast-moving objects in food processing, beverage packaging, semiconductor, research and development applications. Serves automotive, aerospace, military, biological, surface mining and pharmaceutical industries.","Mega Speed Corporation's high speed products and services are used to analyze and capture events that are too fast for the human eye to see and then play the event back in super slow motion for detailed frame by frame image analysis and report generation. Our cameras are used for testing and verification of automotive safety systems, destructive impact testing, trouble-shooting / preventative maintenance, high speed production lines, aviation flight safety, spacecraft decelerator systems, NASA rocket testing, digital image correlation, beverage packaging, pharmaceutical quality control, surface mining explosion diagnostics and general research and development applications.",,$1 - 4.9 Mil,10-49  Employees,"Imaging Systems: Digital
Airborne Imaging Systems
Imaging Systems


Medical Imaging Systems
Video Imaging Systems","All Products / Services

Cameras
Imaging Equipment


Recorders"
Lapmaster Wolters,877-352-8637,https://www.lapmaster-wolters.com/,"Mount Prospect, IL 60056",Manufacturer,"Manufacturer of precision surface products including machinery, bore honing & finishing equipment, consumables, accessories, cleaning systems & metallographic products. Accessories include flatness instruments, lapping & polishing machine tooling & hand lapping polishing plates. Cleaning agents, ultrasonic cleaning solutions, beakers & ultrasonic degreasers are also available. Capabilities include contract flat lapping, grinding, polishing & optical flat reconditioning. Various industries served include automotive, diesel, aerospace, bearings, coatings, castings, compound semiconductors, compressors, valves, cutting tools, knives, data storage, electro optics, mechanical seals, sealing surfaces, medical devices, optics, pumps, technical ceramics & tools & dies.","In today's technologically advanced world, there are a growing number of applications where conventional machining techniques just aren't accurate enough to meet precision surfacing requirements. Precision surfacing with abrasive media, a technology developed and refined by Lapmaster International over the past 50 years, can often be the answer.

 However, it takes more than the technology alone to produce precision surfacing specifications. It takes a company with extensive knowledge and experience with a broad range of materials and applications . . .A company capable of creating customized, turnkey precision surfacing solutions utilizing the latest conventional and super-abrasive techniques...It takes Lapmaster International, your partner in precision surfacing technology.

Since 1948, industry has relied on Lapmaster International to solve the most challenging precision surfacing problems. With over 50 years of experience, Lapmaster has a proven history of successfully developing cost More... effective processing solutions for virtually any application. Whether its precision sizing, flatness, parallelism, or surface finish that's required, Lapmaster has the solution!

 Lapmaster serves the Fine Grinding, Advanced Materials, Precision Optics, Bore Honing and Finishing, Lapping/Polishing, Contract Grinding Services, Contract DeBurring Services, Contract Finishing Services and Metallographic markets through an expanding network of sales and services offices located throughout the world. Sales and technical service is available either through your local Lapmaster Sales Representative or through our main Sales and Technical Services Centers located in Mount Prospect, IL, Plymouth, UK, Chennai, India, Tokyo, Japan and Shenyang, China. Our customer service staff is standing by to assist you. We invite you to visit one of our facilities for equipment and process training free of charge. On site training is also available for a nominal fee. Less",www.linkedin.com/company/lapmaster-international-llc?trk=hb_tab_compy_id_794672,$25 - 49.9 Mil,200-499  Employees,"Imaging Systems: Digital
Imaging Systems


Video Imaging Systems","All Products / Services

Abrasive Compounds / Media
Alumina (Aluminum Oxide)
Applicators
Assembly Machinery
Ballasts
Bases
Beakers
Bearings
Belts
Blades
Blocks
Bolts
Bottles


Buffers
Cabinets
Cameras
Capacitors
Carriers
Charts
Chemicals
Cleaning Compounds and Chemicals
Cleaning Equipment
Clips
Compounds
Controls and Controllers
COVID-19 Response

View all products / services offered"
Sutter Instrument,833-934-1979,https://www.sutter.com/,"Novato, CA 94949",Manufacturer,"Manufacturer of devices for micropipette fabrication, imaging, micromanipulation, microscopy and microinjection. Products include 4-axis micromanipulator, simple moving microscope optimized to allow in vivo and in vitro experimentation in one set-up, and high-output LED light source. Position control software can link the movement of devices including manipulators, translators, motorized microscopes and platform stage. Each instrument is manufactured on-site under quality control and undergoes an electronic and/or mechanical testing protocol.","Sutter has developed a very strong reputation as a manufacturer of quality and innovative instrumentation at reasonable prices. Sutter's strong customer service orientation and technical expertise have led to the development of a very loyal customer base, exhibiting significant repeat purchasing patterns. In the area of micropipette fabrication, Sutter is the undisputed world leader in both instrumentation and technical knowledge. This has positioned Sutter at the forefront of emerging technologies that utilize micron and submicron pipettes and taper fiber optic probes. The synergy between Sutter's microprobe fabrication instruments, micropositioners, and optical devices provides the company with a unique role in developing micro measurement and nanofabrication technologies.",www.linkedin.com/company/sutter-instrument,$10 - 24.9 Mil,50-99  Employees,"Imaging Systems: Digital
Imaging Systems


Imaging Systems: Optical
Mechanical Imaging Systems","All Products / Services

Tubes
Amplifiers
Instruments
Microscopes
Curing Systems
Lights
Manipulators
Positioners
Shutters
Adapters
Bevelers
Biotechnology Equipment
Capillaries


Chambers
Changers
Choppers
Controls and Controllers
COVID-19 Response
Fabrication Services
Filters
Glass
Glassware
Illuminators
Imaging Equipment
Injectors
Laboratory Equipment

View all products / services offered"
Lighting Specialties,800-214-4522,https://www.lightingspecialties.com/,"Buffalo Grove, IL 60089",Distributor,"Distributor of lighting products for commercial offices and hospitals. LED portable lights, adjustable arms, light carts, lamp heads, infrared heaters, exhaust fans, energy efficient and fluorescent lighting fixtures are offered. Electrical heating devices and signaling systems are also available. Serves medical, government and personal care industries.",,,$1 - 4.9 Mil,1-9  Employees,"Imaging Systems: Digital
Imaging Systems


Imaging Systems: Optical","All Products / Services

Arms
Elements
Emergency Power & Lighting Supplies
Fans
Fire Fighting Tools
Fixtures
Heads
Heaters
Hurricane Response
Illuminators
Imaging Equipment
Inspection Equipment


LEDs
Lights
Magnifiers
Microscopes
Office Equipment
Panels
Reflectors
Signals
Trucks and Carts
Viewers
Wildfire Response"
"Golden Engineering, Inc.",800-321-0378,http://www.goldenengineering.com/,"Centerville, IN 47330-0185",Manufacturer,"Manufacturer of portable X-ray machines. Products include battery powered and pulsed X-ray machines. Distributor of batteries, imaging systems, films, dosimeters and camera tripods. Applications include municipal bomb squads, airports, embassies, universities, non-destructive testing, forensics, fire and arson, historical structures and artifacts, examination of food, and termite control.","Founded in Ann Arbor Michigan in 1973, Golden Engineering developed a revolutionary inspection tool specifically designed to meet the needs of EOD personnel. The original Inspector X-ray sources offered bomb technicians a safe, lightweight alternative to common bomb disposal techniques. By combining this unique product with a steadfast commitment to customer service, Golden Engineering has become the recognized world leader in portable X-ray technology for security applications. Now headquartered in Centerville, Indiana, Golden Engineering continues in our unwavering commitment to meet the specialized needs of the bomb disposal technician by offering a superb product at an economical price.",,$1 - 4.9 Mil,10-49  Employees,"Imaging Systems: Digital
Imaging Systems


Imaging Systems: Radiographic
Radiographic Equipment","All Products / Services

X-Ray Equipment
Inspection Equipment
Generators
Security Systems
Testers
Adapters
Batteries
Chargers
Conditioners
Connectors


Dosimeters
Electric Wire, Cable and Cable Assemblies
Film
Imaging Equipment
Law Enforcement Equipment
Monitoring Systems
Monitors
Plugs and Stoppers
Tripods"
"Cepoint Networks, LLC",603-557-7464,https://www.cepoint.com/,"Nashua, NH 03060 | Locations",Manufacturer,"Manufacturer of applied computing systems, industrial strength 1U Rackmount computing systems, enterprise storage raid, network communication systems, applied computing products, and technologies. Products include, 48V DC and 110V DC powered NAS servers, raid storage, imaging system, medical imaging, high speed DVR with IRIG-B, mobile computers, shipboard computers & carrier grade servers. IDE-raid, SATA Raid, NAS, ISCSI, frame grabbers, portable computers, fault-tolerant, fault-resilient computers , battery powered servers, cluster node, imaging & uncompressed video. Industries served include rf microwave, telecommunications, test and measurements, military electronics and high technologies industry, industrial, aerospace, scientific, laboratory, R & D & homeland security.","Cepoint Networks established in 2000 is a IT systems integration and manufacturing company, specializing in high performance Industrial data acquisition, industrial strength computing, Enterprise storage server products, communications, and applied computing products and technologies for scientific applications and industrial processes. 

 INDUSTRY SUPPORT:

Aerospace and Defence

Homeland Security

Broadcast and Multimedia

Information Technology

Power Grid & Generation

Manufacturing

Oil & Gas

PRODUCTS & SOLUTIONS:

Rugged rack mount Computers for harsh environments

Advanced storage solutions for mission-critical applications

High performance Real-time Digital Video recorders/Image acquisition systems

Broadcast and multimedia

Data Acquisition

Advanced Surveillance and Security systems

PRODUCT HANDLING & MANUFACTURING PROCESSES:

Cepoint applies stringent Quality and manufacturing process in every job or product

Vendors and parts are carefully selected

Every project, job or product is per custom More... basis and with respect to customer requirements

 Third party testing is used where necessary

 Cepoint adheres to ISO 9001/9002 standard Less",,$250 Mil. and over,500-999  Employees,"Imaging Systems: Digital
Airborne Imaging Systems
Imaging Systems


Medical Imaging Systems
Video Imaging ID Systems
Video Imaging Systems","All Products / Services

Analyzers
Archive Systems
Arrays
Audio Visual (AV) Equipment
Bridges
Cameras
Cold Chain Equipment
Communication Services
Communication Systems
Computer and Communication Terminals
Computers
Conferencing Equipment


Conferencing Services
Consulting Services
Controls and Controllers
Data Acquisition Systems
Data Loggers
Disk Subsystems
Displays
Distribution Systems
Embedded Systems
Enclosures
Encryption Systems
Fire Fighting Electronics

View all products / services offered"
VISIONx Inc.,888-779-3094,http://www.visionxinc.com,"Pointe-Claire, QC H9R1A6",Manufacturer,"Manufacturer of machine vision, image analysis, visual inspection, general defect detection and metrology software and hardware including digital comparators, 3D inspection and measurement systems, visual/video inspection systems, field of view systems, 5 axis inspection and measurement systems, non-contact inspection systems, optical character recognition and verification (OCR/OCV) systems, automated optical inspection (AOI) systems, cable cross-section measurement systems and standalone inspection systems. Other capabilities include optics, electro-mechanical design and assembly, CNC machining and turning, sheet metal fabrication, multi-axis motion control, electronics and systems programming as well as controls engineering and integration.","VISIONx products are very powerful and very easy to use. They are being applied to successfully solve a broad range of applications in a vast number of different industries.

Our products are versatile and used directly on the shop floor by production and quality-control personnel, in the lab by design engineers and scientists, and in the field to solve mobile and general non destructive testing (NDT) applications. 

Companies of all sizes use our products: small shops with just a handful of employees, universities, national research labs and industrial giants with facilities across the world and thousands of employees.

We are continuously working to enhance our products, so that they may offer our customers ever-increasing benefits: better accuracy, less operator-dependent error, higher level of automation, shorter cycle time, the ability to successfully solve new applications, etc. We also customize our off-the-shelf products - quickly and cost-effectively - in response to the specific More... requirements of a customer's application. This application-specific product customizing helps customers with difficult one-of-a-kind requirements.

 Our products are sold through a worldwide network of dealers, distributors, integrators and Original Equipment Manufacturers (OEMs).

 VISIONx INC. is ITAR-compliant and conforms to the ISO 10360 standard for the accuracy testing and performance verification of coordinate measurement machines, including ISO 10360-7 standard that deals specifically with optical coordinate measurement machines.

 Mission, Vision, and Values:

 Our mission is to be the leading provider of advanced visual inspection & high-accuracy measurement solutions in our targeted market segments.

 We intend to grow through scientific & technical innovation, ever deeper & broader relationships with our customers, and positive collaborative relationships with our partners and suppliers.

 We offer customers a winning total-value proposition including superior technology, competitive pricing and flawless execution on all aspects of their customer experience.

 We provide our employees with advantageous conditions, freedom to express their talents & contribute, support when needed, a positive & stimulating work environment and opportunities for personal growth.

 We value Respect at all times, towards everyone. We value curiosity & innovation and we have a strong culture of continuous improvement. Our employees, our suppliers & partners, our customers and our communities can count on us to govern ourselves responsibly, at all times. We have a deep conviction that mutually beneficial collaboration multiplies what we can accomplish. We partner well. Our customers are our best teachers and we listen to them attentively. The problems with which they are faced today fuel and direct our innovation and allow us to provide them tomorrow with the solutions they require. Less",www.linkedin.com/company/visionx-inc,Under $1 Mil,10-49  Employees,"Imaging Systems: Digital
Imaging Systems
Imaging Systems: Optical


Imaging Systems: Radiographic
Vision Systems","All Products / Services

Automation Services
Automation Systems
Boards
Cameras
CMM Machinery
Comparators
Fixtures
Gages
Grabs
Graphs
Hardware
Holders


Imaging Equipment
Inspection Equipment
Inspection Services
Integration Services
Lasers
Lenses
Lights
Machine Vision Systems
Measuring Equipment
Microscopes
Modules
Optics

View all products / services offered"
