Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
"Exsenco, LLC - US division for Santest Co.",855-892-1434,http://www.exsenco.com,"Corpus Christi, TX 78427",Distributor,"Distributor of measurement, sensing and control products for precision measurement of displacement, level, position, pressure, force, flow-rate and temperature applications. Various products available include probes, thermometers, servo controllers, non-contact on-off switches, proportional solenoid or direct acting high speed servo valves, linear encoders, shock data loggers, digit LED displays, rotary resolvers, linear gauges and sensors. High performance analog, high end digital, CC-link certified and adaptive servo controllers are also offered. Custom options and accessories such as floats and magnets are also provided.","EXSENCO, LLC, offering consultancy in the general area of control systems engineering, is the U.S. division for SANTEST, Co. Ltd. from Osaka Japan. Through advancing the state-of-the-art contributions while maintaining extraordinarily high quality standards, Santest has dedicated its efforts towards optimizing the performance of magnetostrictive displacement transducers to facilitate their successful use in cases where incremental encoders can be replaced by these absolute transducers. We believe that success will follow innovation. Improvements in R&D, manufacturing and reliable delivery have elevated accuracy standards so that new applications are occurring daily in detection systems for advanced industrial applications and specialized machinery. We are proud of Santest's worldwide acceptance, based on its performance and quality.",,Not Available,Not Available  Employees,"Modules: Digital I/O
Modules: I/O
Modules


Modules: Control & Switching
Modules: Display
Modules: Display, LED","All Products / Services

Sensors / Detectors / Transducers
Encoders
Modules
Switches
Valves
Amplifiers
Cold Chain Equipment
Data Loggers
Motor Controllers and Drives
Vaccine Cold Chain Supplies and Logistics
Controls and Controllers


Displays
Floats
Gages
Instruments
LEDs
Magnets
Measuring Equipment
Probes
Recorders
Resolvers"
Siemens Process Instrumentation,855-628-0145,http://www.usa.siemens.com/pi,"Harleysville, PA 19438",Manufacturer,"Manufacturer of process instrumentation for pressure, temperature, flow, level and weight measurement. Products include pneumatic valve positioners, calculators, flow or motion sensors, weighing scales, transmitters, transducers, regulators, relays, feeders and process protection devices. Plant device management maintenance stations are also available. Accessories such as input and output isolators, instrumentation displays, monitoring devices and adapters are offered.","Siemens Process Instrumentation brings you innovative measurement solutions to increase plant efficiency and enhance product quality, including flow, temperature, pressure, level, weighing and valve positioning. And we understand that in the process industry, every second counts which is why we offer world-class engineering, testing and production directly from our 183,000 sq. ft. state-of-the-art manufacturing facility in North America. Your production doesn't stop, so why would we? Siemens delivers the instruments you need and the reliability you depend on, with same-day shipping and service available 24 hours a day, 365 days a year.",www.linkedin.com/company/siemens-industry-us,$250 Mil. and over,1000+  Employees,"Modules: Digital I/O
Interface Modules


Modules
Modules: I/O","All Products / Services

Flowmeters
Sensors / Detectors / Transducers
Cells
Scales
Transmitters
Positioners
Controls and Controllers
Measuring Equipment
Process Machinery
Adapters
Ammeters
Calculators
Corrosion Resistant Products


Displays
Feeders and Feed Systems
Filters
Handling Equipment
Instruments
Isolators
LEDs
Meters
Modules
Monitoring Systems
Monitors
Plant Equipment
Recorders

View all products / services offered"
AutomationDirect,855-789-6828,https://www.automationdirect.com,"Cumming, GA 30040-5860",Distributor,"Distributor of automation and industrial control products. Various products include drives, motors, beacons, cable ties, cables, sensors, circuit breakers, contactors, cord grips, counters, disconnects, relays, enclosures, encoders/optical transducers, Ethernet products, connectors, flexible electrical tubing, switches, fuses, gearboxes, gloves, HMI/operator interfaces, HMI software, lights, software, junction blocks, displays, modems, monitors, motion controls, multi-wire connectors, plugs, connectors, receptacles, pneumatic parts, pneumatic cylinders, pneumatic fittings and couplings, valves, hoses, power distribution blocks, power supplies, pressure gauges, safety glasses, safety light curtains, signal conditioners, stroboscopes, tachometers, thermometers, tools, wire and wire duct. Suitable for wide variety of industries such as automotive, food and beverage, packaging, waste water, pharmaceutical and oil and gas. AutoCAD files accepted. Most items available in stock for immediate shipping.","AutomationDirect is a well-known distributor of thousands of industrial automation products, such as programmable logic controllers (PLCs), AC drives/motors, operator interfaces/HMI, sensors, NEMA enclosures, pneumatic components, cut-to-length cable, machine safety equipment, and much more. In business since 1994, the company headquarters is located just north of Atlanta, Georgia.

Ordering is easy and their service is exceptional.

Their online store is one of the most exhaustive in the industry - all technical documentation can be downloaded free of charge, and hundreds of instructional videos are available for viewing without registration. Free online PLC training is also available to any user who registers.

Shipping is super-fast and free on orders over $49. AutomationDirect maintains a huge inventory with an intuitive website which makes self-service easy. Useful tools such as product selectors, a 3-D CAD viewer, and more help users to do their job.

Most all products come with a 30-day More... money-back guarantee including software (see Terms and Conditions for certain exclusions). Less",www.linkedin.com/company/80083/,Not Available,200-499  Employees,"Modules: Digital I/O
Interface Modules
Modules


Modules: Control & Switching
Modules: I/O
Modules: Logic","All Products / Services

Motor Controllers and Drives
Electric Wire, Cable and Cable Assemblies
Enclosures
Automation Systems
Pneumatic Systems
Sensors / Detectors / Transducers
Controls and Controllers
Drives
Breakers
Motors
Displays
Blocks


Interfaces
Software
Cylinders
Lights
Protectors
Raceways
Racks
Relays
Suppressors
Switches
Thermal Management Materials
Actuators

View all products / services offered"
WAGO Corp.,855-927-0576,https://www.wago.com/us/,"Germantown, WI 53022",Manufacturer,"Manufacturer of I/O Fieldbus devices, power supplies and Profibus components. Various products available include adapters, antennas, terminal blocks, connectors, relays, housings, voltage taps, UPS, interface modules, switches, touch panels, I/O modules, bus couplers, converters, controllers, labels, modules, mountings, plugs, cables, sensors, transformers, tubing and terminal strips. Also a distributor of fuse testers. Accessories such as carriers, interface ports, micro SD cards, screws, steel carrier rails and ferrules available. Crimpers, cable cutters, pliers, strippers, cable knives, T wrenches, cable ties, sleeves, transceivers, tapes, sockets, screwdrivers, pins, nuts, separator plates, cable markers, lockouts, levers, jumpers, brackets and circuit breakers are also provided. Serves the automotive, railway system, power engineering, building, lighting, marine, offshore and process industries. Most items available in stock. RoHS compliant. JIT delivery.","For over 35 years, we have been pioneering innovative connection systems in electrical engineering and electronics interface with our CAGE CLAMP® spring pressure connection technology. Today, our fieldbus independent WAGO-I/O-SYSTEM brings advanced functionality, flexibility, and freedom to the most complex automation applications. Our customers know through unconditional performance, support, and reliability that we empower them to execute the safe, efficient operation of their systems every time.",www.linkedin.com/company/wago-corporation,$100 - 249.9 Mil,200-499  Employees,"Modules: Digital I/O
Interface Modules
Modules
Modules: Control & Switching
Modules: Filter


Modules: I/O
Modules: I/O Bus Coupler
Modules: I/O, IP67
Modules: I/O, J1939","All Products / Services

Printed Circuit Boards
Connectors
Controls and Controllers
Power Supplies
Contacts
Relays
Assemblies
Blocks
Motor Controllers and Drives
Electronic Components


Adapters
Amplifiers
Antennas
Arresters
Batteries
Boards
Brackets
Breakers
Busbars
Buses

View all products / services offered"
Rockwell Automation,888-898-3275,https://www.rockwellautomation.com/en-us.html,"Milwaukee, WI 53204 | Locations",Manufacturer,"Manufacturer of power, control and information solutions. Products and technologies include circuit and load protection, industrial computers and operator interfaces, connection devices, drives and motors, energy monitoring, input/output modules, lighting control, motion control, networks and communications, power supplies, programmable controllers, pushbuttons and signaling devices, relays and timers, safety products, sensors and switches, signal conditioners, information solutions and services. Brands include Allen-Bradley and FactoryTalk.","We connect the imaginations of people with the potential of technology to expand what is humanly possible, making the world more intelligent, more connected and more productive. Our strategy is bringing the connected enterprise to life. We help industrial companies and their people be more productive by integrating control and information across the enterprise.

Offerings Include:

- Logix - the only control platform that performs discrete, hybrid and process applications in a single hardware and software environment

- Visualization and scalable analytics software

- Secure EtherNet/IP network infrastructure

- Safety products and systems

- Intelligent motor control products and systems

- Full range of automation systems and smart components",www.linkedin.com/company/rockwell-automation/,$250 Mil. and over,1000+  Employees,"Modules: Digital I/O
Electronic Control Modules
Interface Modules


Modules
Modules: I/O
Modules: I/O, IP67","All Products / Services

Controls and Controllers
Sensors / Detectors / Transducers
Switches
Panels
Power Supplies
Contactors
Motor Controllers and Drives
Software
Curtains
Relays
Blocks
Breakers


Conditioners
Electric Wire, Cable and Cable Assemblies
Enclosures
Encoders
Network Equipment
Networks
Accelerometers
Actuators
Alarms
Analytical Services
Automation Systems
Barriers

View all products / services offered"
Wieland Electric Inc.,800-943-5263,https://www.wieland-americas.com,"Mississauga, ON L5M2R7",Manufacturer,"Manufacturer of standard and custom electrical components. Products include DIN rail terminal blocks, multipole connectors, printed circuit boards, relays, and uniterruptible power supplies. Cable glands, adapters, barriers, ducts, sensors, power distribution systems, optoelectronic devices, curtains, grids, and trays are provided. Safety consulting and training services are also offered. Serves the conveying, logistics, horticulture, lighting, safety, energy, and machine building industries.","Wieland Electric is a 100-year-old pioneer in the electrical connections industry. In that time we have distinguished ourselves by innovating electrical systems which save valuable installation time, provide higher safety for workers, and better value over time to your application. Wherever you need power, Wieland is there.",,$1 - 4.9 Mil,10-49  Employees,"Modules: Digital I/O
Modules: I/O
Electronic Control Modules
Interface Modules


Modules
Modules: I/O Bus Coupler
Modules: Power Distribution
Power Modules","All Products / Services

Electric Wire, Cable and Cable Assemblies
Connectors
Controls and Controllers
Switches
Power Supplies
Distribution Systems
Relays
Conductors
Disconnects
Modules
Optoelectronics


Actuators
Adapters
Amplifiers
Arresters
Barriers
Blocks
Brackets
Breakers
Buses
Clamps
Conditioners

View all products / services offered"
"PCE Americas, Inc.",844-842-6529,https://www.pce-instruments.com/f/t/us/main.htm,"Jupiter, FL 33458",Manufacturer,"Manufacturer of instruments and related products for commercial, industrial, university and research institution applications. Selection includes analytical, baby, basis weight, carat, compact portable, gold, GSM, jewelry, pharmacy, precision, spring, weighing, moisture, electronic and laboratory balances, animal weighing, approved, hand pallet truck, hanging, health, HGV, benchtop, bench counting, parcel, part counting, portioning, platform, dual display, checkweighing, controlling, container, crane, livestock, system, shipping, table top, trade approved, washdown, floor and lifter scales, measuring instruments and laboratory equipment.",,,Under $1 Mil,1-9  Employees,"Modules: Digital I/O
Modules


Modules: I/O
Remote Data Acquisition Modules","All Products / Services

Flowmeters
Borescopes
Measuring Equipment
Cold Chain Equipment
Data Loggers
Meters
Vaccine Cold Chain Supplies and Logistics
Analyzers
Cameras
Instruments
Photometers
Scales
Accelerometers


Gages
Magnetometers
Alarms
Anemometers
Balances
Beams
Calibration Services
Calibrators
Cells
Coating Services
Coatings
Colorimeters
Controls and Controllers

View all products / services offered"
Pizzato USA,833-979-1690,https://www.pizzatousa.com/index.php,"East Syracuse, NY 13057",Manufacturer,"Manufacturer of switches, safety devices, HMI components and elevator devices. Types of switches include position, foot, high temperature, micro, pushbutton, selector, cam and actuating. Safety sensors, handles, modules, pushbuttons, contact blocks, sockets, indicator lights, potentiometers, joysticks, housings, illuminated discs, buzzers and elevator control stations offered. Accessories such as connectors, actuators, security screws, fixing plates, LED signaling lights, cable glands, nut and cables are also provided. Most items available in stock. REACH and RoHS compliant.","Pizzato Elettrica is one of the leading European manufacturers of position switches, microswitches, safety devices, safety modules, foot switches, control and signalling devices, and devices for elevators. An entrepreneurial company such as Pizzato Elettrica bases its foundations on a solid and widely shared value system. The pillars that form the basis of the company's work have remained constant, and constitute the fundamental guiding principles for all company activities.

Passion for quality

Passion for product quality, orientation towards excellence, innovation, and continuous development, represent the key principles of Pizzato Elettrica's everyday work. Anyone using Pizzato Elettrica's products does so in the certainty that these devices are of certified quality since they are the result of a process that is scrupulously controlled at every stage of the production. The company's goal is to offer the market safe, reliable, and innovative solutions.

Care for the customer

In order to More... be successful, a product must respond to the specific needs of those who will use it. Market developments must be carefully monitored in order to understand, in advance, which new applications will prove themselves truly useful. This is why Pizzato Elettrica has always cultivated close synergies with the companies that have chosen it as a supplier, using this continuous dialogue to identify the potential developments of the own product range in order to make it highly flexible, complete and capable to respond to the most diverse needs.

 100% made in Italy

 All Pizzato Elettrica products are designed, developed, and tested entirely at the 5 company plants in Marostica, in the province of Vicenza in Italy. The company is thus able to meet specific customer requirements at all times, by offering a comprehensive range of products and technologically advanced solutions. Less",www.linkedin.com/company/pizzatousa/,Not Available,Not Available  Employees,"Modules: Digital I/O
Modules


Modules: I/O","All Products / Services

Switches
Guards
Lights
Controls and Controllers
Interfaces
Interlocks
Relays
Sensors / Detectors / Transducers
Actuators
Blocks
Boxes
Buttons
Buzzers


Caps
Connectors
Elevator Parts
Glands
Handles, Pulls and Levers
Holders
Housings
Joysticks
Modules
Nuts (Fasteners)
Plates
Pulleys
Resistors

View all products / services offered"
Classic Automation,844-865-6740,https://www.classicautomation.com/,"Webster, NY 14580",Remanufacturer,"One-stop-shop remanufacturer of surplus parts for installed control systems, drives, and servo motors. Provides a wide selection of components from many different manufacturers and systems as well as repair services, diagnostics, and program transfer.","Open for online business

Classic Automation serves key industries vital to combating the Coronavirus pandemic. These include critical manufacturing processes such as pharmaceuticals, food and beverage, pulp and paper, utilities, and more. As always, ""We help keep the world's production running"" - and it is important that we continue to operate with this in mind.

Extend the life of your installed control systems, drives, and servo motors with new and refurbished parts and repair services. Reduce your maintenance costs with surplus parts from our extensive inventory for control systems (DCS, PLC, CNC), panel controllers, HMIs, industrial PCs, drives, power supplies, and servo motors. All parts and repairs come with a 2-year warranty.",www.linkedin.com/company/classic-automation,$10 - 24.9 Mil,50-99  Employees,"Modules: Digital I/O
Electronic Control Modules
Interface Modules
Modules
Modules: Amplifier


Modules: Control & Switching
Modules: Display
Modules: Filter
Modules: I/O
Modules: I/O Bus Coupler

View all Modules categories","All Products / Services

Controls and Controllers
Motor Controllers and Drives
Maintenance and Repair Services
Drives
Printed Circuit Boards
Adapters
Backplanes
Bases
Blocks
Boards


Brackets
Breakers
Buses
Cards
Chassis
Circuits
Computer and Communication Terminals
Computer Mice (Mouses)
Computers
Connectors

View all products / services offered"
Axiomatic Technologies Corp.,855-924-3232,https://www.axiomatic.com/,"Mississauga, ON L4Z1Z8",Manufacturer,"Manufacturer of electronic controllers and power conversion products. Controllers, chargers, drives, operator interfaces, converters, control systems, inclinometers, gyroscopes, power supplies, simulators, sensors, sensors, signal conditioners, surge protectors and arrestors are provided. Distributed, CAN bus, engine management, electronic, machine, motor controllers, DC to DC, AC to DC, protocol converters, Ethernet, Modbus, RS-232, RS-485, RS-422, CANopen, SAE J1939, signal, step up and step down power converters are offered. Triaxial or level sensors, lithium-ion and solar battery chargers are available. Provides OEM solutions to meet design project requirements. Used in buses, cranes, trucks, vehicles, floor machines, stationary engines, agricultural, airport, off-highway, on-highway, mining and construction equipment. Suitable for automation, instrumentation, marine, material handling, military, rail, robotic, telecommunication applications. RoHS and REACH compliant. CE marking available.","We provide efficient, innovative control and power solutions that focus on adding value for our customers. We emphasize service and partnership with our customers, suppliers, and employees to build long term relationships and mutual trust.",www.linkedin.com/company/axiomatic-technologies-corporation,Not Available,50-99  Employees,"Modules: Digital I/O
Modules: I/O
Interface Modules


Modules
Modules: I/O, J1939","All Products / Services

Power Supplies
Controls and Controllers
Motor Controllers and Drives
Modules
Suppressors
Converters
Chargers


Conditioners
Emergency Power & Lighting Supplies
Hurricane Response
Inclinometers
Interfaces
Sensors / Detectors / Transducers
Simulators"
