Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
"Xylem, Inc.",855-280-7822,https://www.xylem.com/en-us,"Rye Brook, NY 10573 | Locations",Manufacturer,"Manufacturer of submersible, end suction, vertical, horizontal and solid handling pumps for water treatment application. Types include submersible column, slim line, dewatering and magnetically coupled pump. Portable generators, heat exchangers, hose, hydro turbines, lights, mixers, ejectors, controls, monitoring systems and light towers are also available. Accessories such as spare parts kits, engine service kits, hoses, pipe, fittings, controllers, pump enclosures and temporary road ramps provided. 24/7 field, design, installation, rental, on-site, water consulting and training services offered. Serves the agriculture, aquaculture, water park, construction, energy and power industries.","With home offices on two continents, 32 U.S. rental branches, and a network of more than 400 distributor locations worldwide, Godwin Pumps maintains a fleet of 6,000 portable pumps and 3,200 pieces of related equipment for use in construction dewatering, mining, drinking water supply and water/wastewater bypasses. We manufacture, rent and sell all our products, including the fully automatic self-priming Godwin Dri-Prime pump and accessories for immediate rental or sale.",,$250 Mil. and over,500-999  Employees,"Thermometers: Digital
Thermometers
Thermometers: Celsius or Centigrade
Thermometers: Chemical
Thermometers: Infrared


Thermometers: Laboratory
Thermometers: Non-Contact
Thermometers: Precision
Thermometers: Surface Temperature","All Products / Services

Pumps
Purifiers
Hose
Disinfection Systems
Hurricane Response
Infrastructure Protection Supplies
Maintenance and Repair Services
Pump Parts
Pumping Systems
Rental and Leasing Services


Stations
Actuators
Aerators
Alarms
Analyzers
Blowers
Boosters
Breakers
Cartridges
Changers

View all products / services offered"
"Thermocouple Technology, LLC",844-226-6504,https://www.tteconline.com/,"Quakertown, PA 18951-1736",Manufacturer,"Manufacturer of a full-line of temperature measurement products including thermocouples, RTD's, thermowells, transmitters, thermocouple wire, indicators, controllers & accessories. Field cuttable, platinum RTD's, thermowells & RTD's, industrial, high temperature, OEM custom designs, multipoint assemblies, sanitary, surface, PTFE encapsulated & hand-held probes, head & DIN rail transmitters, single & multiplair wire, protection tubes, junction boxes, heads, connectors, indicators, controllers, scanners & NIST calibrations available.","Thermocouple Technology, LLC. (TTEC) is an experienced group of professionals dedicated to the mission of providing precision temperature measurement and control devices for industry. Our pledge is to meet or exceed the requirements of our customers, joining with them and using our engineering and design resources to ensure that key process temperatures are being measured in the most accurate, efficient and reliable way.

TTEC products are being utilized at this moment by world-class companies to help them achieve their goals through accurate monitoring and control of temperatures in the Power generation, chemical/petrochemical, pharmaceutical, pulp and paper, aircraft and aerospace and steel industries. TTEC products also play key roles in the following important industries: cement, food processing, gas transmission, waste treatment, OEM's, semiconductor, plastics, ceramics, brick and clay, ferrous and non-ferrous metals, heat treating, industrial gases, building products, tire and rubber, More... medical, energy management, automotive, military, and many others. Less",www.linkedin.com/company/thermocouple-technology-inc./about/,$1 - 4.9 Mil,10-49  Employees,"Thermometers: Digital
Meters: Temperature
Temperature Measurement Equipment
Thermometers


Thermometers: Liquid Crystal Display
Thermometers: Medical
Thermometers: Pocket
Thermometers: Thermocouple","All Products / Services

Thermocouples
Thermowells & Protection Tubes
Sensors / Detectors / Transducers
Electric Wire, Cable and Cable Assemblies
Transmitters
Adapters
Assemblies
Bayonets
Blocks
Calibration Services
Cold Chain Equipment


Connectors
Controls and Controllers
Corrosion Resistant Products
Covers
COVID-19 Response
Cutters and Cutting Machinery
Data Loggers
Fittings
Hardware
Heads
Indicators

View all products / services offered"
"Total Refrigeration Gaskets, Inc.",888-635-0627,http://www.therightgasket.com/index.html,"Apopka, FL 32703-7740",Manufacturer,"Specializes in making commercial refrigeration doors close and seal. With over 35 different gasket profiles, core business is door gaskets, but hinges, latches and other door accessories are a major product offering as well. Gaskets are custom made to customer specifications or cross referenced to the manufacturer's part numbers. Products must pass a five step quality control check before being shipped all over the world to manufacturers, supply houses, contractors and restaurants.","About Total Refrigeration Gaskets, Inc.

TRG has been in business since 1989 and our job has always remained the same. It is to provide our customers with fast, friendly and knowledgeable service. Our sales staff has over 35 years experience in refrigeration gaskets and hardware. When an order is placed with TRG, the customer benefits from the fact that we know what you are talking about. Our training and hands-on installation experience assures a high level of service that is dedicated to supplying our customers with the right part at the right price.

Our 8,100 sq. ft. facility allows us to stock a wide variety of hardware from a majority of manufacturers. TRG stands for quality. Each gasket that we make must pass a 5 step quality control test. Our gaskets are made from PVC extrusion just like the OEM and are guaranteed to fit within 1/8"". 

At TRG we believe in doing it right the first time. We offer each valued customer fast, friendly and knowledgeable service. If you want quality More... gaskets and hardware for your refrigeration units call Total Refrigeration Gaskets, Inc. Less",,$1 - 4.9 Mil,10-49  Employees,"Thermometers: Digital
Thermometers
Thermometers: Dial
Thermometers: Electronic
Thermometers: Freezer


Thermometers: Liquid Crystal Display
Thermometers: Pocket
Thermometers: Refrigeration, Cold Storage
Thermometers: Surface Temperature","All Products / Services

Gaskets
Foodservice Equipment
Curtains
Shelves and Shelving
Cafeteria Equipment
Handles, Pulls and Levers
Hardware
Hinges
Refrigeration Parts
Restaurant Equipment


Adhesives
Aluminum
Assemblies
Bakery Machinery
Brackets
Bushings
Caps
Cartridges
Cases
Catches

View all products / services offered"
Tempco Electric Heater Corp.,855-242-0230,https://www.tempco.com/,"Wood Dale, IL 60191-1452",Manufacturer,"ISO 9001 certified manufacturer of standard and custom electric heating elements, temperature controllers or sensors and heating systems. Band, cartridge, cast-in, ceramic fiber, coil or cable, flexible, screw plug immersion, infrared, process, strip and tubular heaters are offered. Instrumentation products such as melt-pressure transducers, gages, melt pressure electronic indicators or sensors, multimeters, displays or temperature displays, recorders and temperature transmitters, videographic data loggers and rotating electric connectors are also available. Serves the aerospace, automotive, chemical processing, medical and power generation industries. CSA approved. CE certified. RoHS compliant. UL listed. Made in the USA.","Tempco was established in 1972 and continues to produce custom manufactured electric heating solutions to original equipment manufacturers and end users worldwide. Our products are sold both nationally and internationally through a network of sales representatives and distributors and through our own distribution center located in Mexico City.

Tempco stands behind its premium quality products, expert customer service, and industry leading turn-around times for order sizes small and large. Visit our website to learn more about our company and products.

Product Types:

Electric heating elements, temperature sensors, temperature controls, process heating system.

Manufacturing Highlights:

ISO 9001:2015 certified, custom engineering and manufacturing, CNC machine shop and CNC sheet metal department, aluminum and bronze foundry, wood pattern shop, UL 508A certified panel shop.

Industries Served:

Aerospace, automotive, chemical processing, commercial dishwashing equipment, cryogenics, degreasing, More... equipment, distillation, food processing, laboratory equipment, medical industry, packaging, plastics processing, power generation, recycling, scientific, semi-conductor manufacturing, steam generation, storage tanks, transportation. Less",www.linkedin.com/company/tempco-electric-heater-corporation/,$25 - 49.9 Mil,200-499  Employees,"Thermometers: Digital
Pyrometers
Pyrometers: Digital
Pyrometers: Infrared
Pyrometers: Laser


Pyrometers: Non-Contact
Pyrometers: Portable
Pyrometers: Thermocouple
Thermometers
Thermometers: Bi-Metal

View all Thermometers categories","All Products / Services

Heaters
Sensors / Detectors / Transducers
Elements
Controls and Controllers
Adapters
Blocks
Bolts
Boxes
Buttons
Cold Chain Equipment


Connectors
Consoles
Contactors
Converters
COVID-19 Response
Data Loggers
Displays
Electric Wire, Cable and Cable Assemblies
Enclosures
Extenders

View all products / services offered"
Dynalab Corp.,866-830-3269,https://www.dynalon.com/PublicStore/,"Rochester, NY 14610",Manufacturer,"Manufacturer and distributor of sampling apparatus, science or laboratory equipment and supplies made from plastic material. Beakers, bottles, containers, cylinders, drying racks, bags, beta and gamma protection shields, buckets, burette, carboys, clamps, crucibles, desiccators, dippers, droppers, evaporating dishes, flasks, forceps, funnels, flow indicators, spot plates, dispensers, pipettes, swabs, spigots, vials, watch glasses, tweezers and paddles are offered. Custom fabricated products are also provided. Plastic fabrication services are also available. Capabilities include bending, forming, bonding, cutting, drilling, machining and welding services. Serves the medical and commercial sectors. Made in the USA.","In business since 1957, Dynalab Corp. is located in Rochester, NY with full distribution capabilities throughout North America. Offering our dealer network a full line plastic lab supplies including world renowned brands such as Azlon, Cowie, Kartell and Sterilin. Featuring custom plastic fabrication to meet your specific needs, we also offer a comprehensive line of Buerkle sampling equipment.

Our continued high level of service to all our customers is our paramount focus moving into the future. We look to all our customers and suppliers for your continued support going forward.",www.linkedin.com/company/dynalab-corp-,$1 - 4.9 Mil,10-49  Employees,"Thermometers: Digital
Thermometers


Thermometers: Industrial
Thermometers: Melting Point","All Products / Services

Bottles
Trays
Janitorial Supplies
Jars
Cans
Containers
Scoops
Adapters
Aprons
Aquariums
Aspirators
Autoclaves
Bags


Baskets
Beakers
Bending Services
Bins
Biologicals
Blades
Blocks
Boards
Bonding Services
Boring Machinery
Bowls
Boxes
Buckets

View all products / services offered"
"Digital Instruments, Inc.",855-893-9612,http://www.digitalinstruments.com,"Tonawanda, NY 14150",Custom Manufacturer,"Custom manufacturer of electronic equipment. Capabilities include schematics, PCB layout and prototyping. Capable of manufacturing assemblies, control systems, medical devices, electronic displays, harnesses, measuring instruments, panel meters and thermometers. Other products also offered include temperature monitors and probes and air dryer controllers and controls. Available from conceptual design state to the manufacturing of a finished product. Full-service provider. Service and warranty support also available. Serving the commercial, industrial and laboratory industries.","Digital Instruments was founded on the premise that many companies face engineering and design challenges that require outside expertise to solve. Throughout our over 40 year history, we have helped companies like Thermo Fisher Scientific, Honeywell, Parker Hannifin and many others achieve successful outcomes by being creative, offering sound advise and producing measurable results. We can be contracted for a turnkey product development project, including schematics, PCB Layout and prototyping through product manufacturing, or we can support a company by providing subassemblies, wire harnesses or box build manufacturing. We also have low cost manufacturing capabilities at our Dominican Republic Operations Center for high volume production and we produce over 100,000 custom temperature sensor assemblies each year.",,$1 - 4.9 Mil,10-49  Employees,"Thermometers: Digital
Thermometers: Infrared
Thermometers: Medical
Thermometers: Non-Contact
Meters: Temperature


Pyrometers
Pyrometers: Digital
Pyrometers: Infrared
Pyrometers: Non-Contact
Pyrometers: Portable

View all Thermometers categories","All Products / Services

Assembly Services
Manufacturing Services
Assemblies
Sensors / Detectors / Transducers
Controls and Controllers
Thermometers
COVID-19 Response
Medical Products and Hospital Equipment
Monitoring Systems
Tanks


Alarms
Consulting Services
Displays
Engineering Services
Harnesses
Instruments
Measuring Equipment
Medical Equipment
Meters
Monitors

View all products / services offered"
Bulk Apothecary,855-885-7181,https://www.bulkapothecary.com/?utm_source=thomasnet&?utm_medium=company_profile,"Aurora, OH 44202",Manufacturer,"Manufacturer and distributor of soap making supplies, fragrance or essential oils and specialty ingredients. Products available include fragrances, natural oils, wax, butters, colors, preservatives, flavors, supplements, botanicals, clays, seeds, acids, molds, herbs, spices, seeds and chemicals. Packaging materials such as crates, baskets, jars, bags, labels, shipping supplies, bottles, tins, closures and stand-up pouches are also available. Hand sanitizers, masks, gloves, face shield visors, muscle pain topical, diffusers, Himalayan salt lamps and gift sets offered. Labeling, formulating, filling and packaging services provided.","Bulk Apothecary was founded in mid-2010 as a small brick and mortar specialty retailer in Streetsboro, Ohio and has since grown to become one of the nation's largest online suppliers of natural ingredients and essential oils. Our main focus from the beginning was soap and candle making supplies, but word of our fantastic prices, amazing quality and excellent customer service spread. Within 3 years, we expanded our offering to a wide range of specialty ingredients and vitamin supplements and had a dominant online presence that was growing by the day. Today, we still operate our small store in Streetsboro, Ohio but also have an online presence that's growth is nothing short of amazing. This growth has come from a strong focus on our 5 founding principles.

1) We source the finest quality ingredients and supplies from ethical producers around the world.

2) We supply all of our products at market leading prices with no gimmicks.

3) We never sacrifice quality for price.

4) The customer is always More... right and customers should always be treated the way our customer service reps would like to be treated.

 5) Appreciate every customer, large and small and do your best to service them.

 From our experience, if you stick to your principles, the business will take care of itself. These beliefs have allowed us to do great things.

 We now also have Nature's Oil line of products under our corporate umbrella. Nature's Oil is a complete line of natural oils and supplements that can be found in your local health food, grocery, and craft store. Less",,$25 - 49.9 Mil,100-199  Employees,"Thermometers: Digital
Thermometers
Thermometers: Hand Held
Thermometers: Industrial
Thermometers: Infrared


Thermometers: Infrared, Portable
Thermometers: Liquid Crystal Display
Thermometers: Non-Contact
Thermometers: Precision
Thermometers: Surface Temperature","All Products / Services

COVID-19 Response
Janitorial Supplies
Gloves
Medical Personal Protective Equipment (PPE)
Oils
Soap
Disaster Preparedness Supplies
Disinfectants, Sanitizers, Soap and Cleaners
Hurricane Response
Butter


Cosmetics
Sweeteners
Candles
Fragrances
Personal Care Products
Private Label Manufacturing
Sprays
Wax
Advertising Specialties, Novelties, and Promotional Products
Aggregates

View all products / services offered"
"Fillmore Container, Inc.",888-586-2547,https://www.fillmorecontainer.com/,"Lancaster, PA 17601",Distributor,"Wholesale supplier of rigid packaging, food preservation supplies, and candle-making supplies. Products include glass jars, bottles, mugs, jugs as well as metal and plastic closures, soy candle waxes, soy-tested fragrance oils, candle wicks, and related accessories.","You single source for quality glass containers, closures and accessories.

Whether you need a case, a pallet or a truckload, Fillmore Container is dedicated to supplying the best price, service and logistical support for your packaging needs.",,$10 - 24.9 Mil,10-49  Employees,"Thermometers: Digital


Thermometers","All Products / Services

Bottles
Jars
Containers
Wax
Candlemaking Machinery
Airlocks
Bands
Bell Jars
Candles
Canners
Caps
Clamshells
Closures
Covers


COVID-19 Response
Destoners
Dippers
Disaster Preparedness Supplies
Dispensers
Droppers
Fragrances
Funnels
Gages
Glassware
Hurricane Response
Janitorial Supplies
Lids
Medical Products and Hospital Equipment

View all products / services offered"
"PCE Americas, Inc.",844-842-6529,https://www.pce-instruments.com/f/t/us/main.htm,"Jupiter, FL 33458",Manufacturer,"Manufacturer of instruments and related products for commercial, industrial, university and research institution applications. Selection includes analytical, baby, basis weight, carat, compact portable, gold, GSM, jewelry, pharmacy, precision, spring, weighing, moisture, electronic and laboratory balances, animal weighing, approved, hand pallet truck, hanging, health, HGV, benchtop, bench counting, parcel, part counting, portioning, platform, dual display, checkweighing, controlling, container, crane, livestock, system, shipping, table top, trade approved, washdown, floor and lifter scales, measuring instruments and laboratory equipment.",,,Under $1 Mil,1-9  Employees,"Thermometers: Digital
Pyrometers
Pyrometers: Analog
Pyrometers: Contact
Pyrometers: Digital


Pyrometers: Infrared
Pyrometers: Non-Contact
Pyrometers: Portable
Pyrometers: Recording
Pyrometers: Surface Temperature

View all Thermometers categories","All Products / Services

Flowmeters
Borescopes
Measuring Equipment
Cold Chain Equipment
Data Loggers
Meters
Vaccine Cold Chain Supplies and Logistics
Analyzers
Cameras
Instruments


Photometers
Scales
Accelerometers
Gages
Magnetometers
Alarms
Anemometers
Balances
Beams
Calibration Services

View all products / services offered"
Acrolab Ltd.,844-517-1296,https://www.acrolab.com/,"Windsor, ON N8S2B7 | Locations",Manufacturer,"Manufacturer of standard and custom temperature sensors, heaters, Isobar heat pipes, platens, protection tubes and thermocouples. Also, distributes mold sprays and degreasers. Accessories include lead wire, mold insulation boards, connectors, cables, fiberglass tapes, thermocouple plugs, jacks and nozzle manifold seal rings. Services such as research, development, thermal analysis and engineering provided. Serves the automotive, aerospace, filament winding, pultrusion processing, packaging, sealing system and injection molding industries. CGP registered.","By understanding thermodynamics Acrolab has developed exclusive isobar technology for the plastics, rubber, composites, and electronics, industries; with applications ranging from pultrusion, extrusion, injection, RTM, plastic welding, sealing, thermoforming, compression, filament winding, electronics cooling, and many more. 

Since 1948 Acrolab has been offering products and design support for: heaters, thermocouples, RTDs, thermal tooling simulations, tooling insulation, and Isobar heatpipes. Allow our exclusive technologies and vast thermal experience get you ahead of the curve.

Thermal Engineering Firm Acrolab Ltd designs and supplies thermal products, solutions and turnkey systems from tool heating and/or cooling design, to system integration design; and everything in between.",www.linkedin.com/company/acrolab-ltd./,Not Available,10-49  Employees,Thermometers: Digital,"All Products / Services

Panels
Heaters
Thermocouples
Elements
Sensors / Detectors / Transducers
Controls and Controllers
Packaging Machinery
Electric Wire, Cable and Cable Assemblies
Pipes
Sealing Services
Thermowells & Protection Tubes
Actuators
Adapters
Additive Manufacturing Services


Agents
Analyzers
Bagging Machinery
Bars
Blocks
Boots
Clamps
Cleaning Compounds and Chemicals
Compounds
Connectors
Engineering Services
Exchangers
Heating Equipment Parts
Indicators

View all products / services offered"
