Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
Mega Speed Corporation,888-618-2714,https://www.megaspeedusa.com/,"Minnedosa, MB R0J1E0",Manufacturer,"Manufacturer of high speed cameras including portable, handheld, digital, high resolution and PC-connected. Digital video recorders (DVRs) and custom imaging systems are also offered. Secondary services such as consulting and testing are available. Suitable for recording fast-moving objects in food processing, beverage packaging, semiconductor, research and development applications. Serves automotive, aerospace, military, biological, surface mining and pharmaceutical industries.","Mega Speed Corporation's high speed products and services are used to analyze and capture events that are too fast for the human eye to see and then play the event back in super slow motion for detailed frame by frame image analysis and report generation. Our cameras are used for testing and verification of automotive safety systems, destructive impact testing, trouble-shooting / preventative maintenance, high speed production lines, aviation flight safety, spacecraft decelerator systems, NASA rocket testing, digital image correlation, beverage packaging, pharmaceutical quality control, surface mining explosion diagnostics and general research and development applications.",,$1 - 4.9 Mil,10-49  Employees,"Recorders: Digital Video (DVRs)
Recorders
Recorders: Audio/Video, Professional


Recorders: Digital
Recorders: Videographic
Recording Equipment","All Products / Services

Cameras
Imaging Equipment


Recorders"
AEI,562-481-3276,https://www.accele.com/,"Santa Fe Springs, CA 90670",Manufacturer,"Manufacturer of vehicle security, hardware and audio electronic gadgets. Various products available include actuators, adapters, alarms, amplifiers, baffles, batteries, bits, blades, blocks, boards, brackets, bullets, bushings, cables, cameras, capacitors, caps, carpets, caulks, chimes, circuits, clamps, cleaners, clips, cloth, coils, conduits, connectors, contacts, controls, converters, corners, crimpers, cutters, diodes, disconnects, displays, dissolvers, drivers, drives, eliminators, extenders, fans, feet, filters, first aid kits, fuse holders, fuse taps, flashers, fuses, glue, grilles, grommets, headphones, heaters, headsets, horns, LCD hour meters, inductors, instruments, inverters, isolators, jacks, keypads, keys, knives, lamps, latches, LCD monitors, lighters, liners, locks, looms, magnets, microphones, mirrors, modulators, modules, monitors, mounts, nuts, door openers, paints, panels, pins, plates, plugs, ports, profiles, projectors, radio sets, recorders, reducers, relays, removers, resisters, rings, rockers, rulers, screens, screws, sensors, sockets, solder, solenoids, solvents, spacers, spades, speakers, splitters, testers, tips, tubes, air vents, washers, wicks and wires.","AEI is unmatched in the years of experience and expertise in the electronics industry.

We have been manufacturing and supplying the electronic industry for over 30 years.",,$10 - 24.9 Mil,10-49  Employees,Recorders: Digital Video (DVRs),"All Products / Services

Relays
Actuators
Adapters
Adhesives
Alarms
Ammeters
Amplifiers
Antennas
Audio Visual (AV) Equipment
Automotive Parts
Baffles
Batteries
Bits
Blades


Blocks
Boards
Brackets
Bulbs
Bushings
Cameras
Capacitors
Caps
Caulk
Chargers
Chemicals
Chimes
Circuits
Clamps

View all products / services offered"
"Cepoint Networks, LLC",603-557-7464,https://www.cepoint.com/,"Nashua, NH 03060 | Locations",Manufacturer,"Manufacturer of applied computing systems, industrial strength 1U Rackmount computing systems, enterprise storage raid, network communication systems, applied computing products, and technologies. Products include, 48V DC and 110V DC powered NAS servers, raid storage, imaging system, medical imaging, high speed DVR with IRIG-B, mobile computers, shipboard computers & carrier grade servers. IDE-raid, SATA Raid, NAS, ISCSI, frame grabbers, portable computers, fault-tolerant, fault-resilient computers , battery powered servers, cluster node, imaging & uncompressed video. Industries served include rf microwave, telecommunications, test and measurements, military electronics and high technologies industry, industrial, aerospace, scientific, laboratory, R & D & homeland security.","Cepoint Networks established in 2000 is a IT systems integration and manufacturing company, specializing in high performance Industrial data acquisition, industrial strength computing, Enterprise storage server products, communications, and applied computing products and technologies for scientific applications and industrial processes. 

 INDUSTRY SUPPORT:

Aerospace and Defence

Homeland Security

Broadcast and Multimedia

Information Technology

Power Grid & Generation

Manufacturing

Oil & Gas

PRODUCTS & SOLUTIONS:

Rugged rack mount Computers for harsh environments

Advanced storage solutions for mission-critical applications

High performance Real-time Digital Video recorders/Image acquisition systems

Broadcast and multimedia

Data Acquisition

Advanced Surveillance and Security systems

PRODUCT HANDLING & MANUFACTURING PROCESSES:

Cepoint applies stringent Quality and manufacturing process in every job or product

Vendors and parts are carefully selected

Every project, job or product is per custom More... basis and with respect to customer requirements

 Third party testing is used where necessary

 Cepoint adheres to ISO 9001/9002 standard Less",,$250 Mil. and over,500-999  Employees,"Recorders: Digital Video (DVRs)
Recorders
Recorders: Continuous
Recorders: Data Acquisition


Recorders: Digital
Recorders: Video, Network
Recording Instruments: Industrial & Scientific
Video Recorders: Airborne, Military","All Products / Services

Analyzers
Archive Systems
Arrays
Audio Visual (AV) Equipment
Bridges
Cameras
Cold Chain Equipment
Communication Services
Communication Systems
Computer and Communication Terminals
Computers


Conferencing Equipment
Conferencing Services
Consulting Services
Controls and Controllers
Data Acquisition Systems
Data Loggers
Disk Subsystems
Displays
Distribution Systems
Embedded Systems
Enclosures

View all products / services offered"
Fox Valley Fire & Safety,847-695-5990,https://www.foxvalleyfire.com/,"Elgin, IL 60124",Turnkey Systems Integrator,"Distributor and turnkey systems integrator of fire and safety products. Fire alarms, monitoring systems, wireless transceivers, portable and wheeled fire extinguishers, fire blanket, hose, extinguisher and valve cabinets, control panels, engineered fire suppression equipment, emergency exit lightings, inverters, security systems and sprinkler equipment are available. Fire alarm products include communication systems, detectors/sensors, pull stations, initiating devices, strobes, horns, speakers, chimes and bells. Security systems include reader and telephone access controls, proximity cards and readers, keypads, cameras and intercoms. Sprinkler products include valves, heads, switches, backflow preventers, gauges, compressors, anti-freezers and corrosion monitoring equipment. Capabilities include on-site surveying, designing, engineering, installation, training, inspection and repairing. Markets served include commercial, retail, restaurants, hospitals, schools, industrial and warehouses. 24 x 7 emergency services are available. NICET certified.","The Authoritative Source for Customized Fire & Safety Protection.

Serving Chicagoland Since 1960.

NICET Certified",www.linkedin.com/company/3334806?trk=tyah,$25 - 49.9 Mil,200-499  Employees,"Recorders: Digital Video (DVRs)
Recorders


Recorders: Digital
Recorders: Honeywell","All Products / Services

Adapters
Alarms
Amplifiers
Annunciators
Antifreeze
Appliances
Batteries
Bells
Blankets
Boxes
Brackets
Cabinets
Cameras


Caps
Cards
CCTV Equipment
Charges
Chimes
Cleaning Equipment
Communication Systems
Compressors
Connectors
Consulting Services
Contractors
Controls and Controllers
Couplers and Couplings

View all products / services offered"
"ProConnections, Inc.",978-692-2154,https://www.proconnections.com/,"Westford, MA 01886",Manufacturer,"Manufacturer of communication systems for telemedicine, healthcare and industrial applications. Products include digital video recorders, audio and video communication systems.",,,$1 - 4.9 Mil,1-9  Employees,"Recorders: Digital Video (DVRs)
Recorders


Recorders: Audio/Video, Professional
Recorders: Digital","All Products / Services

Audio Visual (AV) Equipment
Communication Systems


Conferencing Equipment
Recorders"
Platinum CCTV Security Cameras,866-537-5438,https://platinumcctv.com/,"Warrenville, IL 60555",Manufacturer,"Manufacturer of security cameras and equipment for the business and residential industries. Products include camera systems, DVR cards, nanny cameras, spy cameras, software, standalone DVRs, signs and camera accessories.","Platinum CCTV specializes in the design, construction and installation of quality security camera solutions. Each of our solutions are designed specifically to suit our clients' needs, providing video coverage for training, safety, monitoring of manufacturing lines, security and much more.

Our security camera systems go far beyond the traditional camera systems that most buildings employ, with innovative software solutions that allow our clients to quickly scan through DAYS, WEEKS or MONTHS of video in a matter of seconds to find the video they need in no time at all.

Each of our AVM security camera systems come with ongoing technical support and training to ensure that your current and future management team will be able to truly use their camera system. 

This means that our clients use their camera systems far often, receiving far better value. Contact us for a free online demo of our AVM (Advanced Video Management) camera system today.",,$10 - 24.9 Mil,10-49  Employees,Recorders: Digital Video (DVRs),"All Products / Services

Cameras
CCTV Equipment


Recorders
Security Systems"
Ambar Distributors,786-299-5141,https://ambardistributors.com/,"Miami, FL 33172",Distributor,"Distributor of electronic appliances for hotels, hospitals, restaurants, bars, convention centers and event venues applications. Products include washers, dryers, ovens, stoves, refrigerators, freezers, freezers, trash compactors, microwaves and blenders. Coffee makers, gas and electric ranges, food disposals, air conditioners, air compressors and laptops are provided. Other products such as computers, gaming consoles, tablets, DVRS (digital video recorder), cordless phones, speakers, grills and fryers are also offered. Serves the corporate housing providers, builders, designers, contractors, offices, commercial buildings, corporate sales, electronic sales and real estate agents industries.","Ambar Distributors is a wholesale Distributor, Contract-Builder Channels & Developer Distributor since 2009 in Miami FL, for Consumer Electronics, TVs, Audio & Video, Hospitality TV's & Commercial TV's. Technology, Laptops, Tablets, security cameras, DVDRs & computer Accessories. Small Appliances. Large Appliances & Commercial Appliances. Air conditioners & Water heaters.

Slogan: One stop shop ""if we don't have it, you don't need it"".",,$10 - 24.9 Mil,10-49  Employees,Recorders: Digital Video (DVRs),"All Products / Services

Audio Visual (AV) Equipment
Blenders
Coffee Makers
Compactors
Compressors
Computers
Conditioners
Consoles
COVID-19 Response
Dryers
Electronics
Freezers
Fryers
Generators


Grills
Medical Laboratory Consumable Supplies
Medical Products and Hospital Equipment
Microwave Equipment
Monitors
Ovens
Recorders
Refrigerators
Speakers
Stoves
Tablets
Televisions
Tools
Washers (Fastener & Hardware)

View all products / services offered"
"TRU-VU Monitors, Inc.",847-259-2344,https://tru-vumonitors.com/,"Arlington Heights, IL 60004",Manufacturer,"Manufacturer of standard and custom industrial-grade LCD monitors. Monitors include touch screen, rack mount, ruggedized, sunlight readable, medical grade displays, mobile, video, in-vehicle, surveillance, optically bonded, CCTV, OEM, private label, 24 VDC, 4K, HD and 4:3 aspect ratio LCD monitors. Other products include mounting brackets, wall mounts, cameras, LCD displays, monitor arms, display panels, power supplies, medical grade power supplies with green dot power cords, digital video recorders (DVRS) & LCD touch screens. Industries served include industrial, commercial, medical, pipeline video inspection, military, law enforcement, videoconferencing, telepresence, machine vision, digital signage, mobile video monitor systems, CCTV and security.","TRU-Vu Monitors, Inc. provides high-quality LCD monitors for a wide range of industries and applications, including industrial, commercial, military, law enforcement, medical, biomedical, A/V, broadcast, marine, aeronautical, and more. They are backed by our 3-Year warranty. 

TRU-Vu monitors are built with industrial-grade components for rugged, long-term performance and 24/7/365 operation. TRU-Vu monitors can be customized to meet your exact requirements. We can also custom-build monitors to your specifications. We can also private-label monitors with your company's name, logo and model number.",www.linkedin.com/company/tru-vu-monitors-inc.,$5 - 9.9 Mil,1-9  Employees,Recorders: Digital Video (DVRs),"All Products / Services

Anti-Terrorist Equipment
Arms
Audio Visual (AV) Equipment
Brackets
Cameras
Cleaning Equipment
COVID-19 Response
Diagnostic Equipment
Displays
Inspection Equipment
Law Enforcement Equipment
Machine Vision Systems


Modules
Monitors
Mounts
Panels
Power Supplies
Recorders
Screens
Security Systems
Signs
Surface Acoustic Wave Devices
Surveillance Equipment"
"Compulan Center, Inc.",972-247-1203,http://idview.com/,"Dallas, TX 75234",Manufacturer,"Manufacturer of video security equipment including cameras, monitors, digital video recorders.",,,$5 - 9.9 Mil,10-49  Employees,Recorders: Digital Video (DVRs),"All Products / Services

Cameras
Monitors


Recorders"
TRENDnet,,https://www.trendnet.com/,"Torrance, CA 90501",Manufacturer,Manufacturer of network devices.,,,$25 - 49.9 Mil,50-99  Employees,Recorders: Digital Video (DVRs),"All Products / Services

Adapters
Antennas
Cameras
Hardware
Hubs
Keyboards
Network Equipment


Panels
Recorders
Routers
Software
Splitters
Switches"
