Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
North American Signal Co.,855-744-8624,https://www.nasig.com/index.html,"Wheeling, IL 60090",Manufacturer,"Manufacturer of automotive & industrial warning lights including light bars, directional warning arrows, electronic sirens & speakers, vehicle mounting hardware, audio & visual alarms & displays. Lights include battery powered stand alone warning lights, strobe lights, revolving warning lights, LED warning lights, flashing & steady burning lights & UL listed lights. UL listed lights include strobe lights, hazardous location lights, rotating lights & incandescent flashing & non-flashing lights. Lights have amber, clear, blue, green, red & violet color domes. Replacement parts & accessories are also available including connectors, sealed-beam bulbs, domes, dome clamp rings, strobe bulbs, lenses, magnets, brackets & flashers. Warning lights are available with variety of mounting including bolt permanent mounting, magnetic mounting & pipe mounting. Flasher kits with control box for dash & wiring are also available.","North American Signal Company is an American manufacturer of automotive and industrial warning lights. Based in Wheeling, IL, North American Signal Company markets its products through distribution to all 50 states and around the world.",www.linkedin.com/company/north-american-signal-company,$10 - 24.9 Mil,10-49  Employees,"Alarms: Electronic
Alarm Signals
Alarm Systems
Alarms
Alarms: Audible


Alarms: Back-Up
Alarms: Fire
Alarms: Industrial Process
Alarms: Signal
Alarms: Visual

View all Alarms categories","All Products / Services

Lights
Emergency Power & Lighting Supplies
Hurricane Response
Alarms
Aluminum
Amplifiers
Appliances
Arrows
Attachments
Automotive Parts


Bases
Batons
Boards
Boxes
Brackets
Bulbs
Caps
Circuits
Cones
Connectors

View all products / services offered"
Krueger Sentry Gauge Co.,888-415-9419,https://www.ksentry.com/,"Green Bay, WI 54313",Custom Manufacturer,"Manufacturer of standard and custom liquid level gauges, overfill alert gauges, leak detection gauges and gauge accessories/replacement parts. Custom manufacturer of CNC machined and welded parts. Direct reading liquid level gauges, remote reading liquid level gauges, barrel liquid level gauges, digital liquid level gauges and chemical liquid level gauges are available. Types of gauge accessories and replacement parts include aluminum locknuts, audible high or low liquid level alarms, LED remote displays and repair kits. Capabilities include machining, milling, drilling, shaft work, collet and bar feed work and TIG/MIG/stick/plasma/resistance spot welding.","Our tank gauges and all of the components used on our tank gauges are produced by us or by other American Manufacturers. All of our gauges are manufactured in the USA, complying with the Buy American Act.

We are a small family owned business in Green Bay, WI. Krueger employs 15 full and part time employees. We have been in business for over 65 years and have manufactured over 3 million level gauges. Several years ago Krueger expanded the business to include a machine shop. The machine shop started as a source for us to produce some of our own parts for our gauges, and has expanded into a cornerstone of the business.

Krueger Sentry Gauge will deliver as fast as our customers require whenever possible. And there are no minumum orders.

Mission Statement: Provide a quality product for our customers, and maintain a relaxed and flexible work environment for family oriented employees. We are not a bottom line profit oriented company. Compassion for our customers and our employees is the driving More... force behind this company. Less",,$1 - 4.9 Mil,10-49  Employees,"Alarms: Electronic
Alarm Systems
Alarm Systems: Monitoring
Alarm Systems: Remote Monitoring & Reporting
Alarms


Alarms: Audible
Alarms: Battery Powered
Alarms: Level
Alarms: Liquid Level, Tank
Alarms: Low & High Water

View all Alarms categories","All Products / Services

Gages
Indicators
Monitors
Sensors / Detectors / Transducers
Tank Parts
Alarms
Bushings
Calibrators
Drilling Services
Fabrication Services


Guards
Housings
Instruments
Isolators
Job Shop Services
Kits
Locks
Machining
Measuring Equipment
Milling Services

View all products / services offered"
"Source Equipment Company, Inc.",877-469-6537,http://www.sourceequipment.com,"Leominster, MA 01453",Distributor,"Distributor of material handling and storage equipment and supplies. Products include shelving, wire carts, bins, safety and storage cabinets, containers, pallet or cantilever racks, trucks, conveyors, lift tables and workbenches. Types of trucks include hand, platform, tilt and pallet trucks. Dollies, wire partitions, anti-fatigue or anti-static mats, rails, safety guards, hoists, cranes, lockers, pallet jacks, dock and drum equipment are also offered.","Source Equipment Co., Inc. was established in 1989 and incorporated in 2000.

We're really about you ... Our mission is simply to help make your life safer and easier by eliminating the barriers and obstacles found in your home or business. We treat each and every client with the respect and attention they deserve from a company that cares.

For over 20 years, Source Equipment Co., Inc. has been listening to the concerns and needs of our customers, both commercial and residential, and developing solutions that work. We provide the very best equipment backed by the best warranty in the business. 

Our technicians will provide a professional installation. they will review the operation of your new equipment and answer any questions you may have, taking the time to insure your 100-percent satisfaction.

We proudly serve the Massachusetts and Southern New Hampshire areas, and can ship equipment nationwide!

We are here for you and look forward to speaking with you.",www.linkedin.com/profile/view?id=31985382&locale=en_US&trk=tyah2&trkInfo=tarId%3A1398100363343%2Ctas%3Awilliam%20fell%2Cidx%3A1-1-1,Under $1 Mil,1-9  Employees,"Alarms: Electronic


Alarms: Back-Up","All Products / Services

Racks
Shelves and Shelving
Dividers
Cabinets
Bins
Rails
Tables
Containers
Cages
Decks
Speed Bumps
Storage Equipment
Trucks and Carts
Absorbers


Alarms
Angles
Applicators
Arms
Attachments
Bags
Balancers
Barrels and Drums
Barriers
Bars
Bases
Baskets
Beams
Belts

View all products / services offered"
"Safety Technology International, Inc. (STI)",855-857-1741,https://www.sti-usa.com/,"Waterford, MI 48327",Manufacturer,"Manufactures cages, covers, alarms and custom buttons that help protect buildings against vandalism, false fire alarms, theft of fire extinguishers and other equipment and misuse of emergency doors. Access control buttons, cabinets, mounting poles. Patented Stopper II® cover helps stop false fire alarms in schools, hospitals and public buildings. Protective covers and wire cages for control panels, strobe horn signals, smoke detectors, clocks, bells, keypads and fluorescent lights. Many UL, ULC, CUL, ADA and FM approved.","About Safety Technology International (STI)

STI is a family owned and operated business that began over forty years ago with Jack Taylor's invention of the StopperÂ® Pull Station Protector. Safety Technology now markets hundreds of unique products throughout the world to prevent false fire alarms and the theft and vandalism of the things that protect us all, such as smoke detectors, pull stations, horn/strobes, exit signs, and fire extinguishers.

With offices in Waterford, Michigan, Worcestershire, England, and Waterford, Ireland, the STI team has worked hard to continue the work that Jack Taylor started. STI's first product came directly at the request of a customer, Garnett Hegeman: a high school principal in Detroit, Michigan who had a problem with false fire alarms. Most new products throughout the years are a direct result of these types of requests. If you have a false fire alarm, theft, vandalism or other problem, STI invites you to contact them with the challenge of solving it. More... Less",www.linkedin.com/company/safety-technology-international-inc-/,$5 - 9.9 Mil,50-99  Employees,"Alarms: Electronic
Alarms
Alarms: Audible
Alarms: Fire
Alarm Systems


Alarms: Burglar
Alarms: Construction Equipment
Alarms: Exit
Alarms: Home Security
Alarms: Industrial Process

View all Alarms categories","All Products / Services

Safety Equipment
Switches
Cabinets
Enclosures
Alarms
Lights
Clocks
Extinguishers
Horns
Protectors


Sensors / Detectors / Transducers
Signs
Access Equipment
Automation Systems
Boxes
Brackets
Buttons
CCTV Equipment
Chimes
Controls and Controllers

View all products / services offered"
No Time Delay Electronics,855-895-8584,https://www.ntdelectronics.net/,"Lake Forest, CA 92630",Distributor,"Distributor of electronics products including capacitors, resistors, inductors, fuses, coils, transistors and transformers. Alarms, amplifiers, antennas, integrated circuits, converters, tubes, holders, crystals, shunts, solenoids, indicators and sensors are available. Cables, wires, knobs, wheels, inserts, nuts, washers, blades, batteries, diodes, relays and switches are also offered.","No Time Delay Electronics is a kitting company, broad line stocking distributor and repair. We have been in business for over 36 years. NTD Electronics also stocks inventory for our customers. One of the things that NTD Electronics does well is when we do not have stock and the manufacture(s) do not have stock we can and will do a worldwide search for the items that are needed to keep your production lines up and running. NTD Electronics will also include the manufacturer's certs or CofC with each shipment.",,Not Available,1-9  Employees,"Alarms: Electronic
Alarms


Piezo Alarms","All Products / Services

Connectors
Circuits
Fuses
Maintenance and Repair Services
Dials
Transistors
Adapters
Alarms
Amplifiers
Antennas
Arrays
Blocks
Boards


Boots
Brackets
Breakers
Buzzers
Capacitors
Cases
Ceramics
Combiners
Computers
Cores
Counters
Covers
Crystals

View all products / services offered"
"Devar, Inc.",800-566-6822,https://www.devarinc.com/,"Bridgeport, CT 06605",Manufacturer,"An ISO 9001:2008 certified manufacturer of instrumentation products for monitoring, control & data acquisition. Products include alarms, annunciators, calibrators, controllers, data loggers & recorders, humidity transmitters, loop powered indicators, isolators, level & pressure transmitters, panel meters, pH transmitters, power supplies, pump controllers, signal converters, wireless telemetry systems, temperature transmitters & totalizers. Types of pump controllers include dual alternating pump controllers, pump controllers with 2 or 3 relays & lift station control systems. Services include designing, application engineering & customer services. Instrumentation products are UL & FM approved & available with 2-year warranty. Made in the USA.","Devar has been known as a manufacturer of quality instrumentation products for over 40 years. Throughout these years customer service has remained paramount, positioning Devar as an instrument supplier second to none in design, quality, reliability and service. Devar units interface with all standard and nonstandard process variable signals and are available in a variety of enclosures.

Devar instruments have exceeded the highest industry standards for many years. Our quality assurance program provides compliance to U.S. Nuclear Regulatory Commission criteria 10CFR50, 10CFR21 and MIL-I-45208A. Many of our products are FM Approved and UL Listed.",,Under $1 Mil,10-49  Employees,"Alarms: Electronic
Alarm Signals
Alarm Systems
Alarms
Alarms: Audible


Alarms: Current Failure
Alarms: Equipment Failure
Alarms: Flow Rate
Alarms: Ground, Electrical Systems
Alarms: High Temperature

View all Alarms categories","All Products / Services

Indicators
Controls and Controllers
Transmitters
Meters
Treatment Equipment
Isolators
Alarms
Amplifiers
Analyzers
Annunciators


Automation Systems
Boosters
Boxes
Calibrators
Charts
Cold Chain Equipment
Comparators
Conditioners
Converters
Data Acquisition Systems

View all products / services offered"
"MST, Inc.",877-850-9156,https://www.modsafe.com/,"Hicksville, OH 43526",Manufacturer,"Manufacturer of safety systems including respiratory protector systems, breathing air systems, monitoring systems, auto shut-off devices, filters, alarms, calibration kits, prefilters, humidifiers, adapters, low pressure warning systems & air pump. Filtration systems feature four stage filtration process including removal of toxic gases. Respiratory protector systems removes water, oil, dirt, rust, scale, gaseous hydrocarbons & carbon monoxide gas from compressed air lines. Breathing air systems for filtering of tastes & odors available. Monitors feature continuous monitoring of carbon monoxide & are weather resistant. One year warranty. CSA® approved.",,,$10 - 24.9 Mil,10-49  Employees,"Alarms: Electronic
Alarms: Carbon Monoxide
Alarms: Air Supply


Alarms: Combustible Gas
Alarms: Gas
Alarms: Safety","All Products / Services

Filters
Purifiers
Analyzers
COVID-19 Response
Monitors
Air Filtration Equipment & Supplies
Safety Equipment
Alarms
Medical Products and Hospital Equipment
Panels
Sensors / Detectors / Transducers
Adapters


Aids
Breathers
Carbon
Cleaning Equipment
Compressors
Confined Space Equipment
Controls and Controllers
Fire Fighters' Personal Protective Equipment (PPE)
Foundry Equipment
Hoods
Humidifiers
Hurricane Personal Protective Equipment

View all products / services offered"
"Inventive Systems, Inc.",833-584-0919,https://www.oilinwater.org/,"West Palm Beach, FL 33409",Manufacturer,"Design & manufacturer of oil-in-water alarms & monitors that are self cleaning. Weather proof, high temperature & explosion proof models are available for all control applications. Oil monitoring applications include bilge water discharge, storm water runoff, ground water reclamation, power plant & boil condensate water reclaiming systems, desalination plant intake, engine cooling water, oil well process water discharge, fuel transfer station rain water runoff, oil reclamation system discharge water, emergency oil recovery vessels & hitches, food processing plants, textile factories, aircraft & truck washdown facilities.","Welcome to Inventive Systems Incorporated, the world's leader in the design and manufacture of oil-in-water alarms and monitors. 

If you are looking for a device that detects and measures the amount of oil in water, then you have come to the right place.

Inventive Systems has been manufacturing oil-in-water detection systems since 1987 and has been in business since 1980. Over 1,400 of our oil-in-water monitors and alarms have been sold in over 30 countries worldwide. Our monitors and alarms are self cleaning and therefore need little maintenance. They are, of course, U.S. Coast Guard, American Bureau of Shipping (ABS) and IMO (International Maritime Organization MEPC.60 (33) approved. We manufacture weatherproof, high-temperature and explosion-proof models and provide numerous options to satisfy all control applications.",,Under $1 Mil,1-9  Employees,"Alarms: Electronic
Alarm Systems
Alarms


Alarms: Audible
Alarms: High Temperature
Alarms: Oil-In-Water","All Products / Services

Treatment Equipment
Analyzers
Separators
Alarms
Circuit Board Components
Couplers and Couplings
Monitoring Systems


Monitors
Motors
Pawls
Recovery Equipment
Sensors / Detectors / Transducers
Switches
Wheels"
"Floyd Bell, Inc.",844-828-9076,https://www.floydbell.com/,"Columbus, OH 43085",Manufacturer,"ISO 9001:2000 certified custom manufacturer of piezoelectric audible alarms. Capabilities include engineering design, private labeling & consulting & evaluating environmental conditions, available power sources, sound level, type of sound, mounting methods, electrical connections, optimal components & functionality. Applications include automotive, electrical, electronic instruments, warning, safety & security systems, personal protection, agricultural, vehicles, aircrafts, cranes, escalators, elevators, measurement instruments, game shops, golf grounds, hospitals, material handling, marine, military & telephonic & communication systems. Made in USA. RoHS compliant. Two years warranty.","On the e-commerce area of our website, you will find a wealth of information about our products and services, as well as an electronic version of our catalog and the ability to purchase our products online. Floyd Bell manufactures and distributes some of the world's most technologically advanced, highest-quality, durable and maintenance-free piezoelectric audible alarms. Piezo alarms are a viable and often superior alternative to electromechanical alarm devices, which require more power to operate, are much larger, have shorter useful lives and often present significant maintenance problems. 

Our alarms are typically used as audible alerts in a wide variety of situations. Scarcely a day goes by without hearing one of our alarms, commonly found in automobiles, airport metal detectors, elevators, school buses, french fryers, fork lifts and golf carts, to name just a few. Since 1972, Floyd Bell has provided millions of audible alarms to meet the needs of a highly diverse customer base, from More... Fortune 500 OEMs to occasional alarms users. From consultative design through just-in-time delivery, Floyd Bell has the capability of handling all of your audible alarm needs. We not only have off-the-shelf production products, many of which are available on the e-commerce area of our website, we are also a leader in custom-built audible alarms to meet any need, with an expert engineering staff at your disposal to assist you in all aspects of your project. 

 All of Floyd Bell's alarms are made in the USA. Most of our competitors import alarms that they in turn sell to their customers. We believe that our approach produces alarms of superior quality, with shorter, more predictable delivery times, no risk of currency fluctuations, and privity with the manufacturer for seamless responsibility to our customers. Less",,$5 - 9.9 Mil,200-499  Employees,"Alarms: Electronic
Alarms
Alarms: Audible
Piezo Alarms
Alarm Systems


Alarms: Back-Up
Alarms: Burglar
Alarms: Fire
Alarms: Fume, Smoke & Vapor
Alarms: High Temperature

View all Alarms categories","All Products / Services

Alarms
Buzzers
Indicators
LEDs
Bells
Lights
Signals
Sirens
Annunciators
Appliances


Assemblies
Batteries
Chimes
Communication Systems
Consulting Services
Controls and Controllers
Corrosion Resistant Products
Crystals
Disaster Preparedness Supplies
Electronic Components

View all products / services offered"
"Mallory Sonalert Products, Inc.",317-612-1000,https://mspindy.com/,"Indianapolis, IN 46241",Manufacturer,"Manufacturer of high performance audible and visual warning devices including electronic audible and visual warning alarms, microphones, speakers, transducers, indicators, sirens, LED panels and stackable lights. Types of alarms include medical, industrial panel, hazardous, indicator, extra loud bracket and back-up alarms. Tantalum products such as silver case tantalum capacitors, medical electrodes and hermetic seals are also offered. Suitable for industrial, consumer, transportation, medical and military applications. Meets NEMA and SAE standards. CSA approved. RoHS and REACH compliant. UL and cUL listed. CE certified. Made in the USA.",,www.linkedin.com/company/mallory-sonalert-products-inc/,Not Available,10-49  Employees,"Alarms: Electronic
Alarms: Audible
Alarms: Industrial Process
Alarms: Medical
Alarms: Safety


Alarms: Signal
Alarms: Visual
Alarm Systems
Alarms
Alarms: Back-Up

View all Alarms categories","All Products / Services

Alarms
Warning Systems
Buzzers
Capacitors
Chimes
COVID-19 Response
Electrodes
Indicators


Lights
Microphones
Seals
Sensors / Detectors / Transducers
Signals
Sirens
Speakers"
