Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
"Satellink, Inc.",855-277-0599,https://www.satellink.com/index.html,"Garland, TX 75042-7520",Manufacturer,"Manufacturer of receiving equipment for satellite communications, telemetry preamplifiers, radio frequency microwave amplifiers, low noise amplifiers & frequency converters. Services include engineering design, development, evaluation, assembly, test, alignment & repair services. Applications for telecommunications, radar, aerospace & military industries are available.",,,$5 - 9.9 Mil,10-49  Employees,"Amplifiers: Electronic
Amplifiers: RF
Amplifiers
Amplifiers: Low Noise
Amplifiers: Microwave


Amplifiers: Antenna
Amplifiers: Audio Frequency (AF)
Amplifiers: Automatic Gain Control
Amplifiers: Bipolar
Amplifiers: Broadband

View all Amplifiers categories","All Products / Services

Microwave Equipment
Amplifiers
Generators
RF Components
Aircraft Parts
Attenuators
Communication Components
Communication Systems
Controls and Controllers
Converters


Couplers and Couplings
Electronic Components
Electronic Translators
Electronics
Engineering Services
Ground Support Equipment
Limiters
Maintenance and Repair Services
Marine Equipment
Oscillators

View all products / services offered"
Hello Bom,888-889-9811,https://www.hellobom.com/,"Boca Raton, FL 33433",Distributor,"Distributor of electronic components including semiconductors, resistors, diodes, capacitors, inductors, connectors, transistors and sensors. Amplifiers, anemometers, calibrators, comparators, converters, batteries and fuses are also offered. One click matching, and quick quotation turn-around offered.",,,Not Available,Not Available  Employees,"Amplifiers: Electronic
Amplifiers
Amplifiers: Analog
Amplifiers: Current & Voltage
Amplifiers: Differential


Amplifiers: Fiber Optic
Amplifiers: Logarithmic
Amplifiers: Operational
Amplifiers: Photoelectric
Amplifiers: Programmable

View all Amplifiers categories","All Products / Services

Connectors
Inductors
Capacitors
Rectifiers and Diodes
Resistors
Accelerometers
Actuators
Adhesives
Ammeters
Amplifiers


Anemometers
Attenuators
Batteries
Blankets
Blocks
Boxes
Brackets
Bulbs
Buzzers
Calibrators

View all products / services offered"
"Pepperl + Fuchs, Inc.",855-287-5183,https://www.pepperl-fuchs.com,"Twinsburg, OH 44087",Manufacturer,"Manufacturer of proximity, photoelectric, vision, ultrasonic, distance, inclination, acceleration and vibration sensors. Through-beam, retro reflective, diffuse mode, fiber optic, slot or slot grid, color, inductive, capacitive and magnetic field sensors are available. Explosion protection products such as intrinsic safety barriers, signal conditioners, remote I/O systems, power supplies, purge or pressurization systems and surge protection are provided. Gateways, adapters, temperature converters, control units, control stations, monitors, interfaces, tablets, microphones, barcode or radio frequency identification (RFID) scanners and portable thermal imaging cameras are also offered. Serves the machine or plant engineering, chemical, pharmaceutical, packaging, material handling, renewable energy and electronics industries.","Automation is our world. Perfect application solutions are our goal.

In 1945, Walter Pepperl and Ludwig Fuchs founded a small radio workshop in Mannheim, Germany, based on the principles of inventiveness, entrepreneurial foresight, and self-reliance. The experience they acquired was transformed into new ideas, and they continued to enjoy developing products for customers. The eventual result was the invention of the proximity switch. This innovation represented the starting point of the company's success story.

Today, Pepperl+Fuchs is known by customers around the world as a pioneer and an innovator in electrical explosion protection and sensor technology. Our main focus is always on your individual requirements: With a passion for automation and groundbreaking technology, we are committed to working in partnership with you now and in the future. We understand the demands of your markets, developing specific solutions, and integrating them into your processes.",www.linkedin.com/company/pepperl-fuchs-group/,$250 Mil. and over,1000+  Employees,"Amplifiers: Electronic


Amplifiers","All Products / Services

Sensors / Detectors / Transducers
Safety Equipment
Encoders
Identification Products
Identifiers
Computers
Enclosures
Communication Systems
Electric Wire, Cable and Cable Assemblies
Interfaces
Barriers
Modules
Panels
Scanners / Readers


Software
Suppressors
Switches
Tags
Activators
Actuators
Adapters
Alarms
Amplifiers
Bases
Boards
Boxes
Brackets
Bulbs

View all products / services offered"
"RDP Electrosense, Inc.",866-996-8846,https://www.rdpe.com/,"Pottstown, PA 19465",Manufacturer,"Manufacturer of transducers, amplifiers, load cells and pressure sensors for use in a wide range of applications. Products include linear displacement, LVDT gauging and displacement, submersible and non-contact transducers, AC and DC powered DIN rail mounting amplifier, LVDT and strain gauge transducer amplifier, multi-channel signal conditioning systems including serial interface and data logger module, digital panel meters, tension and compression load cells and various configurations of pressure transducers. Standard models suitable for use in severe environments are available. Specific application based custom engineered units also provided.",RDP have been manufacturing transducers and electronics for over 35 years. Our specialty lies in the field of measurement of physical parameters.,,$5 - 9.9 Mil,10-49  Employees,"Amplifiers: Electronic
Amplifiers
Amplifiers: Analog
Amplifiers: Bridge
Amplifiers: DC


Amplifiers: Differential
Amplifiers: Digital
Amplifiers: Hermetically Sealed
Amplifiers: Instrument
Amplifiers: Instrument & Control

View all Amplifiers categories","All Products / Services

Sensors / Detectors / Transducers
Conditioners
Indicators
Measuring Equipment
Readout Systems
Amplifiers
Cells
Controls and Controllers
Data Acquisition Systems


Extensometers
Gages
Instruments
Meters
Modules
Resistors
Transformers
Transmitters"
PI (Physik Instrumente) L.P.,877-757-2648,https://www.pi-usa.us/en/?onl_tnet=,"Auburn, MA 01501 | Locations",Manufacturer,"ISO 9001 certified. Manufacturer of precision motion technologies. From piezo components to air bearings and linear motors and multi-axis hexapod precision positioning and alignment systems. Standard and custom nanopositioning & nano-measuring equipment. Actuators, positioning stages and complete system integration, including photonics alignment systems. Piezo amplifiers, automation equipment, ceramic machining, technical ceramics, control systems, controllers, drives, fiber optic machinery, micromanipulators, measuring instruments, transducers, motors, photonics automation, power transmission equipment, precision optics, sensors, slides, stages & indexing tables are also available in various sizes & series. Engineering services are available. Industries served include medical, biotechnology, aeronautics, astronomy & automation.","Precision Motion Technology: From Microns to Nanometers. Piezo, Servo & Stepper Motion Systems.

PI provides the broadest and deepest portfolio of precision motion technologies. From piezo components to linear motors and multi-axis hexapod precision positioning and alignment systems. ISO 9001 certified, 1200+ employees worldwide. Standard and custom nanopositioning & nano-measuring equipment. Actuators, positioning stages and complete system integration, e.g. photonics alignment systems. Piezo amplifiers, automation equipment, ceramic machining, technical ceramics, control systems, controllers, drives, fiber optic machinery, micromanipulators, measuring instruments, transducers, motors, photonics automation, power transmission equipment, precision optics, sensors, slides, stages & indexing tables are also available in various sizes & series. Engineering services are available. Industries served include medical, biotechnology, aeronautics, astronomy & automation.",www.linkedin.com/company/pi-usa-pi-physik-instrumente-l.p.,$100 - 249.9 Mil,1000+  Employees,"Amplifiers: Electronic
Amplifiers
Amplifiers: Analog
Amplifiers: Brushless Servo
Amplifiers: Current & Voltage


Amplifiers: DC
Amplifiers: High Power
Amplifiers: High Voltage
Amplifiers: Instrument & Control
Amplifiers: Linear

View all Amplifiers categories","All Products / Services

Positioners
Actuators
Bearings
Motors
Robots
Aligners
Slides
Assemblies
Manipulators
Optics


Sensors / Detectors / Transducers
Valves
Amplifiers
Assembly Machinery
Automation Systems
Ceramics
Controls and Controllers
Corrosion Resistant Products
Couplers and Couplings
COVID-19 Response

View all products / services offered"
Trinity Electronics Systems Ltd.,888-687-0419,https://trinity-electronics.com/,"Edmonton, AB T5S1K8",Custom Manufacturer,"Manufacturer of standard and custom electronics. Offers simple to complex project and printed circuit board CAD design, engineering, and development with a variety of manufacturing capabilities such as PCB assembly, metal fabrication, and wave soldering. Products include power transducers, audio boards, amplifiers, light sequencers, industrial timers and controls, and rated power supplies. Distributor of infrared, temperature, pressure, and humidity sensors and right angle headers. Available in a variety of models, materials, and sizes. Industries served include petrochemical, oilfield service, mining, power generation and transmission, and professional audio. Product modifications, upgrades, and warranty repairs are available.",,,Under $1 Mil,10-49  Employees,"Amplifiers: Electronic
Amplifiers
Amplifiers: Audio Frequency (AF)


Amplifiers: Automatic Gain Control
Preamplifiers","All Products / Services

Research, Design and Development Services
Engineering Services
Printed Circuit Boards
Consulting Services
Amplifiers
Assemblies
Assembly Services
Audio Visual (AV) Equipment
Batteries
Boards
Cages
Cards


Cases
Chargers
Communication Systems
Controls and Controllers
Converters
Corrosion Resistant Products
COVID-19 Response
Data Acquisition Systems
Distribution Systems
Electronics
Gages
Headers

View all products / services offered"
No Time Delay Electronics,855-895-8584,https://www.ntdelectronics.net/,"Lake Forest, CA 92630",Distributor,"Distributor of electronics products including capacitors, resistors, inductors, fuses, coils, transistors and transformers. Alarms, amplifiers, antennas, integrated circuits, converters, tubes, holders, crystals, shunts, solenoids, indicators and sensors are available. Cables, wires, knobs, wheels, inserts, nuts, washers, blades, batteries, diodes, relays and switches are also offered.","No Time Delay Electronics is a kitting company, broad line stocking distributor and repair. We have been in business for over 36 years. NTD Electronics also stocks inventory for our customers. One of the things that NTD Electronics does well is when we do not have stock and the manufacture(s) do not have stock we can and will do a worldwide search for the items that are needed to keep your production lines up and running. NTD Electronics will also include the manufacturer's certs or CofC with each shipment.",,Not Available,1-9  Employees,"Amplifiers: Electronic
Amplifiers
Amplifiers: Low Noise


Amplifiers: Monolithic
Electronic Components: SMD (Surface Mount Device)
Surface Mount Devices","All Products / Services

Connectors
Circuits
Fuses
Maintenance and Repair Services
Dials
Transistors
Adapters
Alarms
Amplifiers
Antennas
Arrays
Blocks


Boards
Boots
Brackets
Breakers
Buzzers
Capacitors
Cases
Ceramics
Combiners
Computers
Cores
Counters

View all products / services offered"
"Exsenco, LLC - US division for Santest Co.",855-892-1434,http://www.exsenco.com,"Corpus Christi, TX 78427",Distributor,"Distributor of measurement, sensing and control products for precision measurement of displacement, level, position, pressure, force, flow-rate and temperature applications. Various products available include probes, thermometers, servo controllers, non-contact on-off switches, proportional solenoid or direct acting high speed servo valves, linear encoders, shock data loggers, digit LED displays, rotary resolvers, linear gauges and sensors. High performance analog, high end digital, CC-link certified and adaptive servo controllers are also offered. Custom options and accessories such as floats and magnets are also provided.","EXSENCO, LLC, offering consultancy in the general area of control systems engineering, is the U.S. division for SANTEST, Co. Ltd. from Osaka Japan. Through advancing the state-of-the-art contributions while maintaining extraordinarily high quality standards, Santest has dedicated its efforts towards optimizing the performance of magnetostrictive displacement transducers to facilitate their successful use in cases where incremental encoders can be replaced by these absolute transducers. We believe that success will follow innovation. Improvements in R&D, manufacturing and reliable delivery have elevated accuracy standards so that new applications are occurring daily in detection systems for advanced industrial applications and specialized machinery. We are proud of Santest's worldwide acceptance, based on its performance and quality.",,Not Available,Not Available  Employees,"Amplifiers: Electronic
Amplifiers: Digital
Amplifiers
Amplifiers: Current & Voltage
Amplifiers: DC


Amplifiers: Instrument
Amplifiers: Power
Amplifiers: Servo
Amplifiers: Servo, Digital","All Products / Services

Sensors / Detectors / Transducers
Encoders
Modules
Switches
Valves
Amplifiers
Cold Chain Equipment
Data Loggers
Motor Controllers and Drives
Vaccine Cold Chain Supplies and Logistics


Controls and Controllers
Displays
Floats
Gages
Instruments
LEDs
Magnets
Measuring Equipment
Probes
Recorders

View all products / services offered"
"Devar, Inc.",800-566-6822,https://www.devarinc.com/,"Bridgeport, CT 06605",Manufacturer,"An ISO 9001:2008 certified manufacturer of instrumentation products for monitoring, control & data acquisition. Products include alarms, annunciators, calibrators, controllers, data loggers & recorders, humidity transmitters, loop powered indicators, isolators, level & pressure transmitters, panel meters, pH transmitters, power supplies, pump controllers, signal converters, wireless telemetry systems, temperature transmitters & totalizers. Types of pump controllers include dual alternating pump controllers, pump controllers with 2 or 3 relays & lift station control systems. Services include designing, application engineering & customer services. Instrumentation products are UL & FM approved & available with 2-year warranty. Made in the USA.","Devar has been known as a manufacturer of quality instrumentation products for over 40 years. Throughout these years customer service has remained paramount, positioning Devar as an instrument supplier second to none in design, quality, reliability and service. Devar units interface with all standard and nonstandard process variable signals and are available in a variety of enclosures.

Devar instruments have exceeded the highest industry standards for many years. Our quality assurance program provides compliance to U.S. Nuclear Regulatory Commission criteria 10CFR50, 10CFR21 and MIL-I-45208A. Many of our products are FM Approved and UL Listed.",,Under $1 Mil,10-49  Employees,"Amplifiers: Electronic
Amplifiers: Bipolar
Amplifiers: Bridge
Amplifiers: Computer
Amplifiers: Current & Voltage


Amplifiers: DC
Amplifiers: Differential
Amplifiers: Frequency
Amplifiers: Instrument
Amplifiers: Instrument & Control

View all Amplifiers categories","All Products / Services

Indicators
Controls and Controllers
Transmitters
Meters
Treatment Equipment
Isolators
Alarms
Amplifiers
Analyzers
Annunciators


Automation Systems
Boosters
Boxes
Calibrators
Charts
Cold Chain Equipment
Comparators
Conditioners
Converters
Data Acquisition Systems

View all products / services offered"
Ectron Corp.,866-966-6879,https://www.ectron.com/,"San Diego, CA 92111",Manufacturer,"Manufacturer of high precision calibration and measurement equipment. Products include thermocouple calibrators, cold junction compensators, frequency-to-voltage converters, amplifiers, LVDT/RVDT conditioners, embedded computers and gateways. Suitable for use in harsh environmental conditions. Serves the pharmaceutical, military, automobile, aerospace, process control and commercial industries.","Ectron's line of conditioner products including its 400 series conditioner amplifiers find application wherever accurate data is required under environmentally harsh operating conditions. In fact, Ectron's products have been used for decades in government test facilities; in the field by various segments of the military including on cruise missiles, rocket launches and even aboard the space shuttle; on test tracks in the auto industry and in numerous other commercials, industrial, aerospace and military settings. Our 1140 thermocouple simulator calibrator is the standard in all of US Navy's research labs.",www.linkedin.com/company/ectron-corporation/,$5 - 9.9 Mil,10-49  Employees,"Amplifiers: Electronic
Amplifiers
Amplifiers: Analog
Amplifiers: Bipolar
Amplifiers: Bridge


Amplifiers: Buffer
Amplifiers: Current & Voltage
Amplifiers: DC
Amplifiers: Differential
Amplifiers: Distribution

View all Amplifiers categories","All Products / Services

Integration Services
Computers
Power Supplies
Amplifiers
Enclosures
Internet of Things (IoT) Services
Monitoring Systems
Calibrators
Compensators


Conditioners
Converters
Electronics
Gateways
Generators
Measuring Equipment
Monitors
Simulators
Thermocouples"
