Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
Ellsworth Adhesives,888-615-1507,https://www.ellsworth.com/,"Germantown, WI 53022 | Locations",Distributor,"Distributor of specialty chemicals and equipment including adhesives, sealants, lubricants, coatings, encapsulants, and tapes. Soldering products, surface preparations, UV curing equipment, maintenance and repair products, and dispensing equipment available. Custom dispensing equipment and packaging products are also offered. Value-added services include custom labeling and documentation, managed inventory services, converting services, and custom formulation provided. Contract manufacturing and low pressure molding services provided. Serves the battery, defense, transportation, lighting, medical, power, and consumer product industries.","Ellsworth Adhesives is a solutions provider for applications and manufacturing processes that utilize adhesives, sealants, coatings, encapsulants, lubricants, tapes, other specialty chemicals and related equipment from top manufacturers including Dow, Henkel, Dymax, 3M, Parker LORD, Humiseal, Sika, Techcon, and many others. Ellsworth Adhesives also provides custom chemical formulation to meet exact application requirements or custom packaging of chemicals in cartridges, kits, or syringes for easy application in precise amounts. 

Ellsworth Adhesives® specialty chemical knowledge spans across multiple industries including electronics, lighting, automotive, aerospace, medical and general assembly. A global network of engineering sales representatives is available to assist with the integration of adhesives through the design, supply and production processes. Ellsworth Adhesives offers accurate documentation, labeling and shelf-life control. ISO 9001:2015 and AS9120B certified.",www.linkedin.com/company/28305?trk=ape_s000001e_1000,$100 - 249.9 Mil,1000+  Employees,"Sealers: Electronic
Sealants
Sealants: Silicone
Casting Sealants
Fuel Seals & Sealants


Gasket Sealants
Sealants: 3M
Sealants: Acrylic
Sealants: Adhesive
Sealants: Aircraft & Aerospace

View all Sealants categories","All Products / Services

Adhesives
Lubricants
Grease
Oils
Solid Film Lubricants
Resins
Coatings
Tapes
Epoxies
Dispensers


Labelers
Static Control Equipment
Film
Applicators
Encapsulants
Chemicals
Sealants
Thermal Interface Materials
Bulbs
Coders

View all products / services offered"
"AR-BEE Transparent Products, Inc.",888-786-6742,http://www.arbeeplasticbags.com/,"Elk Grove Village, IL 60007",Manufacturer,"Manufacturer of standard & custom printed plastic bags, plain plastic bags & plastic film. Products also include twist ties, packing list envelopes, plastic routing envelopes, hand held carton sealers & sealing tapes, bench mounted sealers, trimseal machines, heat sealers & motorized poly sealers. Custom printed plastic bags include die-cut plastic handle bags, 4-color process plastic handle bags, budget plastic handle bags, plastic punch handle bags with ziptop closure, plastic trash bags, printed plastic door knob bags, high density plastic retail bags, printed polypropylene or cellophane bags, low density plastic T-shirt bags, high density plastic T-shirt bags, plastic drawtap bags, plastic garment bags, printed plastic ziptop bags, plastic litter bags, plastic ice cube bags & plastic printed newspaper bags. Plain plastic bags such as stock plastic bags, anti-static plastic bags, large gusseted plastic bags, large plastic bags, multi-purpose plastic bags, multi-purpose plastic trash bags, plastic door knob bags, plastic furniture covers, plain plastic garment bags, plastic gusset bags, plastic mattress bags on rolls, plastic pet fish bags, white block plastic ziptop bags & zip top plastic bags are available. Plastic film include film plastic sheeting, plastic tubing & stretch film.",,,$5 - 9.9 Mil,10-49  Employees,"Sealers: Electronic
Heat Sealing Equipment
Machinery: Heat Sealing
Machinery: Sealing
Sealers


Sealers: Bag
Sealers: Electric
Sealers: Heat
Sealers: Plastic
Sealers: Plastic Bag","All Products / Services

Bags
Janitorial Supplies
Containers
Emergency Shelters & Shelter Supplies
Hurricane Response
Advertising Specialties, Novelties, and Promotional Products
Liners
Covers
COVID-19 Response
Cushions


Envelopes
Film
Machinery
Packaging Materials
Plastics
Polyethylene (PE)
Pouches
Printing and Marking Services
Private Label Manufacturing
Sealing Equipment

View all products / services offered"
"Mil-Spec Packaging of GA, Inc.",888-865-1699,https://www.mil-specpkg.com/,"Macon, GA 31206",Custom Manufacturer,"Distributor and manufacturer of standard and custom corrugated packaging materials including shipping crates, wooden containers, pallets, boxes, sheets, pads, partitions and cartons. Other products such as packing pouches, tubes, barrier materials, strapping, seals, tools, pallet stretch wrap, heat sealers, film, cushioning, foam, packing tapes, labels, block out sprays and desiccant absorption and barrier bags. Serves the military, commercial and export industries. Most items available in stock.","Your trusted packaging resource in putting the pieces to your packaging needs together. 

Since 1966, Family-Owned Mil-Spec Packaging of Georgia has Offered Contract and Military Spec Packaging, export packaging, shipping containers, corrugated boxes, and packaging solutions to meet all of your packaging needs.",,$1 - 4.9 Mil,10-49  Employees,"Sealers: Electronic
Heat Sealers: Continuous Rotary
Heat Sealing Equipment
Machinery: Heat Sealing
Machinery: Sealing


Packaging Machinery: Bagging, Wrapping & Sealing
Sealers
Sealers: Bag
Sealers: Constant Heat
Sealers: Electric

View all Sealing Equipment categories","All Products / Services

Boxes
Crates
Packaging Materials
Foams
Cases
Rubber
Crating Services
Dunnage
Containers
Disaster Preparedness Supplies


Fasteners
Fastening Devices
Fastening Systems
Hinges
Hurricane Response
Miscellaneous Fasteners
National Stock Number Designated Equipment
Absorbers
Agents
Airfoils

View all products / services offered"
"Converters, Inc.",877-831-4501,https://www.converters.com/,"Huntingdon Valley, PA 19006",Distributor,"Manufacture and distributor of standard and custom pressure-sensitive adhesive products like Film, foam, foil, electrical, cloth, medical, industrial, non-woven, single- and double-coated materials that are slit, laminated or custom die cut. Including, but not limited to packaging tape, VHB, anti-slip, medical grade, food grade. We include applications that meet aerospace and government requirements. . Suitable for packaging, bonding, repair, furniture, construction, masking, sealing and lay-flat applications. Serves the electronics, appliance, automotive, aerospace and medical industries.","Converters Inc is a global leader in manufacturing and distributing an assortment of 3M™ standard and custom pressure-sensitive adhesive products. 3M™ Preferred converter and authorized distributor. Film, foam, foil, electrical, cloth, medical, industrial, non-woven, single- and double-coated materials that are slit, laminated or custom die cut. Including, but not limited to packaging tape, VHB, anti-slip, medical grade, food grade materials from a company that is FDA registered and ISO 9001:2015 certified. We include applications that meet aerospace and government requirements. We are proud to be a family-owned business that has been around for over 50 years! We pride ourselves on being customer-oriented and you can talk with a live customer service agent immediately when you call during our regular business hours. We offer Just-In-Time delivery.",,$5 - 9.9 Mil,10-49  Employees,"Sealers: Electronic
Sealants
Sealants: Aircraft & Aerospace
Sealants: Polyurethane


Sealers
Sealers: Medical
Urethane Sealants","All Products / Services

Tapes
Cutting Services
Converting Services
Slitting Services
Adhesives
Hurricane Response
Medical & First Aid Supplies
Disposable Products
Fasteners
Film
Foams


Foils
Hook and Loop Fasteners
Laminating Services
Abrasive Compounds / Media
Aluminum
Applicators
Bumpers
Coating Services
COVID-19 Response
Cushions
Disaster Preparedness Supplies

View all products / services offered"
Industrial Packaging,844-348-5620,https://www.industrialpackaging.com/,"Webster, MA 01570",Turnkey Systems Integrator,"Distributor and installer of packaging systems and related supplies for the food, confectionery, CPG/FMCG, sporting goods, electronics, cosmetics and medical markets. Systems include shrink, form, fill and seal wrappers, sealers and tunnels, stretch wrappers, bagging equipment, strapping machines, conveyors and carded packaging machinery. Packaging material includes shrink film, stretch wrap, straps, clamshells, skin and blister packaging, banding, bags, lids and pouches.","Providing packaging solutions throughout the northeast United States and the rest of the US since 1953.

Industrial Packaging has forged strong relationships with packaging suppliers and manufacturers to bring optimal flexible packaging materials, machinery, and services that meet the needs of our customers for decades.

We have the operational capability to help a company remain cost-competitive while satisfying product/package quality requirements, which enables growth. We also provide parts sourcing, localized technical service, contract packaging, and also offer consultative services for packaging line optimization through automation and integration. Our Brand Promises are also key differentiators that set us apart from our competition.",www.linkedin.com/company/industrial-packaging,$10 - 24.9 Mil,50-99  Employees,"Sealers: Electronic
Heat Sealing Equipment
Machinery: Heat Sealing
Machinery: Sealing
Packaging Machinery: Bagging, Wrapping & Sealing


Sealers
Sealers: Bag
Sealers: Heat
Sealers: L
Sealers: Plastic

View all Sealing Equipment categories","All Products / Services

Packaging Materials
Bags
Film
Packaging Machinery
Packaging Services
Additive Manufacturing Materials
Bagging Machinery
Clamshells
Labelers
Palletizers


Polyethylene (PE)
Polypropylene (PP)
Private Label Manufacturing
Strapping and Banding
Straps
Filling Services
Automation Systems
Belts
Bundlers
Cards

View all products / services offered"
Key Resin Co.,855-648-3762,https://www.keyresin.com/,"Batavia, OH 45103 | Locations",Manufacturer,"Manufacturer of standard and custom flooring and coating systems. Acrylic sealers, thin film, high build, industrial wear surface (IWS), vinyl ester and epoxy, urethane, fiberglass reinforced and mortar wall surfacing coatings offered. Types include chip, thin-set terrazzo, mortar, conductive and electrostatic dissipative, secondary containment, vehicular, pedestrian and topping flooring. Other products available include aggregates, cement, epoxies, decking, paints, linings, fillers and grouts. Serves the industrial and manufacturing, chemical, food and beverage processing, health care, pharmaceutical, education, government, institutions, public spaces, commercial and hospitality industries.","Setting the Standard for Resinous Floor, Terrazzo & Coating Solutions

Key Resin Company offers the industry experience and product quality to meet the demands of your specific polymer flooring and coating needs. Since 1993, we have been setting the standard for resinous flooring systems in the industry by providing a variety of durable, dependable solutions for a variety of unique applications.

From decorative to industrial, institutional to secondary containment, Key Resin Company offers solutions that deliver lower lifecycle costs, outstanding durability and overall performance. Our flooring solutions include:

Cementitious Urethane Systems

Decorative Flooring Systems

Elastomeric Flooring

Industrial Flooring Systems

Floor & Wall Coating Systems

Methyl Methacrylate (MMA) Systems

Moisture Vapor Control Systems",www.linkedin.com/company/3011689?trk=tyah&trkInfo=tarId%3A1417442106960%2Ctas%3Akey%20resin%2Cidx%3A2-1-6,$25 - 49.9 Mil,50-99  Employees,"Sealers: Electronic
Sealers: Floor
Concrete Floor Sealers
Sealants
Sealants: Acrylic


Sealants: Electronic
Sealants: Epoxy
Sealers
Sealers: Cement & Concrete
Sealers: Medical","All Products / Services

Coatings
Floors
Resins
Antimicrobials
Sealants
Adhesives
Agents
Aggregates
Cement
Coating Equipment


Compounds
Containment Systems
Controls and Controllers
Corrosion Resistant Products
Coverings
Decks
Epoxies
Fillers
Finishes
Grout

View all products / services offered"
Practical Packaging Solutions,866-293-2924,https://www.practicalpackaging.com/index.html,"Glendale Heights, IL 60139",Distributor,"Distributor of packaging machinery and materials. Packaging machinery include semi-automatic L-bar sealers, fully automatic side sealers, bottom overlap wrappers, semi-automatic and fully automatic high speed case erecting and tray forming with bottom tape or hot melt glue machinery, semi-automatic and fully automatic top and bottom case sealers, random size case sealers, semi-automatic low and high profile systems, rotary tower systems, labeling machinery and fully automatic and semi-automatic bagging systems. Packaging materials include genuine Autobags, pre-opened plain and pre-printed bags on roll, air pouch void fill, flat bags, gusseted and wicketed bags made from polyethylene, carton sealing and specialty tapes, UV flexo and rotary screen printed labels and polyethylene and polyolefin films for shrink and stretch packaging applications. Package designing and testing, warehousing, contract packaging and inventory control management services are available.",,,$5 - 9.9 Mil,1-9  Employees,"Sealers: Electronic
Sealants: 3M


Sealers","All Products / Services

Displays
Point of Purchase (POP) Products
Packaging Materials
Film
Boxes
Packaging Machinery
Bags
Wrapping Machinery
Research, Design and Development Services
Bagging Machinery
Cannabis Products
Cold Chain Packaging Supplies
Erectors


Installation Services
Sealing Equipment
Vaccine Cold Chain Supplies and Logistics
Automation Systems
Bundlers
Cartons
Conveyors
Counters
Cushions
Custom Machinery
Diverters
Fasteners
Folding Machinery

View all products / services offered"
Humboldt Specialty Manufacturing Co.,855-856-8932,http://www.humboldtspecialty.com,"Omaha, NE 68112",Custom Manufacturer - Instant Quote,"Contract manufacturer of metals and fabrics. Product lines include lawn and garden products for large lawn mower and tractor manufacturers. Also manufactures products for the fitness, pet, and trucking industries. Provides a range of capabilities that involve, but are not limited to industrial sewing, metal fabrication, product development, and assembly.",We have the capability to work on small orders as well as large scale productions. We take great pride in our work and strive to manufacture and enhance our customer's products. We work closely with our clients who need help in development or need help bringing their product to large scale production and distribution. We are looking to expand our product lines and work with you in moving your company forward.,,$5 - 9.9 Mil,10-49  Employees,"Sealers: Electronic
Heat Sealing Equipment
Packaging Machinery: Bagging, Wrapping & Sealing


Sealers
Sealers: Bag
Sealers: Thermal Impulse","All Products / Services

Sewing Services
Manufacturing Services
Straps
Assemblies
Assembly Services
Baffles
Bags
Bending Services
Bins
Blowers
Boxes
Carpets and Rugs


Catchers
Coating Services
Collectors
Coolers
Covers
Cutting Services
Engineering Services
Fabrication Services
Forming Services
Horse Care Products
Impellers
Janitorial Supplies

View all products / services offered"
Atlantic Paper & Supply,833-979-1653,https://www.atlanticpaper.com/,"Pawtucket, RI 02860",Distributor,"Distributor of shipping supplies and vendor managed inventory specialists. Standard and custom sizes available for packaging, janitorial, safety, maintenance, repair and office supplies. Products include bags, VCI and corrosion prevention products, printed and plain boxes, cartons, mailers, cable ties, packaging and cushion machines, loose fill peanuts, napkins, wraps, cutlery, plates, bowls, cups, dryers, hand soaps, sanitizers, recycling containers, material handling equipment, odor controls, mopping systems, ice melts, brooms, brushes, floor finishes, mattings, scissors, staplers, trash bags, industrial paper and tissues. Receptacles, batteries, ladders, labels, badges, volatile corrosion inhibitors, envelopes, dispensers, feminine products, wipers, rags, seat covers, first-aid, hydration drinks, disposable clothing, eye and ear protection, sorbents, gloves, knives, tapes and tools are also available. Capabilities include custom box printing, vendor inventory management and package designing. Markets served include medical, military, laboratory, industrial and electronics.","Atlantic Paper & Supply is one of southern New England's oldest family-owned sources for industrial packaging and shipping, janitorial, maintenance, safety, and office supplies. Based in Pawtucket, Rhode Island, we have been the go-to resource for hundreds of business customers since 1948. Our ongoing success is attributable to the fact that we care about the same things you do...supplying you with quality products quickly at the best price. 

We have built our reputation on providing our customers with old-fashioned, award-winning personalized service, and take great pride in handling all business transactions with honesty and integrity. No one is as friendly as we are - call us once and we consider you a friend.

Because of our commitment to transparent business practices and best-in-class service, we are proud to say we were named a ""Partner of the Year"" by the Rhode Island Manufacturers Association for our dedication and commitment to serving our customers.

At Atlantic Paper, our goal More... is simple: To make our customers' lives easier. Contact us today about our no cost Vendor Managed Inventory Service. Less",www.linkedin.com/company/862625/,$50 - 99.9 Mil,10-49  Employees,"Sealers: Electronic
Sealers


Sealers: Floor","All Products / Services

Boxes
Tapes
Bags
Film
Packaging Materials
Safety Equipment
Inhibitors
Janitorial Supplies
MRO Replenishment Services
Shipping Room Equipment
Cushions
Absorbers
Adhesives


Air Fresheners
Air Handlers
Aluminum
Applicators
Aprons
Bandages
Bands
Barrels and Drums
Baskets
Batteries
Bins
Blades
Bleaches

View all products / services offered"
"Thermal Press International, Inc.",855-886-5975,https://www.thermalpress.com/,"Livermore, CA 94551",Manufacturer,"Manufacturer of standard & custom thermal presses. Applications include medical device papers, foil barrier seals, staking plastics, hot seal films, foils, membranes, plastics welding & joining various types of assemblies. Industries served include automotive, industrial, electrical, appliance, fixtures, electronics, house-wares, aerospace & cellular","Process Partners

From start to finish Thermal Press engineering and sales staff are your complete production partners. We coordinate the design, production, validations and optimize your assembly processes using our over 30 years of experience and the latest in CAD, CAM, and FEA technologies.

Turnkey Solutions

Thermal Press delivers the highest quality turnkey assembly solutions and systems in the industry. We deliver customized assembly solutions that are optimized and ready to make reliable and consistent quality production assemblies with minimal installation and set-up.

Technical Support

Thermal Press has offices and representatives for technical support worldwide for local support and training.

Zero Downtime

Thermal Press machines, tooling, and systems are built to the highest standards using the latest technologies and the highest quality of brand name components in our systems and machines to ensure reliability, availability worldwide to produce zero downtime production solutions. More... Medical Grade

 Thermal Press machines and solutions are engineered and built to all levels of medical grade installations. Less",www.linkedin.com/company/thermal-press-international-inc-,$5 - 9.9 Mil,10-49  Employees,"Sealers: Electronic
Heat Sealing Equipment
Machinery: Heat Sealing
Machinery: Sealing
Plastic Heat Staking, Sealing & Bonding Equipment


Sealers
Sealers: Heat
Sealers: Medical
Heat Sealing Components
Medical Equipment (Sealing)

View all Sealing Equipment categories","All Products / Services

Sealing Equipment
Staking Equipment
Assembly Machinery
Presses
Welders
Automation Systems
Bonders
Custom Machinery
Sealing Services
Swagers


Actuators
Clamping Systems
Conveyors
COVID-19 Response
Curtains
Dispensers
Feeders and Feed Systems
Forming Machinery
Imaging Equipment
Inserters

View all products / services offered"
