Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
Source International,844-849-6058,https://www.sourceint.com/,"Louisville, KY 40206",Custom Manufacturer,"Custom manufacturer of plastic and rubber products (including injection molding, extrusion, rotational, blow molding, compression molding and vacuum forming), metal products (including injection, forging, casting, machining, stamping, extrusion and more), sewn textiles, wood products, ceramics, glass, electronics and multiple component assemblies. Made from PA, PC, PE, POM, PP, PS, HIPS, PVC, ABS, PET, LGFR, TPU, TPE, EVA, Nylon, PU, Tritan, MS, CR, Composites, Fiberglass, Natural Rubber, NBR, Latex, Nitrile, Neoprene, EPDM, Silicon, Foam, Aluminum, Brass, Copper, Nickel, Iron, Stainless Steel, Cold Rolled Steel, Hot Rolled Steel, Titanium, Zinc, Cotton, Polyester, T/C, Hardwood, Softwood, MDF, Porcelain, Earthenware, Stoneware, Bone China, Soda Lime Glass, Borosilicate Glass. Additional capabilities include assembly, boring, drilling, tapping, EDM, CNC, routing, rolling, thread, laser cutting, waterjet cutting, sheet metal stamping, threading, riveting, gear hobbing and shaping, milling, welding, bending, forging, packaging, powder coating, swaging, polishing, painting, sandblasting, galvanizing, etching, electroplating, grinding and lapping services. Offshore contract manufacturing, OEM/ODM manufacturing, product development, prototyping, engineering and supply chain management services. Suitable for consumer and industrial product applications including tooling, jigs, fixtures, stamping tools, dies, molds, precision machine parts, automation, robotics, sheet metal assemblies, filters, hardware, subassemblies, kits, mechanical and medical devices, vehicles, lighting, material handling and industrial machine applications. Serves the agriculture, automotive, marine, HVAC, appliance, construction, food service, clothing and fashion accessories, office, hospitality, medical, pet, sports, safety, furniture, power generation and distribution, recreation and electronics industries. Certifications in ISO, UL, ETL, CE, ASTM, ASME, ANSI, CSA, FDA, QS, NSL and more.","Source International was established 1988 with a superb product supply chain solution and has grown to become one of the largest supply management companies in North America providing offshore contract manufacturing. Source has USA headquarters in Louisville, Kentucky and operational offices in Xiamen, China and Ho Chi Minh, Vietnam. Our award-winning product management process provides a proven solution with complete documentation and a real-time operations cloud portal. Source makes it easy to double or triple your current manufacturing capacity quickly and reliably in our ultramodern ISO facilities. Our certified supply management professionals will tackle the daily manufacturing challenges for you of tight tolerances, complex assemblies, and hard-to-find materials and components. Global access with local control. Source operates responsibly to deliver professional contract manufacturing programs and the results are guaranteed. Plus, you have the protection that we never work with competing More... customers in the same industry. Uncompromised quality, on-time delivery and guaranteed satisfaction are what we deliver. Less",www.linkedin.com/company/source-international,$100 - 249.9 Mil,100-199  Employees,"Contract Manufacturing: Electronic Subsystem
Contract Manufacturing
Contract Manufacturing: OEM Component & Part
Contract Manufacturing: Offshore
Contract Manufacturing: Aluminum


Contract Manufacturing: Automation Equipment
Contract Manufacturing: Automotive Assemblies
Contract Manufacturing: Ceramic
Contract Manufacturing: Consumer Product
Contract Manufacturing: Conveyor

View all Manufacturing Services categories","All Products / Services

Fabrication Services
Machining
Molding Services
Plastics
Manufacturing Services
Casting Services
Stamping Services
Tube Fabrication and Bending Services
Sewing Services
Forging Services


Extrusion Services
Supply Chain Management Services
Assemblies
Sourcing Services
Additive Manufacturing Services
Anodizing Services
Appliance Parts
Assembly Services
Automotive Parts
Bags

View all products / services offered"
"Advanced Industrial, Inc.",877-234-9739,https://cncplastics.com/,"Mooresville, NC 28117",Custom Manufacturer,"Tier 1 supplier of plastic machinable shapes and precision CNC machined components. Tight tolerance CNC machining, turning, tapping and milling with 3, 4 and 5-axis capabilities. Materials available include PEEK, Ultem®, Torlon®, acetal, nylon, PTFE, Ertalyte®, Celazole® and Vespel®. Capabilities include custom plastic bearings and wear components, custom plastic spur gears and material application assistance. Machinable shapes available from stock include plastic sheets, plates, rods and tubular bars. Serves the analytical instrumentation, sample preparation, life sciences, marine, food processing and material handling industries.","Advanced Industrial is a distributor/fabricator, specializing in high performance plastic shapes and CNC machined components manufactured from high performance plastics and aluminum.

Machining high performance plastics can be challenging. Most plastics are soft and slippery, some are very abrasive and most have internal stress that is released during the machining process. These challenges make tooling selection, work piece orientation and innovative work holding extremely important.

Our creative and proprietary approach allows us to successfully make parts that look almost impossible on paper. We pride ourselves on providing aesthetically pleasing parts that exceed customer specifications.",www.linkedin.com/company/advanced-industrial/,$5 - 9.9 Mil,10-49  Employees,"Contract Manufacturing: Electronic Subsystem
Contract Manufacturing: Medical Parts
Contract Manufacturing: Plastics
Contract Manufacturing
Contract Manufacturing: Aerospace


Contract Manufacturing: Aluminum
Contract Manufacturing: Automation Equipment
Contract Manufacturing: Computer Assemblies
Contract Manufacturing: Consumer Product
Contract Manufacturing: Conveyor

View all Manufacturing Services categories","All Products / Services

Plastics
Machining
Polyetheretherketone (PEEK)
COVID-19 Response
Tier 2 Medical Mfg. Supplies, Materials, Components & Services
Polytetrafluoroethylene (PTFE)
Acetal
Miscellaneous Plastics
Nylon
Polyethylene (PE)


Polypropylene (PP)
Additive Manufacturing Materials
Micarta®
Polycarbonate
Polyimide
Polysulfone (PSU)
Polyvinyl Chloride (PVC)
Medical Components
Polyetherimide (PEI)
Fabrication Services

View all products / services offered"
The Federal Group USA,888-545-1582,https://www.tfgusa.com/,"Ferndale, MI 48220",Custom Manufacturer,"Manufacturer of castings, cold headed parts, precision machined parts, forgings, metal fabrication, custom fasteners, supply chain and engineering services in house. JIT delivery available.","Since its inception in 1980, The Federal Group USA has been firmly planted in global manufacturing. Headquartered in Ferndale, Michigan, The Federal Group USA has structured itself as a vital link between our global customers and our manufacturing facilities in the United States and around the world. 

The Federal Group USA provides products, services, and solutions of precision metal products and assemblies to the automotive and industrial market. We have proven strategies that help reduce overhead, optimize price, quality and delivery. Let the team of experts at The Federal Group USA be your partner in supply chain management.",www.linkedin.com/company/321046/,$5 - 9.9 Mil,10-49  Employees,"Contract Manufacturing: Electronic Subsystem
Contract Manufacturing
Contract Manufacturing: Aerospace
Contract Manufacturing: Aluminum
Contract Manufacturing: Automation Equipment


Contract Manufacturing: Automotive Assemblies
Contract Manufacturing: Computer Assemblies
Contract Manufacturing: Conveyor
Contract Manufacturing: Electromechanical
Contract Manufacturing: Electromechanical OEM Component

View all Manufacturing Services categories","All Products / Services

Casting Services
Forging Services
Extrusion Services
Cold Heading Services
Additive Manufacturing Services
Assembly Services
Bending Services
Boring Services
COVID-19 Response
Cutting Services


Drilling Services
Fabrication Services
Fasteners
Forming Machinery
Forming Services
Hobbing Services
Hurricane Personal Protective Equipment
Hurricane Response
Knurling Services
Machining

View all products / services offered"
MME group inc.,877-890-8673,https://www.mmegroupinc.com/,"Vadnais Heights, MN 55110 | Locations",Custom Manufacturer,"Full-service contract manufacturing for plastic and silicone assemblies and parts used in medical, automotive, consumer product and government safety and security industries. Short and long run production available. Services include engineering, development, tooling, molding, assembly, kitting/packaging and distribution. Capabilities include mechanical, clean room and electronic assemblies as well as supply chain management, inventory agreements and metal solutions. ISO 13485:2012 certified. ITAR registered. FDA registered. FMR registered. CE, UL and TUV products.","MME group is a full-service contract manufacturer with the benefits of in-house contract manufacturing services, including product development and engineering, tooling, molding, assembly, program management, quality management, and inventory management. Clean room manufacturing and assembly. We take responsibility for the production timeline and oversee costs. We also manage low-cost offshore options.

Accountability is the foundation for all deliverables. We approach every program with an engineering mindset and manage every step of the process to ensure we meet the desired outcome. Whether you provide full design or we help engineer it, we manufacture to your specs.

Leave sourcing and managing suppliers to us. The MME team has a strong background in supply chain management (KanBan and JIT). We apply DFMA, FEA and other quality systems to manufacture and test your project. We oversee the program's success from start to finish.

We are a leading ISO 13485:2012 certified and ITAR and FDA registered More... contract manufacturer. We provide services to a range of industries including medical, aerospace, government security and safety, consumer products, consumer electronics and telecommunications.

 MME group has 75,000 sq. ft. of manufacturing space and operates 3 shifts with more than 100 employees. We work with most grades of thermoplastic resins and our presses range from 10 to 750 tons. We operate fully contained presses and assembly in our class 8 (100,000) clean room.

 Our services are coupled with superior cost savings and quality systems managed by team members who deliver exceptional contract manufacturing services.

 Capabilities:

 - Custom injection molding: Rotational two shot, vertical insert, robotic insert, thin wall, in-mold decorating, silicone over-molding

 - ISO 13485:2012; ITAR certified; FDA registered, FMR (Foreign Manufacturer Registration) registered

 - Clean room class 8 (100,000): Contained clean room presses and assembly

 - Full product development and engineering team

 - In-house tooling, molds, fixtures, secondary assembly, and end of arm

 - Tool transfer expertise with a proven system for success

 - Part size: Small to medium. Press size ranging from 10 to 750 tons

 - Production: Low to high volume, simple to complex parts

 - Assembly: Value added electro-mechanical assembly/sub-assembly

 - Program management: Dedicated team and unmatched technical expertise

 - Supply chain management: Managed supplier base

 - Inventory management solutions (Kanban, JIT)

 - Short lead times

 - Fast quoting Less",www.linkedin.com/company/948782?trk=tyah&trkInfo=tas%3Amme%20group%2Cidx%3A2-1-2,$25 - 49.9 Mil,100-199  Employees,"Contract Manufacturing: Electronic Subsystem
Contract Manufacturing: Medical
Contract Manufacturing: Medical Device
Contract Manufacturing: Box Build Assembly
Contract Manufacturing


Contract Manufacturing: Aerospace
Contract Manufacturing: Aluminum
Contract Manufacturing: Automotive Assemblies
Contract Manufacturing: Consumer Product
Contract Manufacturing: Cosmetics

View all Manufacturing Services categories","All Products / Services

Manufacturing Services
Molding Services
Plastics
Assembly Services
Additive Manufacturing Services
Analytical Services
Assemblies
Automation Systems
Automotive Parts
Consulting Services


COVID-19 Response
Die Components
Dies
Electrical Components
Electronic Components
Engineering Services
Fabrication Services
Fixtures
Housings
Hurricane Personal Protective Equipment

View all products / services offered"
"OPM, Inc.",888-772-7048,https://opm-mfg.com/,"Dallas, TX 75254",Custom Manufacturer,"Fabrication and machining services for alloy steel, stainless steel, aluminum, brass, bronze, carbide, carbon steel, cobalt, copper, iron, magnesium, nickel, titanium, tungsten, zinc, Inconel®, tantalum and fiberglass reinforced plastic. Various capabilities include boring, broaching, bending, drilling, forming, hobbing, knurling, milling, cutting, turning, threading and tapping. Also a raw material manufacturer of custom alloys and steel. Secondary services such as anodizing, assembly, honing, passivating, plating and pressing provided. Prototype, low to high volume and large scale production runs offered. Serves the agricultural, automation, electronics, marine, medical, military, pharmaceutical, semiconductor and telecommunications industries.",,,Not Available,Not Available  Employees,"Contract Manufacturing: Electronic Subsystem
Contract Manufacturing: OEM Component & Part
Contract Manufacturing: Offshore
Contract Manufacturing
Contract Manufacturing: Aerospace


Contract Manufacturing: Aluminum
Contract Manufacturing: Automation Equipment
Contract Manufacturing: Consumer Product
Contract Manufacturing: Conveyor
Contract Manufacturing: Electromechanical

View all Manufacturing Services categories","All Products / Services

Machining
Manufacturing Services
Assemblies
Precision Mechanical Components
Bending Services
Boring Services
Broaching Services
COVID-19 Response
Cutting Services
Drilling Services


Fabrication Services
Forging Services
Forming Services
Hobbing Services
Job Shop Services
Knurling Services
Medical Components
Milling Services
Prototyping Services
Punching Services

View all products / services offered"
LoDolce Machine Co. Inc.,866-482-5959,https://www.lodolce.com/,"Saugerties, NY 12477",Custom Manufacturer,"Full service precision CNC machining and sheet metal fabrication services for the aerospace, commercial, military, computer and transportation industries. Various capabilities include assembly, laser/plasma cutting, punching, shearing, brazing, soldering, forming, welding, turning and milling. Powder coating service is also available. Prototype to production runs offered. Meets AS9100 standards.","LoDolce Machine Co. Inc. is a full-service machine and fabricating facility in Saugerties, New York. We have one of the finest machining, fabricating, and coatings facilities in the Northeast. We are a precision manufacturer with state-of-the-art CNC machining, laser cutting, sheet metal fabrication, robotic welding, and wire EDM equipment. We offer many services, including metal forming, punch press, engineering support, and mechanical assembly.

We have 100,000 square foot facility which allows us to keep up with your demand for more complex, higher value assemblies, and technical support with additional expansion if needed.",,$1 - 4.9 Mil,10-49  Employees,"Contract Manufacturing: Electronic Subsystem
Contract Manufacturing
Contract Manufacturing: Aerospace
Contract Manufacturing: Aluminum
Contract Manufacturing: Automation Equipment


Contract Manufacturing: Computer Assemblies
Contract Manufacturing: Consumer Product
Contract Manufacturing: Conveyor
Contract Manufacturing: Electromechanical
Contract Manufacturing: Electronic

View all Manufacturing Services categories","All Products / Services

Fabrication Services
Machining
Paints
Assembly Services
Bending Services
Boring Services
Brazing Services
Broaching Services
Coating Services
COVID-19 Response


Cutting Services
Drilling Services
Finishing Services
Forming Services
Job Shop Services
Knurling Services
Manufacturing Services
Milling Services
Nozzles
Other Fire Fighting Equipment

View all products / services offered"
Advanced Product Design & Mfg.,855-979-6270,http://www.apdmfg.com,"Coatesville, PA 19320",Custom Manufacturer,"Turnkey electronics design and manufacturing services. Specializing in electronic hardware design, control software development,  prototype fabrication and equipment, PCB assembly prototype and production, engineering and product support. Serving the medical, aerospace, industrial, railcar, postal, analytical, gaming and security industries.","Advanced Product Design & Manufacturing, Inc. has been turning ideas into reality for electronic product manufacturers in the Mid-Atlantic region for two decades. We serve as a seamless extension of our customers' engineering teams  offering an unmatched level of proven, creative, custom electronics design engineering solutions  and, as needed, an in-house contract manufacturing resource.

Together, our design/development and manufacturing capabilities represent a proven-successful continuum from idea through design, development, test, build and delivery.

Experience the difference. APD&M's strength is our engineering design team, which separates us from traditional contract manufacturers, who typically just build to print. Working hand-in-hand with our customers gives APD&M engineers control and knowledge of the design, which carries through to the manufacturing process. The result: better overall product solutions for our customers...and yours.",,$1 - 4.9 Mil,10-49  Employees,"Contract Manufacturing: Electronic Subsystem
Contract Manufacturing: Electronic
Contract Manufacturing: Medical Device
Contract Manufacturing: Medical
Contract Manufacturing


Contract Manufacturing: Aerospace
Contract Manufacturing: Box Build Assembly
Contract Manufacturing: Computer Assemblies
Contract Manufacturing: Electromechanical
Contract Manufacturing: Electromechanical OEM Component

View all Manufacturing Services categories","All Products / Services

Manufacturing Services
Assemblies
Controls and Controllers
Engineering Services
Assembly Services
Connectors
Consulting Services
Contractors
COVID-19 Response
Fabrication Services


HVAC Equipment
Maintenance and Repair Services
Medical Components
Medical Equipment
Medical Products and Hospital Equipment
Power Supplies
Printed Circuit Boards
Prototyping Services
Research, Design and Development Services
Tier 2 Medical Mfg. Supplies, Materials, Components & Services

View all products / services offered"
SEACOMP,888-590-5678,https://www.seacomp.com/divisions/mh-manufacturing,"Carlsbad, CA 92009",Custom Manufacturer,"Contract manufacturer of electronics for home automation, consumer goods and medical industries. Capabilities include assembly, prototyping, plastic injection molding and welding. Product development, design and engineering services are also offered. Secondary services such as bulk/retail packaging, pad printing, laser etching, sourcing, testing and warehousing are provided. Mexico and China manufacturing options. UL listed. ISO9001 and ISO13485 certified.","SEACOMP offers turnkey solutions, product development, manufacturing, and logistics services through our electronics manufacturing division, MH MFG. We specialize in designing, engineering and manufacturing industrial products, consumer electronics, and medical devices.

Partner with MH MFG as your electronics manufacturer and you will receive high quality control of your product's materials and electronic components, customization of production processes to meet your product's unique needs, and strict protection of your product design's intellectual property.

Our company's vision is to make great ideas into great products. If your product design falls into this criteria, please start the conversation to see if we would be a good fit for each other. Choosing a manufacturing partner is a huge investment and we want to ensure that your product development goals are met.

MH MFG meets your unique needs through a new product introduction (NPI) roadmap to get your product from concept to manufacturing, More... design for manufacturing (DFM) to optimize your product design for the production line, design engineering services completed in-house at our Carlsbad, CA office, and manufacturing is done either in our overseas China production facility or our manufacturing facility in Mexico. 

 We take quality control very seriously and this is proven in our most recently awarded ISO 13485:2016 certification. This standard, specific to manufacturing medical devices, pertains to quality management systems. Our certifications, including ISO 9001:2015, show that we are committed to fulfilling regulatory requirements to best serve our customers.

 Our goal is to help bring your passion to the global marketplace. Less",www.linkedin.com/company/seacomp-mhmfg-displaytech-hdppower/,$25 - 49.9 Mil,100-199  Employees,"Contract Manufacturing: Electronic Subsystem
Electronic Manufacturing Services (EMS)
Manufacturing Services
Contract Manufacturing: Consumer Product
Contract Manufacturing


Contract Manufacturing: Box Build Assembly
Contract Manufacturing: Electronic
Contract Manufacturing: Electronic, RoHS Compliant
Contract Manufacturing: Industrial Control
Contract Manufacturing: Large Component

View all Manufacturing Services categories","All Products / Services

Manufacturing Services
Engineering Services
Research, Design and Development Services
Electronics
Assemblies
Consulting Services
COVID-19 Response


Electronic Components
Medical Equipment
Medical Products and Hospital Equipment
Printed Circuit Boards
Prototyping Services
Tier 2 Medical Mfg. Supplies, Materials, Components & Services"
OMI Contract Assembly Services,833-582-2297,https://omiasm.com/,"Houston, TX 77043",Custom Manufacturer,"Custom manufacturer of automated, box build, cleanroom, mechanical and electromechanical turnkey contract assemblies. Assembled products include gears, motors, stators, rotors, harnesses, batteries, engines, gauges, heaters, power tools, printed circuit boards, welding kits and refrigeration equipment. Other capabilities include sourcing and prototyping. Additional services such as engineering, documentation, inspection, packaging, production planning, shipping, logistics and testing are also provided. Meets ANSI standards. IATF 16949 certified.",,,Not Available,Not Available  Employees,"Contract Manufacturing: Electronic Subsystem
Contract Manufacturing: OEM Component & Part
Contract Manufacturing: Electromechanical
Contract Manufacturing: Electromechanical OEM Component
Contract Manufacturing: Automotive Assemblies


Contract Manufacturing: Box Build Assembly
Contract Manufacturing: Electronic
Contract Manufacturing: Medical Device
Contract Manufacturing: Military
Contract Manufacturing

View all Manufacturing Services categories","All Products / Services

Assembly Services
Manufacturing Services
Assemblies
Casting Services
Cutting Services
Fabrication Services
Forming Services
Gearheads and Gearboxes
Harnesses


Job Shop Services
Machining
Plastics
Prototyping Services
Punching Services
Sourcing Services
Stamping Services
Turning Services
Welding Services"
"RPC Electronics, Inc.",888-691-0307,https://www.rpcelectronics.com/,"Chagrin Falls, OH 44023",Custom Manufacturer,"Custom manufacturer of electronic assemblies, products & systems. Electronic products/systems include printed circuit boards, electronic subsystems, wire harnesses, chassis, panels, enclosures, epoxy/thermoplastic potting, semiconductor devices & embedded memory modules. Electronic assemblies such as wire/cable assemblies, box build assemblies, electromechanical assemblies, printed circuit board assemblies, sensor assemblies & electronic subassemblies are fabricated. Capabilities include prototyping, turnkey manufacturing, testing, assembly, integration, packaging & shipping. Services such as design engineering, contract manufacturing, materials management, supply chain management, fulfillment & new product introduction services are available. Supply chain management services include component kitting, lead forming, device programming & Kanban/JIT delivery services. Markets served include OEM, industrial, commercial, medical, military, defense/aerospace, computing, communications & multimedia. Electronic products/systems are UL½ certified.",,,$5 - 9.9 Mil,10-49  Employees,"Contract Manufacturing: Electronic Subsystem
Contract Manufacturing: Electronic
Contract Manufacturing
Contract Manufacturing: Automotive Assemblies
Contract Manufacturing: Box Build Assembly


Contract Manufacturing: Electromechanical
Contract Manufacturing: Electromechanical OEM Component
Contract Manufacturing: Electronic Multichip Module
Contract Manufacturing: Electronic, RoHS Compliant
Contract Manufacturing: Medical

View all Manufacturing Services categories","All Products / Services

Printed Circuit Boards
Manufacturing Services
Assemblies
Panels
Assembly Services
Boards
Chassis
Computers
Controls and Controllers
Digital Memory


Displays
Electric Wire, Cable and Cable Assemblies
Electronics
Embedded Systems
Enclosures
Engineering Services
Forming Services
Harnesses
Mechanical Wire, Cable and Rope
Modification Services

View all products / services offered"
