Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
"DoorKing, Inc.",855-793-4422,https://www.doorking.com/,"Inglewood, CA 90301 | Locations",Manufacturer,"Manufacturer of access control systems and products including telephone entry systems, digital keypads, electric or magnetic locks, power inverters, card readers and gate operators. Barrier gates, lane barriers, traffic spikes, warning signs and signals are also offered. Accessories such as elevator control boards, push buttons, lock boxes, mounting posts, camera or handset kits, keypads, time clocks, surge suppressors, transformers, loop detectors, software and V-wheels available. Serves the building, self-storage, apartment and college hall, commercial, security and traffic control industries. Made in the USA.","DKS DoorKing, Inc. is one of the largest and oldest manufacturers of access control and vehicular gate operator systems in the United States. Based in Inglewood, California since the company was founded in 1948, DKS operates from seven buildings and is located less than 3-miles from Los Angeles International Airport (LAX). These buildings include our corporate headquarters, manufacturing, warehousing and shipping and receiving facilities. Additionally, we maintain 14 outside sales offices located throughout the country.",www.linkedin.com/company/doorking-inc-,$25 - 49.9 Mil,100-199  Employees,"Inverters
Inverters: Power
AC Power Sources
AC Voltage Sources
Converters


Inverters: DC To AC
Power Supplies
Power Supplies: AC
Power Supplies: Access Control
Power Supplies: Back-Up

View all Power Supplies categories","All Products / Services

Gates
Controls and Controllers
Device Operators
Barriers
Speed Bumps
Sensors / Detectors / Transducers
Identification Products
Identifiers
Power Supplies
Hinges


Kiosks
Pads
Adapters
Amplifiers
Answering Machines
Antennas
Assemblies
Badges
Bases
Boards

View all products / services offered"
"Navico Group, previously Advanced Systems Group, and Power Products LLC",888-386-9597,http://www.Navico.com,"Menomonee Falls, WI 53051",Manufacturer,"Manufacturer of electrical products for the recreational marine, specialty vehicle, industrial power, and transportation industries. Products include wires and cables, electric actuators, switches, cord sets, DC power distribution, control and monitoring, inverters, batteries, and battery chargers.","Navico Group

Your most trusted partner - Navico Group by Brunswick

Whether on water or on the road, delivering an optimal user experience is at the heart of Navico Group's business. It's why we are proud to be the world's leading supplier of products and integrated systems to the marine, RV, Specialty Vehicle, and Industrial markets. Our broad portfolio of market leading brands in power management, digital control and monitoring, and networked devices are distributed globally to a diverse aftermarket and OEM customer base. Navico Group is driven, every day, to be the world's most trusted partner to the marine and mobile industries.",www.linkedin.com/company/power-products/,$250 Mil. and over,1000+  Employees,"Inverters
Converters
Converters: DC To DC
Converters: Electric
Converters: Electric Power


Inverters: DC To AC
Inverters: Power
Inverters: Sine Wave
Power Supplies
Power Supplies: AC

View all Power Supplies categories","All Products / Services

Batteries
Chargers
Connectors
Busbars
Blocks
Marine Equipment
Electrical Equipment
Automotive Parts
Distribution Systems
Electric Wire, Cable and Cable Assemblies


Holders
Power Supplies
Switches
Actuators
Adapters
Alternators
Arms
Binoculars
Breakers
Bulbs

View all products / services offered"
"Applied Power Systems, Inc.",866-221-2474,http://www.appliedps.com,"Hicksville, NY 11801",Manufacturer,"ISO 9001:2008 certified manufacturer of high power electronic components, power controls and power systems, both standard and custom versions are available. Standard products include IGBT inverters, AC-DC converters, AC controllers, motor controls, heat sinks, chill blocks and plates, gate driver boards, rectifier bridges, soft-starters, clamps, solid state contactors, motor drives, regulators, rectifiers, snubbers, and thyristors. Engineering services are available. Various markets served include wind and solar power, transportation, rail power converters and alternative energy.",,www.linkedin.com/company/applied-power,$5 - 9.9 Mil,10-49  Employees,"Inverters
Converters
Inverters: DC To AC
Inverters: Power
Power Supplies: AC To DC


Power Supplies: DC
Power Supply Systems
Uninterruptible Power Supplies (UPS)
Converters: AC To AC
Converters: AC To DC

View all Power Supplies categories","All Products / Services

Power Supplies
Chargers
Converters
Motor Controllers and Drives
Amplifiers
Assemblies
Blocks
Boards
Brakes
Bridges


Circuits
Clamping Systems
Clamps
Contactors
Controls and Controllers
Coolers
Drivers
Drives
Electronic Components
Engineering Services

View all products / services offered"
Solar Cellz USA,980-729-7442,https://solarcellzusa.com/,"Charlotte, NC 28277",Distributor,"Distributor of solar batteries, modules and energy systems. Absorbed glass mat (AGM) valve-regulated and Lithium-ion or lithium iron phosphate solar batteries are available. DC to DC converters, inverters and generators are provided. Combiner boxes, gateways, charge controllers, charging stations, panels, disconnects and multi functional tools are also offered.","Creating a world sustained by clean energy requires education, transparency and trust. At SolarCellz USA, we invest in business solutions to reduce customer risk and the partner education that empowers their decision making. We're building smarter customers and a smarter marketplace.",www.linkedin.com/company/solar-cellz/,Under $1 Mil,1-9  Employees,"Inverters
Converters: DC To DC
Inverters: Alternative Energy
Converters
Converters: DC To AC


Converters: Electric
Inverters: DC To AC
Inverters: Electric
Inverters: Electronic
Inverters: Power

View all Power Supplies categories","All Products / Services

Power Supplies
Batteries
Panels
Solar Energy Equipment
Power Systems
Breakers
Cells
Chargers
Combiners
Communication Systems


Connectors
Controls and Controllers
Disaster Preparedness Supplies
Disconnects
Electric Wire, Cable and Cable Assemblies
Electronics
Fittings
Gateways
Generators
Hurricane Response

View all products / services offered"
OneMonroe (Monroe Engineering Products),877-930-0001,https://monroeengineering.com/index.php,"Rochester Hills, MI 48309 | Locations",Manufacturer,"Manufacturer of industrial leveling mounts, leveling feet, levelers and leveling pads are with cabinetry, shelving, machinery and more. Engineered and manufactured to strict standards, our industrial leveling mounts, leveling feet and leveling pads can be used in every industrial product. Available in several materials including: plastic, stainless steel, zinc and steel. Styles including: glide rites, heavy duty leveling mounts, heavy duty leveling feet, level pads, level-it studs, mighty mounts, polymounts, snap locks, threaded tubes and much more.","OneMonroe is a global industrial manufacturing and distribution company offering a broad product line in addition to a customer specific products. We manufacturer and distribute hardware, aerospace and seal components.

OneMonroe is proud of our ability to manufacturer domestically and globally. OneMonroe's quality system has been certified to meet ISO 9001:2015 and AS 9100D standards.

We continually expand our standard product offering based on the needs of our customers and have expanded our contract manufacturing capabilities to offer more custom solutions than ever before. Backed by a rock-solid quality system our goal is to help you with your ""problem of the day"". Please let us know how we can help!",www.linkedin.com/company/monroe-engineering,Not Available,200-499  Employees,"Inverters
Converters
Converters: DC To DC
Converters: Electric Power


Converters: Power
Inverters: DC To AC
Power Supplies
Power Supplies: DC To AC","All Products / Services

Hinges
Manufacturing Services
Pins
Magnets
Plungers
Clamps
Knobs
Gaskets
Handles, Pulls and Levers
Rings
Wheels


Casters
Electric Wire, Cable and Cable Assemblies
Mechanical Wire, Cable and Rope
Hooks
Lifters
Pads
Feet
Inventory Management Services
Rubber
Seals
Catches

View all products / services offered"
"Compressed Air Systems, Inc.",855-537-0577,https://www.compressedairsystems.com/,"Tampa, FL 33619-2658 | Locations",Distributor,"Distributor of compressed air systems. Various products include abrasives, adapters, air guns, analyzers, beads, bearings, blowers, air compressors, controllers, coolers, couplings, detectors, drains, dryers and exhausters. Fittings, hose, horns, indicators, kits, lights, nipples, monitors, nozzles, plugs, pumps, pump parts, receivers, regulators, separators and silencers are also available. Capabilities include inspection, preventative maintenance, installation and engineering.","We offer many products, specializing in Air Compressor, Blower and Vacuum Systems. Our sales department is backed by our own in-house service, installation and rental departments. We sell, service and rent all types of compressors, pneumatic tools and equipment. Whether it's pumps or tools, our complete repair facility insures quick turn-around for your convenience. We service all makes and models and provide Consulting and Engineering services for new Compressed Air and Vacuum Systems, as well as improving existing systems.",www.linkedin.com/company/compressed-air-systems-inc-,Not Available,50-99  Employees,"Inverters
Inverters: Power


Power Supplies","All Products / Services

Compressors
Chillers
Pumps
Filters
Compressor Parts
Sensors / Detectors / Transducers
Generators
Oils
Blowers
Lubricants
Openers
Pipes
Solid Film Lubricants


Air Filtration Equipment & Supplies
COVID-19 Response
Regulators
Tanks
Abrasive Blast Equipment
Dryers
Adapters
Brewers
Bushings
Caps
Cleaning Equipment
Compressed Air
Connectors

View all products / services offered"
Unidex Corporation,855-256-9071,https://www.unidex-inc.com/,"Warsaw, NY 14569",Manufacturer,"Manufacturer of standard & custom material handling equipment including lean manufacturing assembly systems, manipulators, jib arms, end effectors, mobile lift & assembly tables, mobile lifts , work positioners, positioning workstations, adjustable height workbenches, personnel lifts, gas cylinder trucks & carts & pallet lifts. Ergonomic products available. Materials include mild steel, stainless steel, aluminum & laminates. Capabilities include building lean manufacturing assembly systems with load capacities up to 10,000 lbs., in-house R&D, engineering, manufacturing & custom modification. Applications include air & gas cylinder handling, assembly, inspection, dies & molds handling, drums & pail handling, panels, sheets & glass handling, roll handling, tool handling, welding, lifting, manipulating, positioning & rotating. Markets served include automotive, aviation, clean room facilities, food processing, forging, foundry, machine shops, medical & pharmaceutical. Products are available with a warranty of one year.","Here at Unidex Inc, we work hard to distinguish ourselves from our competitors. We want our clients to have confidence that they have made the right decision in choosing to work with us. We'll be happy to handle all of your industrial equipment needs. Here's what sets us apart from other suppliers in this industry.

Customizable Products

We offer a wide range of industrial lifts and manipulators for you to choose from. In most cases, you'll be able to find exactly what you are looking for in our product lineup. If you need equipment for specialized uses, we will gladly make any modifications needed to our existing equipment to accommodate your needs. We can even create custom machinery that is exactly suited to your business.

Quality and Durability

Each and every product we design gets the same attention to detail from start to finish. We take care to choose only materials that are of the highest quality. You expect your lifts and manipulators to work as hard as you do, and our products More... do exactly that. All of our products go through rigorous testing to ensure they can withstand the rigors of a busy industrial facility to have the longest life possible.

 Intuitive and Easy to Use

 We design all of our products with the end-user in mind, meaning the workers at your facility. Many of our products are the result of ongoing collaboration with those who actually use our products in the field, giving us the chance to make the necessary modifications to make our equipment as easy as possible to use. In fact, our manipulators can lift, move and rotate heavy items in more than 100 different ways!

 Available Worldwide

 Here at Unidex Inc, we recognize that not all of our customers have easy access to industrial lifts and manipulators in their local areas, which is why we are proud to ship our products all over the world. It doesn't matter if your facility is in a major metropolitan area or somewhere more rural. We'll deliver your products right to your door so you can put them to work right away.

 We would love to tell you more about our lifts and manipulators and how they can help your business. Our associates will take the time to get to know your needs and answer all of your questions before making a recommendation as to the best equipment for you. Get in touch with us today to get started! Less",www.linkedin.com/company/unidex-company,$1 - 4.9 Mil,10-49  Employees,"Inverters
Inverters: Material Handling


Machinery: Inverting","All Products / Services

Lifts
Tables
Handling Equipment
Manipulators
Workstations
Positioners
Arms
Assembly Machinery
Automation Systems
Balancers
Benches
Bumpers
Cleanroom Equipment


Consulting Services
Controls and Controllers
Conveyors
COVID-19 Response
Cranes
Custom Machinery
Dumpers
Elevators
End Effectors
Engineering Services
Ergonomic Products
Fabrication Services
Factory Equipment

View all products / services offered"
"Scott's Emergency Lighting & Power Generation, Inc.",855-979-1009,https://www.selpg.com/,"Bensalem, PA 19020",Distributor,"Distributor of generators, inverters, lighting systems, transfer switches, switchgear and exit signs. Accessories also available. Various services such as battery testing and charging, field service troubleshooting, diagnostics, repair and preventative maintenance are provided. Suitable for government institutions, hospitals and health care facilities, manufacturing plants, universities, municipalities, retail stores and residences. 24 hour emergency service available.","Since 1971 Scott's Emergency Lighting & Power Generation, Inc. has been providing the Tristate area with quality service and products. Specialty distributors of sealed, gel, wet, lead acid, pure lead and ni-cad type batteries.

Standby, emergency, mobile, RV and portable generator sets. Full product line of gasoline, gas, and diesel. Full service dealer for Onan Winco and Generac.

Uninterruptible Power Systems for PC's, work stations, network servers, router hubs, and large main frame computer systems. Product line includes Best Power, Invensys, and Powerware.",,$1 - 4.9 Mil,10-49  Employees,"Inverters
Uninterruptible Power Supplies (UPS)
Inverters: Electric
Inverters: Electronic
Power Supplies: Standby


Converters: DC To AC
Inverters: DC To AC
Inverters: Power
Inverters: Universal
Power Supplies

View all Power Supplies categories","All Products / Services

Generators
Emergency Power & Lighting Supplies
Hurricane Response
Maintenance and Repair Services
Power Supplies
Rental and Leasing Services
Batteries
Generator Parts


Lights
Switches
Chargers
Protectors
Signs
Switchgear
Testing Services"
"Green Rubber-Kennedy AG, LP",855-970-4597,http://www.greenrubber.com,"Salinas, CA 93901 | Locations",Distributor,"Manufacturer of custom conveyor belting and urethane parts. Distributor of conveyor belts, plastic sheets, tanks, pumps, tubing and hose, electric motors, fittings, abrasives, adhesives, sealants, tapes, batteries, flashlights, paints, safety products, pipe and hose fittings, air couplings, poly hose menders, adapters, inserts, nuts and nipples. Serves the agricultural, food and beverage production and processing, brewing, winemaking, baking, pharmaceutical, transportation, mining, recycling, packaging and material handling industries.","Your go-to supplier.

Green Rubber-Kennedy AG supplies key products and services to industries including farming, food processing, baking, manufacturing, mining, shipping and more. We carry pumps, motors, valves and accessories, safety equipment, hoses and fittings, custom conveyor belting, urethane parts, and much much more.

The company was founded over 30 years ago in the heart of California's Salinas Valley, the nation's salad bowl. Over the years we have grown to five locations throughout California and Arizona. Each location includes walk-in sales, equipment repair and fabrication. However, we also ship products to customers around the USA. When you can't come to the store to shop, we'll deliver to you. When you need belting repairs or fabrication on-site, we'll send a team to your facility.

We're real people with real experience providing solutions to your production needs. Because we are a multi-generational family business we are in it for the long haul. Our expert staff treats every More... customer like one of the family, and we are dedicated to building long-term working relationships. We take pride in delivering products and services on time, as promised. So, when you need pumps, motors, valves and accessories, safety equipment, hoses and fittings, custom conveyor belting, and urethane parts you can count on Green Rubber-Kennedy AG.

 Keeping the supply chain moving.

 We are proud distributors of a wide range of products from over 500 top manufacturers such as 3M, Dixon, Honda Power Equipment, Banjo, Van Der Graaf, Flexco, Spears, Parker-Dayco-Eastman, Gates-TPU, Bandit, Value-Guide, Sterling Electric, AC Tech, and more.

 - Conveyor belting and drive motors.

 - Custom urethane parts.

 - Water tanks, trailers and sprayers.

 - Pressure washers and accessories.

 - Pumps, valves and fittings.

 - Safety and personal protection.

 - And much, much more. Less",www.linkedin.com/company/6443936/,Not Available,Not Available  Employees,"Inverters


Power Supplies: Eaton","All Products / Services

Pumps
Belts
Hose
Tanks
Motors
Agricultural Equipment
Molding Services
Polyurethane Products
Rolls and Rollers
Sprayers
Wheels
Abrasive Compounds / Media
Absorbers
Activators


Adapters
Adhesives
Aerosols
Air Filtration Equipment & Supplies
Alumina (Aluminum Oxide)
Anti-Seize
Anvils
Applicators
Assemblies
Barrels and Drums
Bases
Batteries
Bearings
Bits

View all products / services offered"
Gainesville Industrial Electric Co.,866-983-3159,https://www.gainesvilleindustrial.com/,"Gainesville, GA 30501",Distributor,"Distributor of AC & DC motors, industrial controls, industrial & commercial pumps, electric drives, circuit breakers, motor starters, transformers & motor repair parts. Products include fast acting fuses, slow-blow fuses, time-delay fuses, high voltage fuses, distribution blocks, fuse holders, sump pumps, sewage pumps, effluent pumps, water system fittings, valves, tanks & pump accessories, connectors, switches, explosion proof connectors, wire connectors, tapes, lube & pulling products, plugs & receptacles, tools & totes, wire processing, OEM connection systems, testers & meters, fluorescent lights, outdoor lights, emergency lights, strip lights, high bay & low bay lights, lighting fixtures, cable ties, enclosures & hazardous location fittings. Services include on-site services, 24/7 emergency services, motor rewinding, pump assembly & repair services.UL approved motor rewinding facilities & UL explosion proof repair certification available.","Gainesville Industrial Electric was Founded in 1959. We are now the largest stocking independent motor distributor in the state of Georgia. Our customers are important to us and providing them with top quality service is the reason we are still in business today.

Why GIE?

- Huge volume and variety of stock of motors, pumps, gearboxes and variable frequency drives.

- Strong buying power so you can get what you need from us.

- We can service what we sell as we are an authorized factory warranty center.

- Our motor and pump repair facility is EASA approved and UL certified.

- We have surplus inventory due to capacity and can help with those hard to find parts.

- 24 hour emergency service available.

- Same day shipping available on stock items.",,$10 - 24.9 Mil,10-49  Employees,"Inverters
Power Supplies: ABB


Power Supplies: Baldor","All Products / Services

Pumps
Maintenance and Repair Services
Motors
Gearheads and Gearboxes
Winding Services
Electrical Equipment
Motor Controllers and Drives
Bearings
Brakes
Breakers
Bulbs
Conditioners
Connectors


Controls and Controllers
Couplers and Couplings
Disconnects
Drives
Emergency Power & Lighting Supplies
Enclosures
Fuses
Holders
Hurricane Response
Infrastructure Protection Supplies
Lights
Lubricants
Panelboards

View all products / services offered"
